time,open,high,low,close,volume,ticker
2018-06-25,10390,10390,10390,10390,362000,AAV
2018-06-26,11380,11380,10530,11380,800200,AAV
2018-06-27,12500,12500,10860,10860,532700,AAV
2018-06-28,10860,11050,10860,10920,210300,AAV
2018-06-29,10920,11050,10860,10990,108100,AAV
2018-07-02,10990,11050,10590,10990,129000,AAV
2018-07-03,10920,11050,10860,10920,98800,AAV
2018-07-04,10920,10990,10860,10860,80500,AAV
2018-07-05,10860,10990,10790,10860,144700,AAV
2018-07-06,10860,11050,10790,10990,232100,AAV
2018-07-09,10990,11120,10860,10990,248300,AAV
2018-07-10,10990,11050,10860,10920,151100,AAV
2018-07-11,10920,10990,10720,10920,82500,AAV
2018-07-12,10920,11970,10860,11970,518100,AAV
2018-07-13,11970,13160,11970,13160,482500,AAV
2018-07-16,13160,14470,13160,14470,479500,AAV
2018-07-17,14540,14610,14140,14540,103000,AAV
2018-07-18,14540,14870,14210,14870,79800,AAV
2018-07-19,14930,15000,14740,14930,64300,AAV
2018-07-20,14930,14930,14470,14610,62800,AAV
2018-07-23,14670,14870,14470,14740,61600,AAV
2018-07-24,14800,14800,14080,14080,58400,AAV
2018-07-25,14140,14210,13820,13820,68600,AAV
2018-07-26,13750,13950,13550,13880,64000,AAV
2018-07-27,13820,14210,13820,14080,67100,AAV
2018-07-30,14140,14210,14010,14010,42100,AAV
2018-07-31,14080,14340,14010,14210,50300,AAV
2018-08-01,14280,14410,13820,13820,62700,AAV
2018-08-02,13880,14140,13420,13750,140600,AAV
2018-08-03,13820,14470,13680,14410,150400,AAV
2018-08-06,14140,14870,13620,14740,176800,AAV
2018-08-07,14670,14930,14140,14870,118000,AAV
2018-08-08,14870,15000,14470,14610,98900,AAV
2018-08-09,14540,16050,14210,16050,443400,AAV
2018-08-10,17370,17630,17370,17630,216700,AAV
2018-08-13,19080,19340,19080,19340,161900,AAV
2018-08-14,19670,20070,17430,19340,397900,AAV
2018-08-15,19340,21250,17570,21250,658500,AAV
2018-08-16,21710,22430,19140,20530,777300,AAV
2018-08-17,20530,21050,18490,19870,577000,AAV
2018-08-20,19870,19870,17890,18090,354600,AAV
2018-08-21,18090,18090,16320,16320,318700,AAV
2018-08-22,16320,16320,14740,14740,69200,AAV
2018-08-23,13290,13820,13290,13360,386700,AAV
2018-08-24,13360,14280,12040,14280,343600,AAV
2018-08-27,14280,14340,12890,14140,274000,AAV
2018-08-28,14140,14140,12760,13820,147800,AAV
2018-08-29,13820,13820,12430,13030,160300,AAV
2018-08-30,12830,12830,11780,11780,167600,AAV
2018-08-31,11180,11510,10660,10660,88300,AAV
2018-09-04,9870,10460,9610,10070,544400,AAV
2018-09-05,10070,11050,10070,11050,409000,AAV
2018-09-06,11640,12110,11320,12110,428100,AAV
