time,open,high,low,close,volume,ticker
2016-08-18,16830,16830,15310,16740,25400,ABC
2016-08-19,16570,16570,15810,15810,23700,ABC
2016-08-22,16020,16020,15180,15180,13400,ABC
2016-08-23,15180,15180,14630,14680,5000,ABC
2016-08-24,14680,14760,14680,14760,16000,ABC
2016-08-25,14590,14720,14510,14720,4100,ABC
2016-08-26,14340,14630,14210,14630,11400,ABC
2016-08-29,14680,14680,14680,14680,1100,ABC
2016-08-30,14340,14550,13920,14550,10210,ABC
2016-08-31,14550,14550,14510,14550,1100,ABC
2016-09-01,14590,14590,14590,14590,100,ABC
2016-09-05,14550,14550,14340,14550,3100,ABC
2016-09-06,14250,14250,14250,14250,8300,ABC
2016-09-07,14130,14130,14130,14130,500,ABC
2016-09-08,13960,14130,13960,14130,8800,ABC
2016-09-09,14250,14250,14250,14250,5000,ABC
2016-09-12,14000,14250,14000,14250,5000,ABC
2016-09-13,14340,14340,14340,14340,1000,ABC
2016-09-14,14130,14130,14130,14130,500,ABC
2016-09-15,13920,13920,13920,13920,100,ABC
2016-09-16,14340,14340,14340,14340,100,ABC
2016-09-19,14130,14130,13920,14130,4100,ABC
2016-09-20,13710,13710,13490,13490,1800,ABC
2016-09-21,13710,13710,13710,13710,500,ABC
2016-09-22,13490,13490,13490,13490,500,ABC
2016-09-23,13490,13490,13490,13490,0,ABC
2016-09-26,13490,13490,13490,13490,600,ABC
2016-09-27,13280,13280,13280,13280,500,ABC
2016-09-28,13280,13920,13920,13280,0,ABC
2016-09-29,13920,13920,13920,13920,0,ABC
2016-09-30,13920,13920,13920,13920,0,ABC
2016-10-03,13920,13920,13920,13920,0,ABC
2016-10-04,13070,13070,13070,13070,2000,ABC
2016-10-05,13070,13070,13070,13070,1200,ABC
2016-10-06,12860,13280,12860,13280,200,ABC
2016-10-07,13280,13280,13280,13280,100,ABC
2016-10-10,13030,13030,13030,13030,1000,ABC
2016-10-11,13030,13030,12900,12900,4700,ABC
2016-10-12,13070,13070,12990,12990,5000,ABC
2016-10-13,13070,13070,13070,13070,500,ABC
2016-10-14,13200,13200,13200,13200,500,ABC
2016-10-17,12860,12860,12860,12860,500,ABC
2016-10-18,12860,13070,12860,13070,2000,ABC
2016-10-19,13280,13280,13280,13280,2500,ABC
2016-10-20,13280,13280,13280,13280,1000,ABC
2016-10-21,13280,13370,13280,13370,1000,ABC
2016-10-24,13330,14340,13330,14340,400,ABC
2016-10-25,14090,14090,14090,14090,0,ABC
2016-10-26,13490,13490,13490,13490,2000,ABC
2016-10-27,13710,13920,13710,13920,2000,ABC
2016-10-28,13920,13920,13920,13920,100,ABC
2016-10-31,13920,13920,13920,13920,2000,ABC
2016-11-01,14130,14130,14130,14130,1700,ABC
2016-11-02,14250,14250,14250,14250,100,ABC
2016-11-03,14340,14340,14340,14340,200,ABC
2016-11-04,14550,16490,14550,16490,200,ABC
2016-11-07,15520,15520,15520,15520,0,ABC
2016-11-08,14340,14340,14340,14340,100,ABC
2016-11-09,16490,16490,16490,16490,100,ABC
2016-11-10,14760,14760,14760,14760,500,ABC
2016-11-11,15180,15180,14760,14760,10800,ABC
2016-11-14,14760,14760,14340,14340,18500,ABC
2016-11-15,14340,14340,14340,14340,0,ABC
2016-11-16,14340,14340,14340,14340,0,ABC
2016-11-17,14760,14760,14340,14340,23200,ABC
2016-11-18,14340,14760,14340,14760,2500,ABC
2016-11-21,14510,14510,14510,14510,0,ABC
2016-11-22,16400,16400,16400,16400,100,ABC
2016-11-23,14760,15180,14760,15180,6100,ABC
2016-11-24,14760,14760,14760,14760,0,ABC
2016-11-25,14760,14760,14760,14760,2400,ABC
2016-11-28,14760,14760,14760,14760,900,ABC
2016-11-29,14760,14760,14760,14760,0,ABC
2016-11-30,14760,14760,14760,14760,1200,ABC
2016-12-01,15180,15180,15180,15180,4000,ABC
2016-12-02,16020,16020,16020,16020,100,ABC
2016-12-05,15180,15180,15180,15180,7900,ABC
2016-12-06,15180,15180,15180,15180,0,ABC
2016-12-07,14760,14760,14760,14760,1000,ABC
2016-12-08,14760,14760,14760,14760,1200,ABC
2016-12-09,14800,14800,14800,14800,800,ABC
2016-12-12,14800,14800,14800,14800,4000,ABC
2016-12-13,14800,14800,14800,14800,0,ABC
2016-12-14,14760,14760,14760,14760,4000,ABC
2016-12-15,14760,14760,14550,14550,3000,ABC
2016-12-16,15600,15600,15600,15600,1000,ABC
2016-12-19,15600,16830,15600,16830,2700,ABC
2016-12-20,16870,16870,16780,16780,6500,ABC
2016-12-21,16830,16830,16830,16830,0,ABC
2016-12-22,16830,16830,16830,16830,0,ABC
2016-12-23,15650,15650,15600,15600,11500,ABC
2016-12-26,15690,15690,15690,15690,1500,ABC
2016-12-27,15600,15600,15600,15600,4000,ABC
2016-12-28,15600,15600,15600,15600,2000,ABC
2016-12-29,17630,17630,17630,17630,1800,ABC
2016-12-30,17630,17630,17630,17630,0,ABC
2017-01-03,17630,17630,17630,17630,0,ABC
2017-01-04,17630,17630,17630,17630,0,ABC
2017-01-05,17630,17630,17630,17630,0,ABC
2017-01-06,17630,17630,17630,17630,0,ABC
2017-01-09,17630,17630,17630,17630,0,ABC
2017-01-10,17630,17630,17630,17630,0,ABC
2017-01-11,15650,15650,15650,15650,3900,ABC
2017-01-12,15650,15650,15650,15650,0,ABC
2017-01-13,15650,15650,15650,15650,0,ABC
2017-01-16,15650,15650,15650,15650,0,ABC
2017-01-17,15650,15650,15650,15650,0,ABC
2017-01-18,15650,15650,15650,15650,0,ABC
2017-01-19,15650,15650,15650,15650,0,ABC
2017-01-20,15650,15650,15650,15650,0,ABC
2017-01-23,15650,15650,15650,15650,0,ABC
2017-01-24,15650,15650,15650,15650,0,ABC
2017-01-25,15650,15650,15650,15650,0,ABC
2017-02-02,15650,15650,15650,15650,0,ABC
2017-02-03,15650,15650,15650,15650,0,ABC
2017-02-06,14760,14760,14760,14760,2400,ABC
2017-02-07,14760,14760,14760,14760,0,ABC
2017-02-08,14760,14760,14760,14760,0,ABC
2017-02-09,14760,14760,14760,14760,0,ABC
2017-02-10,14760,14760,14760,14760,0,ABC
2017-02-13,14760,14760,14760,14760,0,ABC
2017-02-14,15600,15810,15600,15810,3000,ABC
2017-02-15,15600,15600,15600,15600,7000,ABC
2017-02-16,15600,15600,15600,15600,0,ABC
2017-02-17,15600,15600,15600,15600,0,ABC
2017-02-20,15600,15600,15600,15600,100,ABC
2017-02-21,15600,15600,15600,15600,0,ABC
2017-02-22,15600,15600,15600,15600,0,ABC
2017-02-23,15600,15600,15600,15600,0,ABC
2017-02-24,15600,15600,15600,15600,0,ABC
2017-02-27,15600,15600,15600,15600,0,ABC
2017-02-28,15600,14760,14760,15600,0,ABC
2017-03-01,14760,14760,14760,14760,1100,ABC
2017-03-02,14760,14760,14760,14760,0,ABC
2017-03-03,14760,14760,14760,14760,0,ABC
2017-03-06,14760,14800,14760,14760,21500,ABC
2017-03-07,14760,14760,14760,14760,0,ABC
2017-03-08,14760,14760,14300,14300,7300,ABC
2017-03-09,14340,14720,14340,14720,3000,ABC
2017-03-10,14590,14590,14590,14590,0,ABC
2017-03-13,16400,16740,16400,16450,1900,ABC
2017-03-14,14130,14340,14130,14340,7350,ABC
2017-03-15,14130,14130,14130,14130,0,ABC
2017-03-16,14130,14130,14130,14130,0,ABC
2017-03-17,16239,16239,15180,15180,8400,ABC
2017-03-20,14550,14550,14550,14550,2000,ABC
2017-03-21,14340,14340,14340,14340,200,ABC
2017-03-22,14340,14340,14340,14340,0,ABC
2017-03-23,14340,14340,14340,14340,0,ABC
2017-03-24,14340,14340,14340,14340,0,ABC
2017-03-27,14340,14340,14340,14340,0,ABC
2017-03-28,14550,14550,14550,14550,500,ABC
