time,open,high,low,close,volume,ticker
2013-01-02,1329,1385,1329,1385,11000,APG
2013-01-03,1385,1385,1329,1329,21200,APG
2013-01-04,1385,1385,1385,1385,24800,APG
2013-01-07,1385,1440,1385,1440,29300,APG
2013-01-08,1440,1496,1440,1496,700,APG
2013-01-09,1496,1551,1496,1496,31200,APG
2013-01-10,1440,1496,1440,1496,3600,APG
2013-01-11,1496,1551,1440,1551,27000,APG
2013-01-14,1496,1551,1496,1551,4100,APG
2013-01-15,1496,1606,1496,1606,9900,APG
2013-01-16,1606,1606,1551,1551,15400,APG
2013-01-17,1662,1662,1496,1551,6100,APG
2013-01-18,1551,1551,1551,1551,0,APG
2013-01-21,1496,1496,1496,1496,1000,APG
2013-01-22,1440,1496,1385,1496,3300,APG
2013-01-23,1440,1440,1385,1385,9300,APG
2013-01-24,1274,1385,1274,1385,10100,APG
2013-01-25,1329,1385,1329,1385,7900,APG
2013-01-28,1329,1385,1329,1385,13000,APG
2013-01-29,1274,1440,1274,1440,6700,APG
2013-01-30,1496,1496,1496,1496,100,APG
2013-01-31,1385,1440,1385,1440,4300,APG
2013-02-01,1329,1440,1329,1440,4400,APG
2013-02-04,1440,1440,1440,1440,0,APG
2013-02-05,1440,1440,1440,1440,1500,APG
2013-02-06,1440,1496,1440,1496,1800,APG
2013-02-07,1385,1496,1385,1496,7700,APG
2013-02-08,1385,1440,1385,1440,5400,APG
2013-02-18,1551,1551,1385,1440,6200,APG
2013-02-19,1385,1385,1329,1329,7200,APG
2013-02-20,1329,1440,1329,1440,34100,APG
2013-02-21,1440,1440,1329,1329,30200,APG
2013-02-22,1329,1385,1274,1329,3600,APG
2013-02-25,1385,1385,1329,1329,16700,APG
2013-02-26,1329,1385,1274,1385,26300,APG
2013-02-27,1385,1440,1329,1385,27200,APG
2013-02-28,1385,1440,1385,1440,16300,APG
2013-03-01,1440,1440,1385,1385,6000,APG
2013-03-04,1329,1329,1329,1329,2400,APG
2013-03-05,1329,1329,1329,1329,3000,APG
2013-03-06,1385,1385,1385,1385,600,APG
2013-03-07,1385,1385,1385,1385,7300,APG
2013-03-08,1385,1385,1385,1385,3000,APG
2013-03-11,1385,1385,1329,1385,11500,APG
2013-03-12,1385,1385,1329,1329,16000,APG
2013-03-13,1329,1385,1329,1385,30500,APG
2013-03-14,1385,1440,1385,1385,3500,APG
2013-03-15,1385,1440,1385,1440,9100,APG
2013-03-18,1440,1440,1440,1440,0,APG
2013-03-19,1385,1385,1385,1385,1000,APG
2013-03-20,1385,1385,1385,1385,100,APG
2013-03-21,1329,1329,1329,1329,6200,APG
2013-03-22,1329,1329,1329,1329,7000,APG
2013-03-25,1329,1329,1329,1329,2000,APG
2013-03-26,1329,1329,1329,1329,5600,APG
2013-03-27,1329,1329,1274,1274,2400,APG
2013-03-28,1274,1274,1274,1274,5400,APG
2013-03-29,1274,1385,1274,1385,500,APG
2013-04-01,1329,1385,1329,1385,2100,APG
2013-04-02,1274,1385,1274,1385,600,APG
2013-04-03,1385,1385,1385,1385,4600,APG
2013-04-04,1329,1385,1329,1385,6900,APG
2013-04-05,1385,1385,1385,1385,500,APG
2013-04-08,1329,1329,1329,1329,7800,APG
2013-04-09,1329,1385,1329,1329,18600,APG
2013-04-10,1329,1440,1329,1385,22500,APG
2013-04-11,1385,1385,1385,1385,0,APG
2013-04-12,1440,1496,1440,1440,9500,APG
2013-04-15,1551,1551,1551,1551,8900,APG
2013-04-16,1551,1551,1551,1551,0,APG
2013-04-17,1662,1662,1551,1662,9300,APG
2013-04-18,1496,1717,1496,1717,25600,APG
2013-04-22,1717,1717,1717,1717,0,APG
2013-04-23,1717,1773,1717,1717,4100,APG
2013-04-24,1551,1551,1551,1551,6900,APG
2013-04-25,1551,1551,1551,1551,5400,APG
2013-04-26,1440,1440,1440,1440,500,APG
2013-05-02,1385,1385,1329,1329,900,APG
2013-05-03,1329,1329,1329,1329,0,APG
2013-05-06,1385,1440,1329,1440,1600,APG
2013-05-07,1496,1551,1496,1440,19200,APG
2013-05-08,1551,1662,1551,1662,10800,APG
2013-05-09,1662,1828,1662,1828,50000,APG
2013-05-10,1662,1662,1662,1662,7900,APG
2013-05-13,1773,1773,1773,1773,100,APG
2013-05-14,1606,1606,1606,1606,1500,APG
2013-05-15,1606,1606,1606,1606,0,APG
2013-05-16,1717,1717,1717,1717,100,APG
2013-05-17,1773,1773,1773,1773,100,APG
2013-05-20,1939,1939,1773,1773,1100,APG
2013-05-21,1939,1939,1662,1662,2100,APG
2013-05-22,1662,1773,1662,1773,3500,APG
2013-05-23,1773,1773,1717,1717,5700,APG
2013-05-24,1717,1717,1717,1717,0,APG
2013-05-27,1717,1773,1717,1773,2200,APG
2013-05-28,1717,1939,1717,1939,18300,APG
2013-05-29,1939,1939,1883,1883,12000,APG
2013-05-30,1883,2050,1883,1883,27300,APG
2013-05-31,2050,2050,2050,2050,12900,APG
2013-06-03,2105,2216,2105,2216,56800,APG
2013-06-04,2382,2382,2271,2382,21400,APG
2013-06-05,2438,2604,2438,2548,44500,APG
2013-06-06,2438,2548,2327,2548,26000,APG
2013-06-07,2548,2548,2327,2438,41000,APG
2013-06-10,2493,2493,2382,2382,23900,APG
2013-06-11,2438,2438,2160,2160,76900,APG
2013-06-12,2216,2327,2050,2216,28900,APG
2013-06-13,2327,2382,2327,2382,27600,APG
2013-06-14,2382,2382,2271,2327,14100,APG
2013-06-17,2160,2271,2105,2271,66200,APG
2013-06-18,2271,2271,2271,2271,100,APG
2013-06-19,2271,2271,2216,2271,33400,APG
2013-06-20,2050,2050,2050,2050,200,APG
2013-06-21,2216,2216,2216,2216,35100,APG
2013-06-24,2271,2271,2216,2216,24100,APG
2013-06-25,2050,2160,2050,2160,11700,APG
2013-06-26,2216,2216,2216,2216,33300,APG
2013-06-27,2216,2271,2216,2216,4500,APG
2013-06-28,2216,2216,2216,2216,0,APG
2013-07-01,2216,2216,2216,2216,0,APG
2013-07-02,2216,2216,2216,2216,75100,APG
2013-07-03,2216,2216,2216,2216,28000,APG
2013-07-04,2216,2216,2216,2216,0,APG
2013-07-05,2216,2216,2216,2216,38500,APG
2013-07-08,2216,2216,2216,2216,0,APG
2013-07-09,2216,2216,2216,2216,3200,APG
2013-07-10,2271,2271,2216,2216,5500,APG
2013-07-11,2216,2216,2216,2216,800,APG
2013-07-12,2216,2382,2216,2216,62000,APG
2013-07-15,2216,2216,2216,2216,0,APG
2013-07-16,1994,2216,1994,2216,1300,APG
2013-07-17,2216,2216,2216,2216,0,APG
2013-07-18,2216,2216,2216,2216,0,APG
2013-07-19,2216,2216,2216,2216,5000,APG
2013-07-22,2216,2216,2216,2216,0,APG
2013-07-23,2216,2216,2216,2216,0,APG
2013-07-24,2216,2216,2216,2216,0,APG
2013-07-25,2160,2327,2160,2271,7900,APG
2013-07-26,2271,2271,2271,2271,0,APG
2013-07-29,2271,2271,2271,2271,0,APG
2013-07-30,2271,2271,2271,2271,0,APG
2013-07-31,2271,2271,2271,2271,0,APG
2013-08-01,2271,2271,2271,2271,0,APG
2013-08-02,2327,2327,2271,2271,43600,APG
2013-08-05,2271,2271,2271,2271,0,APG
2013-08-06,2271,2271,2271,2271,0,APG
2013-08-07,2271,2271,2271,2271,0,APG
2013-08-08,2271,2271,2271,2271,0,APG
2013-08-09,2271,2271,2271,2271,0,APG
2013-08-12,2271,2271,2271,2271,0,APG
2013-08-13,2271,2271,2271,2271,0,APG
2013-08-14,2050,2050,2050,2050,100,APG
2013-08-15,1883,2050,1883,2050,25700,APG
2013-08-16,1883,2216,1883,2216,2100,APG
2013-08-19,2216,2216,2216,2216,0,APG
2013-08-20,1994,2160,1994,2160,5200,APG
2013-08-21,2160,2160,2160,2160,0,APG
2013-08-22,2160,2216,2160,2216,18000,APG
2013-08-23,2271,2271,2271,2271,48500,APG
2013-08-26,2271,2271,2271,2271,0,APG
2013-08-27,2050,2216,2050,2216,300,APG
2013-08-28,2216,2216,2216,2216,0,APG
2013-08-29,2216,2216,2216,2216,0,APG
2013-08-30,2216,2216,2216,2216,0,APG
2013-09-03,2216,2216,2216,2216,0,APG
2013-09-04,2216,2216,2216,2216,0,APG
2013-09-05,2216,2216,2216,2216,0,APG
2013-09-06,2216,2216,2216,2216,0,APG
2013-09-09,2216,2216,2216,2216,0,APG
2013-09-10,2105,2160,2105,2160,1100,APG
2013-09-11,2160,2160,2160,2160,0,APG
2013-09-12,2160,2160,2160,2160,0,APG
2013-09-13,2050,2160,2050,2160,2000,APG
2013-09-16,2050,2050,2050,2050,100,APG
2013-09-17,2216,2216,2216,2216,100,APG
2013-09-18,2216,2216,2216,2216,0,APG
2013-09-19,2050,2216,2050,2105,4700,APG
2013-09-20,2105,2105,2105,2105,0,APG
2013-09-23,2105,2105,2105,2105,0,APG
2013-09-24,2105,2105,2105,2105,0,APG
2013-09-25,2105,2105,2105,2105,0,APG
2013-09-26,2105,2105,2105,2105,0,APG
2013-09-27,2105,2105,2105,2105,0,APG
2013-09-30,2105,2105,2105,2105,0,APG
2013-10-01,2105,2105,2105,2105,100,APG
2013-10-02,2105,2105,2105,2105,0,APG
2013-10-03,2105,2105,2105,2105,0,APG
2013-10-04,2105,2105,2105,2105,0,APG
2013-10-07,2105,2105,2105,2105,0,APG
2013-10-08,2105,2105,2105,2105,0,APG
2013-10-09,2105,2105,2105,2105,0,APG
2013-10-10,2105,2105,2105,2105,100,APG
2013-10-11,2105,2105,2105,2105,0,APG
2013-10-14,2105,2105,2105,2105,0,APG
2013-10-15,2105,2105,2105,2105,0,APG
2013-10-16,2105,2105,2105,2105,0,APG
2013-10-17,2105,2271,1939,2105,1400,APG
2013-10-18,2105,2105,2105,2105,0,APG
2013-10-21,2050,2050,2050,2050,100,APG
2013-10-22,1994,2050,1994,2050,1000,APG
2013-10-23,2050,2050,2050,2050,100,APG
2013-10-24,2050,2050,2050,2050,0,APG
2013-10-25,1883,1994,1883,1994,2400,APG
2013-10-28,1994,1994,1994,1994,0,APG
2013-10-29,1994,1994,1994,1994,0,APG
2013-10-30,1994,1994,1994,1994,0,APG
2013-10-31,1994,1994,1994,1994,0,APG
2013-11-01,1883,1883,1883,1883,1300,APG
2013-11-04,1773,1994,1773,1994,1100,APG
2013-11-05,2050,2160,1939,2160,20600,APG
2013-11-06,2327,2327,2327,2327,5400,APG
2013-11-07,2160,2160,2160,2160,700,APG
2013-11-08,1994,2160,1994,2160,6400,APG
2013-11-11,2160,2160,2160,2160,1500,APG
2013-11-12,2105,2105,1994,1994,8700,APG
2013-11-13,1939,2050,1939,2050,10200,APG
2013-11-14,2105,2216,2105,2216,4000,APG
2013-11-15,1994,2050,1994,2050,5000,APG
2013-11-18,2105,2216,2050,2050,14800,APG
2013-11-19,1994,2105,1994,2105,4100,APG
2013-11-20,2105,2105,2105,2105,0,APG
