time,open,high,low,close,volume,ticker
2018-01-08,18360,21200,18360,21200,500,AVC
2018-01-09,20630,20630,20630,20630,0,AVC
2018-01-10,18980,18980,18980,18980,1500,AVC
2018-01-11,18090,18090,17980,17980,3520,AVC
2018-01-12,18360,18360,18360,18360,2700,AVC
2018-01-15,18360,18360,18360,18360,0,AVC
2018-01-16,18360,18360,18360,18360,3100,AVC
2018-01-17,18360,18360,18360,18360,0,AVC
2018-01-18,18360,18360,18360,18360,0,AVC
2018-01-19,18360,18360,18360,18360,0,AVC
2018-01-22,18360,18360,18360,18360,2000,AVC
2018-01-23,18670,18670,18360,18360,1179,AVC
2018-01-24,17910,18360,17910,18360,2400,AVC
2018-01-25,18090,18090,18090,18090,0,AVC
2018-01-26,17850,17850,17850,17850,100,AVC
2018-01-29,17850,17850,17850,17850,0,AVC
2018-01-30,17850,17850,17850,17850,0,AVC
2018-01-31,17850,17850,17850,17850,0,AVC
2018-02-01,17850,17850,17850,17850,0,AVC
2018-02-02,17850,17850,17850,17850,0,AVC
2018-02-05,18360,18360,17910,18030,3400,AVC
2018-02-06,17850,17850,17720,17850,2200,AVC
2018-02-07,17790,17790,17790,17790,0,AVC
2018-02-08,17790,17790,17790,17790,0,AVC
2018-02-09,18030,18030,18030,18030,800,AVC
2018-02-12,18030,18030,18030,18030,0,AVC
2018-02-13,18030,18030,18030,18030,0,AVC
2018-02-21,18030,18030,18030,18030,0,AVC
2018-02-22,18980,19630,18980,19630,339,AVC
2018-02-23,16450,19300,16450,18980,3800,AVC
2018-02-26,15700,18980,15700,18980,1100,AVC
2018-02-27,15750,18360,15750,18360,298,AVC
2018-02-28,18360,18980,18360,18980,1100,AVC
2018-03-01,18790,18790,18790,18790,0,AVC
2018-03-02,18030,18030,18030,18030,100,AVC
2018-03-05,18980,18980,18980,18980,1100,AVC
2018-03-06,18980,18980,18980,18980,0,AVC
2018-03-07,18980,18980,18980,18980,0,AVC
2018-03-08,18360,18360,18030,18030,4000,AVC
2018-03-09,18090,18090,18090,18090,0,AVC
2018-03-12,18090,18090,18090,18090,0,AVC
2018-03-13,18090,18090,18090,18090,1000,AVC
2018-03-14,18220,18220,18220,18220,1000,AVC
