time,open,high,low,close,volume,ticker
2023-08-23,16800,16800,16800,16800,100,BHI
2023-08-24,19300,19300,19200,19200,1400,BHI
2023-08-28,22100,22100,22000,22100,500,BHI
2023-08-29,25000,25400,25000,25400,1000,BHI
2023-08-30,25500,25500,24500,24500,700,BHI
2023-08-31,28000,28000,28000,28000,100,BHI
2023-09-08,27000,27000,27000,27000,200,BHI
2023-09-25,23000,23000,23000,23000,100,BHI
2023-09-26,19600,19600,19600,19600,100,BHI
2023-09-28,22000,22000,21500,21500,200,BHI
2023-09-29,20000,20000,18600,18600,200,BHI
