time,open,high,low,close,volume,ticker
2013-01-02,4380,4570,4270,4380,83920,BIC
2013-01-03,4270,4380,4210,4210,122620,BIC
2013-01-04,4160,4380,4160,4330,65050,BIC
2013-01-07,4330,4440,4270,4270,79830,BIC
2013-01-08,4210,4380,4210,4380,66710,BIC
2013-01-09,4330,4500,4210,4210,227900,BIC
2013-01-10,4160,4270,4090,4270,115050,BIC
2013-01-11,4270,4380,4210,4210,43150,BIC
2013-01-14,4210,4270,4210,4210,69040,BIC
2013-01-15,4270,4440,4270,4440,206180,BIC
2013-01-16,4380,4740,4380,4740,272820,BIC
2013-01-17,4850,4850,4570,4680,71710,BIC
2013-01-18,4620,4680,4440,4500,195310,BIC
2013-01-21,4440,4500,4380,4380,38730,BIC
2013-01-22,4440,4440,4270,4330,88700,BIC
2013-01-23,4380,4380,4270,4330,55670,BIC
2013-01-24,4330,4380,4330,4380,31200,BIC
2013-01-25,4440,4500,4380,4440,31640,BIC
2013-01-28,4500,4570,4440,4440,148150,BIC
2013-01-29,4440,4500,4380,4380,56600,BIC
2013-01-30,4440,4440,4380,4440,77070,BIC
2013-01-31,4440,4440,4380,4440,48540,BIC
2013-02-01,4380,4440,4380,4440,13710,BIC
2013-02-04,4500,4500,4380,4380,59840,BIC
2013-02-05,4380,4440,4330,4330,69210,BIC
2013-02-06,4380,4500,4330,4500,67470,BIC
2013-02-07,4570,4680,4500,4680,122320,BIC
2013-02-08,4680,4740,4620,4680,58950,BIC
2013-02-18,4790,4850,4680,4790,75570,BIC
2013-02-19,4850,4850,4740,4790,80170,BIC
2013-02-20,4740,4850,4680,4790,63880,BIC
2013-02-21,4850,4850,4680,4680,96840,BIC
2013-02-22,4620,4740,4500,4680,108320,BIC
2013-02-25,4740,4790,4680,4740,33990,BIC
2013-02-26,4740,4790,4680,4680,149800,BIC
2013-02-27,4620,4790,4620,4740,94660,BIC
2013-02-28,4740,4970,4740,4970,214120,BIC
2013-03-01,4910,5150,4910,5090,136180,BIC
2013-03-04,5030,5200,5030,5090,458780,BIC
2013-03-05,5090,5090,4970,5030,226550,BIC
2013-03-06,5030,5150,4970,5090,58190,BIC
2013-03-07,4970,5030,4910,4910,145510,BIC
2013-03-08,4970,5200,4970,5200,177810,BIC
2013-03-11,5200,5500,5200,5500,274030,BIC
2013-03-12,5500,5610,5380,5610,305390,BIC
2013-03-13,5560,5670,5440,5500,223310,BIC
2013-03-14,5500,5500,5200,5260,145320,BIC
2013-03-15,5260,5320,5090,5150,128280,BIC
2013-03-18,5260,5260,5150,5200,71040,BIC
2013-03-19,5150,5200,5090,5090,55690,BIC
2013-03-20,5150,5260,5150,5200,95620,BIC
2013-03-21,5150,5260,5150,5200,32260,BIC
2013-03-22,5150,5200,4970,5150,71680,BIC
2013-03-25,5090,5200,5030,5200,50750,BIC
2013-03-26,5200,5440,5200,5440,152390,BIC
2013-03-27,5260,5440,5260,5380,110610,BIC
2013-03-28,5260,5380,5200,5260,29830,BIC
2013-03-29,5090,5260,5030,5260,32920,BIC
2013-04-01,5200,5320,5200,5260,67050,BIC
2013-04-02,5320,5380,5260,5320,48010,BIC
2013-04-03,5320,5440,5320,5380,189550,BIC
2013-04-04,5380,5610,5320,5500,276370,BIC
2013-04-05,5560,5840,5500,5840,600280,BIC
2013-04-08,5840,6250,5840,6250,340470,BIC
2013-04-09,6430,6660,6320,6660,572010,BIC
2013-04-10,6730,6790,6550,6550,526020,BIC
2013-04-11,6550,6550,6140,6320,134400,BIC
2013-04-12,6510,6580,6190,6250,84460,BIC
2013-04-15,6250,6250,5860,5860,94210,BIC
2013-04-16,5600,6120,5600,6060,135470,BIC
2013-04-17,6120,6440,6120,6380,132840,BIC
2013-04-18,6380,6700,6380,6580,188910,BIC
2013-04-22,6580,6700,6510,6510,168140,BIC
2013-04-23,6510,6630,6510,6510,117420,BIC
2013-04-24,6510,6510,6380,6440,90690,BIC
2013-04-25,6320,6440,6190,6190,44100,BIC
2013-04-26,6250,6510,6250,6380,52500,BIC
2013-05-02,6510,6510,6250,6250,13850,BIC
2013-05-03,6250,6250,5860,5860,67390,BIC
2013-05-06,5990,6250,5990,6250,132950,BIC
2013-05-07,6380,6380,5990,5990,25570,BIC
2013-05-08,6190,6190,5930,5990,33360,BIC
2013-05-09,6120,6120,5930,5990,28540,BIC
2013-05-10,6190,6190,5790,5990,33110,BIC
2013-05-13,6060,6060,5860,5930,16490,BIC
2013-05-14,5860,5860,5540,5670,165800,BIC
2013-05-15,5540,5740,5540,5670,71000,BIC
2013-05-16,5740,5860,5670,5790,68460,BIC
2013-05-17,5790,5990,5790,5990,86560,BIC
2013-05-20,5930,6060,5790,6060,56760,BIC
2013-05-21,6060,6190,5990,6190,109850,BIC
2013-05-22,6120,6120,5930,5930,30670,BIC
2013-05-23,5860,5990,5860,5930,70040,BIC
2013-05-24,5990,6060,5860,5930,16690,BIC
2013-05-27,5990,6060,5860,6060,86580,BIC
2013-05-28,6060,6120,5990,6120,38070,BIC
2013-05-29,6060,6060,5790,5930,43040,BIC
2013-05-30,5990,5990,5860,5990,37680,BIC
2013-05-31,5990,6060,5930,5930,81020,BIC
2013-06-03,5990,6060,5860,5990,53880,BIC
2013-06-04,5990,6060,5990,5990,37370,BIC
2013-06-05,6060,6060,5990,6060,40570,BIC
2013-06-06,6120,6440,5990,6440,206470,BIC
2013-06-07,6580,6770,6440,6770,99630,BIC
2013-06-10,6890,7090,6830,6960,83150,BIC
2013-06-11,6960,7090,6770,7090,85470,BIC
2013-06-12,6830,7540,6830,7540,254970,BIC
2013-06-13,7860,7860,7540,7730,198380,BIC
2013-06-14,7730,8050,7610,7670,114110,BIC
2013-06-17,7670,7670,7150,7150,7890,BIC
2013-06-18,6700,6770,6700,6700,62870,BIC
