time,open,high,low,close,volume,ticker
2014-01-24,10010,10280,9750,9910,8417060,BID
2014-01-27,9850,9910,9540,9700,3240910,BID
2014-02-06,9590,9640,9270,9270,959590,BID
2014-02-07,9170,9220,8690,8750,2987600,BID
2014-02-10,8750,9060,8540,8960,4052090,BID
2014-02-11,9060,9060,8910,8910,1938480,BID
2014-02-12,8850,8910,8800,8850,1176180,BID
2014-02-13,8850,8910,8750,8750,2156140,BID
2014-02-14,8850,8960,8750,8850,1489380,BID
2014-02-17,8910,8910,8750,8800,1173560,BID
2014-02-18,8800,8800,8750,8750,1861540,BID
2014-02-19,8800,8850,8690,8750,2988120,BID
2014-02-20,8800,9060,8750,8910,3243650,BID
2014-02-21,8850,8850,8800,8800,903040,BID
2014-02-24,8850,8850,8750,8800,833430,BID
2014-02-25,8750,8800,8690,8800,1249150,BID
2014-02-26,8800,8910,8750,8800,1399670,BID
2014-02-27,8800,9170,8800,8910,3731900,BID
2014-02-28,8850,8960,8850,8960,1154560,BID
2014-03-03,8910,8960,8800,8800,954830,BID
2014-03-04,8750,8800,8690,8750,1551740,BID
2014-03-05,8800,8850,8750,8750,737090,BID
2014-03-06,8750,8800,8690,8750,768340,BID
2014-03-07,8750,8800,8750,8750,773450,BID
2014-03-10,8750,8850,8750,8800,957770,BID
2014-03-11,8800,8800,8750,8750,752790,BID
2014-03-12,8750,8800,8690,8690,979430,BID
2014-03-13,8750,8750,8640,8690,806950,BID
2014-03-14,8750,8800,8640,8750,924510,BID
2014-03-17,8750,8800,8690,8750,989350,BID
2014-03-18,8750,8910,8690,8850,2171570,BID
2014-03-19,8910,9170,8910,9170,5624790,BID
2014-03-20,9220,9480,9220,9330,3325420,BID
2014-03-21,9220,9380,9220,9220,1236010,BID
2014-03-24,9330,9480,9270,9270,2498010,BID
2014-03-25,9330,9330,9060,9060,2051430,BID
2014-03-26,9120,9120,8800,8850,2030920,BID
2014-03-27,8850,8910,8800,8850,1026180,BID
2014-03-28,8850,8960,8850,8960,713160,BID
2014-03-31,9010,9010,8850,8850,831760,BID
2014-04-01,8910,8910,8750,8800,1701600,BID
2014-04-02,8800,8850,8690,8800,1217110,BID
2014-04-03,8800,8910,8750,8850,519700,BID
2014-04-04,8910,8910,8800,8910,608360,BID
2014-04-07,8850,8910,8800,8850,441790,BID
2014-04-08,8850,8910,8800,8800,515610,BID
2014-04-10,8800,8850,8800,8800,485550,BID
2014-04-11,8750,8800,8690,8750,670380,BID
2014-04-14,8800,8850,8750,8800,414100,BID
2014-04-15,8750,8800,8690,8690,480360,BID
2014-04-16,8690,8690,8330,8430,1065090,BID
2014-04-17,8430,8640,8430,8480,681040,BID
2014-04-18,8480,8540,8380,8380,763370,BID
2014-04-21,8380,8380,8109,8170,565920,BID
2014-04-22,8109,8330,8060,8330,529160,BID
2014-04-23,8380,8380,8220,8330,217960,BID
2014-04-24,8270,8380,8270,8380,288090,BID
2014-04-25,8270,8430,8270,8270,516240,BID
2014-04-28,8270,8330,8220,8270,336220,BID
2014-04-29,8270,8330,8270,8330,202970,BID
2014-05-05,8380,8380,8170,8220,301760,BID
2014-05-06,8170,8220,7960,8010,479520,BID
2014-05-07,8010,8220,8010,8170,274120,BID
2014-05-08,8060,8060,7640,7690,1515840,BID
2014-05-09,7590,7800,7590,7800,308830,BID
2014-05-12,7750,7750,7270,7380,520700,BID
2014-05-13,7110,7480,7110,7430,695610,BID
2014-05-14,7380,7800,7380,7750,473470,BID
2014-05-15,7800,7800,7320,7480,636940,BID
2014-05-16,7480,7690,7430,7690,333670,BID
2014-05-19,7590,7750,7590,7640,357580,BID
2014-05-20,7640,7750,7590,7750,181780,BID
2014-05-21,7640,7900,7590,7850,604540,BID
2014-05-22,7850,7850,7690,7690,233070,BID
2014-05-23,7750,7750,7640,7750,163360,BID
2014-05-26,7690,7750,7640,7690,103450,BID
2014-05-27,7690,7900,7690,7900,445140,BID
2014-05-28,7900,7900,7800,7850,404820,BID
2014-05-29,7800,7900,7800,7850,423040,BID
2014-05-30,7800,7850,7750,7800,192420,BID
2014-06-02,7800,7800,7640,7690,278960,BID
2014-06-03,7640,7750,7640,7640,168500,BID
2014-06-04,7640,7690,7540,7640,157450,BID
2014-06-05,7640,7640,7540,7640,54870,BID
2014-06-06,7590,7690,7590,7690,91870,BID
2014-06-09,7690,7750,7590,7640,162110,BID
2014-06-10,7640,7800,7590,7750,216450,BID
2014-06-11,7750,7750,7640,7750,361280,BID
2014-06-12,7750,7850,7750,7850,454450,BID
2014-06-13,7800,7900,7750,7850,507030,BID
2014-06-16,7850,7900,7800,7850,343780,BID
2014-06-17,7850,7900,7800,7850,241630,BID
2014-06-18,7850,7900,7800,7850,427080,BID
2014-06-19,7800,7850,7690,7850,310390,BID
2014-06-20,7800,7850,7750,7750,136260,BID
2014-06-23,7750,7850,7750,7850,210760,BID
2014-06-24,7800,7900,7800,7900,317550,BID
2014-06-25,7850,7900,7800,7900,282130,BID
2014-06-26,7850,8060,7800,7960,561760,BID
2014-06-27,7900,8010,7900,8010,295440,BID
2014-06-30,8010,8010,7900,8010,259480,BID
2014-07-01,7960,7960,7900,7960,375930,BID
2014-07-02,7960,8060,7900,8010,650420,BID
2014-07-03,8010,8060,7960,8010,391260,BID
2014-07-04,8010,8010,7960,8010,206750,BID
2014-07-07,7960,8010,7900,7900,252570,BID
2014-07-08,7900,7960,7800,7800,284940,BID
2014-07-09,7850,7960,7800,7900,304900,BID
2014-07-10,7900,7900,7800,7800,344960,BID
2014-07-11,7850,7850,7800,7850,117230,BID
2014-07-14,7800,7850,7750,7800,82990,BID
2014-07-15,7800,7850,7750,7850,355370,BID
2014-07-16,7900,7900,7850,7850,356200,BID
2014-07-17,7850,7900,7800,7850,103650,BID
2014-07-18,7900,7900,7850,7900,347570,BID
2014-07-21,7850,7900,7800,7850,126260,BID
2014-07-22,7800,7850,7750,7800,95750,BID
2014-07-23,7850,7850,7750,7750,142650,BID
2014-07-24,7750,7850,7750,7800,185940,BID
2014-07-25,7800,8270,7800,8060,1736770,BID
2014-07-28,8060,8109,7960,8060,450520,BID
2014-07-29,8109,8109,7960,7960,242380,BID
2014-07-30,7960,8109,7900,8010,1349570,BID
2014-07-31,8010,8060,7960,8010,356880,BID
2014-08-01,8010,8109,8010,8060,406370,BID
2014-08-04,8060,8330,8060,8270,1466890,BID
2014-08-05,8270,8330,8220,8270,730130,BID
2014-08-06,8270,8270,8170,8220,278630,BID
2014-08-07,8170,8270,8170,8220,603770,BID
