time,open,high,low,close,volume,ticker
2018-08-20,9850,9850,9850,9850,8000,BSA
2018-08-21,11320,11320,11320,11320,27000,BSA
2018-08-22,12990,12990,12990,12990,100,BSA
2018-08-23,11050,11050,11050,11050,1000,BSA
2018-08-24,11050,11050,11050,11050,2200,BSA
2018-08-27,9760,9760,9760,9760,100,BSA
2018-08-28,9660,9660,9210,9210,6700,BSA
2018-08-29,9210,9210,8980,9210,1900,BSA
2018-08-30,9900,9900,9900,9900,100,BSA
2018-08-31,10350,10350,9660,9660,7100,BSA
2018-09-04,11010,11010,9660,9660,3100,BSA
2018-09-05,9700,9700,9660,9660,4000,BSA
2018-09-06,9700,9700,9700,9700,0,BSA
2018-09-07,9700,9700,9700,9700,0,BSA
2018-09-10,9700,9700,9700,9700,2000,BSA
2018-09-11,9700,9700,9700,9700,8100,BSA
2018-09-12,9700,9700,9700,9700,0,BSA
2018-09-13,9660,9700,9660,9700,12400,BSA
2018-09-14,9440,9440,9440,9440,100,BSA
2018-09-17,9440,9440,9440,9440,0,BSA
2018-09-18,9530,9530,9530,9530,400,BSA
2018-09-19,9530,9530,9530,9530,0,BSA
2018-09-20,9530,9530,9530,9530,0,BSA
2018-09-21,9530,9530,9530,9530,0,BSA
2018-09-24,9810,10130,9810,9950,5400,BSA
2018-09-25,10580,10580,10540,10580,10600,BSA
2018-09-26,10580,10580,10580,10580,300,BSA
2018-09-27,10580,10580,9990,9990,7000,BSA
2018-09-28,10260,10260,10260,10260,0,BSA
2018-10-01,10580,10580,10580,10580,3000,BSA
2018-10-02,10210,10540,10210,10540,5100,BSA
2018-10-03,10450,10450,10450,10450,500,BSA
2018-10-04,10450,10450,10450,10450,0,BSA
2018-10-05,10350,10350,10350,10350,1000,BSA
2018-10-08,10350,10350,10350,10350,3000,BSA
2018-10-09,10450,10500,10450,10500,5000,BSA
2018-10-10,10500,10500,10450,10450,4800,BSA
2018-10-11,10260,10310,10260,10310,4100,BSA
2018-10-12,10540,10540,10450,10450,900,BSA
2018-10-15,10450,10450,10450,10450,2500,BSA
2018-10-16,10540,10540,10540,10540,500,BSA
2018-10-17,10500,10500,10500,10500,2100,BSA
2018-10-18,10500,10500,10500,10500,7600,BSA
2018-10-19,10500,10500,10500,10500,0,BSA
2018-10-22,10500,10580,10500,10580,22700,BSA
2018-10-23,10500,10540,10500,10540,5400,BSA
2018-10-24,10500,10500,10500,10500,0,BSA
2018-10-25,10500,10500,10500,10500,100,BSA
2018-10-26,10770,10770,10540,10540,1100,BSA
2018-10-29,10350,10350,10350,10350,2100,BSA
2018-10-30,10350,10350,10350,10350,0,BSA
2018-10-31,10350,10450,10350,10450,4900,BSA
2018-11-01,10450,10450,10450,10450,100,BSA
2018-11-02,10450,10450,10450,10450,0,BSA
2018-11-05,10310,10310,10310,10310,700,BSA
2018-11-06,10310,10310,10310,10310,0,BSA
2018-11-07,10310,10310,10310,10310,3400,BSA
2018-11-08,10310,10310,10310,10310,2400,BSA
2018-11-09,10260,10260,10260,10260,1400,BSA
2018-11-12,10260,10260,10260,10260,1900,BSA
2018-11-13,10260,10260,10260,10260,0,BSA
2018-11-14,9900,10130,9900,10130,1800,BSA
2018-11-15,10130,10130,9660,9900,7000,BSA
2018-11-16,9950,9950,8750,8750,14200,BSA
2018-11-19,10260,10260,10260,10260,100,BSA
2018-11-20,9660,9660,9660,9660,27900,BSA
2018-11-21,9900,9900,9900,9900,2600,BSA
2018-11-22,9900,9900,9900,9900,0,BSA
2018-11-23,9990,10080,9990,9990,13700,BSA
2018-11-26,9990,9990,9990,9990,8020,BSA
2018-11-27,9990,10040,9950,9950,15300,BSA
2018-11-28,9950,9950,9950,9950,100,BSA
2018-11-29,9660,9700,9660,9660,4000,BSA
2018-11-30,9900,9900,9810,9810,17000,BSA
2018-12-03,9850,9900,9850,9900,12493,BSA
2018-12-04,9850,9850,9850,9850,0,BSA
2018-12-05,9850,9950,9850,9950,5101,BSA
2018-12-06,9950,10040,9950,9950,10510,BSA
2018-12-07,9480,10080,9480,9990,5000,BSA
2018-12-10,9850,9850,9850,9850,0,BSA
2018-12-11,9900,9900,9900,9900,11100,BSA
2018-12-12,9210,9850,9210,9850,14503,BSA
2018-12-13,9660,9660,9660,9660,4000,BSA
2018-12-14,9700,9700,9700,9700,3900,BSA
2018-12-17,9760,9810,9700,9700,6500,BSA
2018-12-18,9760,9950,9700,9760,26700,BSA
2018-12-19,10770,10770,9870,9870,6600,BSA
2018-12-20,9990,10050,9590,9590,11400,BSA
2018-12-21,9870,9870,9810,9810,10260,BSA
2018-12-24,10100,10100,9810,9810,400,BSA
2018-12-25,9540,9540,9140,9300,11400,BSA
2018-12-26,9480,9480,9250,9250,10500,BSA
2018-12-27,9300,9300,9250,9250,7400,BSA
2018-12-28,9250,9590,9250,9590,2700,BSA
2019-01-02,9700,9700,9300,9300,2700,BSA
2019-01-03,9300,9300,9200,9200,4350,BSA
2019-01-04,9200,9200,9200,9200,2500,BSA
2019-01-07,9300,9300,9200,9200,4010,BSA
2019-01-08,9200,9300,9200,9300,6100,BSA
2019-01-09,9360,9360,9360,9360,300,BSA
2019-01-10,9250,9250,9200,9200,19000,BSA
2019-01-11,9140,9140,9140,9140,1000,BSA
2019-01-14,9250,9250,9140,9140,13000,BSA
2019-01-15,9140,9140,9140,9140,200,BSA
2019-01-16,9140,9140,9140,9140,0,BSA
2019-01-17,9140,9140,9140,9140,0,BSA
2019-01-18,9030,9080,9030,9030,8400,BSA
2019-01-21,9080,9080,9080,9080,0,BSA
2019-01-22,9080,9080,9030,9030,9000,BSA
2019-01-23,9080,9080,9080,9080,0,BSA
2019-01-24,9080,9080,9080,9080,0,BSA
2019-01-25,9080,9080,9080,9080,0,BSA
2019-01-28,9140,9140,9030,9030,7300,BSA
2019-01-29,9030,9030,9030,9030,2500,BSA
2019-01-30,9030,9030,8970,8970,7100,BSA
2019-01-31,9030,9080,8970,9080,20400,BSA
2019-02-01,9030,9030,9030,9030,14400,BSA
2019-02-11,9810,9810,9030,9030,12700,BSA
2019-02-12,9030,9140,9030,9080,19500,BSA
2019-02-13,9300,9300,9300,9300,17666,BSA
2019-02-14,9480,9480,9300,9300,6200,BSA
2019-02-15,9430,9430,9360,9360,1000,BSA
