time,open,high,low,close,volume,ticker
2013-01-02,2320,2320,2320,2320,13820,BSI
2013-01-03,2430,2430,2370,2430,694050,BSI
2013-01-04,2490,2550,2430,2550,264650,BSI
2013-01-07,2550,2610,2490,2490,124550,BSI
2013-01-08,2430,2490,2370,2490,203170,BSI
2013-01-09,2490,2550,2370,2370,422800,BSI
2013-01-10,2320,2490,2260,2490,94680,BSI
2013-01-11,2490,2490,2370,2490,99620,BSI
2013-01-14,2370,2430,2370,2430,74070,BSI
2013-01-15,2430,2550,2430,2550,265940,BSI
2013-01-16,2660,2730,2550,2730,196590,BSI
2013-01-17,2610,2660,2550,2550,278540,BSI
2013-01-18,2430,2550,2430,2490,123850,BSI
2013-01-21,2490,2490,2370,2490,100100,BSI
2013-01-22,2430,2430,2320,2320,144550,BSI
2013-01-23,2370,2370,2260,2320,59590,BSI
2013-01-24,2370,2430,2320,2370,52690,BSI
2013-01-25,2430,2490,2370,2490,76320,BSI
2013-01-28,2490,2550,2370,2430,189370,BSI
2013-01-29,2490,2490,2370,2370,56860,BSI
2013-01-30,2430,2490,2370,2370,68780,BSI
2013-01-31,2370,2430,2370,2370,18130,BSI
2013-02-01,2370,2370,2260,2370,123110,BSI
2013-02-04,2430,2430,2370,2370,34580,BSI
2013-02-05,2370,2370,2320,2320,50650,BSI
2013-02-06,2370,2430,2320,2430,35910,BSI
2013-02-07,2430,2490,2430,2430,34010,BSI
2013-02-08,2430,2490,2370,2430,63640,BSI
2013-02-18,2490,2550,2490,2490,52480,BSI
2013-02-19,2490,2550,2430,2430,111450,BSI
2013-02-20,2430,2550,2430,2490,172300,BSI
2013-02-21,2490,2660,2490,2490,432390,BSI
2013-02-22,2490,2610,2430,2550,157160,BSI
2013-02-25,2550,2550,2430,2490,116820,BSI
2013-02-26,2490,2490,2320,2320,165450,BSI
2013-02-27,2320,2430,2260,2370,59300,BSI
2013-02-28,2430,2430,2370,2370,40360,BSI
2013-03-01,2430,2430,2370,2370,43730,BSI
2013-03-04,2370,2430,2260,2260,40820,BSI
2013-03-05,2200,2260,2200,2200,20350,BSI
2013-03-06,2200,2320,2140,2320,26240,BSI
2013-03-07,2370,2370,2260,2260,23710,BSI
2013-03-08,2260,2320,2260,2320,4780,BSI
