time,open,high,low,close,volume,ticker
2013-01-02,30520,30910,30290,30910,312150,BVH
2013-01-03,32130,32439,31370,32439,1198550,BVH
2013-01-04,32590,34050,32439,34050,507990,BVH
2013-01-07,35730,35730,35660,35730,160150,BVH
2013-01-08,37500,37500,36810,37500,745150,BVH
2013-01-09,39110,39110,35660,35660,899740,BVH
2013-01-10,33980,37420,33900,37420,1482200,BVH
2013-01-11,38730,38730,36040,36040,500180,BVH
2013-01-14,35270,35430,34280,34280,776550,BVH
2013-01-15,33980,35200,32360,33820,652740,BVH
2013-01-16,34670,36120,34510,35660,550030,BVH
2013-01-17,35660,35970,33740,33740,332240,BVH
2013-01-18,34810,35270,33360,34280,422620,BVH
2013-01-21,34280,34510,33360,33360,226380,BVH
2013-01-22,32980,33660,31590,32210,457370,BVH
2013-01-23,32980,33740,32130,32590,429720,BVH
2013-01-24,32590,34810,32590,34810,439670,BVH
2013-01-25,35590,37200,35430,37200,839880,BVH
2013-01-28,38730,39490,38350,39490,862260,BVH
2013-01-29,39490,41800,36810,40260,1037470,BVH
2013-01-30,41410,42950,39880,42180,538790,BVH
2013-01-31,41020,41800,39490,40260,953990,BVH
2013-02-01,39490,42950,39110,42950,884370,BVH
2013-02-04,44480,45250,43330,44480,519670,BVH
2013-02-05,43710,44480,42950,42950,561500,BVH
2013-02-06,43330,45630,43330,45630,730270,BVH
2013-02-07,45630,46780,44480,44480,445630,BVH
2013-02-08,44480,46390,44100,45630,207000,BVH
2013-02-18,47160,47160,44100,44100,174690,BVH
2013-02-19,43710,44860,43330,44480,468680,BVH
2013-02-20,44100,45630,44100,45630,293700,BVH
2013-02-21,45630,45630,42570,42570,353260,BVH
2013-02-22,43710,44100,39880,41020,437250,BVH
2013-02-25,42180,43330,40640,42180,259480,BVH
2013-02-26,41800,42180,39490,39490,354580,BVH
2013-02-27,39490,39490,37200,38350,352660,BVH
2013-02-28,39880,41020,39880,41020,235610,BVH
2013-03-01,42180,43710,41800,43330,446680,BVH
2013-03-04,43330,43330,40640,40640,375750,BVH
2013-03-05,40260,40260,37960,38730,252240,BVH
2013-03-06,40260,41410,38730,41410,249400,BVH
2013-03-07,40640,41800,39110,39110,255320,BVH
2013-03-08,40640,41020,39110,40260,135170,BVH
2013-03-11,40260,41020,38350,39490,918510,BVH
2013-03-12,39490,40640,38350,40260,631250,BVH
2013-03-13,39490,40640,38270,39110,786520,BVH
2013-03-14,38730,39110,38350,39110,541350,BVH
2013-03-15,39490,40640,39110,39880,1200540,BVH
2013-03-18,39880,40260,38730,38730,344470,BVH
2013-03-19,38350,39880,38350,39880,529620,BVH
2013-03-20,39880,40260,39110,39110,273720,BVH
2013-03-21,39880,40260,39110,39110,393650,BVH
2013-03-22,39490,39490,38040,38350,530080,BVH
2013-03-25,38730,39880,38730,39490,383890,BVH
2013-03-26,39880,39880,39110,39110,217750,BVH
2013-03-27,39490,39490,38350,38730,322320,BVH
2013-03-28,38730,39110,38350,38730,202130,BVH
2013-03-29,38350,38730,38040,38040,314430,BVH
2013-04-01,38350,40640,38190,40640,723530,BVH
2013-04-02,41020,43330,41020,42950,991010,BVH
2013-04-03,42570,43710,42180,42180,609810,BVH
2013-04-04,42180,42950,40640,40640,654690,BVH
2013-04-05,41020,42180,40640,42180,250880,BVH
2013-04-08,42950,42950,41800,42950,322530,BVH
2013-04-09,42180,42950,41800,41800,222780,BVH
2013-04-10,41800,42180,39110,39110,490850,BVH
2013-04-11,39490,40260,39110,39880,509350,BVH
2013-04-12,39880,40640,38350,39110,694430,BVH
2013-04-15,38730,38730,37420,37420,364260,BVH
2013-04-16,36500,37500,35510,36430,419780,BVH
2013-04-17,37200,37580,36350,36580,187330,BVH
2013-04-18,36500,36500,34510,34510,361850,BVH
2013-04-22,34510,35050,34050,34510,430050,BVH
2013-04-23,34510,35660,34510,35270,206230,BVH
2013-04-24,35270,35590,34510,34670,234740,BVH
2013-04-25,34670,36430,34670,35270,188060,BVH
2013-04-26,35660,36270,34970,35970,302020,BVH
2013-05-02,35660,36270,35270,35270,78260,BVH
2013-05-03,35270,35810,35270,35350,71930,BVH
2013-05-06,35970,37730,35590,37730,324270,BVH
2013-05-07,37730,39110,37200,38730,441300,BVH
2013-05-08,38350,38730,37660,37960,101240,BVH
2013-05-09,37960,39110,37960,38350,270840,BVH
2013-05-10,38350,39110,38350,38730,242770,BVH
2013-05-13,38730,40640,38730,40640,453840,BVH
2013-05-14,40640,40640,38730,39110,172870,BVH
2013-05-15,39490,39880,38350,39490,44560,BVH
2013-05-16,39110,39880,38730,39490,255190,BVH
2013-05-17,39490,39490,38350,38350,85590,BVH
2013-05-20,39110,39880,37960,39490,75920,BVH
2013-05-21,39490,40260,38730,39880,269990,BVH
2013-05-22,40640,42180,40260,41410,572400,BVH
2013-05-23,40640,41800,40260,40260,338080,BVH
2013-05-24,39880,41020,39880,39880,217430,BVH
