time,open,high,low,close,volume,ticker
2013-01-02,8390,8810,8390,8600,1477200,BVS
2013-01-03,8670,8670,8100,8100,2322400,BVS
2013-01-04,8100,8670,8100,8600,1617900,BVS
2013-01-07,8600,8740,8250,8320,1507600,BVS
2013-01-08,8250,8670,8180,8460,1178800,BVS
2013-01-09,8530,8810,8039,8100,2710100,BVS
2013-01-10,8100,8670,8039,8670,1232400,BVS
2013-01-11,9020,9160,8740,8810,2099500,BVS
2013-01-14,8810,9020,8600,8950,1271000,BVS
2013-01-15,9090,9650,8810,9520,1714800,BVS
2013-01-16,9520,9650,9020,9090,1548400,BVS
2013-01-17,9020,9230,8740,8810,1674800,BVS
2013-01-18,8740,8950,8600,8670,924700,BVS
2013-01-21,8810,9090,8600,8670,806700,BVS
2013-01-22,8670,8740,8180,8320,1258800,BVS
2013-01-23,8390,8530,8180,8320,803100,BVS
2013-01-24,8600,8670,8320,8670,826700,BVS
2013-01-25,8810,8950,8670,8670,915100,BVS
2013-01-28,8880,9310,8740,8950,1591600,BVS
2013-01-29,8670,9090,8530,8880,934600,BVS
2013-01-30,9020,9230,9020,9090,1291600,BVS
2013-01-31,9020,9090,8810,8810,556000,BVS
2013-02-01,8810,8950,8740,8880,803900,BVS
2013-02-04,8950,9020,8740,8810,637800,BVS
2013-02-05,8740,8950,8670,8740,895900,BVS
2013-02-06,8670,9370,8670,9370,1892700,BVS
2013-02-07,9520,9730,9310,9650,1281900,BVS
2013-02-08,9370,9940,9370,9650,1033900,BVS
2013-02-18,9800,10220,9730,10010,1184300,BVS
2013-02-19,10080,10080,9590,9590,1186900,BVS
2013-02-20,9590,10080,9520,10080,1413900,BVS
2013-02-21,10080,10150,9020,9020,2473000,BVS
2013-02-22,9310,9370,8810,9230,1930800,BVS
2013-02-25,9370,9370,9090,9160,706100,BVS
2013-02-26,9160,9160,8390,8530,1461100,BVS
2013-02-27,8740,9020,8460,8950,1018900,BVS
2013-02-28,9020,9230,8810,8880,707600,BVS
2013-03-01,8740,9020,8600,8880,423400,BVS
2013-03-04,8880,8880,8390,8390,1092000,BVS
2013-03-05,8390,8670,8320,8460,700100,BVS
2013-03-06,8460,8740,8460,8670,370500,BVS
2013-03-07,8740,8740,8390,8460,463500,BVS
2013-03-08,8600,8810,8600,8740,519900,BVS
2013-03-11,8810,9160,8670,9090,986000,BVS
2013-03-12,9230,9230,8810,8950,624500,BVS
2013-03-13,8950,9020,8740,8810,682900,BVS
2013-03-14,8880,8880,8740,8880,415200,BVS
2013-03-15,8950,9020,8810,8950,514700,BVS
2013-03-18,8950,9020,8670,8740,447000,BVS
2013-03-19,8670,8740,8530,8600,443000,BVS
2013-03-20,8670,8950,8670,8740,603200,BVS
2013-03-21,8880,8880,8740,8740,446200,BVS
2013-03-22,8740,8880,8460,8670,655800,BVS
2013-03-25,8670,8740,8530,8670,277900,BVS
2013-03-26,8670,8810,8600,8670,378700,BVS
2013-03-27,8600,8670,8530,8600,437100,BVS
2013-03-28,8600,8670,8390,8460,502400,BVS
2013-03-29,8460,8740,8250,8670,921400,BVS
2013-04-01,8670,9090,8600,9090,1221600,BVS
2013-04-02,9160,9310,8880,8950,1467700,BVS
2013-04-03,8880,9230,8880,8950,1263200,BVS
2013-04-04,8950,9020,8670,8740,929900,BVS
2013-04-05,8810,8880,8740,8880,573900,BVS
2013-04-08,8950,9520,8880,9160,1238800,BVS
2013-04-09,9160,9310,9090,9160,1175900,BVS
2013-04-10,9160,9230,8670,8740,827800,BVS
2013-04-11,8810,8810,8600,8740,899400,BVS
2013-04-12,8740,8810,8320,8530,1592700,BVS
2013-04-15,8530,8530,8100,8180,706400,BVS
2013-04-16,8100,8320,7970,8320,524900,BVS
2013-04-17,8460,8600,8250,8250,593000,BVS
2013-04-18,8250,8320,7970,7970,610900,BVS
2013-04-22,8180,8250,7820,7820,610500,BVS
2013-04-23,7970,8039,7820,8039,465100,BVS
2013-04-24,8180,8180,7890,8039,184400,BVS
2013-04-25,7970,8100,7890,7970,302200,BVS
2013-04-26,8039,8039,7760,7820,342700,BVS
2013-05-02,7760,7890,7680,7680,331900,BVS
2013-05-03,7760,7890,7610,7820,264600,BVS
2013-05-06,7970,8530,7970,8460,977400,BVS
2013-05-07,8530,8530,8100,8250,803700,BVS
2013-05-08,8600,8680,8240,8380,477000,BVS
2013-05-09,8320,8530,8320,8460,350700,BVS
2013-05-10,8600,8600,8380,8380,388700,BVS
2013-05-13,8380,8460,8320,8460,314000,BVS
2013-05-14,8380,8380,8170,8320,407600,BVS
2013-05-15,8170,8380,8090,8320,257600,BVS
2013-05-16,8320,8380,8240,8320,409100,BVS
2013-05-17,8380,8460,8240,8380,274400,BVS
2013-05-20,8240,8460,8170,8460,306000,BVS
2013-05-21,8460,8830,8460,8600,1461200,BVS
2013-05-22,8750,8750,8600,8600,646400,BVS
2013-05-23,8680,8890,8530,8600,1199800,BVS
2013-05-24,8600,8890,8600,8830,858600,BVS
2013-05-27,8970,9190,8970,9040,1389700,BVS
2013-05-28,9110,9190,8970,9190,713300,BVS
2013-05-29,9190,9400,8970,9040,1508700,BVS
2013-05-30,9040,9260,8890,9190,868000,BVS
2013-05-31,9340,9400,9040,9040,867800,BVS
2013-06-03,9040,9110,8890,9040,480600,BVS
2013-06-04,8970,9040,8600,8680,745200,BVS
2013-06-05,8680,8830,8600,8750,416800,BVS
2013-06-06,8750,8890,8680,8750,421300,BVS
2013-06-07,7870,9190,7870,9110,1768600,BVS
2013-06-10,9190,9340,8890,8970,443900,BVS
2013-06-11,8970,9040,8890,8970,587900,BVS
2013-06-12,9040,9110,8890,8970,404500,BVS
2013-06-13,8970,9040,8830,9040,350400,BVS
2013-06-14,9040,9110,8890,8890,233700,BVS
2013-06-17,8890,8890,8600,8680,607100,BVS
2013-06-18,8600,8680,8530,8680,323900,BVS
2013-06-19,8680,8750,8600,8600,120200,BVS
2013-06-20,8600,8600,8460,8530,294000,BVS
2013-06-21,8460,8530,8380,8530,402800,BVS
2013-06-24,8680,8680,8380,8460,216800,BVS
2013-06-25,8460,8460,7950,8090,773300,BVS
2013-06-26,8170,8170,8020,8170,293300,BVS
2013-06-27,8240,8320,8090,8240,220500,BVS
2013-06-28,8320,8380,8170,8170,280300,BVS
2013-07-01,8170,8170,8020,8170,123200,BVS
2013-07-02,8090,8320,8090,8240,176800,BVS
2013-07-03,8240,8240,8090,8170,98600,BVS
2013-07-04,8020,8240,8020,8170,211200,BVS
2013-07-05,8090,8170,7950,8020,247500,BVS
2013-07-08,8020,8090,8020,8020,317800,BVS
2013-07-09,8020,8170,7950,8170,98400,BVS
2013-07-10,8170,8240,8090,8170,176300,BVS
2013-07-11,8020,8170,8020,8090,140300,BVS
2013-07-12,8090,8320,8090,8320,255500,BVS
2013-07-15,8320,8320,8170,8170,174200,BVS
2013-07-16,8170,8320,8090,8320,295100,BVS
2013-07-17,8240,8240,8090,8170,257600,BVS
2013-07-18,8090,8170,8020,8090,226200,BVS
2013-07-19,8090,8090,8020,8020,80900,BVS
2013-07-22,8020,8090,7950,7950,190000,BVS
2013-07-23,7950,7950,7870,7870,256400,BVS
2013-07-24,7150,7870,7150,7660,402000,BVS
2013-07-25,7730,7730,7510,7510,304400,BVS
2013-07-26,7510,7580,7440,7510,315400,BVS
2013-07-29,7580,7580,7300,7360,193804,BVS
2013-07-30,7300,7440,7300,7440,53848,BVS
2013-07-31,7440,7440,7300,7300,174076,BVS
2013-08-01,7150,7360,7150,7300,178000,BVS
2013-08-02,7440,7510,7360,7440,180100,BVS
2013-08-05,7440,7440,7300,7300,70900,BVS
2013-08-06,7300,7440,7220,7360,267750,BVS
2013-08-07,7360,7510,7360,7440,205810,BVS
2013-08-08,7440,7440,7300,7300,95900,BVS
2013-08-09,7360,7440,7300,7300,155200,BVS
2013-08-12,7360,7360,7220,7300,138560,BVS
2013-08-13,7300,7300,7220,7220,152910,BVS
2013-08-14,7220,7360,7220,7360,151000,BVS
2013-08-15,7360,7440,7300,7440,267300,BVS
2013-08-16,7440,7440,7360,7440,242600,BVS
2013-08-19,7440,7870,7440,7870,564300,BVS
2013-08-20,7870,7870,7730,7730,317800,BVS
2013-08-21,7660,7730,7580,7580,204500,BVS
2013-08-22,7580,7580,7440,7440,242100,BVS
2013-08-23,7510,7510,7300,7360,147600,BVS
2013-08-26,7360,7440,7300,7440,94200,BVS
2013-08-27,6710,7440,6710,7300,108900,BVS
2013-08-28,7300,7300,7150,7220,422500,BVS
2013-08-29,7150,7300,7150,7300,216400,BVS
2013-08-30,7220,7360,7220,7300,366400,BVS
2013-09-03,7300,7300,7150,7220,318000,BVS
2013-09-04,7220,7220,7150,7150,247000,BVS
2013-09-05,7150,7300,7150,7300,209300,BVS
2013-09-06,6930,7300,6930,7220,206800,BVS
2013-09-09,7220,7220,7000,7150,272720,BVS
2013-09-10,7150,7220,7070,7150,126400,BVS
2013-09-11,7150,7220,7150,7150,112400,BVS
2013-09-12,7070,7150,7070,7070,56000,BVS
2013-09-13,7070,7150,7070,7150,92700,BVS
2013-09-16,7220,7220,7070,7070,84300,BVS
2013-09-17,7070,7070,7000,7000,129000,BVS
2013-09-18,7000,7000,6780,6850,192010,BVS
2013-09-19,6930,7000,6850,6930,131800,BVS
2013-09-20,7000,7000,6850,6930,52080,BVS
2013-09-23,7000,7070,6850,7000,128100,BVS
2013-09-24,6930,7070,6930,7000,186800,BVS
2013-09-25,6850,7220,6340,7150,327220,BVS
2013-09-26,7220,7220,7070,7150,214960,BVS
2013-09-27,7220,7220,7070,7070,72120,BVS
2013-09-30,7070,7300,7070,7300,348620,BVS
2013-10-01,7300,7580,7300,7440,957150,BVS
2013-10-02,7510,7510,7440,7510,243178,BVS
2013-10-03,7510,7510,7300,7360,195800,BVS
2013-10-04,7300,7360,7220,7360,265522,BVS
2013-10-07,7360,7580,7360,7440,278100,BVS
2013-10-08,7440,7580,7360,7580,536300,BVS
2013-10-09,7580,7580,7440,7440,316700,BVS
2013-10-10,7440,7810,7440,7580,992510,BVS
2013-10-11,7660,7730,7440,7440,305400,BVS
2013-10-14,7360,7510,7360,7360,130000,BVS
2013-10-15,7360,7440,7360,7440,288300,BVS
2013-10-16,7440,7580,7360,7510,423410,BVS
2013-10-17,7440,7660,7440,7510,437260,BVS
2013-10-18,7440,7510,7440,7440,372140,BVS
2013-10-21,7580,7810,7580,7660,846773,BVS
2013-10-22,7730,7730,7580,7580,260307,BVS
2013-10-23,7660,7660,7580,7660,294896,BVS
2013-10-24,7580,7580,7440,7440,537740,BVS
2013-10-25,7360,7440,7360,7360,305560,BVS
2013-10-28,7360,7440,7360,7360,268100,BVS
2013-10-29,7360,7360,7300,7360,275300,BVS
2013-10-30,7360,7440,7360,7360,147181,BVS
2013-10-31,7360,7360,7360,7360,184600,BVS
2013-11-01,7360,7440,7300,7300,97500,BVS
2013-11-04,7440,7440,7300,7440,196160,BVS
2013-11-05,7440,7580,7440,7580,364722,BVS
2013-11-06,7580,7730,7510,7660,562900,BVS
2013-11-07,7730,8240,7730,7810,2177558,BVS
2013-11-08,7870,7950,7810,7950,285100,BVS
2013-11-11,7950,8020,7810,8020,650500,BVS
2013-11-12,8020,8090,7810,7810,1057630,BVS
2013-11-13,7730,7810,7660,7660,1106280,BVS
2013-11-14,7810,7870,7660,7870,849700,BVS
2013-11-15,7870,8170,7870,8090,1344938,BVS
2013-11-18,8090,8460,8090,8170,1309000,BVS
2013-11-19,8170,8320,8090,8240,600000,BVS
2013-11-20,8170,8240,8090,8170,757540,BVS
2013-11-21,8240,8530,8090,8090,1629420,BVS
2013-11-22,8170,8240,8090,8170,1072310,BVS
2013-11-25,8240,8380,8020,8020,747900,BVS
2013-11-26,8020,8240,7870,8170,563406,BVS
2013-11-27,8170,8320,8090,8240,516600,BVS
2013-11-28,8240,8240,8090,8170,477500,BVS
2013-11-29,8240,8240,8020,8090,378900,BVS
2013-12-02,8170,8170,8090,8090,320900,BVS
2013-12-03,8170,8380,8170,8380,841600,BVS
2013-12-04,8380,8530,8380,8460,621000,BVS
2013-12-05,8460,8600,8380,8460,1025940,BVS
2013-12-06,8170,8460,8090,8380,300300,BVS
2013-12-09,8380,8460,8240,8320,375900,BVS
2013-12-10,8240,8320,8170,8240,423500,BVS
2013-12-11,8240,8240,8020,8090,787630,BVS
2013-12-12,8020,8240,8020,8170,582809,BVS
2013-12-13,8020,8320,8020,8240,179490,BVS
2013-12-16,8240,8240,8170,8240,265800,BVS
2013-12-17,8240,8380,8240,8380,707622,BVS
2013-12-18,8380,8380,8170,8380,280800,BVS
2013-12-19,8380,8530,8320,8460,560149,BVS
2013-12-20,8460,8460,8320,8320,418000,BVS
2013-12-23,8380,8750,8380,8600,1043500,BVS
2013-12-24,8600,8750,8530,8530,558840,BVS
2013-12-25,8530,8530,8460,8530,320280,BVS
2013-12-26,8240,8600,8240,8460,200634,BVS
2013-12-27,8460,8530,8320,8380,262780,BVS
2013-12-30,8320,8320,8170,8170,682320,BVS
2013-12-31,8170,8380,8170,8320,246758,BVS
2014-01-02,8380,8530,8320,8380,507310,BVS
2014-01-03,8320,8380,8240,8320,451780,BVS
2014-01-06,8380,8460,8320,8380,193720,BVS
2014-01-07,8460,8600,8380,8380,578900,BVS
2014-01-08,8380,8830,8380,8750,1400210,BVS
2014-01-09,8830,9190,8830,9040,1942859,BVS
2014-01-10,9190,9190,8830,8830,828561,BVS
2014-01-13,8830,9040,8750,8830,935800,BVS
2014-01-14,8750,9040,8750,9040,982979,BVS
2014-01-15,9040,9480,9040,9190,2272239,BVS
2014-01-16,9040,9260,8970,9190,700022,BVS
2014-01-17,9190,9400,8970,8970,840336,BVS
2014-01-20,8970,9040,8680,8680,1304000,BVS
2014-01-21,8680,8890,8680,8830,654320,BVS
2014-01-22,8890,9040,8680,8680,709420,BVS
2014-01-23,8680,8830,8680,8750,297840,BVS
2014-01-24,8750,9260,8750,9190,1389500,BVS
2014-01-27,9260,9770,9040,9770,1880600,BVS
2014-02-06,9770,10130,9560,10130,1196760,BVS
2014-02-07,9990,9990,9620,9620,1640500,BVS
2014-02-10,9620,9850,9620,9770,832660,BVS
2014-02-11,9850,10210,9480,9480,1212750,BVS
2014-02-12,9480,9700,9400,9620,1607724,BVS
2014-02-13,9910,10280,9700,10280,3064720,BVS
2014-02-14,10420,10640,10210,10420,1887900,BVS
2014-02-17,10420,10420,10070,10210,1149050,BVS
2014-02-18,10210,10360,10070,10360,1202000,BVS
2014-02-19,10360,10870,10210,10790,1900732,BVS
2014-02-20,10790,10870,9770,9850,2805800,BVS
2014-02-21,8890,10070,8890,9990,1043300,BVS
2014-02-24,10070,10360,9910,10360,1102350,BVS
2014-02-25,10280,10420,10210,10420,1188600,BVS
2014-02-26,10500,10580,10130,10360,1349250,BVS
2014-02-27,10360,10420,10130,10130,1516202,BVS
2014-02-28,10130,10280,9990,10280,992030,BVS
2014-03-03,10280,10280,9850,9850,985000,BVS
2014-03-04,10130,10130,9700,9990,916910,BVS
2014-03-05,9990,10210,9910,10130,673828,BVS
2014-03-06,10130,10280,9990,10210,1166100,BVS
2014-03-07,10130,10640,10070,10360,1393035,BVS
2014-03-10,10360,10930,10210,10790,2329600,BVS
2014-03-11,11090,11150,10790,10930,2192650,BVS
2014-03-12,10930,11010,10580,10640,1171275,BVS
2014-03-13,10640,11150,10640,11090,1446800,BVS
2014-03-14,11090,11150,10790,10870,1599615,BVS
2014-03-17,10930,11660,10870,11600,1415750,BVS
2014-03-18,11810,11960,11380,11600,1906620,BVS
2014-03-19,11600,11810,11380,11660,1204650,BVS
2014-03-20,11660,11740,11230,11380,1546160,BVS
2014-03-21,11450,11960,11380,11740,1406765,BVS
2014-03-24,11890,12320,11810,12320,1898746,BVS
2014-03-25,12320,12910,12170,12250,2053810,BVS
2014-03-26,12320,12680,11740,11890,2253065,BVS
2014-03-27,12030,12400,11740,12320,1597906,BVS
2014-03-28,12400,12910,12400,12830,2331810,BVS
2014-03-31,12830,13860,12830,13490,2636140,BVS
2014-04-01,13560,13560,12830,13050,2153600,BVS
2014-04-02,13130,13130,12110,12620,2000940,BVS
2014-04-03,12680,13050,12680,12910,941310,BVS
2014-04-04,12760,12830,12540,12680,1203760,BVS
2014-04-07,12620,12980,12620,12830,1030180,BVS
2014-04-08,12910,13420,12830,13190,1199300,BVS
2014-04-10,13130,13190,12620,12680,2502120,BVS
2014-04-11,12620,13050,12540,12830,1234780,BVS
2014-04-14,12830,12830,12400,12470,608200,BVS
2014-04-15,12400,12400,11450,11450,914900,BVS
2014-04-16,11380,11380,10420,10420,1374520,BVS
2014-04-17,10420,10930,10420,10790,1138030,BVS
2014-04-18,10640,10720,10070,10210,852700,BVS
2014-04-21,9190,10280,9190,9850,930950,BVS
2014-04-22,8890,10500,8890,10500,706520,BVS
2014-04-23,10640,10640,9910,9910,459800,BVS
2014-04-24,9770,10130,9770,9990,299600,BVS
2014-04-25,10130,10280,10070,10070,613100,BVS
2014-04-28,10130,10130,9700,9700,477800,BVS
2014-04-29,9700,9770,9400,9620,555800,BVS
2014-05-05,9620,9700,8750,8890,837200,BVS
2014-05-06,8750,8830,8320,8750,824000,BVS
2014-05-07,7870,8890,7870,8680,269000,BVS
2014-05-08,7870,8600,7870,7870,1845300,BVS
2014-05-09,7150,8090,7150,7950,1094820,BVS
2014-05-12,7950,7950,7220,7220,1121200,BVS
2014-05-13,6560,7360,6560,6780,1089115,BVS
2014-05-14,6560,7440,6560,7440,902836,BVS
2014-05-15,7440,8090,7150,7440,1935800,BVS
2014-05-16,7440,8020,7300,7950,1027120,BVS
2014-05-19,8090,8320,7810,8170,628741,BVS
2014-05-20,8020,8320,7870,8320,780220,BVS
2014-05-21,8380,8750,8170,8600,967000,BVS
2014-05-22,8600,8750,8320,8380,1570820,BVS
2014-05-23,8380,8530,8320,8380,513900,BVS
2014-05-26,8530,8600,8020,8380,300400,BVS
2014-05-27,8320,9190,8320,9190,1507520,BVS
2014-05-28,9480,9850,9190,9400,1237700,BVS
2014-05-29,9340,9480,8970,9110,754330,BVS
2014-05-30,9040,9190,8890,8970,918130,BVS
2014-06-02,8890,8970,8600,8600,846200,BVS
2014-06-03,8600,8830,8600,8680,367200,BVS
2014-06-04,8750,8750,8240,8240,724930,BVS
2014-06-05,8240,8680,8170,8530,486030,BVS
2014-06-06,8600,9340,8600,9340,998700,BVS
2014-06-09,10130,10130,9400,9620,2243900,BVS
2014-06-10,9340,9480,9110,9190,888434,BVS
2014-06-11,9190,9620,9190,9480,713100,BVS
2014-06-12,9480,9560,9340,9480,857100,BVS
2014-06-13,9480,9480,9260,9260,306400,BVS
2014-06-16,9340,9400,9110,9340,419861,BVS
2014-06-17,9340,9620,9260,9560,520850,BVS
2014-06-18,9560,9620,9400,9400,295300,BVS
2014-06-19,9340,9340,8890,9260,895750,BVS
2014-06-20,9340,9400,9110,9110,263700,BVS
2014-06-23,9110,9190,9040,9040,168300,BVS
2014-06-24,8970,9190,8970,9110,393400,BVS
2014-06-25,9260,9400,9190,9400,360810,BVS
2014-06-26,9480,9480,9260,9340,437200,BVS
2014-06-27,9340,9400,9260,9340,240031,BVS
2014-06-30,9400,9480,9340,9400,517410,BVS
2014-07-01,9400,9620,9400,9400,591100,BVS
2014-07-02,9480,9770,9480,9620,490824,BVS
2014-07-03,9770,9990,9700,9850,835431,BVS
2014-07-04,9990,9990,9770,9850,570900,BVS
2014-07-07,9850,9990,9770,9770,504700,BVS
2014-07-08,9770,9850,9620,9770,644340,BVS
2014-07-09,9850,9910,9700,9770,472200,BVS
2014-07-10,9770,9770,9480,9480,553430,BVS
2014-07-11,9480,9560,9400,9480,585000,BVS
2014-07-14,9480,9560,9340,9560,244932,BVS
2014-07-15,9620,9850,9620,9700,486990,BVS
2014-07-16,9770,9990,9700,9700,787900,BVS
2014-07-17,9770,9850,9560,9770,378600,BVS
2014-07-18,9700,9850,9620,9770,524700,BVS
2014-07-21,9770,9850,9400,9560,388706,BVS
2014-07-22,9560,9560,9340,9480,351212,BVS
2014-07-23,9480,9480,9340,9400,266500,BVS
2014-07-24,9040,9480,9040,9400,118100,BVS
2014-07-25,9400,9480,9260,9260,166250,BVS
2014-07-28,9260,9260,8750,8890,442570,BVS
2014-07-29,9110,9110,8830,8970,318900,BVS
2014-07-30,8970,9040,8890,8890,76835,BVS
2014-07-31,8890,9110,8890,9040,265800,BVS
2014-08-01,8970,8970,8830,8890,131640,BVS
2014-08-04,8890,9040,8890,8970,79970,BVS
2014-08-05,9040,9190,9040,9190,254330,BVS
2014-08-06,9190,9340,9190,9190,302300,BVS
2014-08-07,9110,9260,9110,9260,219400,BVS
2014-08-08,9340,9400,9110,9190,341400,BVS
2014-08-11,9190,9260,9110,9190,274500,BVS
2014-08-12,9260,9260,9110,9190,102000,BVS
2014-08-13,9190,9560,9110,9480,547800,BVS
2014-08-14,9620,9990,9620,9700,1002119,BVS
2014-08-15,9850,9850,9620,9770,378710,BVS
2014-08-18,9770,10210,9700,10130,1063480,BVS
2014-08-19,10210,10280,9850,9910,795020,BVS
2014-08-20,9990,10070,9850,9850,380710,BVS
2014-08-21,9910,10360,9910,9990,1493831,BVS
2014-08-22,10070,10580,10070,10420,1535509,BVS
2014-08-25,10580,10930,10580,10870,1467940,BVS
2014-08-26,11010,11090,10790,10790,1376580,BVS
2014-08-27,10790,11090,10720,10930,1206900,BVS
2014-08-28,10930,11600,10870,11380,1488200,BVS
2014-08-29,11300,11520,11150,11380,851830,BVS
2014-09-03,11450,11660,11230,11300,849420,BVS
2014-09-04,11230,11300,10930,11150,1116055,BVS
2014-09-05,11010,11300,10930,11230,494604,BVS
2014-09-08,11300,11450,11150,11230,655540,BVS
2014-09-09,11300,11660,10210,10580,1995820,BVS
2014-09-10,10580,10870,10210,10870,552852,BVS
2014-09-11,10720,11230,10720,11010,515020,BVS
2014-09-12,11010,11090,10870,11010,656450,BVS
2014-09-15,11230,11380,10930,11010,1464401,BVS
2014-09-16,11090,11230,10720,11230,839200,BVS
2014-09-17,11380,12320,11380,12250,3206490,BVS
2014-09-18,12250,12250,11300,11300,1381548,BVS
2014-09-19,11450,11810,11230,11740,998996,BVS
2014-09-22,11810,11960,11300,11300,817200,BVS
2014-09-23,11150,11520,11150,11230,614060,BVS
2014-09-24,11300,11520,11230,11380,376140,BVS
2014-09-25,11380,11660,11090,11660,544747,BVS
2014-09-26,11600,11810,11450,11450,668420,BVS
2014-09-29,11520,12030,11520,11520,942700,BVS
2014-09-30,11520,11810,11450,11600,608916,BVS
2014-10-01,11660,11960,11660,11740,703329,BVS
2014-10-02,11740,12250,11740,11960,912801,BVS
2014-10-03,11960,12250,11890,11890,710210,BVS
2014-10-06,11890,12110,11740,11810,422150,BVS
2014-10-07,11810,11960,11740,11740,554013,BVS
2014-10-08,11740,11960,11660,11740,513900,BVS
2014-10-09,11890,11890,11600,11600,723380,BVS
2014-10-10,11600,11600,11450,11450,469190,BVS
2014-10-13,11450,11520,11380,11380,315094,BVS
2014-10-14,11450,11450,11010,11010,691408,BVS
2014-10-15,11300,11300,10790,10930,601750,BVS
2014-10-16,10930,10930,10420,10420,597450,BVS
2014-10-17,10420,10640,10130,10500,881550,BVS
2014-10-20,10720,10790,10420,10420,445920,BVS
2014-10-21,10420,10640,10420,10420,265600,BVS
2014-10-22,10580,10870,10580,10720,359220,BVS
2014-10-23,10580,10720,10360,10420,506000,BVS
2014-10-24,10420,10580,10280,10420,716380,BVS
2014-10-27,10280,10420,9910,9910,450660,BVS
2014-10-28,9850,10130,9850,10070,372700,BVS
2014-10-29,10130,10420,10130,10280,300000,BVS
2014-10-30,10280,10360,10070,10130,333800,BVS
2014-10-31,10210,10500,10130,10420,223900,BVS
2014-11-03,10420,10640,10420,10500,423770,BVS
2014-11-04,10500,10500,10360,10360,243230,BVS
2014-11-05,10360,10420,10210,10420,511900,BVS
2014-11-06,10580,10720,10500,10580,515800,BVS
2014-11-07,10640,10930,10580,10870,725040,BVS
2014-11-10,10870,11090,10870,10930,343300,BVS
2014-11-11,10870,11010,10870,10930,202350,BVS
2014-11-12,10930,11300,10930,11150,544890,BVS
2014-11-13,11150,11520,11150,11450,872150,BVS
2014-11-14,11660,11660,11150,11300,526000,BVS
2014-11-17,11380,11600,11300,11450,341900,BVS
2014-11-18,11450,11520,11150,11150,307850,BVS
2014-11-19,11150,11150,10790,10790,628000,BVS
2014-11-20,10790,11010,10790,10930,413840,BVS
2014-11-21,10930,11090,10720,10720,474000,BVS
2014-11-24,10580,10640,10360,10420,766129,BVS
2014-11-25,10500,10720,10500,10720,221169,BVS
2014-11-26,10640,10870,10280,10580,288500,BVS
2014-11-27,10420,10640,10210,10640,195000,BVS
2014-11-28,10640,10930,10580,10790,298480,BVS
2014-12-01,10790,10930,10790,10790,208105,BVS
2014-12-02,10790,11150,10790,11090,407700,BVS
2014-12-03,11010,11230,11010,11010,257500,BVS
2014-12-04,10930,11090,10930,11090,172039,BVS
2014-12-05,11090,11150,10930,10930,210760,BVS
2014-12-08,10930,11010,10790,10870,176280,BVS
2014-12-09,10790,10790,10210,10280,381205,BVS
2014-12-10,10280,10640,10280,10640,189560,BVS
2014-12-11,10580,10580,10210,10420,157000,BVS
2014-12-12,10420,10580,10420,10580,261213,BVS
2014-12-15,10580,10580,10420,10420,140300,BVS
2014-12-16,10420,10580,10210,10280,482970,BVS
2014-12-17,10280,10360,9340,9850,508000,BVS
2014-12-18,9850,10130,9850,10070,187800,BVS
2014-12-19,10130,10130,9620,9990,110000,BVS
2014-12-22,9910,10070,9770,9990,203700,BVS
2014-12-23,9990,10070,9770,9770,120300,BVS
2014-12-24,9910,9910,9700,9700,88240,BVS
2014-12-25,9700,9770,9480,9480,127600,BVS
2014-12-26,9480,9560,9400,9480,220200,BVS
2014-12-29,9480,9560,9110,9110,142008,BVS
2014-12-30,9110,9560,9040,9560,208500,BVS
2014-12-31,9480,9990,9480,9910,111060,BVS
