time,open,high,low,close,volume,ticker
2013-01-02,9040,9160,9040,9160,11810,C21
2013-01-03,9160,9160,8910,8910,7400,C21
2013-01-04,8710,9290,8710,8970,600,C21
2013-01-07,9160,9160,9040,9100,5400,C21
2013-01-08,9040,9040,8970,9040,18970,C21
2013-01-09,8780,9100,8780,8970,4430,C21
2013-01-10,8780,9040,8780,8970,9750,C21
2013-01-11,9040,9100,8970,9100,12030,C21
2013-01-14,9040,9040,8840,9040,21090,C21
2013-01-15,8970,9040,8970,9040,10100,C21
2013-01-16,8840,9550,8840,9290,24510,C21
2013-01-17,9100,9360,9100,9100,9040,C21
2013-01-18,9100,9100,8910,9100,4940,C21
2013-01-21,9100,9100,8910,8970,4950,C21
2013-01-22,8970,9490,8970,9160,24490,C21
2013-01-23,8970,8970,8970,8970,4500,C21
2013-01-24,9360,9360,9040,9160,350,C21
2013-01-25,9160,9160,9040,9040,6900,C21
2013-01-28,9040,9160,8970,9040,10540,C21
2013-01-29,9100,9160,9040,9100,5320,C21
2013-01-30,9040,9100,8970,8970,14780,C21
2013-01-31,9040,9100,9040,9100,7400,C21
2013-02-01,9040,9040,9040,9040,3030,C21
2013-02-04,9040,9290,9040,9290,6030,C21
2013-02-05,9360,9360,9160,9230,3500,C21
2013-02-06,9230,9290,9160,9290,2870,C21
2013-02-07,9290,9360,9290,9360,5890,C21
2013-02-08,9360,9620,9290,9620,6110,C21
2013-02-18,10130,10130,9620,9940,3520,C21
2013-02-19,9750,10130,9680,10000,7270,C21
2013-02-20,10000,10330,10000,10330,53410,C21
2013-02-21,10000,10260,9680,9680,51590,C21
2013-02-22,10000,10200,9360,9870,34570,C21
2013-02-25,10130,10130,9750,9940,21670,C21
2013-02-26,9940,10130,9490,9680,14840,C21
2013-02-27,9680,9870,9360,9870,5990,C21
2013-02-28,10130,10130,9680,9870,5250,C21
2013-03-01,10070,10070,9810,9870,5890,C21
2013-03-04,9750,9750,9550,9620,7100,C21
2013-03-05,9680,9680,9550,9620,4610,C21
2013-03-06,9810,9810,9160,9550,3210,C21
2013-03-07,9550,9550,9490,9550,4320,C21
2013-03-08,9040,9550,9040,9550,17720,C21
2013-03-11,9490,9620,9290,9550,4110,C21
2013-03-12,9680,9750,9420,9550,8400,C21
2013-03-13,9810,9810,9420,9680,4260,C21
2013-03-14,9620,9680,9620,9680,720,C21
2013-03-15,9680,9810,9680,9810,510,C21
2013-03-18,9550,9550,9550,9550,3050,C21
2013-03-19,9490,9550,9490,9550,680,C21
2013-03-20,9680,9680,9680,9680,1180,C21
2013-03-21,9680,9680,9620,9620,1790,C21
2013-03-22,9420,9680,9420,9550,14070,C21
2013-03-25,9550,9810,9550,9810,35860,C21
2013-03-26,9810,10330,9810,10200,54800,C21
2013-03-27,10330,10330,10200,10200,13700,C21
2013-03-28,10260,10910,10260,10910,80000,C21
2013-03-29,10460,10910,10460,10910,18610,C21
2013-04-01,10520,10910,10390,10910,7570,C21
2013-04-02,10710,10710,10330,10330,27030,C21
2013-04-03,10390,10460,10200,10330,11070,C21
2013-04-04,10130,10200,10070,10070,11220,C21
2013-04-05,10000,10330,10000,10260,4980,C21
2013-04-08,10460,10650,10260,10520,12990,C21
2013-04-09,10650,10650,10330,10520,4130,C21
2013-04-10,10390,10520,9810,9810,13670,C21
2013-04-11,10070,10130,9870,10130,13180,C21
2013-04-12,10000,10260,10000,10200,5480,C21
2013-04-15,10200,10330,10070,10330,3590,C21
2013-04-16,10260,10330,10130,10330,2620,C21
2013-04-17,10260,10330,10260,10330,2280,C21
2013-04-18,10460,10460,10460,10460,20,C21
2013-04-22,10130,10130,9810,10130,5710,C21
2013-04-23,9940,10130,9940,10130,1750,C21
2013-04-24,10000,10130,10000,10000,1310,C21
2013-04-25,9940,10000,9940,10000,7350,C21
2013-04-26,10000,10520,10000,10520,5290,C21
2013-05-02,10330,10520,10330,10520,410,C21
2013-05-03,10650,10650,10460,10520,1110,C21
2013-05-06,10520,10580,10520,10580,1020,C21
2013-05-07,10580,10580,10200,10520,1990,C21
2013-05-08,10650,10650,10330,10460,2510,C21
2013-05-09,10330,10520,10330,10520,6320,C21
2013-05-10,10650,10650,10330,10520,10750,C21
2013-05-13,10520,10580,10330,10520,15060,C21
2013-05-14,10730,10730,10590,10660,11960,C21
2013-05-15,10660,10660,10590,10660,14740,C21
2013-05-16,10660,10660,10590,10590,560,C21
2013-05-17,9970,9970,9970,9970,1500,C21
2013-05-20,10660,10660,10590,10590,2010,C21
2013-05-21,10860,10860,10310,10450,4740,C21
2013-05-22,10250,10250,10180,10180,5500,C21
2013-05-23,10180,10310,10180,10310,14110,C21
2013-05-24,10660,10660,10040,10450,2080,C21
2013-05-27,11000,11000,10450,10450,1210,C21
2013-05-28,10590,10590,9970,10520,1280,C21
2013-05-29,9900,10380,9830,10380,8320,C21
2013-05-30,10450,10450,10310,10310,40,C21
2013-05-31,9830,10310,9700,10250,9430,C21
2013-06-03,10110,10310,10040,10310,2400,C21
2013-06-04,10250,10310,10180,10310,4520,C21
2013-06-05,10380,10380,10040,10310,7280,C21
2013-06-06,10250,10250,10110,10250,3050,C21
2013-06-07,10110,10110,10110,10110,1590,C21
2013-06-10,10110,10590,9970,9970,8600,C21
2013-06-11,10590,10590,10310,10310,20,C21
2013-06-12,10380,10380,9700,10310,2130,C21
2013-06-13,10040,10590,10040,10590,150,C21
2013-06-14,10520,10520,10520,10520,10,C21
2013-06-17,10450,10450,10450,10450,10,C21
2013-06-18,10310,10310,10250,10250,20,C21
2013-06-19,10380,10380,10040,10110,430,C21
2013-06-20,9970,10250,9970,10250,9430,C21
2013-06-21,10110,10110,10110,10110,50,C21
2013-06-24,10450,10450,10310,10310,20,C21
2013-06-25,9970,9970,9760,9970,2220,C21
2013-06-26,10310,10310,9970,9970,1010,C21
2013-06-27,10380,10380,10250,10250,20,C21
2013-06-28,10250,10250,10250,10250,0,C21
2013-07-01,10110,10180,9560,10180,1260,C21
2013-07-02,10180,10180,10180,10180,0,C21
