time,open,high,low,close,volume,ticker
2013-01-02,1900,1900,1900,1900,80,D2D
2013-01-03,1820,1840,1820,1840,1060,D2D
2013-01-04,1900,1900,1830,1890,790,D2D
2013-01-07,1890,1980,1860,1910,200,D2D
2013-01-08,1940,1940,1830,1910,50,D2D
2013-01-09,1890,1890,1830,1830,2110,D2D
2013-01-10,1750,1810,1750,1810,7810,D2D
2013-01-11,1810,1840,1720,1810,4810,D2D
2013-01-14,1830,1830,1720,1760,3160,D2D
2013-01-15,1840,1840,1820,1820,70,D2D
2013-01-16,1750,1890,1750,1780,2020,D2D
2013-01-17,1840,1890,1730,1890,7520,D2D
2013-01-18,1760,1880,1760,1880,4620,D2D
2013-01-21,1880,1950,1760,1760,11290,D2D
2013-01-22,1850,1880,1750,1850,1170,D2D
2013-01-23,1930,1930,1750,1870,1390,D2D
2013-01-24,1980,1980,1750,1870,380,D2D
2013-01-25,1930,1930,1770,1900,320,D2D
2013-01-28,1780,1910,1780,1810,10600,D2D
2013-01-29,1760,1760,1760,1760,20,D2D
2013-01-30,1690,1860,1690,1780,560,D2D
2013-01-31,1850,1890,1810,1830,2390,D2D
2013-02-01,1780,1780,1780,1780,10,D2D
2013-02-04,1780,1820,1780,1780,430,D2D
2013-02-05,1820,1890,1790,1790,610,D2D
2013-02-06,1840,1890,1790,1870,5190,D2D
2013-02-07,1820,1870,1820,1870,520,D2D
2013-02-08,1880,1880,1870,1870,20,D2D
2013-02-18,1890,1890,1890,1890,8000,D2D
2013-02-19,1890,1890,1890,1890,0,D2D
2013-02-20,1770,1890,1770,1880,2130,D2D
2013-02-21,1860,1860,1790,1850,2920,D2D
2013-02-22,1910,1910,1780,1780,530,D2D
2013-02-25,1870,1870,1730,1780,2420,D2D
2013-02-26,1900,1900,1730,1730,420,D2D
2013-02-27,1730,1820,1730,1820,820,D2D
2013-02-28,1840,1840,1700,1820,18300,D2D
2013-03-01,1830,1870,1820,1820,1610,D2D
2013-03-04,1820,1860,1820,1850,2730,D2D
2013-03-05,1780,1780,1780,1780,1000,D2D
2013-03-06,1780,1780,1780,1780,10,D2D
2013-03-07,1780,1810,1730,1810,2170,D2D
2013-03-08,1780,1810,1780,1810,330,D2D
2013-03-11,1730,1810,1720,1810,2510,D2D
2013-03-12,1760,1780,1760,1780,4450,D2D
2013-03-13,1750,1780,1750,1780,80,D2D
2013-03-14,1780,1780,1780,1780,610,D2D
2013-03-15,1830,1900,1820,1900,9610,D2D
2013-03-18,1790,1950,1790,1950,9250,D2D
2013-03-19,1960,1960,1940,1950,3480,D2D
2013-03-20,1950,1950,1820,1950,350,D2D
2013-03-21,1980,1980,1960,1960,4550,D2D
2013-03-22,1960,1960,1860,1950,260,D2D
2013-03-25,1840,1940,1840,1850,2070,D2D
2013-03-26,1850,1950,1850,1880,1090,D2D
2013-03-27,1900,1900,1840,1880,2920,D2D
2013-03-28,1890,1890,1860,1860,3060,D2D
