time,open,high,low,close,volume,ticker
2013-01-02,4580,4760,4580,4620,1145490,DIG
2013-01-03,4620,4690,4510,4620,671080,DIG
2013-01-04,4620,4830,4580,4830,694610,DIG
2013-01-07,4910,4940,4800,4940,821180,DIG
2013-01-08,4800,4980,4800,4870,445970,DIG
2013-01-09,4910,5080,4690,4800,1174380,DIG
2013-01-10,4800,5010,4690,5010,404820,DIG
2013-01-11,5080,5080,4910,4910,694540,DIG
2013-01-14,4830,4910,4800,4830,363400,DIG
2013-01-15,4940,5160,4910,5160,899680,DIG
2013-01-16,5370,5510,5300,5510,780260,DIG
2013-01-17,5510,5620,5260,5260,401400,DIG
2013-01-18,5260,5260,5050,5050,487400,DIG
2013-01-21,5050,5190,5010,5120,168280,DIG
2013-01-22,5120,5160,4910,4980,357410,DIG
2013-01-23,4980,5050,4940,5010,224320,DIG
2013-01-24,5120,5160,5010,5160,146070,DIG
2013-01-25,5160,5340,5160,5300,329290,DIG
2013-01-28,5300,5550,5300,5300,352070,DIG
2013-01-29,5300,5410,5190,5410,300740,DIG
2013-01-30,5440,5510,5370,5440,384980,DIG
2013-01-31,5440,5440,5190,5300,398650,DIG
2013-02-01,5160,5260,5120,5230,161590,DIG
2013-02-04,5370,5370,5230,5230,182540,DIG
2013-02-05,5080,5230,5050,5050,319970,DIG
2013-02-06,5260,5260,5080,5230,169200,DIG
2013-02-07,5230,5300,5120,5260,269010,DIG
2013-02-08,5260,5480,5120,5370,266580,DIG
2013-02-18,5300,5410,5190,5300,421310,DIG
2013-02-19,5300,5660,5260,5550,1070790,DIG
2013-02-20,5550,5620,5370,5590,1080800,DIG
2013-02-21,5660,5660,5230,5230,433200,DIG
2013-02-22,5190,5340,4870,5010,636550,DIG
2013-02-25,5010,5160,4980,5010,218220,DIG
2013-02-26,5010,5010,4690,4690,588940,DIG
2013-02-27,4690,4760,4510,4650,243810,DIG
2013-02-28,4800,4830,4650,4730,409160,DIG
2013-03-01,4760,4830,4730,4730,253720,DIG
2013-03-04,4730,4800,4510,4550,255030,DIG
2013-03-05,4480,4550,4260,4510,174220,DIG
2013-03-06,4510,4620,4440,4550,112760,DIG
2013-03-07,4550,4580,4480,4510,254130,DIG
2013-03-08,4580,4620,4480,4580,64600,DIG
2013-03-11,4580,4830,4580,4760,171280,DIG
2013-03-12,4800,4800,4550,4650,223950,DIG
2013-03-13,4620,4730,4580,4580,199370,DIG
2013-03-14,4580,4870,4580,4830,686560,DIG
2013-03-15,4800,5010,4800,5010,434540,DIG
2013-03-18,4980,5010,4830,4830,116030,DIG
2013-03-19,4730,4830,4690,4730,279100,DIG
2013-03-20,4760,4870,4760,4830,196380,DIG
2013-03-21,4800,4870,4800,4800,219440,DIG
2013-03-22,4760,4800,4580,4690,161070,DIG
2013-03-25,4650,4730,4550,4730,194360,DIG
2013-03-26,4760,4760,4620,4620,46560,DIG
2013-03-27,4620,4620,4550,4550,111100,DIG
2013-03-28,4580,4650,4480,4510,88330,DIG
2013-03-29,4440,4550,4370,4510,124640,DIG
2013-04-01,4510,4580,4400,4580,174710,DIG
2013-04-02,4580,4760,4580,4580,138620,DIG
2013-04-03,4550,4650,4440,4440,209590,DIG
2013-04-04,4400,4480,4400,4400,205520,DIG
2013-04-05,4400,4400,4300,4370,406200,DIG
2013-04-08,4400,4400,4190,4260,266150,DIG
2013-04-09,4330,4480,4260,4440,282060,DIG
2013-04-10,4440,4620,4330,4330,626840,DIG
2013-04-11,4440,4480,4370,4480,219300,DIG
2013-04-12,4480,4550,4300,4330,230550,DIG
2013-04-15,4300,4330,4150,4150,233190,DIG
2013-04-16,4050,4120,3970,4080,276250,DIG
2013-04-17,4080,4150,4080,4120,109170,DIG
2013-04-18,4050,4120,3900,4010,387720,DIG
2013-04-22,4050,4050,3900,4010,70420,DIG
2013-04-23,4080,4080,3940,3940,98460,DIG
2013-04-24,3870,4010,3870,3870,193860,DIG
2013-04-25,3900,4080,3900,4010,192420,DIG
2013-04-26,3970,4050,3940,4050,62230,DIG
2013-05-02,4010,4050,3900,3940,99210,DIG
2013-05-03,3940,4010,3900,4010,59680,DIG
2013-05-06,4050,4260,4050,4260,401680,DIG
2013-05-07,4300,4440,4260,4260,280310,DIG
2013-05-08,4370,4370,4260,4260,199910,DIG
2013-05-09,4300,4550,4260,4480,467530,DIG
2013-05-10,4480,4480,4330,4400,494870,DIG
2013-05-13,4400,4550,4400,4510,291110,DIG
2013-05-14,4480,4480,4300,4400,187340,DIG
2013-05-15,4370,4510,4370,4440,230030,DIG
2013-05-16,4400,4580,4400,4550,502760,DIG
2013-05-17,4550,4550,4400,4550,280230,DIG
2013-05-20,4440,4550,4440,4550,146210,DIG
2013-05-21,4550,4620,4480,4550,631930,DIG
2013-05-22,4580,4580,4480,4480,372070,DIG
2013-05-23,4480,4620,4480,4480,424740,DIG
2013-05-24,4480,4580,4440,4480,542770,DIG
2013-05-27,4510,4650,4480,4580,781140,DIG
2013-05-28,4620,4650,4510,4650,518260,DIG
2013-05-29,4730,4870,4650,4690,814110,DIG
2013-05-30,4730,4800,4620,4800,414390,DIG
2013-05-31,4870,4980,4800,4800,767900,DIG
2013-06-03,4800,4870,4730,4760,452030,DIG
2013-06-04,4800,4800,4510,4510,336250,DIG
2013-06-05,4510,4620,4510,4580,510930,DIG
2013-06-06,4580,4690,4550,4580,281550,DIG
2013-06-07,4650,4690,4550,4580,279260,DIG
2013-06-10,4690,4690,4510,4510,647880,DIG
2013-06-11,4550,4550,4480,4480,394580,DIG
2013-06-12,4480,4510,4400,4400,468090,DIG
2013-06-13,4400,4440,4260,4370,667110,DIG
2013-06-14,4370,4510,4370,4370,1030940,DIG
2013-06-17,4370,4440,4300,4300,444910,DIG
2013-06-18,4300,4330,4260,4260,556170,DIG
2013-06-19,4330,4370,4300,4300,239590,DIG
2013-06-20,4330,4330,4230,4260,287930,DIG
2013-06-21,4230,4300,4190,4230,230190,DIG
2013-06-24,4260,4330,3940,4010,1222320,DIG
2013-06-25,4010,4010,3760,3760,534450,DIG
2013-06-26,3650,3760,3540,3650,902760,DIG
2013-06-27,3650,3720,3580,3720,477400,DIG
2013-06-28,3720,3760,3650,3720,472740,DIG
2013-07-01,3720,3720,3580,3690,187850,DIG
2013-07-02,3650,3760,3650,3720,323070,DIG
2013-07-03,3690,3760,3650,3650,270260,DIG
2013-07-04,3690,3690,3580,3620,405930,DIG
2013-07-05,3650,3650,3580,3620,186610,DIG
2013-07-08,3620,3620,3510,3510,211410,DIG
2013-07-09,3470,3580,3470,3470,159380,DIG
2013-07-10,3540,3540,3470,3470,136400,DIG
2013-07-11,3510,3540,3440,3540,187940,DIG
2013-07-12,3540,3720,3540,3690,527110,DIG
2013-07-15,3720,3760,3620,3620,301760,DIG
2013-07-16,3580,3620,3540,3540,307030,DIG
2013-07-17,3580,3650,3510,3620,375600,DIG
2013-07-18,3580,3620,3540,3580,164180,DIG
2013-07-19,3580,3620,3540,3540,152220,DIG
2013-07-22,3540,3540,3470,3470,231750,DIG
2013-07-23,3470,3510,3440,3470,261460,DIG
2013-07-24,3540,3540,3400,3400,260540,DIG
2013-07-25,3400,3400,3330,3330,162430,DIG
2013-07-26,3290,3330,3190,3260,521370,DIG
2013-07-29,3220,3260,3120,3120,170550,DIG
