time,open,high,low,close,volume,ticker
2018-08-07,6670,6940,5340,5800,465100,EVF
2018-08-08,5800,7000,5800,6340,452721,EVF
2018-08-09,6600,6740,5740,6600,256811,EVF
2018-08-10,6200,6600,5800,5870,213435,EVF
2018-08-13,6340,6600,5670,6600,608321,EVF
2018-08-14,6410,6470,5740,6000,215585,EVF
2018-08-15,6270,6340,5740,5930,301154,EVF
2018-08-16,6000,6270,5870,6000,254405,EVF
2018-08-17,6000,6270,5870,6070,232938,EVF
2018-08-20,6130,6200,5930,5930,312731,EVF
2018-08-21,6130,6200,5740,5930,286640,EVF
2018-08-22,5870,6070,5670,5870,414933,EVF
2018-08-23,6000,6130,5800,5870,170328,EVF
2018-08-24,6000,6940,6000,6130,680649,EVF
2018-08-27,6130,6800,6000,6000,403722,EVF
2018-08-28,6270,6410,5870,6000,280578,EVF
2018-08-29,5930,6000,5870,5870,68360,EVF
2018-08-30,5870,6000,5800,6000,92124,EVF
2018-08-31,5800,6130,5800,5870,181696,EVF
2018-09-04,5870,5870,5670,5870,60537,EVF
2018-09-05,5870,5930,5540,5740,168869,EVF
2018-09-06,5470,5800,5470,5600,185740,EVF
2018-09-07,5670,5670,5410,5540,164266,EVF
2018-09-10,5540,5540,5270,5340,185593,EVF
2018-09-11,5270,5800,5000,5800,370275,EVF
2018-09-12,5410,5600,5270,5340,176225,EVF
2018-09-13,5410,5470,5340,5410,198076,EVF
2018-09-14,5470,5740,5340,5540,181152,EVF
2018-09-17,5670,5670,5410,5470,151610,EVF
2018-09-18,5470,5470,5340,5410,134994,EVF
2018-09-19,5340,5410,5270,5340,196527,EVF
2018-09-20,5340,5340,5270,5340,193494,EVF
2018-09-21,5410,5800,5340,5540,360098,EVF
2018-09-24,5670,6000,5470,5540,248609,EVF
2018-09-25,5670,6410,5670,5930,493247,EVF
2018-09-26,6200,6340,5800,6000,435407,EVF
2018-09-27,6270,6670,6000,6270,728675,EVF
2018-09-28,6340,6670,6200,6340,804080,EVF
2018-10-01,6340,6340,5870,5870,40106,EVF
2018-10-02,5740,5870,5340,5740,25267,EVF
2018-10-03,5740,5740,5600,5600,29002,EVF
2018-10-04,5670,5800,5670,5670,43844,EVF
2018-10-05,5740,5870,5670,5670,91532,EVF
2018-10-08,5740,5800,5670,5740,38167,EVF
2018-10-09,5670,5670,5540,5600,50331,EVF
2018-10-10,5600,5600,5410,5410,39090,EVF
2018-10-11,5410,5410,5200,5200,77606,EVF
2018-10-12,5270,5270,5070,5270,45531,EVF
2018-10-15,5270,5340,5200,5200,20080,EVF
2018-10-16,5200,5340,5130,5340,10972,EVF
2018-10-17,5340,5340,5130,5270,19577,EVF
2018-10-18,5340,5340,5070,5070,33983,EVF
2018-10-19,5000,5070,4930,4930,13602,EVF
2018-10-22,5200,5200,5000,5000,14386,EVF
2018-10-23,4870,5070,4870,5070,29305,EVF
2018-10-24,4930,4930,4870,4870,23053,EVF
2018-10-25,4540,4870,4540,4870,8221,EVF
