time,open,high,low,close,volume,ticker
2018-10-18,3310,3310,3310,3310,1800,FIR
2018-10-19,3530,3530,3530,3530,2200,FIR
2018-10-22,3770,3770,3770,3770,2800,FIR
2018-10-23,4040,4040,4040,4040,3200,FIR
2018-10-24,4320,4320,4320,4320,3700,FIR
2018-10-25,4620,4620,4620,4620,800,FIR
2018-10-26,4930,4930,4930,4930,19500,FIR
2018-10-29,5280,5280,5280,5280,11200,FIR
2018-10-30,5650,5650,5650,5650,10200,FIR
2018-10-31,6040,6040,6040,6040,10500,FIR
2018-11-01,6450,6450,6450,6450,13610,FIR
2018-11-02,6900,6900,6900,6900,16600,FIR
2018-11-05,7380,7380,7380,7380,38600,FIR
2018-11-06,7900,7900,7900,7900,86870,FIR
2018-11-07,8450,8450,8440,8440,358700,FIR
2018-11-08,8270,8340,8200,8340,77250,FIR
2018-11-09,8150,8320,7990,8150,94040,FIR
2018-11-12,8109,8640,8109,8500,110590,FIR
2018-11-13,8310,8500,8270,8320,103310,FIR
2018-11-14,8220,8720,8200,8290,94280,FIR
2018-11-15,8240,8380,8039,8200,122210,FIR
2018-11-16,8130,8430,8130,8430,73460,FIR
2018-11-19,8310,8540,8270,8380,80460,FIR
2018-11-20,8220,8430,8200,8290,76790,FIR
2018-11-21,8109,8270,8060,8150,77530,FIR
2018-11-22,8150,8500,8109,8360,84560,FIR
2018-11-23,8290,8640,8220,8410,112660,FIR
2018-11-26,8340,8620,8310,8610,127760,FIR
2018-11-27,8680,9100,8470,8750,114620,FIR
2018-11-28,8610,8770,8450,8710,135880,FIR
2018-11-29,8570,8720,8430,8520,124920,FIR
2018-11-30,8470,8500,8320,8480,100060,FIR
2018-12-03,8380,8940,8380,8840,107730,FIR
2018-12-04,8840,8910,8610,8710,89790,FIR
2018-12-05,8610,8720,8540,8620,93080,FIR
2018-12-06,8610,8640,8450,8540,85200,FIR
2018-12-07,8430,8570,8360,8560,90240,FIR
2018-12-10,8440,8500,8360,8440,86510,FIR
2018-12-11,8360,8440,8340,8410,80490,FIR
2018-12-12,8380,8420,8270,8410,75340,FIR
2018-12-13,8410,8450,8370,8430,81630,FIR
2018-12-14,8380,8390,8340,8390,81190,FIR
2018-12-17,8370,8420,8320,8390,87800,FIR
2018-12-18,8360,8430,8310,8390,84140,FIR
2018-12-19,8340,8360,8270,8360,97400,FIR
2018-12-20,8310,8370,8310,8360,77710,FIR
2018-12-21,8340,8340,8270,8320,75730,FIR
2018-12-24,8270,8310,8270,8310,75900,FIR
2018-12-25,8240,8270,8200,8270,84100,FIR
2018-12-26,8220,8290,8220,8270,76440,FIR
2018-12-27,8270,8360,8260,8360,76750,FIR
2018-12-28,8380,8470,8340,8450,80510,FIR
2019-01-02,8410,8480,8410,8470,82010,FIR
2019-01-03,8380,8470,8380,8380,60760,FIR
2019-01-04,8340,8420,8290,8390,70050,FIR
2019-01-07,8380,8430,8290,8390,70500,FIR
2019-01-08,8360,8380,8310,8370,75200,FIR
2019-01-09,8340,8410,8340,8380,71590,FIR
2019-01-10,8360,8390,8350,8380,70860,FIR
