time,open,high,low,close,volume,ticker
2013-01-02,5580,5790,5580,5760,380320,FPT
2013-01-03,5760,5790,5580,5670,366960,FPT
2013-01-04,5650,5760,5630,5760,278020,FPT
2013-01-07,5720,5780,5690,5720,204570,FPT
2013-01-08,5740,6020,5720,6020,535860,FPT
2013-01-09,6320,6320,6090,6180,1588500,FPT
2013-01-10,6130,6300,6110,6250,607050,FPT
2013-01-11,6250,6280,6140,6160,614810,FPT
2013-01-14,6050,6090,5950,5960,499600,FPT
2013-01-15,5960,6130,5960,6050,357880,FPT
2013-01-16,6110,6200,6050,6110,368380,FPT
2013-01-17,6090,6130,6030,6030,292200,FPT
2013-01-18,5980,6030,5960,6000,362960,FPT
2013-01-21,5980,6020,5930,5960,119000,FPT
2013-01-22,5960,6000,5740,5870,373240,FPT
2013-01-23,5840,5900,5840,5870,192530,FPT
2013-01-24,5900,6030,5900,6020,141650,FPT
2013-01-25,6080,6250,6080,6210,787540,FPT
2013-01-28,6250,6450,6250,6300,558550,FPT
2013-01-29,6280,6330,6230,6250,207130,FPT
2013-01-30,6330,6580,6330,6450,689630,FPT
2013-01-31,6420,6440,6330,6340,366670,FPT
2013-02-01,6330,6330,6180,6250,323300,FPT
2013-02-04,6300,6300,6200,6230,166570,FPT
2013-02-05,6200,6230,6160,6200,183200,FPT
2013-02-06,6200,6330,6200,6230,90900,FPT
2013-02-07,6250,6270,6210,6270,155490,FPT
2013-02-08,6280,6410,6250,6300,92170,FPT
2013-02-18,6300,6360,6280,6330,131010,FPT
2013-02-19,6330,6340,6270,6280,168260,FPT
2013-02-20,6200,6280,6200,6250,171590,FPT
2013-02-21,6250,6270,6110,6110,307570,FPT
2013-02-22,6160,6230,5930,6090,337970,FPT
2013-02-25,6160,6160,6070,6080,143330,FPT
2013-02-26,6080,6080,5840,5840,285040,FPT
2013-02-27,5790,5900,5780,5790,283110,FPT
2013-02-28,5790,5890,5790,5850,191070,FPT
2013-03-01,5870,5870,5820,5850,96880,FPT
2013-03-04,5840,5840,5690,5720,225550,FPT
2013-03-05,5690,5720,5650,5650,194960,FPT
2013-03-06,5650,5740,5650,5720,60350,FPT
2013-03-07,5780,5780,5630,5690,115870,FPT
2013-03-08,5670,5840,5670,5820,116190,FPT
2013-03-11,5820,5930,5820,5920,78540,FPT
2013-03-12,5890,5980,5840,5920,67310,FPT
2013-03-13,5950,5950,5850,5870,66390,FPT
2013-03-14,5930,5930,5870,5900,15620,FPT
2013-03-15,5920,5920,5870,5890,13800,FPT
2013-03-18,5900,5920,5840,5840,54560,FPT
2013-03-19,5800,5870,5800,5850,27280,FPT
2013-03-20,5900,5930,5850,5890,63140,FPT
2013-03-21,5920,6110,5900,6050,274540,FPT
2013-03-22,6110,6300,6020,6020,387570,FPT
2013-03-25,6090,6130,6050,6090,173440,FPT
2013-03-26,6140,6140,6070,6070,138400,FPT
2013-03-27,6050,6070,5980,5980,187110,FPT
2013-03-28,6000,6050,5980,5980,97940,FPT
2013-03-29,5980,6020,5930,5980,184310,FPT
2013-04-01,5950,6080,5950,6080,142540,FPT
2013-04-02,6090,6230,6090,6130,413850,FPT
2013-04-03,6140,6160,6080,6080,128770,FPT
2013-04-04,6090,6090,6020,6030,58120,FPT
2013-04-05,6020,6080,6020,6080,123140,FPT
2013-04-08,6080,6280,6080,6280,721860,FPT
2013-04-09,6300,6580,6280,6470,894350,FPT
2013-04-10,6480,6480,6300,6300,305550,FPT
2013-04-11,6300,6300,6160,6200,312510,FPT
