time,open,high,low,close,volume,ticker
2017-01-13,5630,5860,5630,5630,166550,FTS
2017-01-16,5240,5240,5240,5240,10030,FTS
2017-01-17,4890,5090,4890,4930,694980,FTS
2017-01-18,4700,5090,4700,5040,222960,FTS
2017-01-19,5040,5040,4890,4890,59170,FTS
2017-01-20,4930,5170,4890,5110,123330,FTS
2017-01-23,5110,5110,4760,4940,39700,FTS
2017-01-24,5010,5070,4940,5040,86250,FTS
2017-01-25,5090,5140,5040,5120,46230,FTS
2017-02-02,5170,5170,5040,5070,79300,FTS
2017-02-03,5040,5090,5010,5070,212360,FTS
2017-02-06,5010,5110,5010,5110,32990,FTS
2017-02-07,5120,5120,5040,5070,25790,FTS
2017-02-08,5010,5090,5010,5090,38560,FTS
2017-02-09,5010,5070,5010,5070,48610,FTS
2017-02-10,5070,5090,4990,5090,69740,FTS
2017-02-13,5090,5090,5030,5030,21090,FTS
2017-02-14,5040,5040,4970,4970,56450,FTS
2017-02-15,5010,5070,4970,5070,34830,FTS
2017-02-16,5070,5090,5040,5070,76540,FTS
2017-02-17,5040,5090,5030,5090,37130,FTS
2017-02-20,5120,5440,5120,5400,205700,FTS
2017-02-21,5440,5480,5320,5320,50710,FTS
2017-02-22,5400,5400,5340,5340,34540,FTS
2017-02-23,5170,5240,5140,5170,64840,FTS
2017-02-24,5120,5170,5090,5090,55620,FTS
2017-02-27,5090,5400,5040,5280,45430,FTS
2017-02-28,5090,5280,5090,5090,23570,FTS
2017-03-01,5170,5220,5170,5220,20000,FTS
2017-03-02,5240,5240,5110,5120,3550,FTS
2017-03-03,5090,5280,5090,5240,72190,FTS
2017-03-06,5340,5340,5270,5280,45000,FTS
2017-03-07,5240,5270,5240,5240,21170,FTS
2017-03-08,5240,5240,5240,5240,5510,FTS
2017-03-09,5090,5240,5090,5240,17230,FTS
2017-03-10,5120,5120,5110,5110,10980,FTS
2017-03-13,5110,5170,5110,5170,8030,FTS
2017-03-14,5170,5200,5120,5200,22750,FTS
2017-03-15,5120,5120,5030,5120,46700,FTS
2017-03-16,5120,5120,5040,5090,20490,FTS
2017-03-17,5090,5120,5070,5090,32660,FTS
2017-03-20,5190,5190,5090,5090,55080,FTS
2017-03-21,5090,5120,5090,5090,21290,FTS
2017-03-22,5070,5090,5070,5070,18990,FTS
2017-03-23,5040,5090,5030,5070,32440,FTS
2017-03-24,5040,5190,5040,5120,98620,FTS
2017-03-27,5140,5360,5140,5340,288540,FTS
2017-03-28,5320,5320,5270,5280,91410,FTS
2017-03-29,5270,5340,5240,5340,32040,FTS
2017-03-30,5320,5360,5280,5280,68850,FTS
2017-03-31,5300,5320,5270,5300,44880,FTS
2017-04-03,5300,5380,5300,5300,44450,FTS
2017-04-04,5300,5300,5280,5280,44140,FTS
2017-04-05,5240,5300,5240,5240,62740,FTS
2017-04-07,5120,5320,5120,5280,56300,FTS
2017-04-10,5300,5300,5280,5280,66370,FTS
2017-04-11,5280,5300,5240,5280,46290,FTS
2017-04-12,5300,5300,5220,5220,59000,FTS
2017-04-13,5240,5300,5240,5240,111250,FTS
2017-04-14,5220,5280,5200,5280,19030,FTS
2017-04-17,5340,5340,5280,5300,30910,FTS
2017-04-18,5170,5300,5170,5240,18940,FTS
2017-04-19,5280,5280,5240,5280,10560,FTS
2017-04-20,5280,5280,5240,5280,22040,FTS
2017-04-21,5280,5300,5280,5300,60630,FTS
2017-04-24,5300,5300,5270,5270,11990,FTS
2017-04-25,5240,5280,5240,5270,16280,FTS
2017-04-26,5240,5280,5170,5280,18490,FTS
2017-04-27,5280,5300,5280,5300,31330,FTS
2017-04-28,5320,5320,5280,5300,17450,FTS
2017-05-03,5300,5320,5300,5300,13070,FTS
2017-05-04,5300,5320,5280,5300,18130,FTS
2017-05-05,5320,5480,5300,5360,44750,FTS
2017-05-08,5490,5520,5440,5440,13720,FTS
2017-05-09,5440,5440,5310,5360,5870,FTS
2017-05-10,5400,5440,5340,5380,40740,FTS
2017-05-11,5400,5440,5340,5340,29650,FTS
2017-05-12,5340,5400,5340,5360,35160,FTS
2017-05-15,5380,5380,5310,5360,17730,FTS
2017-05-16,5360,5380,5340,5340,30920,FTS
2017-05-17,5310,5380,5310,5360,9800,FTS
2017-05-18,5310,5380,5310,5360,20310,FTS
2017-05-19,5340,5530,5340,5340,192860,FTS
2017-05-22,5360,5430,5310,5360,77960,FTS
2017-05-23,5360,5360,5310,5360,17610,FTS
2017-05-24,5290,5440,5290,5400,115500,FTS
2017-05-25,5440,5440,5340,5400,18000,FTS
2017-05-26,5360,5360,5340,5360,27830,FTS
2017-05-29,5340,5400,5310,5360,85940,FTS
2017-05-30,5310,5310,5250,5250,49170,FTS
2017-05-31,5250,5270,5220,5270,48200,FTS
2017-06-01,5340,5340,5220,5270,16060,FTS
2017-06-02,5220,5220,5200,5220,12770,FTS
2017-06-05,5220,5250,5200,5200,29410,FTS
2017-06-06,5200,5220,5180,5220,13410,FTS
2017-06-07,5310,5310,5220,5270,13930,FTS
2017-06-08,5270,5290,5270,5290,21000,FTS
2017-06-09,5270,5270,5200,5270,45220,FTS
2017-06-12,5200,5220,5180,5220,61510,FTS
2017-06-13,5250,5250,5200,5200,21730,FTS
2017-06-14,5250,5250,5220,5250,41180,FTS
2017-06-15,5250,5400,5250,5360,63110,FTS
2017-06-16,5400,5620,5400,5610,468870,FTS
2017-06-19,5610,5620,5530,5580,324630,FTS
2017-06-20,5610,5610,5530,5580,350340,FTS
2017-06-21,5530,5560,5530,5530,115600,FTS
2017-06-22,5530,5580,5530,5560,147920,FTS
2017-06-23,5580,5580,5200,5560,200670,FTS
2017-06-26,5580,5610,5530,5560,190260,FTS
2017-06-27,5580,5580,5490,5530,48230,FTS
2017-06-28,5560,5560,5530,5560,52610,FTS
2017-06-29,5530,5580,5530,5560,53220,FTS
2017-06-30,5520,5520,5440,5490,83920,FTS
2017-07-03,5560,5560,5440,5530,145910,FTS
2017-07-04,5440,5490,5440,5490,102950,FTS
2017-07-05,5490,5520,5430,5470,102320,FTS
2017-07-06,5490,5490,5360,5470,125330,FTS
2017-07-07,5470,5470,5130,5360,147410,FTS
2017-07-10,5310,5340,5250,5340,38970,FTS
2017-07-11,5310,5340,5220,5340,125690,FTS
2017-07-12,5400,5400,5270,5290,59020,FTS
2017-07-13,5310,5310,5250,5270,36320,FTS
2017-07-14,5360,5360,5270,5290,18650,FTS
2017-07-17,5310,5360,5270,5310,86430,FTS
2017-07-18,5310,5310,5220,5310,29060,FTS
2017-07-19,5310,5310,5220,5290,55860,FTS
2017-07-20,5220,5290,5220,5250,58910,FTS
2017-07-21,5290,5290,5200,5220,23400,FTS
2017-07-24,5220,5250,5180,5220,55980,FTS
2017-07-25,5250,5250,5180,5180,57310,FTS
2017-07-26,5250,5270,5220,5250,42740,FTS
2017-07-27,5270,5270,5220,5250,48540,FTS
2017-07-28,5250,5270,5220,5220,34750,FTS
2017-07-31,5220,5290,5220,5270,77530,FTS
2017-08-01,5270,5270,5220,5250,61290,FTS
2017-08-02,5250,5250,5220,5250,16930,FTS
2017-08-03,5250,5250,5180,5250,98530,FTS
2017-08-04,5250,5250,5180,5180,52910,FTS
2017-08-07,5180,5360,5070,5360,97580,FTS
2017-08-08,5360,5440,5180,5250,46300,FTS
2017-08-09,5270,5310,5130,5220,63640,FTS
2017-08-10,5220,5220,5130,5180,14800,FTS
2017-08-11,5180,5220,5130,5180,19820,FTS
2017-08-14,5220,5220,5130,5180,19880,FTS
2017-08-15,5180,5180,5130,5180,8180,FTS
2017-08-16,5130,5180,5110,5130,29960,FTS
2017-08-17,5130,5160,5130,5130,28780,FTS
2017-08-18,5110,5180,5110,5180,7250,FTS
2017-08-21,5130,5160,5130,5130,9950,FTS
2017-08-22,4980,5160,4980,5110,22580,FTS
2017-08-23,5090,5090,5090,5090,2050,FTS
2017-08-24,5130,5160,5090,5130,42600,FTS
2017-08-25,5090,5130,5090,5130,2440,FTS
2017-08-28,5130,5130,5040,5090,23450,FTS
2017-08-29,5030,5130,5030,5130,62650,FTS
2017-08-30,5130,5130,5130,5130,5200,FTS
2017-08-31,5040,5110,5040,5070,32140,FTS
2017-09-01,5090,5130,5090,5130,1280,FTS
2017-09-05,5090,5130,5070,5070,24720,FTS
2017-09-06,5070,5110,5070,5090,2840,FTS
2017-09-07,5090,5090,5040,5090,17910,FTS
2017-09-08,5090,5090,5040,5040,32410,FTS
2017-09-11,4980,5070,4980,5000,27290,FTS
2017-09-12,5030,5040,5000,5030,13520,FTS
2017-09-13,5030,5090,5030,5090,4760,FTS
2017-09-14,5030,5070,5030,5070,8940,FTS
2017-09-15,5030,5070,5000,5070,31070,FTS
2017-09-18,5040,5070,4940,5070,20500,FTS
2017-09-19,5030,5070,5000,5070,18390,FTS
2017-09-20,5030,5070,5030,5030,17770,FTS
2017-09-21,5030,5090,5030,5070,15790,FTS
2017-09-22,5160,5380,5110,5340,57420,FTS
2017-09-25,5230,5230,5190,5190,29820,FTS
2017-09-26,5110,5280,5090,5280,7750,FTS
2017-09-27,5290,5290,5090,5290,6630,FTS
2017-09-28,5280,5290,5110,5160,12960,FTS
2017-09-29,5190,5200,5190,5190,25250,FTS
2017-10-02,5110,5250,5110,5250,14970,FTS
2017-10-03,5200,5200,5160,5160,2470,FTS
2017-10-04,5160,5230,5160,5160,1900,FTS
2017-10-05,5200,5200,5140,5140,7860,FTS
2017-10-06,5140,5160,5140,5160,12640,FTS
2017-10-09,5200,5250,5200,5250,18000,FTS
2017-10-10,5200,5290,5200,5250,18050,FTS
2017-10-11,5250,5250,5200,5200,2640,FTS
2017-10-12,5200,5230,5200,5200,10250,FTS
2017-10-13,5560,5560,5250,5250,26380,FTS
2017-10-16,5230,5250,5200,5250,8130,FTS
2017-10-17,5290,5290,5160,5160,7550,FTS
2017-10-18,5160,5290,5160,5280,34660,FTS
2017-10-19,5380,5380,5290,5380,96970,FTS
2017-10-20,5380,5380,5190,5340,2110,FTS
2017-10-23,5250,5250,5160,5160,20220,FTS
2017-10-24,5160,5280,5160,5160,70090,FTS
2017-10-25,5160,5160,5160,5160,12570,FTS
2017-10-26,5160,5160,5140,5140,25120,FTS
2017-10-27,5200,5200,5160,5160,1050,FTS
2017-10-30,5160,5160,5110,5160,15020,FTS
2017-10-31,5070,5110,5070,5110,13550,FTS
2017-11-01,5110,5200,5030,5030,55390,FTS
2017-11-02,5030,5070,4950,4980,71650,FTS
2017-11-03,4980,5030,4940,5030,15150,FTS
2017-11-06,5030,5030,4940,5030,20530,FTS
2017-11-07,5030,5030,5000,5030,20600,FTS
2017-11-08,5030,5030,5030,5030,11270,FTS
2017-11-09,5030,5070,4950,5030,34790,FTS
2017-11-10,4910,5070,4890,5040,19100,FTS
2017-11-13,4890,5160,4890,5070,2570,FTS
2017-11-14,5070,5070,4940,5070,63640,FTS
2017-11-15,5110,5110,4980,5070,48860,FTS
2017-11-16,5030,5040,5030,5040,5600,FTS
2017-11-17,5030,5030,4980,5030,40550,FTS
2017-11-20,5030,5070,5000,5030,49590,FTS
2017-11-21,5030,5070,5000,5040,60610,FTS
2017-11-22,5040,5070,5000,5040,59090,FTS
2017-11-23,5040,5040,5000,5030,30120,FTS
2017-11-24,5030,5070,5030,5030,83480,FTS
2017-11-27,5090,5090,5030,5030,61750,FTS
2017-11-28,5070,5070,5030,5030,33790,FTS
2017-11-29,5030,5230,5030,5090,51110,FTS
2017-11-30,5090,5160,5090,5090,29760,FTS
2017-12-01,5090,5160,5090,5110,39270,FTS
2017-12-04,5110,5290,5110,5230,244540,FTS
2017-12-05,5230,5290,5160,5200,49840,FTS
2017-12-06,5200,5230,5160,5200,31560,FTS
2017-12-07,5190,5200,5160,5190,172300,FTS
2017-12-08,5250,5250,5160,5160,44160,FTS
2017-12-11,5110,5140,5070,5110,99630,FTS
2017-12-12,5110,5160,4980,5110,154840,FTS
2017-12-13,5140,5140,5030,5110,134370,FTS
2017-12-14,5110,5450,5110,5340,312110,FTS
2017-12-15,5340,5590,5290,5450,120460,FTS
2017-12-18,5450,5520,5450,5500,61500,FTS
2017-12-19,5470,5470,5360,5380,88420,FTS
2017-12-20,5380,5430,5340,5430,39640,FTS
2017-12-21,5470,5500,5430,5430,60620,FTS
2017-12-22,5410,5470,5410,5430,34210,FTS
2017-12-25,5290,5520,5290,5430,14880,FTS
2017-12-26,5410,5450,5380,5410,25530,FTS
2017-12-27,5380,5380,5360,5380,32690,FTS
2017-12-28,5380,5430,5290,5430,42450,FTS
2017-12-29,5430,5610,5430,5560,93640,FTS
2018-01-02,5560,5560,5500,5500,55830,FTS
2018-01-03,5470,5680,5450,5650,132100,FTS
2018-01-04,5650,5830,5610,5720,90470,FTS
2018-01-05,5650,5740,5590,5590,61400,FTS
