time,open,high,low,close,volume,ticker
2023-05-26,12500,12500,12500,12500,900,FUEFCV50
2023-05-29,13370,13370,13370,13370,1200,FUEFCV50
2023-05-30,14300,14300,14300,14300,1800,FUEFCV50
2023-05-31,15300,15300,15300,15300,4500,FUEFCV50
2023-06-01,16370,16370,16370,16370,14300,FUEFCV50
2023-06-02,17510,17510,16370,16500,4100,FUEFCV50
2023-06-05,16500,16500,15600,15600,1700,FUEFCV50
2023-06-06,15500,15600,15110,15600,900,FUEFCV50
2023-06-07,14510,15600,14510,15600,1100,FUEFCV50
2023-06-08,15450,15450,14510,14510,600,FUEFCV50
2023-06-09,14510,14510,13500,14000,2100,FUEFCV50
2023-06-12,14000,14000,14000,14000,100,FUEFCV50
2023-06-13,14000,14000,14000,14000,400,FUEFCV50
2023-06-16,14000,14000,14000,14000,300,FUEFCV50
2023-06-20,13090,13900,13090,13900,300,FUEFCV50
2023-06-21,13900,13900,13900,13900,200,FUEFCV50
2023-06-23,14000,14000,14000,14000,100,FUEFCV50
2023-06-29,14000,14000,14000,14000,600,FUEFCV50
2023-07-03,14000,14000,14000,14000,100,FUEFCV50
2023-07-07,14000,14000,14000,14000,100,FUEFCV50
2023-07-10,14000,14000,14000,14000,300,FUEFCV50
2023-07-17,13500,13500,13450,13450,300,FUEFCV50
2023-07-18,13390,13390,13390,13390,100,FUEFCV50
2023-07-19,13380,13380,12500,12500,1200,FUEFCV50
2023-07-20,12000,12000,11630,11630,1500,FUEFCV50
2023-07-21,10820,10820,10820,10820,2900,FUEFCV50
2023-07-24,11000,11000,10500,11000,400,FUEFCV50
2023-07-25,11600,11770,11600,11760,800,FUEFCV50
2023-07-26,12000,12400,11760,11850,1100,FUEFCV50
2023-07-27,12670,12670,12670,12670,100,FUEFCV50
2023-07-31,11900,13500,11790,13500,2200,FUEFCV50
2023-08-01,13990,13990,13990,13990,500,FUEFCV50
2023-08-04,14000,14000,13990,13990,200,FUEFCV50
2023-08-07,13900,14960,13900,14960,1000,FUEFCV50
2023-08-09,15950,16000,14500,14500,3100,FUEFCV50
2023-08-10,15510,15510,15510,15510,400,FUEFCV50
2023-08-11,14900,14900,14500,14500,400,FUEFCV50
2023-08-14,15510,15510,15510,15510,100,FUEFCV50
2023-08-15,16480,16590,16480,16590,1100,FUEFCV50
2023-08-18,16590,16590,16590,16590,100,FUEFCV50
2023-08-21,16590,16590,16590,16590,100,FUEFCV50
2023-08-28,16590,16590,15430,15430,1100,FUEFCV50
2023-08-29,14500,15450,14350,14350,2000,FUEFCV50
2023-08-30,14350,14350,13350,13500,5700,FUEFCV50
2023-08-31,13010,13010,12560,12560,5000,FUEFCV50
2023-09-05,12560,12560,11710,11740,5000,FUEFCV50
2023-09-06,10940,12500,10940,11200,5800,FUEFCV50
2023-09-07,11250,11500,10680,11500,6300,FUEFCV50
2023-09-08,11520,12290,11520,11650,5800,FUEFCV50
2023-09-11,11900,12460,11870,12050,6600,FUEFCV50
2023-09-12,12050,12890,12050,12420,5500,FUEFCV50
2023-09-13,11800,13280,11800,13270,6800,FUEFCV50
2023-09-14,13270,13900,13250,13450,5400,FUEFCV50
2023-09-15,13460,14150,13460,13660,5300,FUEFCV50
2023-09-18,13600,13600,13590,13590,5300,FUEFCV50
2023-09-19,13590,14000,13440,13990,5300,FUEFCV50
2023-09-20,13970,14510,13650,14510,7700,FUEFCV50
2023-09-21,14660,15000,14490,15000,5200,FUEFCV50
2023-09-22,15000,16000,14800,15920,5100,FUEFCV50
2023-09-25,14810,17030,14810,16930,5100,FUEFCV50
2023-09-26,16000,16600,15750,15750,5400,FUEFCV50
2023-09-27,14650,14880,14650,14750,5200,FUEFCV50
2023-09-28,14600,14700,14600,14700,5400,FUEFCV50
2023-09-29,14700,14700,14050,14630,5100,FUEFCV50
