time,open,high,low,close,volume,ticker
2023-04-10,9550,9630,9520,9580,109400,FUEMAVND
2023-04-11,9600,9600,9600,9600,6000,FUEMAVND
2023-04-12,9600,9650,9600,9600,77700,FUEMAVND
2023-04-13,9610,9610,9550,9580,91600,FUEMAVND
2023-04-14,9560,9560,9560,9560,100,FUEMAVND
2023-04-17,9550,9550,9150,9470,49300,FUEMAVND
2023-04-18,9500,9520,9470,9470,52300,FUEMAVND
2023-04-19,9500,9500,9500,9500,100,FUEMAVND
2023-04-20,9400,9450,9360,9360,78000,FUEMAVND
2023-04-21,9380,9380,9350,9350,2100,FUEMAVND
2023-04-24,9300,9300,9300,9300,1000,FUEMAVND
2023-04-25,9300,9300,9300,9300,100,FUEMAVND
2023-04-26,9190,9190,9190,9190,1400,FUEMAVND
2023-04-27,9270,9270,9270,9270,3000,FUEMAVND
2023-04-28,9300,9300,9300,9300,1000,FUEMAVND
2023-05-04,9280,9280,9260,9280,40100,FUEMAVND
2023-05-08,9200,9240,9200,9240,95900,FUEMAVND
2023-05-09,9280,9280,9280,9280,200,FUEMAVND
2023-05-10,9270,9270,9240,9250,44000,FUEMAVND
2023-05-11,9340,9340,9340,9340,10000,FUEMAVND
2023-05-12,9290,9290,9270,9270,200,FUEMAVND
2023-05-15,9390,9390,9390,9390,100,FUEMAVND
2023-05-16,9390,9390,9390,9390,100,FUEMAVND
2023-05-17,9260,9300,9260,9300,500,FUEMAVND
2023-05-22,9360,9360,9350,9350,200,FUEMAVND
2023-05-23,9400,9400,9400,9400,100,FUEMAVND
2023-05-24,9450,9450,9450,9450,100,FUEMAVND
2023-05-25,9270,9270,9270,9270,100,FUEMAVND
2023-05-26,9300,9310,9300,9310,100000,FUEMAVND
2023-05-29,9310,9310,9310,9310,100,FUEMAVND
2023-05-30,9330,9400,9330,9400,1100,FUEMAVND
2023-05-31,9400,9400,9400,9400,200,FUEMAVND
2023-06-01,9320,9400,9320,9400,1400,FUEMAVND
2023-06-02,9410,9700,9410,9700,4000,FUEMAVND
2023-06-05,9780,9790,9640,9750,21200,FUEMAVND
2023-06-06,9810,9810,9810,9810,100,FUEMAVND
2023-06-08,9750,9750,9740,9750,1200,FUEMAVND
2023-06-12,9750,9770,9700,9770,700,FUEMAVND
2023-06-13,9780,9830,9780,9830,2200,FUEMAVND
2023-06-14,9830,9830,9830,9830,5000,FUEMAVND
2023-06-15,9820,9820,9740,9820,46900,FUEMAVND
2023-06-16,9800,9800,9800,9800,100,FUEMAVND
2023-06-20,9760,9760,9760,9760,100,FUEMAVND
2023-06-21,9760,9850,9760,9850,600,FUEMAVND
2023-06-22,9930,9930,9930,9930,100,FUEMAVND
2023-06-23,9960,9960,9960,9960,500,FUEMAVND
2023-06-26,10030,10030,10030,10030,500,FUEMAVND
2023-06-27,10040,10040,10040,10040,100,FUEMAVND
2023-06-28,10040,10080,10040,10080,14000,FUEMAVND
2023-06-29,10080,10080,10000,10000,1600,FUEMAVND
2023-06-30,9950,9950,9950,9950,1000,FUEMAVND
2023-07-03,9970,9970,9930,9930,500,FUEMAVND
2023-07-05,9960,10000,9960,10000,3100,FUEMAVND
2023-07-06,10000,10000,10000,10000,600,FUEMAVND
2023-07-10,9990,10190,9990,10190,1300,FUEMAVND
2023-07-11,10250,10250,10250,10250,700,FUEMAVND
2023-07-12,10250,10300,10200,10300,2200,FUEMAVND
2023-07-13,10350,10350,10350,10350,100,FUEMAVND
2023-07-14,10460,10460,10460,10460,100,FUEMAVND
2023-07-18,10400,10550,10400,10550,400,FUEMAVND
2023-07-19,10380,10380,10380,10380,500,FUEMAVND
2023-07-20,10500,10510,10470,10470,100100,FUEMAVND
2023-07-21,10770,10770,10770,10770,100,FUEMAVND
2023-07-24,10600,10900,10600,10900,400,FUEMAVND
2023-07-25,10910,10950,10910,10950,700,FUEMAVND
2023-07-26,10950,10950,10950,10950,6000,FUEMAVND
2023-07-27,10940,10950,10850,10950,3300,FUEMAVND
2023-07-28,10960,11270,10960,11270,93000,FUEMAVND
2023-07-31,11020,11150,11020,11150,200,FUEMAVND
2023-08-01,11120,11130,11120,11130,200,FUEMAVND
2023-08-02,11130,11130,10950,10950,1000,FUEMAVND
2023-08-03,10880,10950,10850,10950,92200,FUEMAVND
2023-08-04,10950,11050,10870,11050,27700,FUEMAVND
2023-08-07,11160,11160,11120,11120,2400,FUEMAVND
2023-08-08,11100,11120,11100,11120,400,FUEMAVND
2023-08-09,10900,10950,10900,10950,200,FUEMAVND
2023-08-11,10950,10950,10750,10930,1100,FUEMAVND
2023-08-14,10940,10940,10930,10930,1100,FUEMAVND
2023-08-15,10960,10960,10960,10960,100,FUEMAVND
2023-08-16,10960,11030,10960,11030,200,FUEMAVND
2023-08-17,11040,11050,11040,11050,1100,FUEMAVND
2023-08-18,10920,10920,10460,10460,22600,FUEMAVND
2023-08-21,10540,10640,10420,10620,30000,FUEMAVND
2023-08-22,10590,10640,10330,10640,21600,FUEMAVND
2023-08-23,10670,10680,10550,10590,30000,FUEMAVND
2023-08-24,10590,10800,10590,10780,50400,FUEMAVND
2023-08-25,10770,11500,10750,10770,22400,FUEMAVND
2023-08-28,10850,10920,10840,10920,50200,FUEMAVND
2023-08-29,10990,11070,10980,11070,20200,FUEMAVND
2023-08-30,11150,11150,11150,11150,100,FUEMAVND
2023-08-31,11340,11340,11290,11330,165000,FUEMAVND
2023-09-05,11370,11490,11370,11430,21100,FUEMAVND
2023-09-06,11480,11480,11440,11440,1000,FUEMAVND
2023-09-07,11640,11640,11640,11640,100,FUEMAVND
2023-09-08,11640,11640,11590,11600,21100,FUEMAVND
2023-09-11,11640,11640,11410,11430,43100,FUEMAVND
2023-09-12,11390,11540,11350,11540,52300,FUEMAVND
2023-09-13,11670,11730,11570,11570,20200,FUEMAVND
2023-09-14,11690,11710,11550,11550,20100,FUEMAVND
2023-09-15,11610,11610,11480,11500,20300,FUEMAVND
2023-09-18,11530,11530,11340,11470,30000,FUEMAVND
2023-09-19,11470,11470,11430,11430,1300,FUEMAVND
2023-09-20,11500,11620,11470,11620,30000,FUEMAVND
2023-09-21,11610,11610,11610,11610,100,FUEMAVND
2023-09-22,11310,11340,11140,11320,20000,FUEMAVND
2023-09-25,10550,11280,10550,10990,2800,FUEMAVND
2023-09-26,10940,10940,10940,10940,2700,FUEMAVND
