time,open,high,low,close,volume,ticker
2020-03-18,9990,9990,9990,9990,3240,FUESSVFL
2020-03-19,10680,10680,10600,10600,23940,FUESSVFL
2020-03-20,10600,11340,10600,11340,3160,FUESSVFL
2020-03-23,11990,11990,11200,11200,290,FUESSVFL
2020-03-24,11000,11000,10420,10420,1610,FUESSVFL
2020-03-25,9700,9700,9700,9700,1150,FUESSVFL
2020-03-26,9700,9700,9700,9700,0,FUESSVFL
2020-03-27,9700,9700,9700,9700,0,FUESSVFL
2020-03-30,9650,9650,9650,9650,1000,FUESSVFL
2020-03-31,8980,8980,8980,8980,1090,FUESSVFL
2020-04-01,8360,8360,8360,8360,200,FUESSVFL
2020-04-03,7780,7780,7780,7780,2390,FUESSVFL
2020-04-06,7240,7810,7240,7810,4840,FUESSVFL
2020-04-07,7810,7830,7770,7770,8070,FUESSVFL
2020-04-08,7770,7790,7770,7790,150,FUESSVFL
2020-04-09,7790,7940,7790,7930,3070,FUESSVFL
2020-04-10,8400,8400,7820,7920,2060,FUESSVFL
2020-04-13,8080,8080,8080,8080,120,FUESSVFL
2020-04-14,7970,7970,7960,7960,20,FUESSVFL
2020-04-15,8200,8300,8200,8240,2230,FUESSVFL
2020-04-16,8119,8220,8119,8220,260,FUESSVFL
2020-04-17,8310,8410,8310,8410,150,FUESSVFL
2020-04-20,8290,8380,8290,8370,480,FUESSVFL
2020-04-21,8370,8370,7940,7940,350,FUESSVFL
2020-04-22,7940,8070,7940,8070,540,FUESSVFL
2020-04-23,8050,8070,8050,8070,1410,FUESSVFL
2020-04-24,8070,8070,7890,7930,1320,FUESSVFL
2020-04-27,8100,8109,8060,8060,40,FUESSVFL
2020-04-28,7830,7990,7830,7970,110,FUESSVFL
2020-04-29,7970,8000,8000,8000,50,FUESSVFL
2020-05-04,8000,8000,7930,7930,200,FUESSVFL
2020-05-05,7950,8039,7940,8039,21940,FUESSVFL
2020-05-06,8060,8090,8000,8090,20340,FUESSVFL
2020-05-07,8119,8210,8119,8200,25020,FUESSVFL
2020-05-08,8270,8770,8270,8570,1110,FUESSVFL
2020-05-11,8860,8880,8600,8860,3260,FUESSVFL
2020-05-12,8860,8890,8780,8890,160,FUESSVFL
2020-05-13,9490,9490,8830,9000,1020,FUESSVFL
2020-05-14,8900,9010,8900,9010,200,FUESSVFL
2020-05-15,9010,9010,8800,8860,720,FUESSVFL
2020-05-18,9480,9480,8820,9050,110,FUESSVFL
2020-05-19,9220,9250,9220,9240,20150,FUESSVFL
2020-05-20,9180,9180,9180,9180,28430,FUESSVFL
2020-05-21,9210,9270,9210,9270,31640,FUESSVFL
2020-05-22,9360,9380,9320,9320,2020,FUESSVFL
2020-05-25,9300,9330,9250,9310,180,FUESSVFL
2020-05-26,9320,9380,9290,9360,11400,FUESSVFL
2020-05-27,9440,9440,9390,9390,210,FUESSVFL
2020-05-28,9250,9300,9230,9300,880,FUESSVFL
2020-05-29,9300,9300,9280,9280,70,FUESSVFL
2020-06-01,9320,9580,9320,9580,106210,FUESSVFL
2020-06-02,9570,9660,9570,9650,10950,FUESSVFL
2020-06-03,9680,9740,9680,9740,80,FUESSVFL
2020-06-04,9800,9800,9800,9800,160,FUESSVFL
2020-06-05,9710,9710,9690,9710,2640,FUESSVFL
2020-06-08,9890,9990,9810,9890,2890,FUESSVFL
2020-06-09,9810,9850,9810,9850,5100,FUESSVFL
2020-06-10,9820,10020,9500,9500,50110,FUESSVFL
2020-06-11,10000,10000,9620,9700,23130,FUESSVFL
2020-06-12,9700,9700,9400,9560,108990,FUESSVFL
2020-06-15,9620,9620,9300,9350,62870,FUESSVFL
2020-06-16,9350,9520,9100,9450,27250,FUESSVFL
2020-06-17,9110,9480,9110,9370,5680,FUESSVFL
2020-06-18,9430,9430,9370,9410,18150,FUESSVFL
2020-06-19,9450,9450,9450,9450,860,FUESSVFL
2020-06-22,9500,9550,9500,9550,11700,FUESSVFL
2020-06-23,9550,9560,9490,9500,10610,FUESSVFL
2020-06-24,9500,9500,9400,9400,49040,FUESSVFL
2020-06-25,9400,9400,9300,9300,44310,FUESSVFL
2020-06-26,9340,9340,9250,9250,5260,FUESSVFL
2020-06-29,9860,9860,9000,9010,10030,FUESSVFL
2020-06-30,9040,9040,8810,8950,70100,FUESSVFL
2020-07-01,8930,9080,8910,9080,5050,FUESSVFL
2020-07-02,9120,9120,9060,9060,58360,FUESSVFL
2020-07-03,9050,9080,9050,9080,7140,FUESSVFL
2020-07-06,9140,9270,9130,9270,150220,FUESSVFL
2020-07-07,9320,9320,9310,9320,230,FUESSVFL
2020-07-08,9320,9320,9260,9280,51860,FUESSVFL
2020-07-09,9430,9500,9430,9500,20040,FUESSVFL
2020-07-10,9500,9500,9440,9440,310,FUESSVFL
2020-07-13,9520,9600,9420,9420,10630,FUESSVFL
2020-07-14,9350,9420,9330,9420,21780,FUESSVFL
2020-07-15,9450,9500,9430,9470,9040,FUESSVFL
2020-07-16,9490,9510,9470,9470,68230,FUESSVFL
2020-07-17,9510,9560,9500,9500,112550,FUESSVFL
2020-07-20,9500,9490,9420,9420,74400,FUESSVFL
2020-07-21,9380,9410,9330,9330,70220,FUESSVFL
2020-07-22,9400,9400,9380,9380,70030,FUESSVFL
2020-07-23,9300,9310,9260,9270,81070,FUESSVFL
2020-07-24,9210,9210,8970,9080,40910,FUESSVFL
2020-07-27,8500,8710,8450,8700,76980,FUESSVFL
2020-07-28,8550,8850,8450,8850,775780,FUESSVFL
2020-07-29,8430,8520,8280,8520,325810,FUESSVFL
2020-07-30,8540,8560,8490,8560,13710,FUESSVFL
2020-07-31,8370,8570,8370,8570,182470,FUESSVFL
2020-08-03,8500,8670,8500,8630,125000,FUESSVFL
2020-08-04,8800,8810,8760,8800,26210,FUESSVFL
2020-08-05,8800,9050,8800,9050,164290,FUESSVFL
2020-08-06,8940,9050,8940,9020,178350,FUESSVFL
2020-08-07,8950,9000,8950,9000,135950,FUESSVFL
2020-08-10,9000,9100,9000,9070,47820,FUESSVFL
2020-08-11,9080,9090,9040,9090,35340,FUESSVFL
2020-08-12,9110,9180,9110,9180,30040,FUESSVFL
2020-08-13,9130,9270,9130,9270,40150,FUESSVFL
2020-08-14,9180,9220,9160,9220,31020,FUESSVFL
