time,open,high,low,close,volume,ticker
2017-03-21,8510,8510,6420,6420,5900,GEG
2017-03-22,6800,6800,6800,6800,2200,GEG
2017-03-23,6800,6800,6800,6800,0,GEG
2017-03-24,6800,6800,6800,6800,0,GEG
2017-03-27,6800,6800,6800,6800,0,GEG
2017-03-28,6380,6380,6380,6380,2000,GEG
2017-03-29,6380,7240,6380,7240,1300,GEG
2017-03-30,7020,7020,7020,7020,0,GEG
2017-03-31,6590,7440,6420,7440,9700,GEG
2017-04-03,6590,6590,6590,6590,1000,GEG
2017-04-04,6590,6590,6590,6590,0,GEG
2017-04-05,6550,6550,6420,6460,3200,GEG
2017-04-07,6420,6420,6420,6420,0,GEG
2017-04-10,6590,6590,6590,6590,900,GEG
2017-04-11,6590,6590,6590,6590,0,GEG
2017-04-12,6590,6590,6590,6590,0,GEG
2017-04-13,6590,6590,6590,6590,0,GEG
2017-04-14,6590,6590,6590,6590,600,GEG
2017-04-17,6590,6590,6590,6590,600,GEG
2017-04-18,6380,6460,6380,6460,3100,GEG
2017-04-19,6380,6420,6380,6420,1100,GEG
2017-04-20,6420,6420,6420,6420,0,GEG
2017-04-21,6420,6420,6420,6420,0,GEG
2017-04-24,6420,6420,6420,6420,0,GEG
2017-04-25,6420,6420,6420,6420,1200,GEG
2017-04-26,5660,5660,5530,5530,1100,GEG
2017-04-27,5660,5660,5660,5660,0,GEG
2017-04-28,5660,5660,5660,5660,0,GEG
2017-05-03,6340,6380,6340,6380,5600,GEG
2017-05-04,6380,6380,6380,6380,0,GEG
2017-05-05,6380,6460,6380,6460,4000,GEG
2017-05-08,6590,6590,6590,6590,1100,GEG
2017-05-09,6590,6590,6590,6590,0,GEG
2017-05-10,6290,6290,5950,5950,22400,GEG
2017-05-11,6040,6040,6040,6040,100,GEG
2017-05-12,6040,6040,6040,6040,0,GEG
2017-05-15,6040,6040,6040,6040,0,GEG
2017-05-16,6000,6000,6000,6000,1200,GEG
2017-05-17,5950,6080,5950,6080,9400,GEG
2017-05-18,6000,6000,6000,6000,0,GEG
2017-05-19,6000,6000,6000,6000,0,GEG
2017-05-22,6040,6040,6040,6040,400,GEG
2017-05-23,5950,5950,5950,5950,200,GEG
2017-05-24,5950,6000,5950,6000,600,GEG
2017-05-25,6170,6290,5950,6290,1600,GEG
2017-05-26,6080,6080,6080,6080,1000,GEG
2017-05-29,6120,6170,6120,6170,2400,GEG
