time,open,high,low,close,volume,ticker
2013-01-02,4019,4019,4019,4019,0,GHC
2013-01-03,4180,4180,4180,4180,900,GHC
2013-01-04,4180,4180,4180,4180,0,GHC
2013-01-07,4180,4180,4180,4180,4000,GHC
2013-01-08,4180,4350,4180,4350,2200,GHC
2013-01-09,4200,4200,4180,4180,200,GHC
2013-01-10,4200,4200,4200,4200,0,GHC
2013-01-11,4200,4200,4200,4200,0,GHC
2013-01-14,4200,4200,4200,4200,0,GHC
2013-01-15,4250,4350,4250,4350,1100,GHC
2013-01-16,4290,4290,4270,4270,1000,GHC
2013-01-17,4270,4270,4270,4270,400,GHC
2013-01-18,4270,4270,4270,4270,0,GHC
2013-01-30,3850,4040,3850,4040,3000,GHC
2013-01-31,3860,3860,3860,3860,0,GHC
2013-02-01,4019,4019,4019,4019,100,GHC
2013-02-04,4019,4019,4019,4019,0,GHC
2013-02-05,4019,4019,4019,4019,0,GHC
2013-02-06,4019,4019,4019,4019,0,GHC
2013-02-07,4019,4019,4019,4019,0,GHC
2013-02-08,4019,4019,4019,4019,0,GHC
2013-02-18,4019,4019,4019,4019,0,GHC
2013-02-19,4090,4090,4090,4090,500,GHC
2013-02-20,4350,4350,4350,4350,300,GHC
2013-02-21,4350,4350,4350,4350,0,GHC
2013-02-22,4330,4330,4330,4330,200,GHC
2013-02-25,4250,4250,4210,4210,600,GHC
2013-02-26,4180,4180,4180,4180,100,GHC
2013-02-28,4160,4160,4160,4160,0,GHC
2013-03-01,4010,4010,4010,4010,5500,GHC
2013-03-04,3990,3990,3630,3630,900,GHC
2013-03-07,3730,3730,3730,3730,0,GHC
2013-03-08,3730,3730,3730,3730,0,GHC
2013-03-11,4110,4110,4110,4110,4000,GHC
2013-03-12,4160,4160,4160,4160,1000,GHC
2013-03-13,4180,4180,4160,4160,600,GHC
2013-03-14,4180,4180,4180,4180,0,GHC
2013-03-15,4180,4350,4180,4350,1200,GHC
2013-03-18,4180,4250,4180,4250,4000,GHC
2013-03-19,4180,4350,4180,4350,2900,GHC
2013-03-20,4330,4330,4330,4330,0,GHC
2013-03-21,4330,4330,4330,4330,0,GHC
2013-03-22,4200,4200,4200,4200,3000,GHC
2013-03-25,4200,4200,4200,4200,0,GHC
2013-03-26,4010,4250,4010,4250,5600,GHC
2013-03-27,4180,4180,4180,4180,800,GHC
2013-03-28,4180,4180,4180,4180,0,GHC
2013-03-29,4140,4140,4140,4140,4000,GHC
2013-04-01,4130,4210,4110,4210,1800,GHC
2013-04-02,4180,4180,4180,4180,0,GHC
2013-04-03,4250,4250,4180,4180,6000,GHC
2013-04-04,4250,4250,4250,4250,1400,GHC
2013-04-05,4250,4250,4250,4250,200,GHC
2013-04-08,4210,4210,4210,4210,1800,GHC
2013-04-09,4250,4290,4240,4290,7600,GHC
2013-04-10,4450,4450,4450,4450,1000,GHC
2013-04-11,4440,4440,4440,4440,1200,GHC
2013-04-12,4440,4440,4440,4440,0,GHC
2013-04-15,4400,4490,4400,4490,3300,GHC
2013-04-16,4440,4490,4440,4490,600,GHC
2013-04-17,4520,4520,4440,4440,1400,GHC
2013-04-18,4490,4490,4490,4490,600,GHC
2013-04-22,4490,4490,4490,4490,0,GHC
2013-04-23,4490,4490,4490,4490,500,GHC
2013-04-24,4490,4490,4490,4490,2300,GHC
2013-04-25,4490,4490,4490,4490,0,GHC
2013-04-26,4490,4520,4440,4520,5100,GHC
2013-05-02,4490,4490,4470,4490,4500,GHC
2013-05-03,4490,4490,4490,4490,2000,GHC
2013-05-06,4500,4500,4490,4490,3500,GHC
2013-05-07,4440,4520,4440,4490,2800,GHC
2013-05-08,4490,4520,4440,4450,4100,GHC
2013-05-09,4490,4490,4490,4490,1710,GHC
2013-05-10,4500,4620,4500,4620,1400,GHC
2013-05-13,4560,4560,4560,4560,0,GHC
2013-05-14,4560,4560,4560,4560,0,GHC
2013-05-15,4560,4560,4560,4560,0,GHC
2013-05-16,4440,4520,4440,4520,900,GHC
2013-05-17,4620,4620,4620,4620,300,GHC
2013-05-20,4620,4620,4620,4620,0,GHC
2013-05-21,4620,4630,4620,4630,2200,GHC
2013-05-22,4620,4620,4620,4620,100,GHC
2013-05-23,4790,4790,4790,4790,900,GHC
2013-05-24,4790,4870,4790,4790,4000,GHC
2013-05-27,4980,5230,4980,5230,2200,GHC
2013-05-28,5150,5150,5150,5130,100,GHC
2013-05-31,5230,5230,5230,5230,900,GHC
2013-06-03,5150,5150,5150,5230,1000,GHC
2013-06-06,5000,5000,5000,5000,100,GHC
2013-06-07,5150,5150,5150,5150,0,GHC
2013-06-20,5310,5310,5310,5310,0,GHC
2013-06-21,5310,5310,5310,5310,0,GHC
2013-06-24,5310,5310,5310,5310,0,GHC
2013-06-25,5310,5310,5310,5310,0,GHC
2013-06-28,4950,4950,4950,5130,1300,GHC
2013-07-01,5020,5020,5020,5020,0,GHC
2013-07-10,5240,5240,5240,5240,100,GHC
2013-07-11,5240,5240,5240,5240,0,GHC
2013-07-12,5150,5220,5150,5220,2200,GHC
2013-07-15,5130,5130,5130,5200,600,GHC
2013-07-17,5130,5130,5130,5130,1100,GHC
2013-07-18,4950,4950,4950,5130,1800,GHC
2013-07-19,4950,4950,4950,4950,400,GHC
2013-07-22,4970,4970,4970,4950,1100,GHC
2013-07-23,4970,4970,4970,4970,0,GHC
2013-07-24,4970,4970,4970,4970,0,GHC
2013-07-25,4970,4970,4970,4970,0,GHC
2013-07-26,4970,4970,4970,4970,0,GHC
2013-07-29,5020,5020,5020,5020,500,GHC
2013-07-30,5020,5020,5020,5020,800,GHC
2013-07-31,5020,5020,5020,5020,0,GHC
2013-08-01,4860,4900,4900,4900,0,GHC
2013-08-02,4860,4860,4860,4860,0,GHC
2013-08-05,4950,4860,4860,4860,0,GHC
2013-08-06,4950,5010,5010,5010,0,GHC
2013-08-07,5010,4950,4950,4950,0,GHC
2013-08-08,5220,5010,5010,5010,0,GHC
2013-08-09,5130,5220,5220,5220,0,GHC
2013-08-12,5130,5130,5130,5130,0,GHC
2013-08-13,5220,5220,5220,5220,370,GHC
2013-08-14,5220,5220,5220,5220,0,GHC
2013-08-15,5320,5320,5270,5320,1000,GHC
2013-08-16,5240,5240,5240,5240,200,GHC
2013-08-19,5240,5240,5240,5240,0,GHC
2013-08-20,5240,5240,5240,5240,0,GHC
2013-08-21,5320,5320,5320,5320,2500,GHC
2013-08-22,5130,5130,5130,5130,1200,GHC
2013-08-23,5130,5130,5130,5130,1300,GHC
2013-08-26,5130,5130,5130,5130,0,GHC
2013-08-27,5130,5130,5130,5130,1600,GHC
2013-08-28,5130,5130,5130,5130,1500,GHC
2013-08-29,5130,5130,5130,5130,0,GHC
2013-08-30,5130,5130,5130,5130,0,GHC
2013-09-03,5130,5130,5130,5130,0,GHC
2013-09-04,5020,5020,5010,5020,1900,GHC
2013-09-05,5010,5020,5010,5010,2100,GHC
2013-09-06,5010,5010,5010,5010,0,GHC
2013-09-09,5010,5010,5010,5010,0,GHC
2013-09-10,5010,5010,5010,5010,1100,GHC
2013-09-11,5010,5010,5010,5010,0,GHC
2013-09-12,4990,5130,4990,5010,11000,GHC
2013-09-13,5010,5010,5010,5010,0,GHC
2013-09-16,5010,5010,5010,5010,0,GHC
2013-09-17,5220,5220,5220,5220,2000,GHC
2013-09-18,5220,5220,5220,5220,1400,GHC
2013-09-19,5220,5220,5220,5220,0,GHC
2013-09-20,5200,5200,5200,5200,1000,GHC
2013-09-23,5200,5200,5200,5200,600,GHC
2013-09-24,5200,5200,5200,5200,0,GHC
2013-09-25,5240,5240,5240,5240,1000,GHC
2013-09-26,5240,5240,5240,5240,0,GHC
2013-09-27,5020,5070,5020,5070,4600,GHC
2013-09-30,5090,5130,5070,5110,1800,GHC
2013-10-01,5070,5070,5070,5070,200,GHC
2013-10-02,5070,5130,5020,5070,6200,GHC
2013-10-03,5070,5070,5020,5050,800,GHC
2013-10-04,5050,5050,5050,5050,0,GHC
2013-10-07,5070,5070,4880,5020,7700,GHC
2013-10-08,5020,5020,5020,5020,10800,GHC
2013-10-09,5020,5020,5020,5020,5000,GHC
2013-10-10,5020,5020,5020,5020,5700,GHC
2013-10-11,4970,4970,4860,4900,14600,GHC
2013-10-14,4950,4950,4950,4950,2900,GHC
2013-10-15,4950,4950,4950,4950,0,GHC
2013-10-16,4920,4920,4920,4920,1070,GHC
2013-10-17,4880,4880,4860,4860,900,GHC
2013-10-18,4850,4850,4400,4850,3500,GHC
2013-10-21,4850,4850,4790,4850,1600,GHC
2013-10-22,4770,4770,4660,4770,7000,GHC
2013-10-23,4760,4760,4760,4760,0,GHC
2013-10-24,4830,4850,4830,4850,1800,GHC
2013-10-25,4880,4880,4510,4510,200,GHC
2013-10-28,4590,4590,4590,4590,100,GHC
2013-10-29,4610,4830,4510,4830,1800,GHC
2013-10-30,4810,4850,4810,4850,420,GHC
2013-10-31,4880,4880,4880,4880,2000,GHC
2013-11-01,4880,4880,4880,4880,1007,GHC
2013-11-04,4880,4880,4880,4880,0,GHC
2013-11-05,4880,4880,4880,4880,500,GHC
2013-11-06,4700,4700,4700,4700,200,GHC
2013-11-07,4770,4770,4760,4760,1500,GHC
2013-11-08,4790,4790,4790,4790,200,GHC
2013-11-11,4810,4810,4810,4810,800,GHC
2013-11-12,4810,4810,4810,4810,0,GHC
2013-11-13,4810,4810,4810,4810,0,GHC
2013-11-14,4920,4920,4920,4920,200,GHC
2013-11-15,4970,4970,4970,4970,1600,GHC
2013-11-18,4970,4970,4970,4970,900,GHC
2013-11-19,5010,5020,5010,5020,400,GHC
2013-11-20,5130,5400,5130,5240,2500,GHC
2013-11-21,5320,5400,5320,5400,2100,GHC
2013-11-22,5350,5400,5400,5400,21,GHC
2013-11-25,5370,5370,5320,5350,1500,GHC
2013-11-26,5370,5370,5320,5320,1600,GHC
