time,open,high,low,close,volume,ticker
2015-04-08,7580,8420,4550,8420,21800,GSM
2015-04-09,4380,4380,4380,4380,5000,GSM
2015-04-10,4380,4380,4380,4380,0,GSM
2015-04-13,4380,4380,4380,4380,0,GSM
2015-04-14,4380,4380,4380,4380,0,GSM
2015-04-15,4380,4380,4380,4380,0,GSM
2015-04-16,4460,4630,4460,4460,11000,GSM
2015-04-17,4970,4970,4970,4970,3000,GSM
2015-04-20,4970,4970,4970,4970,0,GSM
2015-04-21,5310,5310,5310,5310,3000,GSM
2015-04-22,4800,5810,4800,5810,25100,GSM
2015-04-23,5810,5810,5810,5810,0,GSM
2015-04-24,5810,5810,5810,5810,0,GSM
2015-04-27,6230,6230,6230,6230,100,GSM
2015-05-04,5650,6480,5650,6480,200,GSM
2015-05-05,6480,6480,6480,6480,100,GSM
2015-05-06,5890,6570,5890,6570,200,GSM
2015-05-07,5720,5720,5720,5720,100,GSM
2015-05-08,5220,5220,5220,5220,100,GSM
2015-05-11,4720,4720,4720,4720,100,GSM
2015-05-12,5140,5140,5140,5140,100,GSM
2015-05-13,4630,4880,4630,4880,600,GSM
2015-05-14,5310,5310,4880,4880,10000,GSM
2015-05-15,4720,4720,4720,4720,500,GSM
2015-05-18,5140,5140,5140,5140,100,GSM
2015-05-19,4630,5650,4630,5650,1900,GSM
2015-05-20,5890,5890,5890,5890,13000,GSM
2015-05-21,5890,5890,5890,5890,0,GSM
2015-05-22,5890,5890,5890,5890,0,GSM
2015-05-25,5480,5890,5480,5890,5000,GSM
2015-05-26,5890,5890,5890,5890,1000,GSM
2015-05-27,6060,6140,6060,6140,2100,GSM
2015-05-28,6230,6400,6230,6400,3000,GSM
2015-05-29,6400,6400,6400,6400,1000,GSM
2015-06-01,6480,6480,6480,6480,2000,GSM
2015-06-02,6570,6650,6570,6570,15000,GSM
2015-06-03,6740,6740,6400,6400,10000,GSM
2015-06-04,6310,6740,6310,6740,51500,GSM
2015-06-05,6740,6990,6740,6990,35100,GSM
2015-06-08,6990,7160,6990,7160,38400,GSM
2015-06-09,7750,7750,7580,7580,200,GSM
2015-06-10,7670,7670,7670,7670,0,GSM
2015-06-11,7240,7240,7070,7070,5500,GSM
2015-06-12,7070,7070,6900,7070,21600,GSM
2015-06-15,6990,7070,6990,7070,16000,GSM
2015-06-16,7160,7160,7160,7160,128000,GSM
2015-06-17,7240,7240,7240,7240,500,GSM
2015-06-18,7330,7330,7160,7160,8800,GSM
2015-06-19,7240,7240,7240,7240,7000,GSM
2015-06-22,7240,7330,7240,7330,16400,GSM
2015-06-23,7410,7410,7410,7410,5100,GSM
2015-06-24,7330,7330,7330,7330,2500,GSM
2015-06-25,7330,7330,7330,7330,0,GSM
2015-06-26,7580,7580,7580,7580,100,GSM
2015-06-29,7580,7580,7580,7580,0,GSM
