time,open,high,low,close,volume,ticker
2016-10-18,4120,4120,4120,4120,1500,HAC
2016-10-19,3530,3530,3530,3530,958,HAC
2016-10-20,3010,3010,3010,3010,312847,HAC
2016-10-21,2620,2940,2620,2880,367364,HAC
2016-10-24,2880,2880,2620,2620,44300,HAC
2016-10-25,2680,2750,2680,2680,46384,HAC
2016-10-26,2680,2750,2680,2680,63853,HAC
2016-10-27,2680,2680,2620,2620,27744,HAC
2016-10-28,2620,2810,2620,2750,95744,HAC
2016-10-31,2680,2750,2620,2750,65235,HAC
2016-11-01,2620,2680,2480,2620,51300,HAC
2016-11-02,2620,2880,2620,2810,231689,HAC
2016-11-03,3040,3040,2670,2670,13678,HAC
2016-11-04,2740,2740,2590,2590,12237,HAC
2016-11-07,2520,2590,2450,2450,30100,HAC
2016-11-08,2520,2590,2450,2590,28530,HAC
2016-11-09,2590,2590,2370,2450,77426,HAC
2016-11-10,2370,2520,2370,2450,48794,HAC
2016-11-11,2450,2520,2370,2450,41956,HAC
2016-11-14,2370,2450,2370,2370,75100,HAC
2016-11-15,2450,2450,2370,2370,46500,HAC
2016-11-16,2450,2450,2370,2450,62610,HAC
2016-11-17,2370,2450,2370,2370,61050,HAC
2016-11-18,2370,2590,2370,2590,80900,HAC
2016-11-21,2590,2590,2450,2520,43501,HAC
2016-11-22,2450,2520,2370,2450,5609,HAC
2016-11-23,2450,2520,2450,2520,34045,HAC
2016-11-24,2450,2520,2450,2450,28540,HAC
2016-11-25,2450,2450,2370,2450,48695,HAC
2016-11-28,2370,2450,2370,2370,63531,HAC
2016-11-29,2370,2450,2370,2370,14062,HAC
2016-11-30,2370,2520,2370,2450,40480,HAC
2016-12-01,2450,2590,2450,2520,95331,HAC
2016-12-02,2520,2520,2450,2520,124916,HAC
2016-12-05,2520,2520,2450,2450,29805,HAC
2016-12-06,2520,2590,2370,2450,163619,HAC
2016-12-07,2520,2520,2450,2450,76201,HAC
2016-12-08,2450,2520,2450,2520,68055,HAC
2016-12-09,2450,2450,2370,2450,16300,HAC
2016-12-12,2370,2450,2370,2370,7354,HAC
2016-12-13,2370,2370,2220,2300,100557,HAC
2016-12-14,2300,2370,2300,2370,79900,HAC
2016-12-15,2300,2370,2220,2300,158400,HAC
2016-12-16,2220,2300,2220,2300,7700,HAC
2016-12-19,2300,2370,2300,2300,76000,HAC
2016-12-20,2370,2370,2300,2300,5100,HAC
2016-12-21,2300,2370,2300,2370,56200,HAC
2016-12-22,2300,2450,2300,2370,233901,HAC
2016-12-23,2370,2370,2370,2370,22400,HAC
2016-12-26,2300,2370,2300,2300,70135,HAC
2016-12-27,2220,2300,2220,2220,20200,HAC
2016-12-28,2220,2370,2220,2300,45200,HAC
2016-12-29,2220,2370,2220,2300,43153,HAC
2016-12-30,2300,2370,2220,2370,40951,HAC
2017-01-03,2300,2370,2300,2370,28846,HAC
2017-01-04,2370,2370,2370,2370,11200,HAC
2017-01-05,2300,2370,2300,2370,36290,HAC
2017-01-06,2300,2300,2300,2300,48100,HAC
2017-01-09,2300,2450,2220,2450,230012,HAC
2017-01-10,2370,2370,2300,2370,4626,HAC
2017-01-11,2300,2370,2300,2370,33906,HAC
2017-01-12,2300,2370,2300,2300,22866,HAC
2017-01-13,2300,2370,2300,2370,2563,HAC
2017-01-16,2370,2370,2370,2370,101,HAC
2017-01-17,2300,2370,2220,2370,44331,HAC
2017-01-18,2220,2220,2220,2220,58200,HAC
2017-01-19,2300,2300,2220,2300,23000,HAC
2017-01-20,2300,2300,2220,2220,36000,HAC
2017-01-23,2220,2300,2220,2220,19600,HAC
2017-01-24,2300,2300,2300,2300,2400,HAC
2017-01-25,2300,2300,2220,2300,11900,HAC
2017-02-02,2220,2220,2220,2220,17300,HAC
2017-02-03,2220,2300,2220,2220,21610,HAC
2017-02-06,2220,2300,2220,2300,19716,HAC
2017-02-07,2220,2300,2220,2300,73100,HAC
2017-02-08,2220,2300,2220,2300,20822,HAC
2017-02-09,2300,2300,2220,2220,124700,HAC
2017-02-10,2220,2300,2220,2220,35900,HAC
2017-02-13,2150,2300,2150,2300,53541,HAC
2017-02-14,2220,2300,2220,2220,22904,HAC
2017-02-15,2220,2300,2220,2300,80600,HAC
2017-02-16,2300,2370,2220,2370,326380,HAC
2017-02-17,2370,2590,2370,2590,196668,HAC
2017-02-20,2590,2740,2590,2670,366200,HAC
2017-02-21,2590,2890,2520,2670,443901,HAC
2017-02-22,2820,3040,2740,2970,383820,HAC
2017-02-23,2890,2890,2740,2740,239579,HAC
2017-02-24,2670,2820,2670,2740,213167,HAC
2017-02-27,2740,3110,2740,3110,250788,HAC
2017-02-28,3190,3480,3190,3340,492002,HAC
2017-03-01,3340,3480,3110,3480,257807,HAC
2017-03-02,3410,3560,3410,3560,216431,HAC
2017-03-03,3480,3630,3260,3560,233774,HAC
2017-03-06,3410,3780,3410,3780,300095,HAC
2017-03-07,3780,3780,3630,3780,320323,HAC
2017-03-08,3710,3860,3630,3780,223063,HAC
2017-03-09,3780,3930,3780,3860,113026,HAC
2017-03-10,3860,3930,3780,3860,75870,HAC
2017-03-13,3930,3930,3710,3860,107938,HAC
2017-03-14,3780,3930,3780,3930,227108,HAC
2017-03-15,3930,4080,3930,4080,195179,HAC
2017-03-16,4080,4150,4000,4150,180981,HAC
2017-03-17,4150,4150,4000,4080,106266,HAC
2017-03-20,4000,4000,3630,3860,32729,HAC
2017-03-21,3630,3630,3340,3340,62826,HAC
2017-03-22,3260,3260,2970,2970,187664,HAC
2017-03-23,2820,3040,2820,3040,76274,HAC
2017-03-24,2970,3040,2970,3040,32910,HAC
2017-03-27,3040,3340,3040,3260,60134,HAC
2017-03-28,3260,3340,3190,3260,27445,HAC
2017-03-29,3260,3260,3040,3260,114941,HAC
2017-03-30,3190,3410,3040,3340,53055,HAC
2017-03-31,3410,3630,3410,3560,74526,HAC
2017-04-03,3560,3710,3480,3560,11800,HAC
2017-04-04,3710,3710,3410,3560,6346,HAC
2017-04-05,3560,3630,3260,3480,120318,HAC
2017-04-07,3480,3560,3480,3560,2419,HAC
2017-04-10,3260,3560,3260,3410,12263,HAC
2017-04-11,3340,3560,3340,3340,10598,HAC
2017-04-12,3560,3560,3340,3340,7300,HAC
2017-04-13,3340,3340,3190,3190,13394,HAC
2017-04-14,3340,3340,2820,3110,128393,HAC
2017-04-17,3040,3260,3040,3040,34200,HAC
2017-04-18,3040,3110,2970,3110,37158,HAC
2017-04-19,3040,3110,3040,3110,8602,HAC
2017-04-20,3040,3040,2970,2970,8510,HAC
2017-04-21,3040,3480,3040,3480,353609,HAC
2017-04-24,3340,3710,3340,3630,340488,HAC
2017-04-25,3560,3560,3260,3480,56926,HAC
2017-04-26,3260,3410,3260,3340,11721,HAC
2017-04-27,3260,3410,3260,3410,26179,HAC
2017-04-28,3340,3340,3190,3260,29800,HAC
2017-05-03,3340,3340,3260,3260,3000,HAC
2017-05-04,3260,3410,3260,3410,9000,HAC
2017-05-05,3340,3560,3340,3410,85345,HAC
2017-05-08,3410,3480,3410,3410,16434,HAC
2017-05-09,3340,3410,3260,3340,106300,HAC
2017-05-10,3480,3480,3340,3410,115436,HAC
2017-05-11,3480,3480,3410,3410,43200,HAC
2017-05-12,3410,3480,3340,3340,83450,HAC
2017-05-15,3410,3480,3260,3260,144700,HAC
2017-05-16,3340,3410,3260,3340,95200,HAC
2017-05-17,3340,3410,3340,3410,20300,HAC
2017-05-18,3590,3590,3420,3500,68500,HAC
2017-05-19,3420,3500,3340,3420,51100,HAC
2017-05-22,3340,3500,3340,3420,40997,HAC
2017-05-23,3340,3420,3250,3340,49970,HAC
2017-05-24,3340,3420,3340,3420,8900,HAC
2017-05-25,3420,3500,3420,3420,187230,HAC
2017-05-26,3500,3500,3340,3420,53181,HAC
2017-05-29,3420,3420,3340,3340,8400,HAC
2017-05-30,3420,3420,3340,3340,76800,HAC
2017-05-31,3340,3420,3340,3340,8805,HAC
2017-06-01,3340,3420,3340,3420,23015,HAC
2017-06-02,3250,3340,3250,3250,3585,HAC
2017-06-05,3420,3420,3250,3340,17300,HAC
2017-06-06,3420,3420,3340,3340,14100,HAC
2017-06-07,3340,3420,3340,3420,13137,HAC
2017-06-08,3420,3420,3340,3340,13300,HAC
2017-06-09,3420,3420,3250,3250,6200,HAC
2017-06-12,3340,3420,3340,3340,15005,HAC
2017-06-13,3340,3340,3340,3340,6100,HAC
2017-06-14,3340,3420,3340,3420,5967,HAC
2017-06-15,3420,3420,3340,3340,7643,HAC
2017-06-16,3250,3340,3250,3340,714,HAC
2017-06-19,3340,3420,3340,3340,19600,HAC
2017-06-20,3340,3670,3340,3420,146100,HAC
2017-06-21,3500,3750,3500,3670,258717,HAC
2017-06-22,3670,3750,3500,3590,16720,HAC
2017-06-23,3670,3670,3420,3590,16237,HAC
2017-06-26,3500,3670,3420,3420,137366,HAC
2017-06-27,3420,3500,3340,3420,48812,HAC
2017-06-28,3420,3500,3420,3420,11140,HAC
2017-06-29,3420,3420,3340,3340,64911,HAC
2017-06-30,3340,3340,3340,3340,29300,HAC
2017-07-03,3340,3420,3340,3420,17340,HAC
2017-07-04,3340,3500,3340,3420,74300,HAC
2017-07-05,3500,3590,3420,3590,58135,HAC
2017-07-06,3590,3670,3500,3590,74610,HAC
2017-07-07,3590,3590,3500,3500,69238,HAC
2017-07-10,3420,3500,3340,3500,33430,HAC
2017-07-11,3420,3500,3420,3500,15200,HAC
2017-07-12,3420,3500,3420,3500,20232,HAC
2017-07-13,3500,3590,3420,3500,99320,HAC
2017-07-14,3500,3590,3500,3590,46813,HAC
2017-07-17,3500,3670,3420,3500,47152,HAC
2017-07-18,3500,3500,3420,3420,45201,HAC
2017-07-19,3500,3500,3420,3500,16900,HAC
2017-07-20,3500,3590,3500,3500,26700,HAC
2017-07-21,3500,3590,3500,3590,16800,HAC
2017-07-24,3420,3420,3340,3420,78534,HAC
2017-07-25,3340,3420,3340,3340,21411,HAC
2017-07-26,3420,3420,3420,3420,76210,HAC
2017-07-27,3420,3500,3340,3420,40550,HAC
2017-07-28,3420,3500,3420,3420,42746,HAC
2017-07-31,3420,3500,3420,3500,10710,HAC
2017-08-01,3500,3500,3420,3500,50712,HAC
2017-08-02,3420,3500,3420,3420,52875,HAC
2017-08-03,3500,3590,3420,3500,69634,HAC
2017-08-04,3500,3590,3420,3590,42475,HAC
2017-08-07,3590,3590,3500,3590,97102,HAC
2017-08-08,3590,3670,3500,3590,95213,HAC
2017-08-09,3590,3670,3500,3500,53801,HAC
2017-08-10,3500,3590,3500,3590,74153,HAC
2017-08-11,3500,3590,3420,3420,36351,HAC
2017-08-14,3500,3590,3500,3590,14916,HAC
2017-08-15,3590,3590,3500,3500,25720,HAC
2017-08-16,3500,3590,3500,3500,17090,HAC
2017-08-17,3590,3590,3420,3420,9100,HAC
2017-08-18,3420,3500,3340,3500,26911,HAC
2017-08-21,3420,3500,3420,3420,11200,HAC
2017-08-22,3500,3500,3340,3420,10130,HAC
2017-08-23,3420,3420,3340,3420,33229,HAC
2017-08-24,3340,3420,3340,3420,38500,HAC
2017-08-25,3420,3420,3340,3340,23877,HAC
2017-08-28,3340,3420,3340,3420,19700,HAC
2017-08-29,3340,3420,3340,3340,49010,HAC
2017-08-30,3340,3420,3340,3340,14811,HAC
2017-08-31,3340,3340,3340,3340,48623,HAC
2017-09-01,3340,3420,3340,3420,4510,HAC
2017-09-05,3340,3420,3340,3420,20800,HAC
2017-09-06,3420,3420,3340,3420,24600,HAC
2017-09-07,3420,3420,3340,3420,3700,HAC
2017-09-08,3420,3500,3420,3420,50534,HAC
2017-09-11,3420,3590,3420,3500,101500,HAC
2017-09-12,3590,3670,3590,3670,191237,HAC
2017-09-13,3670,4090,3670,3840,129395,HAC
2017-09-14,3840,3840,3670,3750,44532,HAC
2017-09-15,3670,3750,3670,3750,6910,HAC
2017-09-18,3670,3670,3590,3590,33400,HAC
2017-09-19,3590,3670,3500,3670,34724,HAC
2017-09-20,3590,3670,3590,3670,14850,HAC
2017-09-21,3670,3670,3590,3590,19166,HAC
2017-09-22,3590,3670,3590,3670,11400,HAC
2017-09-25,3670,3670,3590,3670,55400,HAC
2017-09-26,3590,3670,3590,3590,18303,HAC
2017-09-27,3590,3670,3500,3590,63807,HAC
2017-09-28,3670,3670,3590,3590,5216,HAC
2017-09-29,3670,3670,3590,3670,2732,HAC
2017-10-02,3670,3670,3590,3590,23800,HAC
2017-10-03,3590,3670,3590,3670,7211,HAC
2017-10-04,3670,3670,3670,3670,100,HAC
2017-10-05,3590,3670,3420,3670,21700,HAC
2017-10-06,3670,3670,3590,3590,7655,HAC
2017-10-09,3590,3670,3590,3670,2807,HAC
2017-10-10,3590,3590,3500,3590,18437,HAC
2017-10-11,3590,3670,3590,3590,46300,HAC
2017-10-12,3500,3670,3500,3500,10200,HAC
2017-10-13,3590,3750,3590,3670,55778,HAC
2017-10-16,3670,3750,3670,3670,52200,HAC
2017-10-17,3590,3670,3590,3670,47528,HAC
2017-10-18,3590,3590,3500,3590,23100,HAC
2017-10-19,3500,3590,3500,3500,46937,HAC
2017-10-20,3500,3500,3500,3500,14700,HAC
2017-10-23,3500,3500,3420,3420,29300,HAC
2017-10-24,3420,3500,3420,3500,25442,HAC
2017-10-25,3420,3500,3420,3420,27056,HAC
2017-10-26,3340,3420,3340,3340,19850,HAC
2017-10-27,3500,3500,3340,3340,23738,HAC
2017-10-30,3420,3420,3340,3340,5100,HAC
2017-10-31,3420,3420,3340,3420,26258,HAC
2017-11-01,3340,3340,3340,3340,0,HAC
2017-11-02,3340,3340,3250,3250,12300,HAC
2017-11-03,3250,3340,3250,3340,5300,HAC
2017-11-06,3420,3420,3250,3420,12704,HAC
2017-11-07,3420,3420,3250,3340,11200,HAC
2017-11-08,3250,3340,3250,3250,5600,HAC
2017-11-09,3340,3340,3250,3250,16200,HAC
2017-11-10,3250,3340,3170,3250,26550,HAC
2017-11-13,3250,3340,3250,3250,36600,HAC
2017-11-14,3250,3250,3250,3250,14126,HAC
2017-11-15,3340,3340,3170,3250,8300,HAC
2017-11-16,3340,3340,3250,3250,1900,HAC
2017-11-17,3170,3250,3170,3250,21212,HAC
2017-11-20,3170,3340,3170,3340,17300,HAC
2017-11-21,3250,3250,3250,3250,4900,HAC
2017-11-22,3250,3250,3170,3170,31200,HAC
2017-11-23,3170,3250,3170,3250,10720,HAC
2017-11-24,3250,3250,3170,3250,5000,HAC
2017-11-27,3170,3340,3170,3250,58945,HAC
2017-11-28,3250,3340,3250,3340,15883,HAC
2017-11-29,3170,3340,3170,3250,14206,HAC
2017-11-30,3250,3250,3170,3250,7406,HAC
2017-12-01,3250,3250,3170,3250,18966,HAC
2017-12-04,3250,3340,3250,3340,28700,HAC
2017-12-05,3340,3340,3250,3250,82940,HAC
2017-12-06,3340,3340,3250,3250,14600,HAC
2017-12-07,3250,3250,3250,3250,13943,HAC
2017-12-08,3250,3250,3170,3250,19688,HAC
2017-12-11,3250,3340,3170,3250,36371,HAC
2017-12-12,3250,3250,3170,3250,4258,HAC
2017-12-13,3250,3250,3170,3170,15616,HAC
2017-12-14,3250,3250,3250,3250,10100,HAC
2017-12-15,3250,3250,3250,3250,7600,HAC
2017-12-18,3250,3250,3250,3250,14045,HAC
2017-12-19,3250,3250,3250,3250,9100,HAC
2017-12-20,3250,3340,3250,3340,51966,HAC
2017-12-21,3340,3420,3340,3420,20497,HAC
2017-12-22,3340,3670,3340,3500,120668,HAC
2017-12-25,3500,3500,3420,3500,690,HAC
2017-12-26,3420,3420,3420,3420,899,HAC
2017-12-27,3420,3500,3420,3420,20600,HAC
2017-12-28,3340,3420,3340,3420,10134,HAC
2017-12-29,3340,3420,3340,3340,5394,HAC
2018-01-02,3250,3420,3250,3340,2800,HAC
2018-01-03,3340,3500,3340,3420,93133,HAC
2018-01-04,3500,3500,3420,3420,14600,HAC
2018-01-05,3420,3420,3420,3420,1690,HAC
2018-01-08,3340,3500,3340,3500,20384,HAC
2018-01-09,3420,3500,3340,3500,66155,HAC
2018-01-10,3340,3500,3340,3340,14866,HAC
2018-01-11,3340,3500,3340,3420,24451,HAC
2018-01-12,3420,3500,3420,3420,47774,HAC
2018-01-15,3420,3500,3420,3500,20241,HAC
2018-01-16,3500,3500,3340,3340,20288,HAC
2018-01-17,3340,3500,3340,3420,22000,HAC
2018-01-18,3340,3420,3340,3340,24443,HAC
2018-01-19,3420,3420,3340,3340,8242,HAC
2018-01-22,3340,3420,3170,3170,31450,HAC
2018-01-23,3250,3420,3170,3340,37164,HAC
2018-01-24,3250,3250,3170,3250,33500,HAC
2018-01-25,3170,3250,3000,3250,28900,HAC
2018-01-26,3170,3170,3170,3170,20430,HAC
2018-01-29,3250,3250,3170,3250,6777,HAC
2018-01-30,3250,3250,3170,3170,3137,HAC
2018-01-31,3250,3250,3090,3170,14500,HAC
2018-02-01,3170,3250,3170,3250,10200,HAC
2018-02-02,3170,3170,3170,3170,100,HAC
2018-02-05,3000,3170,3000,3090,8436,HAC
2018-02-06,2750,3000,2670,3000,970,HAC
2018-02-07,2920,3000,2920,2920,24100,HAC
2018-02-08,3000,3000,3000,3000,0,HAC
2018-02-09,2920,3170,2840,3170,5400,HAC
2018-02-12,3090,3090,2920,3090,2200,HAC
2018-02-13,2920,3000,2920,3000,3320,HAC
2018-02-21,2920,3090,2920,3090,3510,HAC
2018-02-22,3090,3090,3090,3090,0,HAC
2018-02-23,2920,3090,2920,3000,12420,HAC
2018-02-26,3090,3090,2920,3000,9620,HAC
2018-02-27,3000,3000,3000,3000,600,HAC
2018-02-28,3000,3000,3000,3000,0,HAC
2018-03-01,2840,3000,2840,3000,8802,HAC
2018-03-02,2920,3000,2920,2920,11604,HAC
2018-03-05,2920,2920,2920,2920,1833,HAC
2018-03-06,2920,3000,2750,3000,4178,HAC
2018-03-07,3000,3340,3000,3340,182500,HAC
2018-03-08,3340,3340,3250,3340,5332,HAC
2018-03-09,3250,3250,3170,3170,9600,HAC
2018-03-12,3250,3250,3170,3250,13952,HAC
2018-03-13,3250,3250,3250,3250,100,HAC
2018-03-14,3250,3250,3250,3250,120,HAC
2018-03-15,3170,3170,3170,3170,800,HAC
2018-03-16,3250,3250,3090,3170,28550,HAC
2018-03-19,3170,3250,3090,3170,8500,HAC
2018-03-20,3250,3250,3250,3250,117,HAC
2018-03-21,3250,3250,2920,3170,21888,HAC
2018-03-22,3090,3090,3090,3090,700,HAC
2018-03-23,2920,3090,2920,3090,1610,HAC
2018-03-26,3090,3090,2920,3090,3800,HAC
2018-03-27,2920,3090,2920,3000,11116,HAC
2018-03-28,3000,3000,2840,2840,5300,HAC
2018-03-29,3000,3000,3000,3000,100,HAC
2018-03-30,3000,3000,2840,3000,5100,HAC
2018-04-02,3000,3090,2840,2840,6605,HAC
2018-04-03,3090,3090,3000,3000,302,HAC
2018-04-04,3000,3090,3000,3090,201,HAC
2018-04-05,3000,3000,3000,3000,1400,HAC
2018-04-06,2920,3000,2840,3000,7492,HAC
2018-04-09,3000,3000,2840,3000,7946,HAC
2018-04-10,3090,3090,3090,3090,180,HAC
2018-04-11,3090,3090,3090,3090,200,HAC
2018-04-12,3090,3090,3090,3090,0,HAC
2018-04-13,3000,3000,3000,3000,200,HAC
2018-04-16,2920,2920,2920,2920,100,HAC
2018-04-17,3000,3000,3000,3000,200,HAC
2018-04-18,2840,3000,2840,3000,1222,HAC
2018-04-19,2840,2840,2670,2750,16500,HAC
2018-04-20,2840,3000,2750,2750,22050,HAC
2018-04-23,2840,2840,2840,2840,300,HAC
2018-04-24,2840,2840,2840,2840,0,HAC
2018-04-26,2670,2750,2500,2750,4100,HAC
2018-04-27,2750,2840,2750,2840,15600,HAC
2018-05-02,2500,2840,2500,2840,102508,HAC
2018-05-03,2670,2840,2670,2840,1344,HAC
2018-05-04,2750,2750,2670,2750,17503,HAC
2018-05-07,2750,2750,2750,2750,190,HAC
2018-05-08,2750,2840,2750,2750,6000,HAC
2018-05-09,2840,2840,2840,2840,0,HAC
2018-05-10,2750,2750,2670,2750,4900,HAC
2018-05-11,2670,2670,2670,2670,1000,HAC
2018-05-14,2670,2670,2670,2670,0,HAC
2018-05-15,2750,2750,2750,2750,2300,HAC
2018-05-16,2840,2920,2750,2750,30400,HAC
2018-05-17,2750,2840,2750,2750,8400,HAC
2018-05-18,2840,3090,2840,3090,135900,HAC
2018-05-21,3090,3250,3090,3250,148599,HAC
2018-05-22,3250,3250,2920,2920,31300,HAC
2018-05-23,2840,3090,2840,3090,2160,HAC
2018-05-24,3090,3090,2840,2840,12800,HAC
2018-05-25,2750,3000,2750,2920,8310,HAC
2018-05-28,2750,2750,2670,2670,8700,HAC
2018-05-29,2670,2750,2670,2750,6694,HAC
2018-05-30,2670,2750,2670,2750,18000,HAC
2018-05-31,2750,2750,2750,2750,21231,HAC
2018-06-01,2750,2750,2750,2750,22100,HAC
2018-06-04,2750,2750,2750,2750,0,HAC
2018-06-05,2670,2750,2670,2750,10520,HAC
2018-06-06,2670,2670,2670,2670,15000,HAC
2018-06-07,2590,2670,2590,2670,1100,HAC
2018-06-08,2670,2670,2590,2590,4906,HAC
2018-06-11,2590,2670,2590,2590,11000,HAC
2018-06-12,2590,2670,2590,2590,5300,HAC
2018-06-13,2670,2670,2590,2590,46275,HAC
2018-06-14,2590,2670,2590,2590,20100,HAC
2018-06-15,2500,2590,2500,2590,14170,HAC
2018-06-18,2590,2590,2590,2590,1000,HAC
2018-06-19,2590,2590,2500,2500,24134,HAC
2018-06-20,2590,2590,2590,2590,26,HAC
2018-06-21,2420,2500,2250,2500,2100,HAC
2018-06-22,2590,2590,2590,2590,156,HAC
2018-06-25,2500,2590,2500,2500,5303,HAC
2018-06-26,2340,2340,2340,2340,1000,HAC
2018-06-27,2590,2590,2340,2340,11730,HAC
2018-06-28,2340,2590,2340,2500,41900,HAC
2018-06-29,2500,2670,2500,2670,42361,HAC
2018-07-02,2500,2500,2500,2500,6168,HAC
2018-07-03,2500,2500,2500,2500,1500,HAC
2018-07-04,2750,2750,2750,2750,161,HAC
2018-07-05,2500,2590,2420,2590,9800,HAC
2018-07-06,2500,2500,2420,2420,8800,HAC
2018-07-09,2500,2500,2420,2500,12928,HAC
2018-07-10,2500,2500,2500,2500,3700,HAC
2018-07-11,2500,2590,2500,2500,48400,HAC
2018-07-12,2500,2500,2340,2500,615600,HAC
2018-07-13,2340,2500,2340,2500,3121,HAC
2018-07-16,2500,2590,2500,2500,13620,HAC
2018-07-17,2500,2500,2500,2500,27000,HAC
2018-07-18,2500,2590,2500,2590,36647,HAC
2018-07-19,2590,2670,2590,2590,20700,HAC
2018-07-20,2590,2670,2590,2590,20500,HAC
2018-07-23,2590,2590,2590,2590,53200,HAC
