time,open,high,low,close,volume,ticker
2013-01-02,6200,6300,6200,6300,300,HBS
2013-01-03,6300,6300,6300,6300,50000,HBS
2013-01-04,6200,6400,6100,6400,48100,HBS
2013-01-07,6300,6300,6300,6300,100,HBS
2013-01-08,6300,6300,6300,6300,100,HBS
2013-01-09,6200,6300,6100,6300,91700,HBS
2013-01-10,6200,6400,6200,6400,2100,HBS
2013-01-11,6200,6200,6200,6200,100,HBS
2013-01-14,6100,6200,5800,6200,3700,HBS
2013-01-15,6100,6200,6100,6200,292100,HBS
2013-01-16,6200,6400,6100,6400,25000,HBS
2013-01-17,6300,6400,6300,6300,5300,HBS
2013-01-18,6300,6400,6300,6400,216100,HBS
2013-01-21,6300,6300,6200,6300,4400,HBS
2013-01-22,6300,6300,6300,6300,100,HBS
2013-01-23,6200,6300,6200,6300,136500,HBS
2013-01-24,6300,6300,6200,6300,68100,HBS
2013-01-25,6200,6200,6200,6200,82100,HBS
2013-01-28,6100,6100,6100,6100,1500,HBS
2013-01-29,6200,6200,6200,6200,60100,HBS
2013-01-30,6100,6200,6100,6200,73700,HBS
2013-01-31,6100,6100,6000,6000,63200,HBS
2013-02-01,6200,6200,6200,6200,100,HBS
2013-02-04,6200,6200,6200,6200,100,HBS
2013-02-05,6100,6100,6100,6100,90000,HBS
2013-02-06,6100,6100,6100,6100,0,HBS
2013-02-07,6100,6100,6100,6100,30000,HBS
2013-02-08,6200,6200,6100,6200,25300,HBS
2013-02-18,6200,6300,6200,6300,70100,HBS
2013-02-19,6300,6300,6100,6300,39600,HBS
2013-02-20,6100,6200,6000,6000,223400,HBS
2013-02-21,6000,6000,5800,5900,27100,HBS
2013-02-22,6100,6100,6100,6100,100,HBS
2013-02-25,6100,6100,6100,6100,100,HBS
2013-02-26,6100,6100,6000,6000,29100,HBS
2013-02-27,5900,5900,5900,5900,61700,HBS
2013-02-28,6000,6000,6000,6000,100,HBS
2013-03-01,6100,6100,5700,5900,40400,HBS
2013-03-04,6000,6000,6000,6000,100,HBS
2013-03-05,6000,6000,6000,6000,100,HBS
2013-03-06,6000,6000,6000,6000,200,HBS
2013-03-07,6000,6000,5800,5900,400,HBS
2013-03-08,6000,6000,5600,6000,4500,HBS
2013-03-11,6000,6000,5800,5800,91200,HBS
2013-03-12,6000,6000,5700,5800,100700,HBS
2013-03-13,5900,5900,5800,5900,20900,HBS
2013-03-14,6000,6000,5800,5800,50500,HBS
2013-03-15,6000,6000,5300,5700,53300,HBS
2013-03-18,5900,5900,5800,5800,65300,HBS
2013-03-19,5900,5900,5800,5800,50300,HBS
2013-03-20,5800,5800,5700,5700,90300,HBS
2013-03-21,5800,5900,5500,5500,21500,HBS
2013-03-22,5800,5800,5800,5800,100,HBS
2013-03-25,5800,5800,5800,5800,0,HBS
2013-03-26,5400,5900,5400,5900,500,HBS
2013-03-27,5400,5800,5400,5800,6700,HBS
2013-03-28,5800,5800,5400,5700,900,HBS
2013-03-29,5500,5500,5500,5500,0,HBS
2013-04-01,5600,5600,5600,5600,100,HBS
2013-04-02,5600,5600,5600,5600,5800,HBS
2013-04-03,5200,5300,5100,5300,8000,HBS
2013-04-04,5300,5300,5300,5300,0,HBS
2013-04-05,5000,5100,4800,4800,7800,HBS
2013-04-08,4800,4800,4400,4700,5600,HBS
2013-04-09,4500,4700,4500,4700,1100,HBS
2013-04-10,4500,4600,4500,4600,2100,HBS
2013-04-11,4300,4300,4300,4300,3000,HBS
2013-04-12,4000,4300,3900,4300,14800,HBS
2013-04-15,4000,4000,4000,4000,700,HBS
2013-04-16,3700,4000,3700,4000,1100,HBS
2013-04-17,3700,4000,3700,3900,3100,HBS
2013-04-18,3600,4100,3600,4100,7800,HBS
2013-04-22,4100,4200,4100,4200,4600,HBS
2013-04-23,4200,4200,4100,4200,1700,HBS
2013-04-24,4300,4300,4200,4300,400,HBS
2013-04-25,4300,4300,4000,4300,18200,HBS
2013-04-26,4300,4300,4200,4200,25000,HBS
2013-05-02,4200,4200,4200,4200,51800,HBS
2013-05-03,4300,4300,4300,4300,25700,HBS
2013-05-06,4300,4500,4200,4300,57700,HBS
2013-05-07,4300,4300,4200,4300,53100,HBS
2013-05-08,4300,4300,4100,4200,57400,HBS
2013-05-09,4100,4300,4100,4200,42500,HBS
2013-05-10,4200,4300,4200,4200,16400,HBS
2013-05-13,4300,4300,4100,4200,70500,HBS
2013-05-14,4100,4200,4100,4200,56800,HBS
2013-05-15,4300,4300,4200,4300,139800,HBS
2013-05-16,4300,4400,4200,4400,87000,HBS
2013-05-17,4400,4400,4400,4400,40000,HBS
2013-05-20,4400,4400,4300,4400,16200,HBS
2013-05-21,4400,4500,4400,4500,4600,HBS
2013-05-22,4500,4600,4400,4600,73400,HBS
2013-05-23,4600,4700,4500,4700,46300,HBS
2013-05-24,4800,4900,4500,4800,54200,HBS
2013-05-27,4800,4900,4800,4900,65300,HBS
2013-05-28,4800,4800,4800,4800,40400,HBS
2013-05-29,4900,4900,4900,4900,49700,HBS
2013-05-30,4900,5000,4900,4900,54600,HBS
2013-05-31,4900,5000,4900,4900,52200,HBS
2013-06-03,4900,5000,4800,4900,53600,HBS
2013-06-04,4800,4900,4800,4900,43800,HBS
2013-06-05,4900,4900,4800,4900,38100,HBS
2013-06-06,4900,4900,4800,4800,8100,HBS
2013-06-07,4800,4800,4800,4800,0,HBS
2013-06-10,4800,4800,4800,4800,200,HBS
2013-06-11,4800,4800,4800,4800,0,HBS
2013-06-12,4700,4800,4600,4800,600,HBS
2013-06-13,4800,4800,4800,4800,200,HBS
2013-06-14,4700,4800,4700,4800,300,HBS
2013-06-17,4800,4800,4800,4800,300,HBS
2013-06-18,4800,4800,4800,4800,200,HBS
2013-06-19,4800,4800,4800,4800,18900,HBS
2013-06-20,4800,4800,4800,4800,800,HBS
2013-06-21,4700,4800,4700,4800,200,HBS
2013-06-24,4700,4800,4500,4800,1000,HBS
2013-06-25,4700,4700,4600,4600,7100,HBS
2013-06-26,4700,4700,4700,4700,1200,HBS
2013-06-27,4800,4800,4800,4800,100,HBS
2013-06-28,4800,4800,4800,4800,0,HBS
2013-07-01,4800,4800,4800,4800,0,HBS
2013-07-02,4600,4700,4600,4700,600,HBS
2013-07-03,4700,4700,4700,4700,0,HBS
2013-07-04,4600,4600,4600,4600,100,HBS
2013-07-05,4700,4700,4500,4700,4400,HBS
2013-07-08,4700,4700,4700,4700,0,HBS
2013-07-09,4700,4700,4700,4700,0,HBS
2013-07-10,4500,4700,4300,4700,4400,HBS
2013-07-11,4300,4800,4300,4800,600,HBS
2013-07-12,4700,4700,4700,4700,1900,HBS
2013-07-15,4400,4600,4300,4500,7600,HBS
2013-07-16,4100,4500,4100,4500,700,HBS
2013-07-17,4500,4500,4500,4500,0,HBS
2013-07-18,4500,4500,4200,4500,22100,HBS
2013-07-19,4200,4400,4100,4400,5300,HBS
2013-07-22,4400,4400,4400,4400,21800,HBS
2013-07-23,4200,4200,4200,4200,25000,HBS
2013-07-24,4000,4200,4000,4200,300,HBS
2013-07-25,4000,4000,4000,4000,1000,HBS
2013-07-26,4400,4400,4400,4400,100,HBS
2013-07-29,4400,4800,4800,4400,0,HBS
2013-07-30,4400,4800,4800,4400,0,HBS
2013-07-31,4300,4800,4300,4300,10000,HBS
2013-08-01,4300,4700,4700,4700,0,HBS
2013-08-02,4300,4300,4300,4300,900,HBS
2013-08-05,4300,4700,4300,4300,10000,HBS
2013-08-06,4400,4700,4300,4300,3400,HBS
2013-08-07,4300,4700,4700,4700,0,HBS
2013-08-08,4300,4700,4700,4700,0,HBS
2013-08-09,4300,4700,4700,4700,40,HBS
2013-08-12,4300,4700,4300,4300,10000,HBS
2013-08-13,4300,4700,4700,4700,0,HBS
2013-08-14,4300,4300,4300,4300,20000,HBS
2013-08-15,3900,4200,3900,4200,300,HBS
2013-08-16,4300,4300,4300,4300,20000,HBS
2013-08-19,4300,4700,4700,4700,0,HBS
2013-08-20,4300,4300,4300,4300,200,HBS
