time,open,high,low,close,volume,ticker
2013-01-02,3910,3950,3810,3810,72680,HCM
2013-01-03,3840,3840,3620,3620,203610,HCM
2013-01-04,3680,3770,3660,3730,67680,HCM
2013-01-07,3730,3810,3660,3660,73120,HCM
2013-01-08,3660,3840,3620,3820,239580,HCM
2013-01-09,3970,4000,3680,3730,350140,HCM
2013-01-10,3770,3790,3710,3770,330580,HCM
2013-01-11,3820,3840,3700,3710,264260,HCM
2013-01-14,3660,3820,3640,3710,80460,HCM
2013-01-15,3770,3880,3700,3840,179350,HCM
2013-01-16,3840,4000,3770,3770,375630,HCM
2013-01-17,3810,3820,3730,3730,181860,HCM
2013-01-18,3660,3730,3640,3660,104970,HCM
2013-01-21,3660,3790,3640,3660,120190,HCM
2013-01-22,3620,3700,3590,3640,127570,HCM
2013-01-23,3640,3700,3620,3700,109050,HCM
2013-01-24,3730,3770,3710,3770,145310,HCM
2013-01-25,3820,3910,3790,3860,174490,HCM
2013-01-28,3880,4000,3860,3900,249130,HCM
2013-01-29,3900,3930,3880,3910,85850,HCM
2013-01-30,3910,3970,3840,3910,124110,HCM
2013-01-31,3840,3880,3790,3790,84640,HCM
2013-02-01,3790,3810,3730,3790,46740,HCM
2013-02-04,3820,3880,3770,3810,106160,HCM
2013-02-05,3790,3840,3750,3810,94240,HCM
2013-02-06,3860,3950,3810,3950,192180,HCM
2013-02-07,4000,4059,3970,4040,153370,HCM
2013-02-08,4019,4120,4019,4070,151660,HCM
2013-02-18,4100,4120,4070,4080,125490,HCM
2013-02-19,4080,4080,3990,3990,191870,HCM
2013-02-20,4000,4000,3950,3970,211590,HCM
2013-02-21,3950,4000,3710,3710,247220,HCM
2013-02-22,3730,3860,3640,3730,376340,HCM
2013-02-25,3750,3860,3730,3810,202890,HCM
2013-02-26,3750,3790,3570,3590,168830,HCM
2013-02-27,3730,3730,3550,3680,232490,HCM
2013-02-28,3710,3730,3660,3680,117040,HCM
2013-03-01,3680,3710,3660,3680,66120,HCM
2013-03-04,3640,3640,3570,3570,232430,HCM
2013-03-05,3550,3590,3470,3510,64210,HCM
2013-03-06,3590,3620,3520,3610,88980,HCM
2013-03-07,3620,3640,3550,3590,89290,HCM
2013-03-08,3640,3640,3570,3620,35950,HCM
2013-03-11,3700,3730,3620,3730,118180,HCM
2013-03-12,3710,3750,3680,3700,57760,HCM
2013-03-13,3700,3730,3680,3680,50690,HCM
2013-03-14,3700,3730,3660,3700,105450,HCM
2013-03-15,3710,3900,3710,3860,329490,HCM
2013-03-18,3860,4000,3860,3880,217060,HCM
2013-03-19,3840,3990,3840,3910,308230,HCM
2013-03-20,3950,3970,3880,3910,305050,HCM
2013-03-21,3930,3970,3880,3880,253810,HCM
2013-03-22,3900,3910,3790,3860,140750,HCM
2013-03-25,3840,3900,3790,3860,95490,HCM
2013-03-26,3880,3880,3820,3820,153000,HCM
2013-03-27,3810,3840,3770,3790,110950,HCM
2013-03-28,3750,3820,3750,3750,83050,HCM
2013-03-29,3660,3750,3660,3730,104750,HCM
2013-04-01,3700,3820,3700,3820,189210,HCM
2013-04-02,3820,3900,3810,3810,235090,HCM
2013-04-03,3820,3840,3770,3810,225170,HCM
2013-04-04,3810,3810,3750,3770,269910,HCM
2013-04-05,3810,3810,3730,3810,242600,HCM
2013-04-08,3820,4059,3820,4040,1384020,HCM
2013-04-09,4059,4190,4059,4120,565660,HCM
2013-04-10,4100,4140,3990,3990,479580,HCM
2013-04-11,4080,4100,3970,3990,627620,HCM
2013-04-12,3950,4000,3820,3840,353220,HCM
2013-04-15,3790,3820,3640,3640,402110,HCM
2013-04-16,3620,3710,3550,3660,394430,HCM
2013-04-17,3680,3730,3680,3710,154690,HCM
2013-04-18,3700,3700,3590,3620,194390,HCM
2013-04-22,3610,3660,3590,3590,145290,HCM
2013-04-23,3590,3660,3590,3660,51470,HCM
2013-04-24,3640,3680,3640,3640,68260,HCM
2013-04-25,3680,3750,3660,3730,129570,HCM
2013-04-26,3730,3750,3660,3660,69650,HCM
2013-05-02,3700,3730,3680,3700,144460,HCM
2013-05-03,3700,3750,3700,3730,194880,HCM
2013-05-06,3770,3910,3750,3910,146760,HCM
2013-05-07,3910,3950,3840,3840,192190,HCM
2013-05-08,3880,3880,3840,3860,147380,HCM
2013-05-09,3860,3950,3860,3930,172780,HCM
2013-05-10,3950,3970,3910,3930,171230,HCM
2013-05-13,3950,3970,3900,3910,87410,HCM
2013-05-14,3950,3950,3840,3840,147000,HCM
2013-05-15,3840,3860,3780,3840,179690,HCM
2013-05-16,3890,3910,3840,3880,41150,HCM
2013-05-17,3860,3880,3820,3820,52340,HCM
2013-05-20,3820,3880,3800,3860,95710,HCM
2013-05-21,3910,4010,3910,3990,324730,HCM
2013-05-22,4010,4030,3970,3970,217480,HCM
2013-05-23,4010,4010,3950,3970,139890,HCM
2013-05-24,3970,4059,3970,4050,207470,HCM
2013-05-27,4100,4160,4080,4100,339110,HCM
2013-05-28,4100,4140,4080,4100,216770,HCM
2013-05-29,4160,4250,4100,4180,571010,HCM
2013-05-30,4180,4180,4100,4180,160860,HCM
2013-05-31,4210,4250,4180,4180,334350,HCM
2013-06-03,4180,4200,4120,4140,162220,HCM
2013-06-04,4160,4200,4120,4120,318500,HCM
