time,open,high,low,close,volume,ticker
2013-01-02,2550,2550,2550,2550,1930,HDC
2013-01-03,2450,2450,2430,2430,21640,HDC
2013-01-04,2430,2500,2410,2500,560,HDC
2013-01-07,2390,2450,2380,2450,12870,HDC
2013-01-08,2480,2500,2430,2480,11770,HDC
2013-01-09,2410,2500,2410,2500,8640,HDC
2013-01-10,2390,2430,2390,2410,6450,HDC
2013-01-11,2460,2460,2410,2430,29510,HDC
2013-01-14,2430,2540,2430,2540,12550,HDC
2013-01-15,2590,2700,2590,2700,14880,HDC
2013-01-16,2700,2870,2700,2870,12500,HDC
2013-01-17,3040,3040,2930,2930,4600,HDC
2013-01-18,2930,2930,2740,2740,2310,HDC
2013-01-21,2740,2860,2740,2770,19880,HDC
2013-01-22,2770,2780,2680,2780,17610,HDC
2013-01-23,2640,2970,2640,2970,6340,HDC
2013-01-24,2780,3000,2780,3000,14380,HDC
2013-01-25,2860,3000,2860,3000,530,HDC
2013-01-28,2860,3040,2860,3040,10010,HDC
2013-01-29,3060,3060,3060,3060,20000,HDC
2013-01-30,3000,3000,3000,3000,4760,HDC
2013-01-31,3000,3020,3000,3020,20800,HDC
2013-02-01,2860,3020,2860,3020,10030,HDC
2013-02-04,3130,3130,3130,3130,10,HDC
2013-02-05,2970,3090,2970,3090,6010,HDC
2013-02-06,3090,3090,3090,3090,30,HDC
2013-02-07,3040,3040,3000,3000,13000,HDC
2013-02-08,3040,3040,3040,3040,5000,HDC
2013-02-18,3000,3020,3000,3020,10080,HDC
2013-02-19,3000,3040,3000,3020,21730,HDC
2013-02-20,3020,3020,3020,3020,0,HDC
2013-02-21,3000,3000,2860,2860,13000,HDC
2013-02-22,3040,3040,3040,3040,210,HDC
2013-02-25,3040,3040,3040,3040,0,HDC
2013-02-26,3040,3040,3040,3040,0,HDC
2013-02-27,3040,3040,3040,3040,0,HDC
2013-02-28,2860,3020,2860,3020,60,HDC
2013-03-01,3020,3020,3020,3020,0,HDC
2013-03-04,2820,2820,2820,2820,10,HDC
2013-03-05,2620,2940,2620,2940,4080,HDC
2013-03-06,2780,3000,2750,3000,40,HDC
2013-03-07,2840,3020,2840,3020,20,HDC
2013-03-08,2820,2820,2820,2820,200,HDC
2013-03-11,2700,2860,2680,2680,7330,HDC
2013-03-12,2590,2860,2590,2860,1650,HDC
