time,open,high,low,close,volume,ticker
2017-10-05,9180,9180,9180,9180,0,HNA
2017-10-06,9180,9180,9180,9180,0,HNA
2017-10-09,9180,9180,9180,9180,0,HNA
2017-10-10,9180,9180,9180,9180,0,HNA
2017-10-11,9180,9180,9180,9180,0,HNA
2017-10-12,12850,12850,12850,12850,6100,HNA
2017-10-13,14780,14780,14780,14780,1650,HNA
2017-10-16,16970,16970,16970,16970,4100,HNA
2017-10-17,19450,19450,19450,19450,10490,HNA
2017-10-18,22300,22300,20650,21100,3600,HNA
2017-10-19,21100,21100,20650,20650,1300,HNA
2017-10-20,19720,20650,19720,20550,1420,HNA
2017-10-23,20730,20730,20550,20550,3460,HNA
2017-10-24,20730,20730,20730,20730,10,HNA
2017-10-25,20730,20730,20730,20730,70,HNA
2017-10-26,20730,20730,20730,20730,0,HNA
2017-10-27,17710,17710,17710,17710,4700,HNA
2017-10-30,17710,17710,17710,17710,100,HNA
2017-10-31,17710,17710,17710,17710,0,HNA
2017-11-01,17710,17710,17710,17710,0,HNA
2017-11-02,15140,15140,15140,15140,3000,HNA
2017-11-03,12940,12940,12940,12940,1270,HNA
2017-11-06,11010,11010,11010,11010,4179,HNA
2017-11-07,9360,9360,9360,9360,1970,HNA
2017-11-08,9260,9260,8080,8080,9080,HNA
2017-11-09,8900,8900,8900,8900,0,HNA
2017-11-10,9180,10090,9180,10090,1750,HNA
2017-11-13,10090,10270,10090,10270,1200,HNA
2017-11-14,10460,10460,10090,10090,2170,HNA
2017-11-15,8810,9630,8810,9630,1970,HNA
2017-11-16,10270,10270,10270,10270,1600,HNA
2017-11-17,9630,9630,9630,9630,370,HNA
2017-11-20,9180,9180,9180,9180,800,HNA
2017-11-21,9180,9180,9180,9180,341,HNA
2017-11-22,8260,8260,8260,8260,380,HNA
2017-11-23,9450,9450,9450,9450,700,HNA
2017-11-24,9450,9450,9450,9450,0,HNA
2017-11-27,9450,9450,9360,9360,670,HNA
2017-11-28,10090,10270,10090,10270,1129,HNA
2017-11-29,10190,10190,10190,10190,70,HNA
2017-11-30,10190,10190,10190,10190,0,HNA
2017-12-01,9360,9360,9360,9360,5300,HNA
2017-12-04,9360,9450,9360,9450,2850,HNA
2017-12-05,9820,10090,9820,10090,1410,HNA
2017-12-06,10090,10090,10090,10090,0,HNA
2017-12-07,9180,9180,9180,9180,370,HNA
2017-12-08,9180,9910,9180,9910,2210,HNA
2017-12-11,9910,9910,9910,9910,400,HNA
2017-12-12,9820,9820,9820,9820,1000,HNA
2017-12-13,9820,9820,9820,9820,460,HNA
2017-12-14,9180,9180,9180,9180,600,HNA
2017-12-15,9630,9630,9630,9630,641,HNA
2017-12-18,8720,9630,8720,9630,1600,HNA
2017-12-19,9730,9730,9730,9730,100,HNA
2017-12-20,9630,9630,9630,9630,100,HNA
2017-12-21,9630,10090,9630,9630,2630,HNA
2017-12-22,9630,9630,9630,9630,0,HNA
2017-12-25,9630,9630,9630,9630,0,HNA
2017-12-26,9630,9630,9630,9630,0,HNA
2017-12-27,10090,10090,10090,10090,350,HNA
2017-12-28,9550,9550,9550,9550,400,HNA
2017-12-29,9550,9550,9550,9550,0,HNA
2018-01-02,9550,9550,9550,9550,70,HNA
2018-01-03,9550,9550,9550,9550,0,HNA
2018-01-04,9550,9550,9550,9550,0,HNA
2018-01-05,9550,9550,9550,9550,0,HNA
2018-01-08,9550,9550,9180,9450,2400,HNA
2018-01-09,9550,9630,9450,9630,500,HNA
2018-01-10,9550,9550,9550,9550,0,HNA
2018-01-11,9550,9550,9550,9550,10,HNA
2018-01-12,9630,9630,9550,9550,2500,HNA
2018-01-15,9630,9820,9550,9820,1100,HNA
2018-01-16,9630,9730,9630,9730,2990,HNA
2018-01-17,9630,9630,9450,9630,4010,HNA
2018-01-18,9630,9630,9450,9630,1300,HNA
2018-01-19,9450,9450,9260,9260,1440,HNA
2018-01-22,9550,9550,9550,9550,100,HNA
2018-01-23,9550,9550,9550,9550,0,HNA
2018-01-24,9550,9550,9550,9550,0,HNA
2018-01-25,9730,9730,9730,9730,600,HNA
2018-01-26,9820,9820,9730,9730,5500,HNA
2018-01-29,9730,9730,9730,9730,0,HNA
2018-01-30,9730,9730,9730,9730,0,HNA
2018-01-31,9730,9730,9730,9730,2200,HNA
2018-02-01,9730,9730,9730,9730,0,HNA
2018-02-02,9550,9630,9550,9630,8300,HNA
2018-02-05,10090,10090,9450,9450,1200,HNA
2018-02-06,9260,10090,9260,10090,1800,HNA
2018-02-07,9360,9360,9360,9360,2000,HNA
2018-02-08,9360,9360,9360,9360,0,HNA
