time,open,high,low,close,volume,ticker
2015-06-11,4130,4130,4130,4130,0,HPD
2015-06-12,4130,4130,4130,4130,0,HPD
2015-06-15,4130,4130,4130,4130,0,HPD
2015-06-16,4130,4130,4130,4130,0,HPD
2015-06-17,4130,4130,4130,4130,0,HPD
2015-06-18,4130,4130,4130,4130,0,HPD
2015-06-19,4130,4130,4130,4130,0,HPD
2015-06-22,4130,4130,4130,4130,0,HPD
2015-06-23,5120,5710,5120,5710,2000,HPD
2015-06-24,5430,5430,5430,5430,0,HPD
2015-06-25,5430,5430,5430,5430,0,HPD
2015-06-26,5520,5520,5520,5520,19000,HPD
2015-06-29,5000,5000,5000,5000,4900,HPD
2015-06-30,5000,5000,5000,5000,0,HPD
2015-07-01,4420,4420,4420,4420,3500,HPD
2015-07-02,4420,4420,4420,4420,0,HPD
2015-07-03,5050,5050,5050,5050,100,HPD
2015-07-06,4530,4530,4530,4530,3000,HPD
2015-07-07,4770,4770,4770,4770,100,HPD
2015-07-08,4700,4770,4700,4770,11500,HPD
2015-07-09,4920,4920,4920,4920,100,HPD
2015-07-10,4610,4610,4610,4610,100,HPD
2015-07-13,4920,4920,4770,4770,3500,HPD
2015-07-14,4810,4810,4810,4810,2500,HPD
2015-07-15,4720,4720,4090,4130,22800,HPD
2015-07-16,4530,4770,4530,4770,2300,HPD
2015-07-17,4090,4090,4090,4090,1500,HPD
2015-07-20,4530,4700,4260,4700,2404200,HPD
2015-07-21,4890,4890,4890,4890,6300,HPD
2015-07-22,4530,5200,4530,5120,45100,HPD
2015-07-23,4650,5120,4530,5120,65400,HPD
2015-07-24,4810,4810,4810,4810,0,HPD
2015-07-27,4810,4810,4810,4810,0,HPD
2015-07-28,5120,5350,5120,5120,5300,HPD
2015-07-29,4960,5120,4960,5120,7000,HPD
2015-07-30,5350,5350,5350,5350,1500,HPD
2015-07-31,5120,5120,4570,4720,45100,HPD
2015-08-03,4770,5080,4770,5080,15100,HPD
2015-08-04,5120,5120,5120,5120,1000,HPD
2015-08-05,5320,5320,5320,5320,3000,HPD
2015-08-06,4960,4960,4960,4960,5000,HPD
2015-08-07,4720,4720,4720,4720,10000,HPD
2015-08-10,4840,5320,4840,5320,11000,HPD
2015-08-11,4810,5320,4810,5320,9200,HPD
2015-08-12,5200,5320,5200,5320,4700,HPD
2015-08-13,4770,4770,4770,4770,13600,HPD
2015-08-14,4720,4720,4720,4720,5000,HPD
2015-08-17,4960,4960,4960,4960,5000,HPD
2015-08-18,5120,5320,5120,5120,4500,HPD
2015-08-19,5320,5320,5320,5320,34100,HPD
2015-08-20,5320,5320,5320,5320,0,HPD
2015-08-21,5320,5320,5320,5320,0,HPD
2015-08-24,5240,5520,4770,4770,34300,HPD
2015-08-25,5350,5350,5350,5350,0,HPD
2015-08-27,5200,5200,5200,5200,9600,HPD
2015-08-28,5200,5200,5200,5200,0,HPD
2015-08-31,4490,4530,4490,4530,11000,HPD
2015-09-01,4490,4490,4490,4490,0,HPD
2015-09-03,5160,5160,5160,5160,1000,HPD
2015-09-04,4570,5320,4570,5320,7700,HPD
2015-09-07,4650,4720,4650,4720,5700,HPD
2015-09-08,5320,5350,5320,5350,7200,HPD
2015-09-09,5710,5710,4720,5520,15300,HPD
2015-09-10,5670,5670,5670,5670,0,HPD
2015-09-11,5670,5670,5670,5670,0,HPD
2015-09-14,4920,5430,4920,5430,15400,HPD
2015-09-15,5520,5520,5520,5520,4600,HPD
2015-09-16,5520,5550,5520,5550,1200,HPD
2015-09-17,5520,5520,5520,5520,0,HPD
2015-09-18,4960,4960,4960,4960,3000,HPD
2015-09-21,5200,5200,5120,5120,2900,HPD
2015-09-22,5160,5160,5160,5160,0,HPD
2015-09-23,5160,5160,5160,5160,0,HPD
2015-09-24,5160,5160,5160,5160,0,HPD
2015-09-25,5320,5320,5280,5280,4600,HPD
2015-09-28,5320,5320,5320,5320,0,HPD
2015-09-29,5320,5320,5320,5320,0,HPD
2015-09-30,5320,5320,5320,5320,0,HPD
2015-10-01,5920,5920,5920,5920,35000,HPD
2015-10-02,5120,5120,5120,5120,2900,HPD
2015-10-05,5710,5710,5710,5710,1200,HPD
2015-10-06,5590,5710,5590,5710,11800,HPD
2015-10-07,5710,5710,5710,5710,0,HPD
2015-10-08,5710,5710,5710,5710,900,HPD
2015-10-09,5710,5710,5710,5710,0,HPD
2015-10-12,5710,5710,5710,5710,0,HPD
2015-10-14,5710,5710,5710,5710,0,HPD
2015-10-15,5710,5710,5710,5710,0,HPD
2015-10-16,5520,5520,5520,5520,1000,HPD
2015-10-20,5920,5920,5520,5520,41000,HPD
2015-10-21,5920,5920,5920,5920,0,HPD
2015-10-22,5920,5920,5920,5920,0,HPD
2015-10-23,5320,5320,5320,5320,200,HPD
2015-10-26,5320,5320,5320,5320,1000,HPD
2015-10-27,5320,5320,5320,5320,0,HPD
2015-10-28,5320,5320,5320,5320,0,HPD
2015-10-29,5320,5320,5320,5320,2200,HPD
2015-10-30,5320,5320,5320,5320,0,HPD
2015-11-02,5320,5320,5320,5320,0,HPD
2015-11-03,5320,5320,5320,5320,0,HPD
2015-11-04,5320,5320,5320,5320,0,HPD
2015-11-05,5320,5320,5320,5320,800,HPD
2015-11-09,5320,5320,5320,5320,0,HPD
2015-11-10,5320,5320,5320,5320,0,HPD
2015-11-11,5320,5320,5320,5320,0,HPD
2015-11-12,5320,5320,5320,5320,0,HPD
2015-11-13,5320,5320,5320,5320,1000,HPD
2015-11-16,5320,5320,5320,5320,0,HPD
2015-11-17,5120,5120,5120,5120,200,HPD
2015-11-18,5120,5120,5120,5120,0,HPD
2015-11-19,5120,5120,5120,5120,0,HPD
2015-11-20,5120,5120,5120,5120,0,HPD
2015-11-23,5120,5120,5120,5120,800,HPD
2015-11-24,5120,5120,5120,5120,0,HPD
2015-11-25,5120,5120,5120,5120,0,HPD
2015-11-26,5120,5120,5120,5120,0,HPD
2015-11-27,5120,5120,5120,5120,0,HPD
2015-11-30,5120,5120,5120,5120,0,HPD
2015-12-01,5120,5120,5120,5120,0,HPD
2015-12-02,5120,5120,5120,5120,0,HPD
2015-12-03,5120,5120,5120,5120,0,HPD
2015-12-04,5120,5120,5120,5120,0,HPD
2015-12-07,5120,5120,5120,5120,0,HPD
2015-12-08,5120,5120,4370,4370,300,HPD
2015-12-09,4610,4610,4610,4610,0,HPD
2015-12-10,4610,4610,4610,4610,0,HPD
2015-12-11,4920,5000,4920,5000,500,HPD
2015-12-14,4960,4960,4960,4960,0,HPD
2015-12-15,4960,4960,4960,4960,0,HPD
2015-12-16,4960,4960,4960,4960,0,HPD
2015-12-17,4960,4960,4960,4960,0,HPD
2015-12-18,4960,4960,4960,4960,0,HPD
2015-12-21,4960,4960,4960,4960,0,HPD
2015-12-22,5320,5320,5320,5320,15000,HPD
2015-12-23,5320,5320,5320,5320,0,HPD
2015-12-24,5320,5320,5320,5320,0,HPD
2015-12-25,5320,5320,5320,5320,0,HPD
2015-12-28,5320,5320,5320,5320,0,HPD
2015-12-29,5320,5320,5320,5320,0,HPD
2015-12-30,5320,5320,5320,5320,0,HPD
2015-12-31,5320,5320,5320,5320,0,HPD
2016-01-04,5320,5320,5320,5320,0,HPD
2016-01-05,5320,5320,5320,5320,0,HPD
2016-01-06,5320,5320,5320,5320,0,HPD
2016-01-07,5320,5320,5320,5320,0,HPD
2016-01-08,5320,5320,5320,5320,0,HPD
2016-01-11,5320,5320,5320,5320,0,HPD
2016-01-12,5320,5320,5320,5320,0,HPD
2016-01-13,5320,5320,5320,5320,0,HPD
2016-01-14,5120,5120,5120,5120,4300,HPD
2016-01-15,5120,5120,5120,5120,0,HPD
2016-01-18,5120,5120,5120,5120,0,HPD
2016-01-19,5000,5000,5000,5000,200,HPD
2016-01-20,5000,5000,5000,5000,200,HPD
2016-01-21,5000,5000,5000,5000,0,HPD
2016-01-22,5000,5000,5000,5000,0,HPD
2016-01-25,5000,5000,5000,5000,0,HPD
2016-01-26,5000,5000,5000,5000,0,HPD
2016-01-27,5000,5000,5000,5000,0,HPD
2016-01-28,5200,5320,5200,5320,3900,HPD
2016-01-29,5520,5520,5520,5520,1300,HPD
2016-02-01,5520,5520,5520,5520,0,HPD
2016-02-02,5520,5520,5520,5520,0,HPD
2016-02-03,5520,5520,5520,5520,0,HPD
2016-02-04,5520,5520,5520,5520,0,HPD
2016-02-05,5520,5520,5520,5520,0,HPD
2016-02-15,5520,5520,5520,5520,0,HPD
2016-02-16,4720,4720,4720,4720,500,HPD
2016-02-17,4720,4720,4720,4720,0,HPD
2016-02-18,4720,4720,4720,4720,0,HPD
2016-02-19,4720,4720,4720,4720,0,HPD
2016-02-22,4810,4810,4810,4810,4500,HPD
2016-02-23,4810,4810,4810,4810,0,HPD
2016-02-24,4810,4810,4810,4810,0,HPD
2016-02-25,4810,4810,4810,4810,0,HPD
2016-02-26,4810,4810,4810,4810,0,HPD
2016-02-29,4810,4810,4810,4810,0,HPD
2016-03-01,4810,4810,4810,4810,0,HPD
2016-03-02,4810,4810,4810,4810,0,HPD
2016-03-03,4810,4810,4810,4810,0,HPD
2016-03-04,4810,4810,4810,4810,0,HPD
2016-03-07,4810,4810,4810,4810,0,HPD
2016-03-08,4810,4810,4810,4810,0,HPD
2016-03-09,4810,4810,4810,4810,0,HPD
2016-03-10,4810,4810,4810,4810,0,HPD
2016-03-11,4810,4810,4810,4810,0,HPD
2016-03-14,5320,5320,5320,5320,9200,HPD
2016-03-15,5320,5320,5320,5320,0,HPD
2016-03-16,5320,5320,5320,5320,0,HPD
2016-03-17,5320,5320,5320,5320,0,HPD
2016-03-18,5350,5350,5350,5350,800,HPD
2016-03-21,4840,4840,4840,4840,500,HPD
2016-03-22,4840,4840,4840,4840,0,HPD
2016-03-23,4840,4840,4840,4840,0,HPD
2016-03-24,4770,4840,4770,4840,12500,HPD
2016-03-25,4770,4770,4770,4770,0,HPD
2016-03-28,4770,4770,4770,4770,0,HPD
2016-03-29,5320,5320,4720,4720,10200,HPD
2016-03-30,4720,4720,4720,4720,11000,HPD
2016-03-31,4720,4720,4720,4720,0,HPD
2016-04-01,4720,4720,4720,4720,0,HPD
2016-04-04,4720,4720,4720,4720,0,HPD
2016-04-05,4960,5320,4960,5160,7900,HPD
2016-04-06,4810,4840,4810,4840,3000,HPD
2016-04-07,5520,5520,5520,5520,2000,HPD
2016-04-08,5320,5320,5320,5320,2500,HPD
2016-04-11,5320,5320,5320,5320,0,HPD
2016-04-12,5320,5320,5320,5320,0,HPD
2016-04-13,5320,5320,5320,5320,0,HPD
2016-04-14,5320,5320,5320,5320,0,HPD
2016-04-15,5320,5320,5320,5320,0,HPD
2016-04-19,4720,4720,4720,4720,2500,HPD
2016-04-20,4720,4720,4720,4720,0,HPD
2016-04-21,4720,5320,4720,5320,2000,HPD
2016-04-22,5050,5050,5050,5050,0,HPD
2016-04-25,5050,5050,5050,5050,0,HPD
2016-04-26,5120,5120,5120,5120,400,HPD
2016-04-27,5120,5120,5120,5120,0,HPD
2016-04-28,5120,5120,5120,5120,0,HPD
2016-04-29,5120,5120,5120,5120,0,HPD
2016-05-04,5120,5120,5120,5120,600,HPD
2016-05-05,5120,5120,5120,5120,1300,HPD
