time,open,high,low,close,volume,ticker
2017-11-06,20600,20600,20600,20600,100,HRB
2017-11-07,20600,20600,20600,20600,0,HRB
2017-11-08,20600,20600,20600,20600,0,HRB
2017-11-09,17540,17540,17540,17540,100,HRB
2017-11-10,14950,15010,14950,15010,200,HRB
2017-11-13,12770,12770,12770,12770,100,HRB
2017-11-14,12770,12770,12770,12770,0,HRB
2017-11-15,14120,14120,14120,14120,100,HRB
2017-11-16,16190,16239,16190,16239,200,HRB
2017-11-17,14710,14710,13830,13830,200,HRB
2017-11-20,14300,14300,14300,14300,0,HRB
2017-11-21,14300,14300,14300,14300,0,HRB
2017-11-22,14300,14300,14300,14300,0,HRB
2017-11-23,16360,16360,16360,16360,100,HRB
2017-11-24,16360,16360,16360,16360,0,HRB
2017-11-27,16360,16360,16360,16360,0,HRB
2017-11-28,13950,13950,13950,13950,100,HRB
2017-11-29,13950,13950,13950,13950,0,HRB
2017-11-30,13950,13950,13950,13950,0,HRB
2017-12-01,13950,13950,13950,13950,0,HRB
2017-12-04,13950,13950,13950,13950,0,HRB
2017-12-05,13950,13950,13950,13950,0,HRB
2017-12-06,13950,13950,13950,13950,0,HRB
2017-12-07,13950,13950,13950,13950,0,HRB
2017-12-08,15890,15890,15890,15890,100,HRB
2017-12-11,15890,15890,15890,15890,0,HRB
2017-12-12,15890,15890,15890,15890,0,HRB
2017-12-13,15890,15890,15890,15890,0,HRB
2017-12-14,15890,15890,15890,15890,0,HRB
2017-12-15,15890,15890,15890,15890,0,HRB
2017-12-18,15890,15890,15890,15890,0,HRB
2017-12-19,15890,15890,15890,15890,0,HRB
2017-12-20,15890,15890,15890,15890,0,HRB
2017-12-21,15890,15890,15890,15890,0,HRB
2017-12-22,15890,15890,15890,15890,0,HRB
2017-12-25,15890,15890,15890,15890,0,HRB
2017-12-26,15890,15890,15890,15890,0,HRB
2017-12-27,15890,15890,15890,15890,0,HRB
2017-12-28,15890,15890,15890,15890,0,HRB
2017-12-29,15890,15890,15890,15890,0,HRB
2018-01-02,15890,15890,15890,15890,0,HRB
2018-01-03,15890,15890,15890,15890,0,HRB
2018-01-04,15890,15890,15890,15890,0,HRB
2018-01-05,13540,13540,13540,13540,100,HRB
2018-01-08,13540,13540,13540,13540,0,HRB
2018-01-09,13540,13540,13540,13540,0,HRB
2018-01-10,11530,11530,11530,11530,100,HRB
2018-01-11,13240,13240,13240,13240,100,HRB
2018-01-12,13240,13240,13240,13240,0,HRB
2018-01-15,13000,13000,13000,13000,100,HRB
2018-01-16,13000,13000,13000,13000,0,HRB
2018-01-17,13000,13000,13000,13000,0,HRB
2018-01-18,13000,13000,13000,13000,0,HRB
2018-01-19,13300,13300,13300,13300,100,HRB
2018-01-22,13300,13300,13300,13300,0,HRB
2018-01-23,13300,13300,13300,13300,0,HRB
2018-01-24,13300,13300,13300,13300,0,HRB
2018-01-25,13300,13300,13300,13300,0,HRB
2018-01-26,13300,13300,13300,13300,0,HRB
2018-01-29,13300,13300,13300,13300,0,HRB
2018-01-30,13300,13300,13300,13300,0,HRB
2018-01-31,13300,13300,13300,13300,0,HRB
2018-02-01,13300,13300,13300,13300,0,HRB
2018-02-02,13300,13300,13300,13300,0,HRB
