time,open,high,low,close,volume,ticker
2018-11-12,7470,7470,7470,7470,147670,HTN
2018-11-13,7990,7990,7990,7990,256400,HTN
2018-11-14,8020,8420,7670,8070,332170,HTN
2018-11-15,7650,8180,7650,8130,214090,HTN
2018-11-16,7890,8290,7890,8130,274160,HTN
2018-11-19,8070,8150,7830,8150,241150,HTN
2018-11-20,8150,8150,7890,7890,130070,HTN
2018-11-21,7890,7910,7750,7750,119290,HTN
2018-11-22,7940,7940,7510,7890,192500,HTN
2018-11-23,7890,7970,7750,7780,152850,HTN
2018-11-26,7980,8070,7890,8020,209270,HTN
2018-11-27,8020,8070,7940,8070,265630,HTN
2018-11-28,8020,8109,7940,8070,457020,HTN
2018-11-29,8020,8100,7950,8070,322000,HTN
2018-11-30,8560,8560,8109,8109,116870,HTN
2018-12-03,8109,8280,8109,8170,193120,HTN
2018-12-04,7910,7990,7750,7850,177060,HTN
2018-12-05,7750,7820,7590,7690,230920,HTN
2018-12-06,7590,7910,7590,7910,238730,HTN
2018-12-07,7690,7940,7590,7820,137610,HTN
2018-12-10,7670,7830,7560,7650,96290,HTN
2018-12-11,7650,7720,7530,7650,87890,HTN
2018-12-12,7640,7700,7560,7670,100300,HTN
2018-12-13,7620,7690,7530,7590,82280,HTN
2018-12-14,7570,7570,7430,7430,34080,HTN
2018-12-17,7430,7460,7320,7400,12810,HTN
2018-12-18,6910,7380,6910,6910,17080,HTN
2018-12-19,7110,7110,6780,6910,13640,HTN
2018-12-20,7070,7070,6520,6940,9800,HTN
2018-12-21,7010,7430,6690,7430,199450,HTN
2018-12-24,7910,7910,7430,7720,34740,HTN
2018-12-25,7720,7720,7430,7640,23060,HTN
2018-12-26,7430,7750,7430,7530,16140,HTN
2018-12-27,7650,7650,7540,7540,128010,HTN
2018-12-28,7590,7750,7430,7430,22110,HTN
2019-01-02,7590,7590,7360,7460,19450,HTN
2019-01-03,7490,7510,6980,7430,196230,HTN
2019-01-04,7430,7430,7400,7400,350,HTN
2019-01-07,7480,7480,7140,7400,12580,HTN
2019-01-08,7400,7400,7150,7150,2180,HTN
2019-01-09,7150,7400,7150,7200,18260,HTN
2019-01-10,7270,7270,7110,7110,14950,HTN
2019-01-11,7230,7250,7110,7230,26220,HTN
2019-01-14,7110,7430,7110,7170,9800,HTN
2019-01-15,7200,7400,7060,7060,73360,HTN
2019-01-16,7190,7300,7060,7270,10840,HTN
2019-01-17,7230,7360,7070,7280,7410,HTN
2019-01-18,7280,7330,7020,7330,19880,HTN
2019-01-21,7270,7360,7110,7330,23410,HTN
2019-01-22,7300,7350,7200,7300,2490,HTN
2019-01-23,7320,7350,7270,7330,15780,HTN
2019-01-24,7360,7360,7270,7270,10060,HTN
2019-01-25,7270,7750,7270,7330,55230,HTN
2019-01-28,7750,7750,7400,7480,68180,HTN
2019-01-29,7590,7590,7150,7150,30440,HTN
2019-01-30,7360,7360,7170,7300,12610,HTN
2019-01-31,7300,7430,7150,7300,18090,HTN
2019-02-01,7300,7430,7300,7430,21900,HTN
2019-02-11,7430,7480,7270,7480,49560,HTN
2019-02-12,7460,7490,7270,7330,42290,HTN
2019-02-13,7330,7330,7230,7320,13320,HTN
2019-02-14,7300,7350,7110,7350,50050,HTN
2019-02-15,7320,7330,7200,7270,15270,HTN
2019-02-18,7270,7280,7070,7270,82190,HTN
2019-02-19,7110,7270,7110,7270,29950,HTN
2019-02-20,7120,7230,7120,7140,44280,HTN
2019-02-21,7140,7140,6940,7110,20220,HTN
2019-02-22,7070,7110,6780,6900,20760,HTN
2019-02-25,6780,7070,6780,7040,64190,HTN
2019-02-26,6980,7040,6930,6990,32770,HTN
2019-02-27,6910,6990,6780,6940,22680,HTN
2019-02-28,6940,6940,6780,6780,11250,HTN
2019-03-01,6780,6960,6750,6810,136070,HTN
2019-03-04,6940,6940,6880,6880,17120,HTN
2019-03-05,6880,6910,6800,6880,15230,HTN
2019-03-06,6810,6900,6780,6830,80250,HTN
2019-03-07,6830,6860,6780,6780,34630,HTN
2019-03-08,6780,6800,6780,6800,50180,HTN
2019-03-11,6930,6930,6770,6780,28070,HTN
2019-03-12,6850,6850,6730,6810,25440,HTN
2019-03-13,6830,6900,6620,6900,77010,HTN
2019-03-14,6900,7040,6810,7040,101380,HTN
2019-03-15,7060,7140,6980,7120,70630,HTN
2019-03-18,7120,7400,7120,7300,39980,HTN
2019-03-19,7270,7300,7040,7230,25620,HTN
2019-03-20,7230,7230,7040,7110,14320,HTN
2019-03-21,6940,7090,6880,7010,18780,HTN
2019-03-22,7010,7040,6780,7020,65990,HTN
2019-03-25,7020,7020,6720,6860,14610,HTN
2019-03-26,6990,7010,6750,6780,40530,HTN
2019-03-27,6780,6940,6780,6850,21960,HTN
2019-03-28,6980,6980,6850,6910,26040,HTN
2019-03-29,6910,6980,6910,6960,25450,HTN
2019-04-01,6910,6980,6830,6830,57810,HTN
2019-04-02,6850,6900,6800,6860,35890,HTN
2019-04-03,6900,6900,6780,6880,28620,HTN
2019-04-04,6880,6900,6780,6880,29130,HTN
2019-04-05,6880,6910,6830,6900,37470,HTN
2019-04-08,7070,7070,6880,6910,30030,HTN
2019-04-09,6880,6910,6800,6910,36200,HTN
2019-04-10,6830,6930,6810,6910,46250,HTN
2019-04-11,6830,6930,6830,6930,53180,HTN
2019-04-12,6930,7200,6930,7140,70600,HTN
2019-04-16,7220,7220,7070,7170,104180,HTN
2019-04-17,7250,7590,7230,7360,114010,HTN
2019-04-18,7400,7400,7270,7360,62290,HTN
2019-04-19,7270,7360,7230,7330,33830,HTN
2019-04-22,7270,7330,7170,7320,106270,HTN
2019-04-23,7070,7350,7070,7350,85420,HTN
2019-04-24,7360,7690,7360,7620,256240,HTN
2019-04-25,7650,7720,7510,7620,115950,HTN
2019-04-26,7590,7650,7590,7620,30340,HTN
2019-05-02,7620,7620,7300,7350,129870,HTN
2019-05-03,7300,7360,7200,7250,74970,HTN
2019-05-06,7170,7170,7010,7090,62570,HTN
2019-05-07,7070,7110,7040,7110,77590,HTN
2019-05-08,7070,7070,6980,7010,56830,HTN
2019-05-09,6990,7020,6800,6930,86070,HTN
2019-05-10,6910,7040,6860,7040,84870,HTN
2019-05-13,7020,7070,7010,7060,87180,HTN
2019-05-14,7040,7090,6910,7070,85420,HTN
2019-05-15,7070,7140,7040,7120,108610,HTN
2019-05-16,7120,7150,7110,7110,64850,HTN
2019-05-17,7070,7140,7060,7070,57760,HTN
2019-05-20,7060,7120,7060,7120,75450,HTN
2019-05-21,7090,7430,7090,7280,128170,HTN
2019-05-22,7320,7410,7270,7320,91490,HTN
2019-05-23,7360,7360,7150,7250,45390,HTN
2019-05-24,7300,7460,7270,7440,133720,HTN
2019-05-27,7460,7650,7440,7530,110190,HTN
2019-05-28,7530,7620,7480,7560,117570,HTN
2019-05-29,7490,7560,7430,7530,95040,HTN
2019-05-30,7560,7570,7400,7410,83770,HTN
2019-05-31,7410,7430,7330,7330,79110,HTN
2019-06-03,7300,7360,7270,7330,71300,HTN
2019-06-04,7330,7400,7300,7360,60220,HTN
2019-06-05,7380,7480,7360,7460,169290,HTN
2019-06-06,7460,7560,7200,7530,241700,HTN
2019-06-07,7510,7730,7490,7630,67490,HTN
2019-06-10,7590,7610,7490,7530,74810,HTN
2019-06-11,7490,7560,7420,7460,129820,HTN
2019-06-12,7420,7440,7250,7350,83190,HTN
2019-06-13,7340,7340,7210,7250,70650,HTN
2019-06-14,7250,7280,7230,7250,62070,HTN
2019-06-17,7250,7300,7210,7230,39450,HTN
2019-06-18,7250,7270,7130,7210,41630,HTN
2019-06-19,7270,7280,7200,7270,113510,HTN
2019-06-20,7270,7270,7200,7250,35000,HTN
2019-06-21,7230,7250,7160,7230,45100,HTN
2019-06-24,7210,7250,7200,7210,39600,HTN
2019-06-25,7210,7250,7200,7250,41350,HTN
2019-06-26,7250,7250,7200,7200,39750,HTN
2019-06-27,7200,7200,7160,7180,23790,HTN
2019-06-28,7180,7210,7150,7200,97100,HTN
2019-07-01,7200,7250,7150,7210,93880,HTN
2019-07-02,7200,7200,7040,7200,93280,HTN
2019-07-03,7180,7210,7160,7200,70610,HTN
2019-07-04,7200,7390,7200,7390,243150,HTN
2019-07-05,7390,7400,7370,7390,77590,HTN
2019-07-08,7320,7350,7300,7320,70010,HTN
2019-07-09,7300,7340,7250,7340,114060,HTN
2019-07-10,7340,7470,7280,7350,118920,HTN
2019-07-11,7320,7370,7250,7350,117170,HTN
2019-07-12,7350,7370,7300,7340,57840,HTN
2019-07-15,7350,7320,7040,7080,102820,HTN
2019-07-16,7060,7090,6970,6970,94040,HTN
2019-07-17,6960,7040,6960,7010,74690,HTN
2019-07-18,6970,7010,6900,7010,80250,HTN
2019-07-19,7010,7090,6990,7040,87320,HTN
2019-07-22,7020,7080,6920,7010,76120,HTN
2019-07-23,7010,7040,6970,7040,71910,HTN
2019-07-24,7010,7040,6960,7010,80810,HTN
2019-07-25,6990,7010,6900,6990,75730,HTN
2019-07-26,6960,6990,6900,6970,64610,HTN
2019-07-29,6960,6990,6800,6970,80220,HTN
