time,open,high,low,close,volume,ticker
2017-11-24,14680,15520,14680,15000,547500,IDC
2017-11-27,15520,15520,15100,15480,131259,IDC
2017-11-28,15320,15320,15100,15160,66000,IDC
2017-11-29,15160,15160,14210,14480,173400,IDC
2017-11-30,14480,15100,14320,15000,134200,IDC
2017-12-01,16630,16630,16500,16630,54900,IDC
2017-12-04,16560,16730,16560,16630,71600,IDC
2017-12-05,16560,16630,16379,16379,168150,IDC
2017-12-06,16500,16500,16329,16329,32210,IDC
2017-12-07,16379,16379,16270,16329,25800,IDC
2017-12-08,16270,16329,16270,16329,29510,IDC
2017-12-11,16100,16100,15850,15930,86700,IDC
2017-12-12,15980,16030,15980,16030,71800,IDC
2017-12-13,16160,16329,16160,16160,13930,IDC
2017-12-14,16329,16329,16210,16329,33590,IDC
2017-12-15,16910,16910,16210,16270,24000,IDC
2017-12-18,16329,16440,16270,16379,56500,IDC
2017-12-19,16329,16329,16210,16210,9000,IDC
2017-12-20,16210,16270,16160,16270,85000,IDC
2017-12-21,16270,16270,16100,16270,32820,IDC
2017-12-22,18600,18600,16100,16329,5800,IDC
2017-12-25,18380,18380,18180,18380,55510,IDC
2017-12-26,18380,18380,18180,18380,63300,IDC
2017-12-27,18110,18320,18110,18320,7000,IDC
2017-12-28,18240,18320,18180,18180,21000,IDC
2017-12-29,18180,18240,18110,18240,70800,IDC
2018-01-02,18380,18710,18380,18380,77120,IDC
2018-01-03,18600,18600,18280,18350,51700,IDC
2018-01-04,18410,18410,18210,18330,5900,IDC
2018-01-05,18330,18330,18140,18330,2400,IDC
2018-01-08,19130,19130,18330,18330,63600,IDC
2018-01-09,18330,18330,18010,18010,15800,IDC
2018-01-10,17940,18140,17940,18140,2800,IDC
2018-01-11,18140,18140,17870,18010,14600,IDC
2018-01-12,18140,18140,17870,17870,22700,IDC
2018-01-15,17870,18070,17740,18070,34800,IDC
2018-01-16,17810,18140,17670,17670,43500,IDC
2018-01-17,17670,17810,17090,17090,136120,IDC
2018-01-18,17150,17150,16560,16680,64510,IDC
2018-01-19,16820,16820,16480,16480,64900,IDC
2018-01-22,16680,16900,16420,16480,176800,IDC
2018-01-23,18470,18470,16160,16160,185400,IDC
2018-01-24,17080,17360,17000,17140,241430,IDC
2018-01-25,17360,17700,17000,17360,432100,IDC
2018-01-26,17360,18670,17360,18250,113119,IDC
2018-01-29,18330,18330,17980,18050,153700,IDC
2018-01-30,17980,18100,17820,17890,137821,IDC
2018-01-31,17980,17980,17760,17760,94300,IDC
2018-02-01,17680,17820,17040,17180,283530,IDC
2018-02-02,16830,17180,16670,17180,18410,IDC
2018-02-05,17180,17180,16670,16670,225600,IDC
2018-02-06,16460,16460,15750,16460,101300,IDC
2018-02-07,16460,16540,16329,16329,291900,IDC
2018-02-08,16329,16460,16329,16329,367700,IDC
2018-02-09,16110,16110,15040,15890,207300,IDC
2018-02-12,15890,17180,15750,17180,61400,IDC
2018-02-13,16460,17180,16460,17180,52600,IDC
2018-02-21,17180,17530,17180,17180,28300,IDC
2018-02-22,17180,17390,17180,17180,61310,IDC
2018-02-23,16670,17260,16670,16900,41800,IDC
2018-02-26,16830,17890,16830,17820,88600,IDC
2018-02-27,17470,18610,17470,18330,66600,IDC
2018-02-28,18100,18180,17530,17820,57000,IDC
2018-03-01,17890,17890,17680,17890,18200,IDC
2018-03-02,17040,17760,17040,17760,10100,IDC
2018-03-05,17180,17530,17180,17250,35700,IDC
2018-03-06,17250,17890,17250,17530,20000,IDC
2018-03-07,17760,17760,17250,17390,39800,IDC
2018-03-08,17680,17760,17390,17760,36000,IDC
2018-03-09,18110,19200,17820,18690,30700,IDC
2018-03-12,18050,18330,18050,18260,20200,IDC
2018-03-13,18110,18110,17180,17180,600,IDC
2018-03-14,17470,17470,17390,17390,28900,IDC
2018-03-15,17390,17390,17390,17390,11500,IDC
2018-03-16,18050,18050,17390,17530,17300,IDC
2018-03-19,17980,18110,17470,17980,62900,IDC
2018-03-20,20290,20290,17610,17610,10700,IDC
2018-03-21,18770,18770,18770,18770,100,IDC
2018-03-22,17470,18410,17470,17680,12400,IDC
2018-03-23,17250,18110,17250,18050,87100,IDC
2018-03-26,17760,17820,17760,17760,1300,IDC
2018-03-27,17760,17820,17760,17820,6300,IDC
2018-03-28,17980,18110,17820,18110,35200,IDC
2018-03-29,17680,18050,17680,18050,2600,IDC
2018-03-30,18110,18330,18050,18110,26300,IDC
2018-04-02,18110,18110,17680,17760,70700,IDC
2018-04-03,17760,17760,17390,17680,255300,IDC
2018-04-04,17470,17530,17320,17320,142800,IDC
2018-04-05,17390,17390,16090,16670,163300,IDC
2018-04-06,17390,18190,16090,16379,317500,IDC
2018-04-09,16600,19130,16600,16670,508300,IDC
2018-04-10,16300,17250,16300,16440,79400,IDC
2018-04-11,16300,16530,16300,16530,47900,IDC
2018-04-12,16160,16379,16160,16300,40500,IDC
2018-04-13,16379,16670,16379,16530,124700,IDC
2018-04-16,17030,18840,16530,16670,241900,IDC
2018-04-17,16730,16730,16730,16730,30000,IDC
