time,open,high,low,close,volume,ticker
2013-01-02,1360,1450,1360,1450,1096200,IDJ
2013-01-03,1530,1530,1450,1530,1746600,IDJ
2013-01-04,1530,1610,1490,1530,313700,IDJ
2013-01-07,1570,1570,1490,1490,1082100,IDJ
2013-01-08,1450,1490,1400,1450,831800,IDJ
2013-01-09,1490,1530,1400,1450,892300,IDJ
2013-01-10,1450,1530,1400,1490,422700,IDJ
2013-01-11,1530,1530,1450,1450,411400,IDJ
2013-01-14,1450,1450,1400,1450,301200,IDJ
2013-01-15,1450,1570,1450,1570,1076100,IDJ
2013-01-16,1610,1690,1610,1610,773400,IDJ
2013-01-17,1610,1610,1530,1530,553000,IDJ
2013-01-18,1530,1530,1450,1530,249200,IDJ
2013-01-21,1530,1530,1450,1450,240500,IDJ
2013-01-22,1450,1450,1360,1400,272500,IDJ
2013-01-23,1400,1450,1320,1400,221400,IDJ
2013-01-24,1400,1450,1360,1450,358000,IDJ
2013-01-25,1490,1490,1400,1490,126200,IDJ
2013-01-28,1490,1530,1450,1530,448600,IDJ
2013-01-29,1450,1490,1400,1490,352800,IDJ
2013-01-30,1490,1530,1450,1490,442400,IDJ
2013-01-31,1490,1490,1450,1490,168100,IDJ
2013-02-01,1450,1490,1450,1490,183700,IDJ
2013-02-04,1490,1530,1450,1490,78000,IDJ
2013-02-05,1450,1450,1400,1400,163500,IDJ
2013-02-06,1450,1490,1450,1490,205100,IDJ
2013-02-07,1530,1570,1490,1570,175000,IDJ
2013-02-08,1530,1610,1530,1610,505700,IDJ
2013-02-18,1610,1690,1570,1610,321400,IDJ
2013-02-19,1610,1650,1570,1610,533200,IDJ
2013-02-20,1570,1650,1570,1610,591600,IDJ
2013-02-21,1650,1770,1610,1650,2764800,IDJ
2013-02-22,1690,1770,1610,1690,528500,IDJ
2013-02-25,1770,1770,1610,1690,434500,IDJ
2013-02-26,1610,1610,1450,1490,909900,IDJ
2013-02-27,1490,1490,1400,1490,227100,IDJ
2013-02-28,1490,1570,1490,1530,180900,IDJ
2013-03-01,1490,1530,1490,1530,197400,IDJ
2013-03-04,1490,1490,1400,1450,401100,IDJ
2013-03-05,1450,1450,1360,1360,157800,IDJ
2013-03-06,1400,1490,1360,1490,163700,IDJ
2013-03-07,1450,1450,1360,1450,185700,IDJ
2013-03-08,1400,1400,1360,1360,125500,IDJ
2013-03-11,1400,1490,1400,1490,270100,IDJ
2013-03-12,1450,1450,1360,1400,192300,IDJ
2013-03-13,1400,1450,1400,1400,200900,IDJ
2013-03-14,1450,1450,1400,1450,169700,IDJ
2013-03-15,1400,1450,1400,1450,69200,IDJ
2013-03-18,1450,1450,1360,1360,190200,IDJ
2013-03-19,1360,1400,1360,1400,60700,IDJ
2013-03-20,1400,1450,1400,1450,99100,IDJ
2013-03-21,1450,1450,1400,1450,129100,IDJ
2013-03-22,1400,1400,1320,1400,231100,IDJ
2013-03-25,1400,1400,1360,1360,130600,IDJ
2013-03-26,1400,1400,1400,1400,206400,IDJ
2013-03-27,1400,1400,1360,1400,34500,IDJ
2013-03-28,1360,1360,1320,1360,163200,IDJ
2013-03-29,1320,1360,1320,1360,325800,IDJ
2013-04-01,1320,1400,1320,1360,367400,IDJ
2013-04-02,1400,1400,1360,1400,94000,IDJ
2013-04-03,1360,1400,1360,1400,92200,IDJ
2013-04-04,1360,1400,1320,1320,270400,IDJ
2013-04-05,1320,1360,1320,1360,323700,IDJ
2013-04-08,1360,1360,1320,1360,78900,IDJ
2013-04-09,1320,1360,1320,1360,129500,IDJ
2013-04-10,1320,1360,1320,1320,126100,IDJ
2013-04-11,1320,1320,1280,1280,186600,IDJ
2013-04-12,1320,1320,1240,1280,342300,IDJ
2013-04-15,1240,1280,1200,1240,407000,IDJ
2013-04-16,1160,1240,1160,1240,45400,IDJ
2013-04-17,1200,1200,1160,1160,83400,IDJ
2013-04-18,1200,1200,1160,1200,19900,IDJ
2013-04-22,1200,1200,1160,1160,83900,IDJ
2013-04-23,1160,1200,1160,1200,23500,IDJ
2013-04-24,1160,1200,1160,1200,8400,IDJ
2013-04-25,1200,1200,1200,1200,31700,IDJ
2013-04-26,1200,1200,1160,1160,42600,IDJ
2013-05-02,1160,1160,1160,1160,50100,IDJ
2013-05-03,1160,1200,1120,1200,5700,IDJ
2013-05-06,1200,1240,1200,1240,257200,IDJ
2013-05-07,1360,1360,1240,1280,205900,IDJ
2013-05-08,1280,1280,1200,1280,173700,IDJ
2013-05-09,1240,1280,1240,1280,59100,IDJ
2013-05-10,1240,1240,1200,1240,35700,IDJ
2013-05-13,1200,1240,1200,1200,212300,IDJ
2013-05-14,1200,1200,1200,1200,88100,IDJ
2013-05-15,1200,1240,1200,1240,47100,IDJ
2013-05-16,1240,1240,1200,1240,30200,IDJ
2013-05-17,1200,1240,1200,1240,64500,IDJ
2013-05-20,1200,1240,1200,1240,56100,IDJ
2013-05-21,1240,1280,1200,1280,193300,IDJ
2013-05-22,1280,1280,1240,1280,93400,IDJ
2013-05-23,1240,1240,1240,1240,189400,IDJ
2013-05-24,1280,1280,1200,1240,72600,IDJ
2013-05-27,1240,1320,1240,1280,400200,IDJ
2013-05-28,1280,1320,1280,1320,125900,IDJ
2013-05-29,1320,1360,1280,1280,400400,IDJ
2013-05-30,1280,1320,1280,1320,129300,IDJ
2013-05-31,1320,1360,1320,1320,440600,IDJ
2013-06-03,1320,1360,1280,1280,191500,IDJ
2013-06-04,1320,1360,1280,1320,331200,IDJ
2013-06-05,1320,1360,1280,1360,377300,IDJ
2013-06-06,1360,1360,1320,1360,124900,IDJ
2013-06-07,1360,1360,1280,1320,80000,IDJ
2013-06-10,1320,1360,1280,1280,167500,IDJ
2013-06-11,1280,1360,1280,1320,62100,IDJ
2013-06-12,1280,1320,1280,1320,313200,IDJ
2013-06-13,1320,1360,1280,1320,532700,IDJ
2013-06-14,1320,1360,1280,1320,454300,IDJ
2013-06-17,1320,1320,1280,1280,359200,IDJ
