time,open,high,low,close,volume,ticker
2013-01-02,4370,4461,4370,4461,4129410,ITA
2013-01-03,4643,4643,4461,4552,11219920,ITA
2013-01-04,4552,4734,4461,4734,3980590,ITA
2013-01-07,4916,4916,4825,4916,1077160,ITA
2013-01-08,5098,5098,5098,5098,695950,ITA
2013-01-09,5280,5280,4916,4916,12893570,ITA
2013-01-10,5007,5098,4916,5098,8210030,ITA
2013-01-11,5280,5280,5189,5280,3513280,ITA
2013-01-14,5280,5462,5280,5462,8745210,ITA
2013-01-15,5462,5826,5462,5826,7590700,ITA
2013-01-16,6008,6191,6008,6191,3609080,ITA
2013-01-17,6464,6555,6191,6282,10702380,ITA
2013-01-18,6100,6282,5917,5917,10719700,ITA
2013-01-21,5917,6282,5644,6282,6048220,ITA
2013-01-22,6373,6646,5917,6008,4796630,ITA
2013-01-23,6100,6191,5644,5826,3388980,ITA
2013-01-24,5917,6191,5735,6100,3283200,ITA
2013-01-25,6282,6464,6191,6464,10669400,ITA
2013-01-28,6646,6828,6646,6828,6677640,ITA
2013-01-29,7192,7283,7010,7283,10381500,ITA
2013-01-30,7647,7738,7465,7738,6553050,ITA
2013-01-31,7829,8194,7556,7738,12002890,ITA
2013-02-01,7647,7920,7374,7920,7879830,ITA
2013-02-04,8194,8467,8102,8467,6507430,ITA
2013-02-05,8194,8831,8102,8194,5724320,ITA
2013-02-06,8285,8649,8011,8285,6765980,ITA
2013-02-07,8467,8467,8011,8194,6284990,ITA
2013-02-08,8102,8740,8102,8285,6191540,ITA
2013-02-18,8376,8376,8011,8011,4598630,ITA
2013-02-19,8011,8558,7829,8467,8286350,ITA
2013-02-20,8467,8740,8376,8649,4681630,ITA
2013-02-21,8649,8831,8102,8102,6580200,ITA
2013-02-22,8285,8376,7556,7647,8142410,ITA
2013-02-25,7738,7829,7465,7647,3665390,ITA
2013-02-26,7647,7647,7192,7192,5362480,ITA
2013-02-27,7010,7101,6737,6737,10192130,ITA
2013-02-28,7010,7192,6919,7192,5234210,ITA
2013-03-01,7283,7647,7192,7192,3470860,ITA
2013-03-04,7010,7010,6737,6737,4918870,ITA
2013-03-05,6282,6737,6282,6282,7003140,ITA
2013-03-06,6464,6646,6282,6555,2820450,ITA
2013-03-07,6555,6737,6282,6373,3251180,ITA
2013-03-08,6464,6646,6464,6464,2654500,ITA
2013-03-11,6646,6828,6282,6828,3718580,ITA
2013-03-12,7101,7283,6828,7101,5397490,ITA
2013-03-13,7101,7192,6737,6828,2611590,ITA
2013-03-14,7010,7192,6919,7010,3444390,ITA
2013-03-15,7101,7192,6919,7101,3739360,ITA
2013-03-18,7101,7192,6737,6737,2760230,ITA
2013-03-19,6737,6828,6464,6737,2364220,ITA
2013-03-20,6737,6919,6646,6919,1980970,ITA
2013-03-21,6919,7010,6737,6737,2359040,ITA
2013-03-22,6737,6828,6373,6646,3437820,ITA
2013-03-25,6646,6737,6464,6555,1604630,ITA
2013-03-26,6646,6737,6464,6555,1969070,ITA
2013-03-27,6464,6464,6282,6373,2701060,ITA
2013-03-28,6373,6373,6008,6100,4422990,ITA
2013-03-29,6008,6100,5735,6008,3422350,ITA
2013-04-01,5826,6373,5826,6373,3912130,ITA
2013-04-02,6464,6737,6464,6646,4468040,ITA
2013-04-03,6646,6919,6555,6737,5610460,ITA
2013-04-04,6737,6737,6373,6373,3739900,ITA
2013-04-05,6373,6555,6282,6464,3541650,ITA
2013-04-08,6464,6555,6282,6282,3515590,ITA
2013-04-09,6282,6646,6191,6464,3627300,ITA
2013-04-10,6464,6646,6191,6191,3429710,ITA
2013-04-11,6282,6373,6100,6191,2108990,ITA
2013-04-12,6191,6282,5826,5917,4297220,ITA
2013-04-15,5917,5917,5553,5553,3455930,ITA
2013-04-16,5462,5644,5280,5553,3515520,ITA
2013-04-17,5644,5735,5462,5553,1603840,ITA
2013-04-18,5553,5553,5280,5371,1584390,ITA
2013-04-22,5371,5371,5007,5098,3548100,ITA
2013-04-23,5189,5371,5189,5371,3306050,ITA
2013-04-24,5462,5735,5371,5735,4034710,ITA
2013-04-25,5917,6008,5826,5826,3031770,ITA
2013-04-26,5826,5826,5553,5644,4422340,ITA
2013-05-02,5553,5826,5553,5644,1478890,ITA
2013-05-03,5644,5826,5553,5826,1697810,ITA
2013-05-06,6008,6191,6008,6191,4103280,ITA
2013-05-07,6373,6555,6191,6282,6327110,ITA
2013-05-08,6282,6373,6008,6008,2981570,ITA
2013-05-09,6100,6373,6100,6373,5991820,ITA
2013-05-10,6373,6555,6191,6282,2986510,ITA
2013-05-13,6282,6464,6282,6373,3827900,ITA
2013-05-14,6282,6373,6008,6100,5081830,ITA
2013-05-15,6008,6373,5917,6100,2273740,ITA
2013-05-16,6100,6282,6100,6191,1539520,ITA
2013-05-17,6191,6282,6008,6100,2075370,ITA
2013-05-20,6100,6373,6008,6191,3203690,ITA
2013-05-21,6282,6464,6282,6282,5261380,ITA
2013-05-22,6373,6464,6191,6191,2949680,ITA
2013-05-23,6191,6373,6100,6100,4418720,ITA
2013-05-24,6191,6282,6100,6191,2238010,ITA
2013-05-27,6282,6555,6282,6555,10305300,ITA
2013-05-28,6646,7010,6646,7010,10418170,ITA
2013-05-29,7192,7283,6828,6919,5751820,ITA
2013-05-30,6919,7283,6737,7283,6784940,ITA
2013-05-31,7374,7465,7010,7010,5825970,ITA
2013-06-03,6919,7374,6919,7010,6404550,ITA
2013-06-04,7101,7192,6737,6737,6415690,ITA
2013-06-05,6828,6919,6646,6828,3034600,ITA
2013-06-06,7010,7192,6737,7101,5384990,ITA
2013-06-07,7192,7283,6919,7010,3102130,ITA
2013-06-10,7283,7374,7010,7101,6408190,ITA
2013-06-11,7010,7192,6919,7010,3859570,ITA
2013-06-12,7010,7283,7010,7101,5401750,ITA
2013-06-13,7192,7283,7010,7192,4302960,ITA
2013-06-14,7374,7556,7283,7374,7076600,ITA
2013-06-17,7374,7465,7010,7010,5071630,ITA
2013-06-18,7010,7101,6828,7010,4180170,ITA
2013-06-19,7192,7192,7010,7010,2877520,ITA
2013-06-20,7101,7101,6828,6919,3841320,ITA
2013-06-21,6828,7010,6737,6737,10373050,ITA
2013-06-24,6646,6828,6282,6373,6582870,ITA
2013-06-25,6282,6373,6008,6008,6335610,ITA
2013-06-26,6008,6282,5917,6100,3767740,ITA
2013-06-27,6191,6373,6191,6373,2114710,ITA
2013-06-28,6373,6464,6191,6191,2330010,ITA
2013-07-01,6191,6282,6008,6100,1953250,ITA
2013-07-02,6100,6282,6100,6191,954750,ITA
2013-07-03,6282,6373,6100,6191,2309600,ITA
2013-07-04,6282,6282,6100,6100,1549590,ITA
2013-07-05,6100,6191,6008,6100,1908560,ITA
2013-07-08,6100,6100,6008,6008,828350,ITA
2013-07-09,6008,6100,6008,6008,882130,ITA
2013-07-10,6100,6191,6008,6008,1324230,ITA
2013-07-11,6008,6100,5917,6008,1072070,ITA
2013-07-12,6100,6373,6100,6282,2898010,ITA
2013-07-15,6373,6373,6191,6282,2092500,ITA
2013-07-16,6282,6282,6191,6191,763750,ITA
2013-07-17,6191,6373,6100,6282,2144630,ITA
2013-07-18,6191,6373,6100,6191,1898120,ITA
2013-07-19,6191,6282,6100,6191,1254410,ITA
2013-07-22,6191,6191,6008,6100,2183740,ITA
2013-07-23,6300,6400,6200,6200,2168430,ITA
2013-07-24,6300,6300,6100,6200,1359700,ITA
2013-07-25,6100,6300,6100,6100,1460620,ITA
2013-07-26,6000,6200,5900,6000,1982810,ITA
2013-07-29,6000,6100,5700,5700,1411270,ITA
2013-07-30,5700,5900,5700,5800,1230640,ITA
2013-07-31,5800,5900,5700,5700,1045290,ITA
2013-08-01,5700,5900,5600,5800,1248460,ITA
2013-08-02,5900,6000,5700,6000,1060470,ITA
2013-08-05,5900,6000,5800,5800,896330,ITA
2013-08-06,5800,5900,5700,5900,659890,ITA
2013-08-07,5900,6000,5800,5900,1176800,ITA
2013-08-08,5900,5900,5700,5700,1307120,ITA
2013-08-09,5700,5800,5600,5600,633120,ITA
2013-08-12,5700,5800,5600,5700,634610,ITA
2013-08-13,5600,5700,5400,5400,1797290,ITA
2013-08-14,5500,5700,5400,5700,2769300,ITA
2013-08-15,5700,6000,5700,6000,5987460,ITA
2013-08-16,6100,6400,6100,6200,4568470,ITA
2013-08-19,6200,6400,6100,6200,3925340,ITA
2013-08-20,6100,6300,6000,6200,4164000,ITA
2013-08-21,6200,6200,5900,6000,4297440,ITA
2013-08-22,5900,6100,5700,5800,2606230,ITA
2013-08-23,5800,5900,5600,5800,2781150,ITA
2013-08-26,5700,5900,5600,5900,1735180,ITA
2013-08-27,5800,5900,5700,5700,1229760,ITA
2013-08-28,5600,5700,5400,5500,4333630,ITA
2013-08-29,5500,5700,5400,5400,3149790,ITA
2013-08-30,5400,5700,5400,5700,1511150,ITA
2013-09-03,5600,5700,5400,5500,1404140,ITA
2013-09-04,5500,5600,5300,5300,3181370,ITA
2013-09-05,5400,5600,5300,5500,1973110,ITA
2013-09-06,5500,5600,5400,5500,2025880,ITA
