time,open,high,low,close,volume,ticker
2013-01-02,5130,5320,5070,5320,1091670,ITC
2013-01-03,5260,5260,5070,5070,876010,ITC
2013-01-04,4940,5190,4880,5070,866740,ITC
2013-01-07,5070,5130,4940,4940,743350,ITC
2013-01-08,4880,5070,4880,4940,460560,ITC
2013-01-09,5010,5130,4820,4880,1142550,ITC
2013-01-10,4880,5010,4820,5010,442220,ITC
2013-01-11,5130,5130,4940,5010,704160,ITC
2013-01-14,5010,5010,4820,5010,533080,ITC
2013-01-15,4940,5260,4940,5190,723490,ITC
2013-01-16,5260,5510,5260,5510,1941190,ITC
2013-01-17,5630,5700,5260,5260,998960,ITC
2013-01-18,5260,5320,5070,5190,556970,ITC
2013-01-21,5260,5260,5010,5010,598570,ITC
2013-01-22,4940,5070,4760,4820,427320,ITC
2013-01-23,4820,4940,4690,4690,329350,ITC
2013-01-24,4690,4880,4690,4820,284200,ITC
2013-01-25,4940,5130,4940,5070,773770,ITC
2013-01-28,5130,5320,5010,5070,684680,ITC
2013-01-29,5190,5260,5010,5130,626820,ITC
2013-01-30,5130,5380,5070,5320,844570,ITC
2013-01-31,5260,5320,5130,5130,384180,ITC
2013-02-01,5130,5130,5010,5130,308550,ITC
2013-02-04,5130,5190,5070,5070,364130,ITC
2013-02-05,5010,5130,5010,5010,258670,ITC
2013-02-06,5190,5320,5190,5320,356110,ITC
2013-02-07,5630,5630,5630,5630,1313690,ITC
2013-02-08,5950,6010,5880,6010,1462510,ITC
2013-02-18,6260,6380,6200,6380,2189250,ITC
2013-02-19,6380,6820,6380,6630,2343530,ITC
2013-02-20,6570,6700,6320,6510,1307600,ITC
2013-02-21,6510,6880,6070,6070,2645340,ITC
2013-02-22,6320,6380,5700,5950,1844450,ITC
2013-02-25,5950,6320,5950,6320,1223530,ITC
2013-02-26,6200,6320,5880,5880,1442770,ITC
2013-02-27,5880,5950,5570,5820,1346200,ITC
2013-02-28,5880,6010,5820,5820,871300,ITC
2013-03-01,5820,5880,5700,5820,513320,ITC
2013-03-04,5700,5700,5450,5450,1811930,ITC
2013-03-05,5450,5450,5070,5130,766300,ITC
2013-03-06,5260,5320,5130,5260,345180,ITC
2013-03-07,5260,5320,5010,5070,349020,ITC
2013-03-08,5130,5320,5130,5190,302960,ITC
2013-03-11,5190,5510,5190,5510,807630,ITC
2013-03-12,5630,5820,5450,5630,1039790,ITC
2013-03-13,5700,5820,5510,5570,480820,ITC
2013-03-14,5570,5880,5510,5700,707330,ITC
2013-03-15,5760,5880,5700,5760,565570,ITC
2013-03-18,5760,5820,5630,5700,319200,ITC
2013-03-19,5570,5630,5510,5570,287740,ITC
2013-03-20,5570,5760,5570,5630,278230,ITC
2013-03-21,5700,5760,5570,5570,485780,ITC
2013-03-22,5510,5630,5320,5380,257330,ITC
2013-03-25,5320,5450,5190,5380,356070,ITC
2013-03-26,5380,5450,5320,5320,211810,ITC
2013-03-27,5320,5320,5190,5260,254970,ITC
2013-03-28,5260,5320,5130,5130,140220,ITC
2013-03-29,5070,5320,4940,5260,413660,ITC
2013-04-01,5130,5450,5130,5320,393610,ITC
2013-04-02,5450,5510,5260,5380,665810,ITC
2013-04-03,5380,5450,5320,5320,461580,ITC
2013-04-04,5260,5380,5260,5260,373300,ITC
2013-04-05,5320,5320,5190,5320,199030,ITC
2013-04-08,5320,5320,5190,5190,154850,ITC
2013-04-09,5260,5450,5260,5260,306020,ITC
2013-04-10,5320,5570,5260,5260,878690,ITC
2013-04-11,5380,5380,5260,5260,269960,ITC
2013-04-12,5320,5320,5010,5190,506860,ITC
2013-04-15,5130,5130,4940,4940,509470,ITC
2013-04-16,4820,4940,4760,4940,281650,ITC
2013-04-17,5010,5070,4880,4940,152700,ITC
2013-04-18,4940,4940,4690,4760,487250,ITC
2013-04-22,4690,4690,4510,4510,362390,ITC
2013-04-23,4570,4630,4440,4570,302840,ITC
2013-04-24,4570,4570,4440,4510,197260,ITC
2013-04-25,4570,4690,4570,4570,422830,ITC
2013-04-26,4630,4630,4510,4510,239880,ITC
2013-05-02,4510,4570,4440,4440,64070,ITC
2013-05-03,4440,4630,4440,4630,358460,ITC
2013-05-06,4760,4940,4760,4940,630950,ITC
2013-05-07,4940,5070,4820,4880,502660,ITC
2013-05-08,4880,4940,4690,4690,259690,ITC
2013-05-09,4760,5010,4760,5010,750590,ITC
2013-05-10,5010,5070,4880,4940,248490,ITC
2013-05-13,5010,5130,5010,5070,616880,ITC
2013-05-14,5010,5010,4760,4820,476540,ITC
2013-05-15,4880,5070,4820,4940,370660,ITC
2013-05-16,4940,5070,4880,4880,270610,ITC
2013-05-17,4940,4940,4820,4820,260770,ITC
2013-05-20,4820,5010,4820,4940,147630,ITC
2013-05-21,5010,5190,5010,5070,1201440,ITC
2013-05-22,5130,5320,5130,5130,978950,ITC
2013-05-23,5130,5320,5070,5130,668300,ITC
2013-05-24,5190,5260,5130,5190,628040,ITC
2013-05-27,5320,5450,5320,5320,934320,ITC
2013-05-28,5380,5510,5260,5450,918050,ITC
2013-05-29,5510,5630,5320,5380,759730,ITC
