time,open,high,low,close,volume,ticker
2013-01-02,8163,8163,8163,8163,0,KAC
2013-01-03,8163,8163,8163,8163,0,KAC
2013-01-04,8496,8496,8496,8496,10,KAC
2013-01-07,8496,8496,8496,8496,0,KAC
2013-01-08,8496,8496,8496,8496,0,KAC
2013-01-09,8163,8163,8163,8163,120,KAC
2013-01-10,8163,8163,8163,8163,0,KAC
2013-01-11,8163,8163,8163,8163,0,KAC
2013-01-14,8163,8163,8163,8163,0,KAC
2013-01-15,8163,8163,8163,8163,0,KAC
2013-01-16,8163,8163,8163,8163,0,KAC
2013-01-17,8163,8163,8163,8163,10,KAC
2013-01-18,8163,8163,8163,8163,0,KAC
2013-01-21,8163,8163,8163,8163,0,KAC
2013-01-22,7663,7663,7663,7663,4740,KAC
2013-01-23,7663,7663,7663,7663,0,KAC
2013-01-24,7663,7663,7663,7663,0,KAC
2013-01-25,7163,7163,7163,7163,110,KAC
2013-01-28,7163,7163,7163,7163,0,KAC
2013-01-29,7163,7163,7163,7163,0,KAC
2013-01-30,7163,7163,7163,7163,0,KAC
2013-01-31,7163,7163,7163,7163,0,KAC
2013-02-01,7163,7163,7163,7163,0,KAC
2013-02-04,7163,7163,7163,7163,0,KAC
2013-02-05,7163,7163,7163,7163,0,KAC
2013-02-06,7163,7163,7163,7163,0,KAC
2013-02-07,7163,7163,7163,7163,0,KAC
2013-02-08,7163,7163,7163,7163,0,KAC
2013-02-18,7163,7163,7163,7163,0,KAC
2013-02-19,7163,7163,7163,7163,10,KAC
2013-02-20,7163,7163,7163,7163,0,KAC
2013-02-21,7163,7163,7163,7163,50,KAC
2013-02-22,7163,7663,7163,7663,30,KAC
2013-02-25,8163,8163,8163,8163,10,KAC
2013-02-26,8496,8496,8496,8496,100,KAC
2013-02-27,8496,8496,8496,8496,0,KAC
2013-02-28,8496,8496,8496,8496,0,KAC
2013-03-01,8496,8496,8496,8496,0,KAC
2013-03-04,8496,8496,8496,8496,0,KAC
2013-03-05,8496,8496,8496,8496,0,KAC
2013-03-06,8496,8496,8496,8496,0,KAC
2013-03-07,8496,8496,8496,8496,0,KAC
2013-03-08,8496,8496,8496,8496,0,KAC
2013-03-11,8496,8496,8496,8496,0,KAC
2013-03-12,8496,8496,8496,8496,0,KAC
2013-03-13,8496,8496,8496,8496,0,KAC
2013-03-14,7913,7913,7913,7913,20,KAC
2013-03-15,8413,8413,8413,8413,10,KAC
2013-03-18,8413,8413,8413,8413,0,KAC
2013-03-19,7830,7830,7830,7830,20,KAC
2013-03-20,7830,7830,7830,7830,0,KAC
2013-03-21,7330,7330,7330,7330,100,KAC
2013-03-22,6830,6830,6830,6830,150,KAC
2013-03-25,6497,7163,6497,7163,190,KAC
2013-03-26,7580,7580,7580,7580,10,KAC
2013-03-27,7913,7913,7913,7913,10,KAC
2013-03-28,7913,7913,7913,7913,0,KAC
2013-03-29,7913,7913,7913,7913,0,KAC
2013-04-01,7913,7913,7913,7913,0,KAC
2013-04-02,7496,7496,7496,7496,50,KAC
2013-04-03,7496,7496,7496,7496,0,KAC
2013-04-04,7496,7496,7496,7496,0,KAC
2013-04-05,7496,7496,7496,7496,0,KAC
2013-04-08,7496,7496,7496,7496,0,KAC
2013-04-09,7496,7496,7496,7496,8000,KAC
2013-04-10,7413,7496,7080,7080,380,KAC
2013-04-11,7080,7080,7080,7080,0,KAC
2013-04-12,7080,7080,7080,7080,0,KAC
2013-04-15,7080,7080,7080,7080,0,KAC
2013-04-16,7080,7080,7080,7080,0,KAC
2013-04-17,7080,7080,7080,7080,0,KAC
2013-04-18,7080,7080,7080,7080,0,KAC
2013-04-22,7080,7080,7080,7080,0,KAC
2013-04-23,7080,7080,7080,7080,0,KAC
2013-04-24,7080,7080,7080,7080,0,KAC
2013-04-25,7080,7080,7080,7080,0,KAC
2013-04-26,6663,6663,6663,6663,110,KAC
2013-05-02,6663,6663,6663,6663,0,KAC
2013-05-03,6413,6413,6247,6247,430,KAC
2013-05-06,5830,5830,5830,5830,1600,KAC
2013-05-07,6080,6080,6080,6080,10,KAC
2013-05-08,6080,6080,6080,6080,0,KAC
2013-05-09,5664,5747,5664,5747,890,KAC
2013-05-10,5747,5747,5747,5747,0,KAC
2013-05-13,5747,5747,5747,5747,0,KAC
2013-05-14,5747,5747,5747,5747,0,KAC
2013-05-15,5747,5747,5747,5747,0,KAC
2013-05-16,5664,5830,5664,5830,10040,KAC
2013-05-17,5830,5830,5830,5830,0,KAC
2013-05-20,6164,6164,6080,6080,170,KAC
2013-05-21,6413,6413,6080,6413,50,KAC
2013-05-22,6413,6413,6413,6413,0,KAC
2013-05-23,5997,5997,5997,5997,20,KAC
2013-05-24,5914,5914,5914,5914,20,KAC
2013-05-27,6164,6164,5914,5914,60,KAC
2013-05-28,5997,5997,5997,5997,90,KAC
