time,open,high,low,close,volume,ticker
2013-01-02,2470,2590,2450,2590,156010,KDH
2013-01-03,2560,2620,2470,2470,123290,KDH
2013-01-04,2470,2560,2390,2500,231310,KDH
2013-01-07,2500,2540,2450,2470,140600,KDH
2013-01-08,2540,2540,2420,2470,89500,KDH
2013-01-09,2470,2560,2420,2470,249390,KDH
2013-01-10,2500,2500,2420,2470,49400,KDH
2013-01-11,2470,2500,2360,2360,266810,KDH
2013-01-14,2420,2420,2360,2420,56450,KDH
2013-01-15,2420,2450,2360,2420,83580,KDH
2013-01-16,2420,2590,2420,2590,2375800,KDH
2013-01-17,2750,2750,2650,2750,1929350,KDH
2013-01-18,2950,2950,2840,2920,1119290,KDH
2013-01-21,2810,2860,2730,2730,550430,KDH
2013-01-22,2560,2560,2560,2560,153300,KDH
2013-01-23,2390,2470,2390,2390,1510520,KDH
2013-01-24,2390,2420,2230,2340,695050,KDH
2013-01-25,2340,2390,2230,2340,387610,KDH
2013-01-28,2340,2470,2340,2360,609420,KDH
2013-01-29,2340,2360,2310,2340,318710,KDH
2013-01-30,2340,2420,2340,2360,398960,KDH
2013-01-31,2360,2360,2280,2310,331910,KDH
2013-02-01,2310,2310,2280,2310,141410,KDH
2013-02-04,2340,2340,2230,2230,171160,KDH
2013-02-05,2230,2310,2200,2280,248070,KDH
2013-02-06,2250,2310,2250,2250,265510,KDH
2013-02-07,2200,2310,2200,2310,418190,KDH
2013-02-08,2310,2450,2280,2450,524200,KDH
2013-02-18,2560,2620,2470,2560,710950,KDH
2013-02-19,2560,2560,2470,2500,692500,KDH
2013-02-20,2470,2560,2470,2500,471600,KDH
2013-02-21,2500,2650,2340,2340,1051570,KDH
2013-02-22,2420,2470,2250,2340,413240,KDH
2013-02-25,2360,2450,2360,2390,191180,KDH
2013-02-26,2390,2390,2230,2230,427580,KDH
2013-02-27,2230,2340,2170,2340,396300,KDH
2013-02-28,2360,2360,2250,2280,86330,KDH
2013-03-01,2250,2280,2230,2230,152370,KDH
2013-03-04,2230,2230,2090,2120,309010,KDH
2013-03-05,2150,2250,2120,2200,390990,KDH
2013-03-06,2200,2250,2200,2200,114760,KDH
2013-03-07,2200,2200,2150,2170,115650,KDH
2013-03-08,2170,2230,2150,2170,105490,KDH
2013-03-11,2230,2250,2200,2230,207370,KDH
2013-03-12,2200,2280,2200,2200,120180,KDH
2013-03-13,2200,2310,2200,2250,196000,KDH
2013-03-14,2230,2280,2230,2280,198120,KDH
2013-03-15,2280,2280,2250,2280,69150,KDH
2013-03-18,2230,2280,2230,2250,94470,KDH
2013-03-19,2230,2250,2200,2230,150390,KDH
2013-03-20,2200,2250,2200,2200,100550,KDH
2013-03-21,2200,2250,2200,2200,338750,KDH
2013-03-22,2200,2230,2170,2170,204350,KDH
2013-03-25,2170,2230,2170,2230,268410,KDH
2013-03-26,2230,2250,2230,2230,103860,KDH
2013-03-27,2230,2250,2200,2230,110460,KDH
2013-03-28,2230,2250,2200,2200,204300,KDH
2013-03-29,2170,2200,2150,2200,152680,KDH
2013-04-01,2200,2200,2150,2200,135430,KDH
2013-04-02,2200,2280,2200,2230,268540,KDH
2013-04-03,2230,2250,2200,2230,150020,KDH
2013-04-04,2230,2230,2170,2170,207790,KDH
2013-04-05,2200,2250,2200,2230,298790,KDH
2013-04-08,2230,2250,2200,2230,92020,KDH
2013-04-09,2230,2250,2200,2230,141260,KDH
2013-04-10,2230,2250,2200,2230,106780,KDH
2013-04-11,2230,2230,2200,2230,157030,KDH
2013-04-12,2150,2230,2150,2170,78520,KDH
2013-04-15,2150,2170,2060,2060,84400,KDH
2013-04-16,2120,2170,2060,2170,198570,KDH
2013-04-17,2200,2280,2200,2250,290780,KDH
2013-04-18,2250,2250,2200,2250,238120,KDH
2013-04-22,2230,2250,2230,2230,124690,KDH
2013-04-23,2230,2250,2230,2230,71340,KDH
2013-04-24,2230,2230,2170,2230,34170,KDH
2013-04-25,2230,2250,2230,2230,62980,KDH
2013-04-26,2250,2250,2200,2250,113520,KDH
2013-05-02,2250,2250,2200,2200,58500,KDH
2013-05-03,2230,2230,2170,2230,76730,KDH
2013-05-06,2250,2280,2200,2250,152940,KDH
2013-05-07,2250,2390,2200,2310,358330,KDH
2013-05-08,2390,2450,2390,2450,497550,KDH
2013-05-09,2560,2620,2540,2540,279060,KDH
2013-05-10,2540,2540,2470,2540,180700,KDH
2013-05-13,2500,2500,2420,2420,188810,KDH
2013-05-14,2450,2560,2420,2470,391860,KDH
2013-05-15,2540,2540,2450,2500,86990,KDH
2013-05-16,2540,2540,2500,2500,147080,KDH
2013-05-17,2500,2650,2500,2540,371150,KDH
2013-05-20,2540,2700,2540,2700,509490,KDH
2013-05-21,2810,2860,2810,2860,603320,KDH
2013-05-22,2860,2920,2840,2920,347700,KDH
2013-05-23,2890,3110,2890,3110,420170,KDH
2013-05-24,3160,3300,3140,3270,679500,KDH
2013-05-27,3380,3380,3220,3270,911060,KDH
2013-05-28,3270,3350,3190,3350,688100,KDH
2013-05-29,3350,3350,3220,3300,475090,KDH
2013-05-30,3220,3270,3080,3080,190730,KDH
2013-05-31,3080,3140,2920,2970,297130,KDH
2013-06-03,2970,3160,2970,3080,246930,KDH
2013-06-04,3080,3190,2950,2950,96720,KDH
2013-06-05,3030,3110,2950,3110,55110,KDH
2013-06-06,3000,3140,2950,3050,117340,KDH
2013-06-07,3080,3080,3000,3030,99080,KDH
2013-06-10,3030,3220,2920,2970,189620,KDH
2013-06-11,3050,3050,2780,2890,528980,KDH
2013-06-12,2860,2950,2840,2890,46780,KDH
2013-06-13,2920,2950,2810,2810,70600,KDH
2013-06-14,2840,2860,2700,2810,144430,KDH
2013-06-17,2730,2810,2650,2670,135210,KDH
2013-06-18,2650,2670,2500,2620,191830,KDH
2013-06-19,2670,2670,2540,2670,70770,KDH
2013-06-20,2650,2670,2500,2670,92830,KDH
2013-06-21,2560,2650,2560,2620,32720,KDH
2013-06-24,2620,2620,2470,2560,103420,KDH
2013-06-25,2560,2560,2390,2470,238290,KDH
2013-06-26,2500,2590,2420,2500,130670,KDH
2013-06-27,2560,2560,2340,2500,182170,KDH
2013-06-28,2560,2670,2560,2670,321210,KDH
2013-07-01,2670,2700,2620,2650,69650,KDH
2013-07-02,2670,2730,2620,2620,152150,KDH
2013-07-03,2540,2650,2540,2590,69250,KDH
2013-07-04,2650,2650,2590,2590,49800,KDH
2013-07-05,2650,2650,2590,2650,47840,KDH
2013-07-08,2700,2700,2590,2590,45070,KDH
2013-07-09,2620,2620,2560,2590,24310,KDH
2013-07-10,2500,2650,2500,2540,52870,KDH
2013-07-11,2590,2620,2540,2590,38210,KDH
2013-07-12,2620,2650,2590,2650,43710,KDH
2013-07-15,2700,2700,2620,2650,71570,KDH
2013-07-16,2500,2650,2500,2590,74630,KDH
2013-07-17,2620,2670,2590,2620,79910,KDH
2013-07-18,2620,2670,2620,2650,160110,KDH
2013-07-19,2700,2700,2670,2670,193800,KDH
2013-07-22,2670,2700,2650,2650,93730,KDH
2013-07-23,2560,2590,2470,2470,155660,KDH
2013-07-24,2470,2470,2310,2340,243990,KDH
2013-07-25,2360,2470,2340,2420,209960,KDH
2013-07-26,2470,2590,2450,2540,129790,KDH
2013-07-29,2540,2620,2540,2540,114480,KDH
2013-07-30,2450,2560,2450,2560,54240,KDH
2013-07-31,2590,2590,2540,2540,52420,KDH
2013-08-01,2470,2590,2450,2590,22060,KDH
2013-08-02,2590,2650,2560,2620,50390,KDH
2013-08-05,2620,2620,2470,2620,67810,KDH
2013-08-06,2620,2650,2620,2650,66790,KDH
2013-08-07,2650,2670,2620,2650,48610,KDH
2013-08-08,2670,2700,2560,2620,35000,KDH
2013-08-09,2650,2650,2540,2540,45020,KDH
2013-08-12,2650,2650,2590,2650,69590,KDH
2013-08-13,2650,2750,2650,2700,253960,KDH
2013-08-14,2730,2810,2700,2810,163970,KDH
2013-08-15,2810,2810,2670,2700,82940,KDH
2013-08-16,2650,2730,2620,2650,323770,KDH
2013-08-19,2670,2750,2670,2700,340400,KDH
2013-08-20,2670,2730,2650,2700,153030,KDH
2013-08-21,2650,2670,2650,2670,161270,KDH
2013-08-22,2670,2670,2620,2620,116050,KDH
2013-08-23,2590,2700,2590,2650,212640,KDH
2013-08-26,2670,2700,2670,2700,109300,KDH
2013-08-27,2700,2730,2670,2700,111890,KDH
2013-08-28,2670,2700,2650,2670,124350,KDH
2013-08-29,2730,2730,2650,2670,105930,KDH
2013-08-30,2670,2730,2670,2730,179990,KDH
2013-09-03,2670,2730,2670,2730,58060,KDH
2013-09-04,2750,2750,2700,2700,40010,KDH
2013-09-05,2670,2730,2670,2670,43720,KDH
2013-09-06,2700,2730,2670,2700,60500,KDH
2013-09-09,2730,2750,2700,2700,151490,KDH
2013-09-10,2700,2750,2700,2730,109670,KDH
2013-09-11,2730,2750,2730,2730,103150,KDH
2013-09-12,2730,2750,2730,2750,103710,KDH
2013-09-13,2730,2750,2670,2750,30460,KDH
2013-09-16,2700,2730,2670,2730,34310,KDH
2013-09-17,2670,2670,2620,2670,34370,KDH
2013-09-18,2620,2620,2560,2560,26890,KDH
2013-09-19,2560,2620,2560,2620,21160,KDH
2013-09-20,2650,2650,2650,2650,10000,KDH
2013-09-23,2620,2670,2620,2670,10020,KDH
2013-09-24,2650,2700,2650,2700,16550,KDH
2013-09-25,2670,2750,2670,2700,28050,KDH
2013-09-26,2750,2750,2700,2750,23000,KDH
2013-09-27,2670,2700,2670,2700,18850,KDH
2013-09-30,2730,2750,2730,2750,28100,KDH
2013-10-01,2750,2950,2750,2890,54890,KDH
2013-10-02,2920,2920,2730,2890,29110,KDH
2013-10-03,2840,2860,2780,2780,20970,KDH
2013-10-04,2860,2860,2840,2840,16010,KDH
2013-10-07,2840,2890,2840,2890,19300,KDH
2013-10-08,2890,2950,2780,2950,14780,KDH
2013-10-09,3000,3000,2840,2840,5000,KDH
2013-10-10,2860,3030,2860,3000,94370,KDH
2013-10-11,2920,3050,2920,3000,51640,KDH
2013-10-14,2970,3000,2970,2970,43410,KDH
2013-10-15,2970,2970,2970,2970,4540,KDH
2013-10-16,2970,3030,2970,3000,114650,KDH
2013-10-17,3000,3000,2970,3000,70850,KDH
2013-10-18,2970,2970,2970,2970,21800,KDH
2013-10-21,3000,3000,2950,2950,52770,KDH
2013-10-22,2890,2950,2860,2950,30530,KDH
2013-10-23,2920,2970,2920,2970,29650,KDH
2013-10-24,2860,3030,2860,3030,15150,KDH
2013-10-25,2970,3000,2920,3000,45000,KDH
2013-10-28,3000,3000,2950,2950,46400,KDH
2013-10-29,3000,3000,2950,2950,33200,KDH
