time,open,high,low,close,volume,ticker
2013-01-02,5600,5840,5600,5840,2010,LHG
2013-01-03,5840,5840,5840,5840,10,LHG
2013-01-04,5840,5840,5840,5840,0,LHG
2013-01-07,5600,5840,5600,5600,2010,LHG
2013-01-08,5350,5350,5350,5350,1140,LHG
2013-01-09,5600,5600,5600,5600,10,LHG
2013-01-10,5600,5600,5600,5600,0,LHG
2013-01-11,5350,5840,5350,5800,4130,LHG
2013-01-14,5510,6050,5510,5800,170,LHG
2013-01-15,5430,5430,5430,5430,260,LHG
2013-01-16,5720,5720,5090,5720,290,LHG
2013-01-17,5720,5720,5720,5720,0,LHG
2013-01-18,5720,5720,5720,5720,0,LHG
2013-01-21,5720,5720,5720,5720,0,LHG
2013-01-22,6010,6010,6010,6010,10,LHG
2013-01-23,6010,6010,6010,6010,0,LHG
2013-01-24,6010,6010,6010,6010,0,LHG
2013-01-25,5600,5600,5600,5600,10,LHG
2013-01-28,5230,5960,5230,5960,630,LHG
2013-01-29,5550,5550,5550,5550,280,LHG
2013-01-30,5230,5800,5230,5800,3320,LHG
2013-01-31,5430,6130,5430,6130,13250,LHG
2013-02-01,6130,6130,6130,6130,0,LHG
2013-02-04,5720,5720,5720,5720,6100,LHG
2013-02-05,5960,5960,5350,5350,440,LHG
2013-02-06,5510,5550,5510,5550,30,LHG
2013-02-07,5550,5670,5550,5670,220,LHG
2013-02-08,5350,5760,5310,5760,690,LHG
2013-02-18,5600,5800,5600,5640,410,LHG
2013-02-19,5640,5640,5470,5470,280,LHG
2013-02-20,5800,5800,5800,5800,10,LHG
2013-02-21,5470,5960,5470,5840,100,LHG
2013-02-22,6010,6010,6010,6010,10,LHG
2013-02-25,6010,6010,6010,6010,0,LHG
2013-02-26,5960,5960,5960,5960,500,LHG
2013-02-27,5800,5800,5800,5800,1000,LHG
2013-02-28,5930,5930,5930,5930,10,LHG
2013-03-01,5510,5930,5510,5510,1280,LHG
2013-03-04,5140,5180,5140,5180,260,LHG
2013-03-05,5180,5180,5180,5180,500,LHG
2013-03-06,4850,5470,4850,4970,1140,LHG
2013-03-07,4970,4970,4970,4970,0,LHG
2013-03-08,5260,5260,5260,5260,10,LHG
2013-03-11,5550,5550,5550,5550,10,LHG
2013-03-12,5800,5800,5180,5670,340,LHG
2013-03-13,5600,5600,5310,5310,60,LHG
2013-03-14,5600,5600,4970,5260,560,LHG
2013-03-15,4940,5600,4940,5380,290,LHG
2013-03-18,5180,5550,5180,5310,2630,LHG
2013-03-19,5180,5510,5060,5060,270,LHG
2013-03-20,5180,5350,4970,4970,40,LHG
2013-03-21,4800,5260,4770,4770,1310,LHG
2013-03-22,4770,4770,4720,4720,100,LHG
2013-03-25,5010,5010,4600,4600,150,LHG
2013-03-26,4890,4890,4890,4890,60,LHG
2013-03-27,5230,5230,5230,5230,10,LHG
2013-03-28,5260,5550,5260,5260,220,LHG
2013-03-29,5600,5600,5260,5260,30,LHG
2013-04-01,5310,5350,5310,5350,50,LHG
2013-04-02,5550,5550,5380,5380,120,LHG
2013-04-03,5670,5720,5010,5470,970,LHG
2013-04-04,5090,5090,5090,5090,10,LHG
2013-04-05,5090,5090,5090,5090,10,LHG
2013-04-08,5430,5430,4770,4770,190,LHG
2013-04-09,4770,4770,4650,4770,1410,LHG
2013-04-10,4770,5090,4770,5090,120,LHG
2013-04-11,5430,5430,5310,5430,40,LHG
2013-04-12,5060,5060,5060,5060,160,LHG
2013-04-15,5310,5310,4770,5230,30,LHG
2013-04-16,5230,5230,5230,5230,0,LHG
2013-04-17,5310,5470,5310,5470,20,LHG
2013-04-18,5470,5470,5470,5470,0,LHG
2013-04-22,5760,5760,5760,5760,10,LHG
2013-04-23,5720,5720,5720,5720,40,LHG
2013-04-24,6010,6010,5350,5550,40,LHG
2013-04-25,5180,5180,5180,5180,5000,LHG
2013-04-26,4970,5180,4940,5180,2610,LHG
2013-05-02,4890,5180,4890,5180,70,LHG
2013-05-03,5510,5510,5510,5510,10,LHG
2013-05-06,5140,5510,5140,5510,70,LHG
2013-05-07,5760,5760,5760,5760,10,LHG
2013-05-08,5380,5670,5380,5670,470,LHG
2013-05-09,5310,5310,5310,5310,40,LHG
2013-05-10,4970,4970,4970,4970,20,LHG
2013-05-13,5260,5260,5180,5180,1010,LHG
2013-05-14,5470,5470,5470,5470,10,LHG
2013-05-15,5470,5470,5470,5470,0,LHG
2013-05-16,5350,5350,5350,5350,20,LHG
2013-05-17,4970,4970,4970,4970,10,LHG
2013-05-20,4680,5310,4680,5310,60,LHG
2013-05-21,4970,4970,4970,4970,450,LHG
2013-05-22,4650,4650,4650,4650,11430,LHG
2013-05-23,4940,4940,4940,4940,20,LHG
2013-05-24,5180,5230,4940,5180,70,LHG
2013-05-27,4850,4850,4850,4850,1720,LHG
2013-05-28,4510,4510,4510,4510,4480,LHG
2013-05-29,4510,4800,4220,4800,8870,LHG
2013-05-30,4560,4800,4480,4480,7830,LHG
2013-05-31,4190,4680,4190,4560,4840,LHG
2013-06-03,4360,4560,4360,4360,1580,LHG
2013-06-04,4220,4510,4220,4510,1020,LHG
2013-06-05,4270,4270,4220,4220,2390,LHG
2013-06-06,4140,4360,4140,4140,30130,LHG
2013-06-07,4100,4220,4100,4220,7730,LHG
2013-06-10,4390,4390,4220,4220,13080,LHG
2013-06-11,4059,4220,4059,4220,11450,LHG
2013-06-12,4310,4310,4270,4310,2870,LHG
2013-06-13,4190,4390,4190,4310,2030,LHG
2013-06-14,4430,4480,4190,4480,2540,LHG
2013-06-17,4360,4480,4360,4360,5510,LHG
2013-06-18,4390,4430,4140,4390,1220,LHG
2013-06-19,4390,4390,4310,4390,14580,LHG
2013-06-20,4390,4560,4390,4430,6000,LHG
2013-06-21,4430,4430,4310,4430,2460,LHG
2013-06-24,4430,4430,4430,4430,30,LHG
2013-06-25,4430,4430,4190,4390,6510,LHG
