time,open,high,low,close,volume,ticker
2020-06-29,26120,26540,26120,26540,2000,MA1
2020-06-30,26370,26370,26370,26370,0,MA1
2020-07-01,26370,26370,26370,26370,0,MA1
2020-07-02,26370,26370,26370,26370,0,MA1
2020-07-03,26370,26370,26370,26370,0,MA1
2020-07-06,24490,24490,24490,24490,500,MA1
2020-07-07,23680,24490,23680,24490,500,MA1
2020-07-08,24490,24490,24490,24490,200,MA1
2020-07-09,24490,24660,24490,24660,600,MA1
2020-07-10,24490,25310,24490,25310,400,MA1
2020-07-13,25310,25310,25310,25310,200,MA1
2020-07-14,21560,25310,21560,25310,5500,MA1
2020-07-15,21310,21310,21310,21310,700,MA1
2020-07-16,19600,19600,18770,18770,200,MA1
2020-07-17,19190,19190,19190,19190,0,MA1
2020-07-20,19190,19190,19190,19190,0,MA1
2020-07-21,19190,19190,19190,19190,0,MA1
2020-07-22,19190,19190,19190,19190,200,MA1
2020-07-23,19190,19190,19190,19190,0,MA1
2020-07-24,19190,19190,19190,19190,0,MA1
2020-07-27,19190,19190,19190,19190,0,MA1
2020-07-28,19190,19190,19190,19190,0,MA1
2020-07-29,19190,19190,19190,19190,0,MA1
2020-07-30,19190,19190,19190,19190,0,MA1
2020-07-31,19190,19190,19190,19190,0,MA1
2020-08-03,19190,19190,19190,19190,0,MA1
2020-08-04,20410,20410,18770,18770,12000,MA1
2020-08-05,20410,20410,20410,20410,0,MA1
2020-08-06,20410,20410,20410,20410,0,MA1
2020-08-07,19190,19190,19190,19190,500,MA1
2020-08-10,19190,19190,19190,19190,0,MA1
2020-08-11,19190,19190,19190,19190,0,MA1
2020-08-12,19190,19190,19190,19190,0,MA1
2020-08-13,19190,19190,19190,19190,0,MA1
2020-08-14,19190,19190,19190,19190,0,MA1
2020-08-17,19190,19190,19190,19190,0,MA1
2020-08-18,19190,19190,19190,19190,0,MA1
2020-08-19,19190,19190,19190,19190,500,MA1
2020-08-20,16410,16410,16410,16410,100,MA1
2020-08-21,14040,14040,14040,14040,100,MA1
2020-08-24,16079,16079,16079,16079,100,MA1
2020-08-25,18370,18370,17960,17960,700,MA1
2020-08-26,19600,19600,18770,18770,1600,MA1
2020-08-27,19600,19600,19600,19600,500,MA1
2020-08-28,19680,19680,19680,19680,1000,MA1
2020-08-31,19760,19760,19760,19760,300,MA1
2020-09-01,19840,19840,19840,19840,100,MA1
2020-09-03,19840,19840,19840,19840,500,MA1
2020-09-04,20410,20410,20410,20410,1000,MA1
2020-09-07,20410,20410,20410,20410,100,MA1
2020-09-08,20410,20410,20410,20410,1,MA1
2020-09-09,20410,20410,20410,20410,0,MA1
2020-09-10,20410,20410,20410,20410,2100,MA1
2020-09-11,20410,20410,20410,20410,400,MA1
2020-09-14,20410,20410,20410,20410,0,MA1
2020-09-15,20410,20410,20410,20410,0,MA1
2020-09-16,20410,20410,20410,20410,0,MA1
2020-09-17,20410,20410,20410,20410,100,MA1
2020-09-18,20410,20410,20410,20410,0,MA1
2020-09-21,20410,20410,20410,20410,0,MA1
2020-09-22,20410,20410,20410,20410,500,MA1
2020-09-23,17470,23430,17470,23430,200,MA1
2020-09-24,20500,20500,20500,20500,0,MA1
2020-09-25,17470,17470,17470,17470,100,MA1
2020-09-28,14940,20090,14940,20090,200,MA1
2020-09-29,17550,17550,17550,17550,0,MA1
2020-09-30,17550,17550,17550,17550,0,MA1
2020-10-01,20170,20170,20170,20170,100,MA1
2020-10-02,20170,20170,20170,20170,0,MA1
2020-10-05,20820,20820,20820,20820,100,MA1
2020-10-06,20820,20820,20820,20820,100,MA1
2020-10-07,20820,20820,20820,20820,0,MA1
2020-10-08,20820,20820,20820,20820,0,MA1
2020-10-09,20820,20820,20820,20820,0,MA1
2020-10-12,20820,20820,20820,20820,0,MA1
2020-10-13,20820,20820,20820,20820,0,MA1
2020-10-14,20820,20820,20820,20820,0,MA1
2020-10-15,20820,20820,20820,20820,0,MA1
2020-10-16,20820,20820,20820,20820,0,MA1
2020-10-19,20820,20820,20820,20820,0,MA1
2020-10-20,20820,20820,20820,20820,0,MA1
2020-10-21,20820,20820,20820,20820,0,MA1
2020-10-22,20820,20820,20820,20820,500,MA1
2020-10-23,20820,20820,20820,20820,500,MA1
2020-10-26,21640,21640,21640,21640,100,MA1
2020-10-27,21640,21640,21640,21640,0,MA1
2020-10-28,21640,21640,21640,21640,0,MA1
2020-10-29,21640,21640,21640,21640,0,MA1
2020-10-30,21640,21640,21640,21640,700,MA1
2020-11-02,21640,21640,21640,21640,0,MA1
2020-11-03,21640,21640,21640,21640,0,MA1
2020-11-04,21640,21640,21640,21640,5000,MA1
2020-11-05,21640,21640,21640,21640,2000,MA1
2020-11-06,21230,21230,21230,21230,100,MA1
2020-11-09,21230,21230,21230,21230,0,MA1
2020-11-10,21230,21230,21230,21230,0,MA1
2020-11-11,21230,21230,21230,21230,0,MA1
2020-11-12,21230,21230,21230,21230,0,MA1
2020-11-13,21230,21230,21230,21230,0,MA1
2020-11-16,21230,21230,21230,21230,0,MA1
2020-11-17,21230,21230,21230,21230,0,MA1
2020-11-18,21230,21230,21230,21230,0,MA1
2020-11-19,21230,21230,21230,21230,0,MA1
2020-11-20,21230,21230,21230,21230,0,MA1
2020-11-23,21230,21230,21230,21230,0,MA1
2020-11-24,19530,19530,19530,19530,1300,MA1
2020-11-25,19530,19530,19530,19530,0,MA1
2020-11-26,19530,19530,19530,19530,0,MA1
2020-11-27,19530,19530,19530,19530,0,MA1
2020-11-30,19530,19530,19530,19530,0,MA1
2020-12-01,19530,19530,19530,19530,0,MA1
2020-12-02,19530,19530,19530,19530,0,MA1
2020-12-03,19530,19530,19530,19530,0,MA1
2020-12-04,19530,19530,19530,19530,0,MA1
2020-12-07,19530,19530,19530,19530,0,MA1
2020-12-08,19530,19530,19530,19530,0,MA1
2020-12-09,19530,19530,19530,19530,0,MA1
2020-12-10,19530,19530,19530,19530,0,MA1
2020-12-11,19530,19530,19530,19530,0,MA1
2020-12-14,19530,19530,19530,19530,0,MA1
2020-12-15,19530,19530,19530,19530,0,MA1
2020-12-16,19530,19530,19530,19530,0,MA1
2020-12-17,19530,19530,19530,19530,0,MA1
2020-12-18,19530,19530,19530,19530,0,MA1
2020-12-21,19530,19530,19530,19530,0,MA1
2020-12-22,22340,22340,22340,22340,100,MA1
2020-12-23,22340,22340,22340,22340,0,MA1
2020-12-24,22340,22340,22340,22340,0,MA1
2020-12-25,22340,22340,22340,22340,0,MA1
2020-12-28,22340,22340,22340,22340,0,MA1
2020-12-29,22340,22340,22340,22340,0,MA1
