time,open,high,low,close,volume,ticker
2013-01-02,3030,3170,3030,3170,3467810,MBB
2013-01-03,3180,3180,3060,3110,2020300,MBB
2013-01-04,3110,3170,3060,3140,1401390,MBB
2013-01-07,3140,3180,3110,3170,1625590,MBB
2013-01-08,3140,3300,3140,3280,5318350,MBB
2013-01-09,3370,3430,3210,3230,4792010,MBB
2013-01-10,3230,3350,3210,3350,2494950,MBB
2013-01-11,3370,3450,3350,3370,3715250,MBB
2013-01-14,3330,3370,3260,3350,2037060,MBB
2013-01-15,3370,3480,3370,3430,3057300,MBB
2013-01-16,3450,3500,3430,3480,4070240,MBB
2013-01-17,3450,3500,3400,3400,2785960,MBB
2013-01-18,3400,3430,3330,3400,4014940,MBB
2013-01-21,3400,3500,3350,3370,2241840,MBB
2013-01-22,3350,3370,3260,3280,1691970,MBB
2013-01-23,3300,3330,3230,3280,912980,MBB
2013-01-24,3300,3330,3280,3330,690290,MBB
2013-01-25,3350,3370,3330,3350,1045450,MBB
2013-01-28,3350,3450,3350,3370,3581900,MBB
2013-01-29,3370,3430,3330,3370,1889520,MBB
2013-01-30,3370,3430,3350,3400,2153660,MBB
2013-01-31,3370,3400,3350,3350,1224200,MBB
2013-02-01,3350,3350,3300,3350,582500,MBB
2013-02-04,3350,3370,3300,3300,692890,MBB
2013-02-05,3330,3330,3260,3300,1047720,MBB
2013-02-06,3350,3370,3300,3350,708940,MBB
2013-02-07,3350,3370,3330,3350,626850,MBB
2013-02-08,3370,3450,3350,3400,1154240,MBB
2013-02-18,3430,3450,3370,3450,2183370,MBB
2013-02-19,3450,3480,3400,3430,3043840,MBB
2013-02-20,3400,3430,3370,3400,810230,MBB
2013-02-21,3400,3430,3300,3300,1295440,MBB
2013-02-22,3330,3370,3260,3300,2559730,MBB
2013-02-25,3330,3330,3280,3280,635190,MBB
2013-02-26,3280,3280,3180,3180,1210770,MBB
2013-02-27,3170,3210,3140,3180,894980,MBB
2013-02-28,3230,3260,3210,3230,658650,MBB
2013-03-01,3230,3260,3210,3210,347490,MBB
2013-03-04,3230,3230,3140,3170,653150,MBB
2013-03-05,3180,3180,3140,3170,545480,MBB
2013-03-06,3170,3180,3170,3170,391390,MBB
2013-03-07,3180,3180,3140,3170,363780,MBB
2013-03-08,3170,3180,3170,3170,414720,MBB
2013-03-11,3140,3210,3140,3180,353380,MBB
2013-03-12,3180,3210,3170,3180,237010,MBB
2013-03-13,3180,3180,3140,3170,273610,MBB
2013-03-14,3170,3170,3140,3140,204060,MBB
2013-03-15,3140,3180,3140,3140,249840,MBB
2013-03-18,3140,3170,3140,3140,326950,MBB
2013-03-19,3140,3170,3110,3140,349100,MBB
2013-03-20,3140,3180,3140,3170,329070,MBB
2013-03-21,3170,3180,3170,3170,239210,MBB
2013-03-22,3170,3180,3140,3140,502930,MBB
2013-03-25,3140,3170,3110,3170,735850,MBB
2013-03-26,3170,3180,3140,3170,195680,MBB
2013-03-27,3170,3170,3140,3140,180740,MBB
2013-03-28,3140,3140,3110,3110,322200,MBB
2013-03-29,3110,3140,3090,3110,215300,MBB
2013-04-01,3140,3170,3110,3170,506730,MBB
2013-04-02,3170,3210,3170,3180,951800,MBB
2013-04-03,3180,3210,3170,3170,344920,MBB
2013-04-04,3170,3170,3140,3140,875350,MBB
2013-04-05,3140,3170,3110,3140,794100,MBB
2013-04-08,3170,3180,3170,3180,465270,MBB
2013-04-09,3210,3230,3180,3230,734400,MBB
2013-04-10,3230,3230,3140,3140,507900,MBB
2013-04-11,3170,3180,3140,3170,411490,MBB
2013-04-12,3170,3180,3110,3140,644140,MBB
2013-04-15,3170,3170,3090,3110,744860,MBB
2013-04-16,3110,3140,3090,3110,771030,MBB
2013-04-17,3110,3140,3110,3110,266240,MBB
2013-04-18,3110,3110,3090,3090,331530,MBB
2013-04-22,3110,3110,3090,3090,334160,MBB
2013-04-23,3090,3140,3090,3110,287080,MBB
2013-04-24,3140,3140,3090,3090,579230,MBB
2013-04-25,3110,3140,3090,3110,360390,MBB
2013-04-26,3110,3140,3110,3110,299830,MBB
2013-05-02,3110,3140,3090,3090,367220,MBB
2013-05-03,3090,3140,3090,3140,648040,MBB
2013-05-06,3140,3170,3110,3170,618290,MBB
2013-05-07,3180,3180,3110,3140,398980,MBB
2013-05-08,3140,3140,3110,3140,541270,MBB
2013-05-09,3110,3140,3110,3140,470480,MBB
2013-05-10,3140,3170,3110,3140,377840,MBB
2013-05-13,3140,3170,3110,3110,315920,MBB
2013-05-14,3110,3110,3090,3090,428420,MBB
2013-05-15,3110,3170,3090,3140,558920,MBB
2013-05-16,3110,3170,3110,3140,314270,MBB
2013-05-17,3110,3170,3110,3140,390120,MBB
2013-05-20,3110,3140,3110,3140,425970,MBB
2013-05-21,3140,3170,3140,3140,606810,MBB
2013-05-22,3170,3180,3140,3170,581020,MBB
2013-05-23,3170,3180,3140,3140,458260,MBB
2013-05-24,3140,3170,3140,3140,392650,MBB
2013-05-27,3170,3210,3170,3180,865170,MBB
2013-05-28,3180,3210,3170,3180,249690,MBB
2013-05-29,3180,3210,3170,3180,736870,MBB
2013-05-30,3180,3180,3170,3180,266880,MBB
2013-05-31,3210,3280,3210,3230,1646700,MBB
2013-06-03,3210,3230,3210,3210,568890,MBB
2013-06-04,3210,3210,3170,3170,519760,MBB
2013-06-05,3170,3180,3140,3180,465310,MBB
2013-06-06,3180,3210,3170,3180,765270,MBB
2013-06-07,3180,3230,3180,3230,1191780,MBB
2013-06-10,3280,3280,3230,3230,860780,MBB
2013-06-11,3230,3260,3210,3210,664780,MBB
2013-06-12,3210,3230,3180,3210,753660,MBB
2013-06-13,3210,3210,3170,3180,487010,MBB
2013-06-14,3210,3210,3180,3180,410920,MBB
2013-06-17,3180,3180,3140,3140,1028200,MBB
2013-06-18,3140,3170,3110,3140,616320,MBB
