time,open,high,low,close,volume,ticker
2013-01-02,53140,53140,51590,52110,2050,MSN
2013-01-03,53140,53140,51070,52110,50760,MSN
2013-01-04,52110,52620,52110,52620,21720,MSN
2013-01-07,52620,55200,51590,54170,224230,MSN
2013-01-08,54690,56750,54690,56750,225320,MSN
2013-01-09,59330,59330,58820,59330,109840,MSN
2013-01-10,60370,61910,58820,61910,229030,MSN
2013-01-11,64500,64500,61910,61910,100590,MSN
2013-01-14,61400,61400,59330,59850,70350,MSN
2013-01-15,59850,59850,57780,59850,63030,MSN
2013-01-16,59850,59850,58820,58820,21320,MSN
2013-01-17,58300,59850,57270,57780,87070,MSN
2013-01-18,58820,58820,55720,56750,45180,MSN
2013-01-21,57270,57780,55200,55720,54360,MSN
2013-01-22,56240,56240,54690,54690,52690,MSN
2013-01-23,54690,55200,53660,54170,39270,MSN
2013-01-24,54170,55720,53660,55200,4050,MSN
2013-01-25,56240,58820,55200,58820,37620,MSN
2013-01-28,58820,61910,58300,61400,92680,MSN
2013-01-29,61400,62950,61400,62430,54430,MSN
2013-01-30,62950,63980,61910,62950,240310,MSN
2013-01-31,62950,62950,60370,61400,197090,MSN
2013-02-01,60880,61910,60370,61400,186060,MSN
2013-02-04,62430,62430,59850,59850,67130,MSN
2013-02-05,59850,60880,57780,57780,154830,MSN
2013-02-06,57780,60880,57780,57780,247050,MSN
2013-02-07,58300,60370,57780,59850,26630,MSN
2013-02-08,59850,59850,59330,59850,2980,MSN
2013-02-18,60370,60880,59850,60370,61970,MSN
2013-02-19,59850,60370,58820,58820,17170,MSN
2013-02-20,59850,59850,58820,59850,95210,MSN
2013-02-21,59330,60880,57270,57270,104960,MSN
2013-02-22,59330,59850,57270,59330,22330,MSN
2013-02-25,59330,60370,58820,60370,23960,MSN
2013-02-26,59850,60370,57270,58820,62620,MSN
2013-02-27,58820,59330,57270,57270,105190,MSN
2013-02-28,57780,58820,57270,57780,110280,MSN
2013-03-01,57780,58820,57780,58820,6430,MSN
2013-03-04,59330,59850,58300,59330,38900,MSN
2013-03-05,58820,59850,58820,58820,41290,MSN
2013-03-06,59330,59330,58820,59330,10840,MSN
2013-03-07,58820,59330,57780,57780,27750,MSN
2013-03-08,59330,59330,58300,59330,28450,MSN
2013-03-11,59330,59850,59330,59850,19930,MSN
2013-03-12,59850,60370,58820,60370,47660,MSN
2013-03-13,60370,60370,59850,60370,17420,MSN
2013-03-14,59330,60880,59330,60370,14420,MSN
2013-03-15,60370,63460,60370,63460,246470,MSN
2013-03-18,63460,63460,61400,61400,7360,MSN
2013-03-19,61400,61910,60880,60880,25930,MSN
2013-03-20,60880,62430,60880,61910,12220,MSN
2013-03-21,61910,66040,61910,66040,271460,MSN
2013-03-22,67080,69650,65530,67080,140570,MSN
