time,open,high,low,close,volume,ticker
2013-01-02,8586,8586,8382,8382,10230,NBB
2013-01-03,7975,8281,7975,8281,10250,NBB
2013-01-04,8145,8213,8009,8213,2210,NBB
2013-01-07,7907,8213,7805,8213,23990,NBB
2013-01-08,8145,8213,8145,8145,18820,NBB
2013-01-09,8315,8315,7873,7873,44310,NBB
2013-01-10,7907,7907,7907,7907,5000,NBB
2013-01-11,8145,8145,7738,7738,31470,NBB
2013-01-14,8077,8111,8009,8009,30520,NBB
2013-01-15,8009,8009,8009,8009,5050,NBB
2013-01-16,8009,8043,7975,8009,116610,NBB
2013-01-17,8009,8009,7975,7975,1580,NBB
2013-01-18,7738,7975,7466,7975,2220,NBB
2013-01-21,7738,7738,7466,7466,7100,NBB
2013-01-22,7161,7738,7161,7704,20630,NBB
2013-01-23,7941,7941,7262,7670,1270,NBB
2013-01-24,7229,7602,7161,7432,11310,NBB
2013-01-25,6957,7025,6923,6923,32280,NBB
2013-01-28,7262,7262,6685,6753,33810,NBB
2013-01-29,6923,6923,6448,6787,9050,NBB
2013-01-30,6855,6855,6685,6787,12660,NBB
2013-01-31,6652,6787,6652,6787,3070,NBB
2013-02-01,6753,6753,6618,6719,2460,NBB
2013-02-04,6652,6889,6550,6753,25070,NBB
2013-02-05,6482,6923,6312,6685,239390,NBB
2013-02-06,6346,6584,6244,6584,45300,NBB
2013-02-07,6787,6787,6278,6550,11050,NBB
2013-02-08,6142,6550,6142,6550,5360,NBB
2013-02-18,6753,6753,6278,6312,77760,NBB
2013-02-19,6448,6753,6312,6753,202850,NBB
2013-02-20,7195,7195,7195,7195,2890,NBB
2013-02-21,7670,7670,7670,7670,1460,NBB
2013-02-22,8179,8179,8145,8179,276440,NBB
2013-02-25,8722,8722,8722,8722,3290,NBB
2013-02-26,9299,9299,9265,9299,197470,NBB
2013-02-27,9808,9944,9808,9944,465170,NBB
2013-02-28,10622,10622,9502,10012,103700,NBB
2013-03-01,9570,9842,9333,9333,142870,NBB
2013-03-04,9435,9944,8993,9502,126750,NBB
2013-03-05,9163,9502,8993,9027,46000,NBB
2013-03-06,9435,9435,8925,9027,55640,NBB
2013-03-07,9027,9027,8484,8756,72990,NBB
2013-03-08,9129,9129,8654,8756,35050,NBB
2013-03-11,8756,9299,8688,8925,138180,NBB
2013-03-12,8925,9163,8925,9095,61460,NBB
2013-03-13,8959,9502,8959,9197,63220,NBB
2013-03-14,9197,9774,9197,9774,126400,NBB
2013-03-15,10181,10453,10181,10453,233890,NBB
2013-03-18,10792,10860,9740,9740,210680,NBB
2013-03-19,9502,9570,9197,9502,148450,NBB
2013-03-20,9502,9740,9231,9367,156830,NBB
2013-03-21,9435,9672,9333,9401,81900,NBB
2013-03-22,9401,9401,8858,9129,151600,NBB
2013-03-25,9129,9299,8858,9027,65500,NBB
2013-03-26,9163,9333,9027,9163,169210,NBB
2013-03-27,9095,9367,8993,9265,74700,NBB
2013-03-28,9299,9333,9163,9163,62020,NBB
2013-03-29,9095,9197,8824,9095,29880,NBB
2013-04-01,9095,9163,8858,8993,91690,NBB
2013-04-02,8993,9061,8925,8925,64370,NBB
2013-04-03,9027,9027,8552,8722,95420,NBB
2013-04-04,8722,8722,8247,8247,156070,NBB
2013-04-05,8145,8450,7670,7975,148810,NBB
2013-04-08,7839,8145,7636,7975,70150,NBB
2013-04-09,8043,8043,7772,7975,53050,NBB
2013-04-10,7907,7975,7534,7534,94420,NBB
2013-04-11,7534,8043,7534,8043,138400,NBB
2013-04-12,8382,8416,7907,7907,42940,NBB
2013-04-15,8145,8145,7738,7772,77930,NBB
2013-04-16,7636,7772,7534,7704,92200,NBB
2013-04-17,7941,7941,7602,7670,16940,NBB
2013-04-18,7636,7772,7466,7602,28730,NBB
2013-04-22,7704,7704,7330,7466,70100,NBB
2013-04-23,7466,7670,7432,7432,6210,NBB
2013-04-24,7195,7602,7127,7229,42080,NBB
2013-04-25,7025,7330,7025,7127,17470,NBB
2013-04-26,7025,7127,6957,6957,13000,NBB
2013-05-02,6652,7127,6652,6652,21100,NBB
2013-05-03,6652,7093,6618,7093,19690,NBB
2013-05-06,7568,7568,7568,7568,12460,NBB
2013-05-07,8077,8077,7975,8077,273440,NBB
2013-05-08,8416,8552,8145,8145,147650,NBB
2013-05-09,8247,8247,8111,8179,53730,NBB
2013-05-10,8213,8213,7636,7738,81280,NBB
2013-05-13,7738,8043,7738,7805,52720,NBB
2013-05-14,7738,8348,7738,8111,148130,NBB
2013-05-15,8111,8315,8009,8111,29830,NBB
2013-05-16,8043,8281,8009,8179,17930,NBB
2013-05-17,8179,8179,7941,8179,68730,NBB
2013-05-20,8145,8247,7975,8145,51940,NBB
2013-05-21,8111,8348,8077,8111,99830,NBB
2013-05-22,8077,8077,7873,7873,69580,NBB
2013-05-23,7839,7907,7704,7738,103530,NBB
2013-05-24,7873,8077,7704,7941,23420,NBB
2013-05-27,7907,8043,7772,7941,79130,NBB
2013-05-28,8077,8077,7738,7907,71120,NBB
2013-05-29,7907,7975,7805,7873,54000,NBB
2013-05-30,7772,7941,7772,7941,21170,NBB
2013-05-31,8111,8484,8043,8484,264640,NBB
2013-06-03,8722,8824,8382,8382,64780,NBB
2013-06-04,8416,8416,8077,8077,35560,NBB
2013-06-05,8179,8179,7873,8111,52770,NBB
2013-06-06,8077,8382,8077,8111,79070,NBB
2013-06-07,8382,8382,8077,8247,46710,NBB
2013-06-10,8315,8315,8111,8111,26750,NBB
2013-06-11,8043,8213,8043,8145,64750,NBB
2013-06-12,8111,8179,8077,8145,83520,NBB
2013-06-13,8145,8145,7907,7941,118360,NBB
2013-06-14,7941,7975,7873,7873,81300,NBB
2013-06-17,8043,8043,7738,7738,17770,NBB
2013-06-18,7941,8145,7772,8077,61110,NBB
2013-06-19,7975,8111,7873,8009,43330,NBB
2013-06-20,8009,8111,7975,8009,29160,NBB
2013-06-21,8145,8552,8145,8552,219350,NBB
2013-06-24,9129,9129,8824,8925,84940,NBB
2013-06-25,8925,8925,8315,8416,70660,NBB
2013-06-26,8586,8586,7941,8009,67540,NBB
2013-06-27,8560,8560,8259,8259,49170,NBB
2013-06-28,8460,8460,8259,8360,15940,NBB
2013-07-01,8460,8460,8360,8360,2850,NBB
2013-07-02,8059,8259,8059,8209,10410,NBB
2013-07-03,8259,8259,8109,8159,11370,NBB
2013-07-04,8109,8109,7859,7959,15260,NBB
2013-07-05,7659,7909,7609,7659,18860,NBB
2013-07-08,7509,7559,7308,7358,41400,NBB
2013-07-09,7308,7358,7058,7158,78300,NBB
2013-07-10,7058,7258,7058,7258,2620,NBB
2013-07-11,7258,7258,7108,7208,7280,NBB
2013-07-12,7008,7308,6908,7308,53560,NBB
2013-07-15,7358,7408,7258,7358,67530,NBB
2013-07-16,7358,7458,7358,7458,40980,NBB
2013-07-17,7408,7408,7308,7408,51080,NBB
2013-07-18,7308,7308,7008,7308,46710,NBB
2013-07-19,7158,7308,7158,7308,14410,NBB
2013-07-22,7108,7108,6908,6958,47340,NBB
2013-07-23,7008,7058,6908,7058,38500,NBB
2013-07-24,7058,7058,6958,7008,27300,NBB
2013-07-25,7008,7008,6657,6908,20720,NBB
2013-07-26,6908,6908,6507,6557,34880,NBB
2013-07-29,6307,6557,6307,6507,17990,NBB
2013-07-30,6507,6657,6407,6657,27160,NBB
2013-07-31,6507,6507,6407,6507,26060,NBB
2013-08-01,6507,6507,6457,6457,29870,NBB
2013-08-02,6557,6557,6457,6507,13650,NBB
2013-08-05,6507,6657,6507,6557,37640,NBB
2013-08-06,6657,6657,6257,6507,4070,NBB
2013-08-07,6557,6858,6507,6708,15810,NBB
2013-08-08,6858,6858,6507,6708,7450,NBB
2013-08-09,6557,6657,6457,6607,17560,NBB
2013-08-12,6607,6607,6457,6557,8060,NBB
2013-08-13,6507,6507,6457,6507,4030,NBB
2013-08-14,6407,6507,6407,6507,3390,NBB
2013-08-15,6357,6507,6357,6457,5090,NBB
2013-08-16,6507,6908,6507,6908,68070,NBB
2013-08-19,7058,7158,6908,6958,6190,NBB
2013-08-20,6958,6958,6808,6958,5810,NBB
2013-08-21,6708,6758,6607,6607,25080,NBB
2013-08-22,6657,6758,6507,6507,27560,NBB
2013-08-23,6507,6557,6457,6507,18540,NBB
2013-08-26,6507,6507,6407,6457,16470,NBB
2013-08-27,6557,6557,6407,6457,11160,NBB
2013-08-28,6557,6557,6207,6407,4980,NBB
2013-08-29,6457,6507,6407,6407,2360,NBB
2013-08-30,6457,6457,6307,6407,760,NBB
2013-09-03,6307,6457,6257,6357,6150,NBB
2013-09-04,6407,6407,6107,6157,14020,NBB
2013-09-05,6257,6507,6157,6307,7330,NBB
2013-09-06,6407,6407,6157,6257,5110,NBB
2013-09-09,6307,6307,5957,6307,14720,NBB
2013-09-10,6207,6257,6207,6207,2560,NBB
2013-09-11,6207,6407,6057,6207,2990,NBB
2013-09-12,6107,6357,6057,6207,6390,NBB
2013-09-13,6107,6157,6007,6157,8200,NBB
2013-09-16,6157,6157,5806,6007,8890,NBB
2013-09-17,6007,6007,5857,6007,6320,NBB
2013-09-18,5957,6057,5756,6007,2910,NBB
2013-09-19,6007,6057,5907,6007,100,NBB
2013-09-20,6057,6057,6007,6007,1060,NBB
2013-09-23,6007,6207,6007,6107,3370,NBB
2013-09-24,6007,6157,5957,6007,14550,NBB
2013-09-25,6107,6407,6007,6207,19060,NBB
2013-09-26,6207,6307,6207,6207,8740,NBB
2013-09-27,6307,6607,6207,6557,56860,NBB
2013-09-30,6657,6708,6557,6607,21770,NBB
2013-10-01,6657,6708,6457,6657,51360,NBB
2013-10-02,6657,6657,6507,6657,13290,NBB
2013-10-03,6407,6657,6357,6557,4660,NBB
2013-10-04,6657,6657,6307,6307,12720,NBB
2013-10-07,6457,6507,6307,6407,11850,NBB
2013-10-08,6357,6808,6357,6507,53300,NBB
2013-10-09,6758,6808,6557,6808,44510,NBB
2013-10-10,6758,6858,6557,6557,16390,NBB
2013-10-11,6607,6607,6457,6607,26260,NBB
2013-10-14,6407,6657,6407,6657,18860,NBB
2013-10-15,6607,6607,6607,6607,4000,NBB
2013-10-16,6607,6758,6507,6607,14280,NBB
2013-10-17,6758,6758,6557,6657,23940,NBB
2013-10-18,6607,6758,6607,6758,17090,NBB
2013-10-21,6457,6708,6357,6507,205790,NBB
2013-10-22,6507,6958,6507,6858,302600,NBB
2013-10-23,6908,7308,6858,7308,271760,NBB
2013-10-24,7458,7809,7358,7809,671670,NBB
2013-10-25,7509,7859,7509,7759,224740,NBB
2013-10-28,7458,7659,7258,7258,160300,NBB
2013-10-29,7158,7408,7158,7208,239860,NBB
2013-10-30,7208,7458,7208,7308,208210,NBB
2013-10-31,7408,7408,7158,7158,90710,NBB
2013-11-01,7258,7258,7008,7208,50830,NBB
2013-11-04,7108,7509,7108,7408,137490,NBB
2013-11-05,7509,7709,7358,7709,264340,NBB
2013-11-06,7709,7759,7509,7609,319850,NBB
2013-11-07,7659,7659,7458,7458,160880,NBB
2013-11-08,7509,7559,7258,7258,138430,NBB
2013-11-11,7458,7559,7258,7408,297050,NBB
2013-11-12,7358,7559,7358,7408,381740,NBB
2013-11-13,7408,7509,7358,7458,273830,NBB
2013-11-14,7458,7559,7408,7559,473620,NBB
2013-11-15,7458,7609,7458,7559,220380,NBB
2013-11-18,7559,7609,7158,7458,127180,NBB
2013-11-19,7408,7609,7358,7458,203370,NBB
2013-11-20,7458,7509,7358,7358,140910,NBB
2013-11-21,7358,7709,7258,7258,333460,NBB
2013-11-22,7258,7358,7258,7358,66860,NBB
2013-11-25,7308,7408,7258,7358,77570,NBB
2013-11-26,7308,7408,7308,7358,60170,NBB
2013-11-27,7408,7408,7158,7158,94240,NBB
2013-11-28,7258,7358,7158,7208,63640,NBB
2013-11-29,7208,7458,7208,7308,117220,NBB
2013-12-02,7358,7358,7258,7358,17920,NBB
2013-12-03,7408,7408,7308,7308,55350,NBB
2013-12-04,7358,7408,7258,7358,142100,NBB
2013-12-05,7358,7859,7358,7859,884750,NBB
2013-12-06,8009,8360,7959,8009,547840,NBB
2013-12-09,8009,8109,7809,8009,218860,NBB
2013-12-10,7859,7959,7659,7909,237770,NBB
2013-12-11,7809,7859,7509,7509,295170,NBB
2013-12-12,7408,7709,7408,7709,194820,NBB
2013-12-13,7659,7809,7559,7709,87190,NBB
2013-12-16,7659,7709,7559,7609,95540,NBB
2013-12-17,7609,7709,7559,7609,115000,NBB
2013-12-18,7659,7659,7559,7659,90610,NBB
2013-12-19,7659,7759,7609,7709,349670,NBB
2013-12-20,7759,8009,7759,7759,840970,NBB
2013-12-23,7859,8059,7859,8009,833580,NBB
2013-12-24,8109,8109,7759,7959,258170,NBB
2013-12-25,8059,8059,7809,7809,144310,NBB
2013-12-26,7859,8009,7809,7809,261880,NBB
2013-12-27,7859,7859,7709,7759,169870,NBB
2013-12-30,7709,7859,7408,7408,254900,NBB
2013-12-31,7408,7909,7408,7909,261890,NBB
2014-01-02,7909,7909,7709,7709,297070,NBB
2014-01-03,7709,7859,7659,7659,88420,NBB
2014-01-06,7659,7909,7659,7709,397150,NBB
2014-01-07,7759,7909,7709,7859,158260,NBB
2014-01-08,7859,7859,7709,7809,76140,NBB
2014-01-09,7809,7809,7709,7809,116680,NBB
2014-01-10,7759,8259,7709,7959,588020,NBB
2014-01-13,8009,8009,7859,7959,114710,NBB
2014-01-14,7959,7959,7809,7809,345470,NBB
2014-01-15,7909,8009,7809,7859,654890,NBB
2014-01-16,7909,7909,7759,7759,304670,NBB
2014-01-17,7759,7859,7709,7759,118710,NBB
2014-01-20,7809,7859,7559,7559,169370,NBB
2014-01-21,7609,7709,7509,7559,155390,NBB
2014-01-22,7609,7759,7559,7609,260830,NBB
2014-01-23,7559,7859,7559,7859,123760,NBB
2014-01-24,7859,8360,7859,8360,736550,NBB
2014-01-27,8360,8910,8360,8910,646510,NBB
2014-02-06,9461,9461,9110,9361,565770,NBB
2014-02-07,9261,9411,9110,9261,572430,NBB
2014-02-10,9261,9861,9261,9861,558780,NBB
2014-02-11,10462,10512,10012,10012,480130,NBB
2014-02-12,10412,10712,10362,10712,329270,NBB
2014-02-13,11313,11413,11263,11413,485360,NBB
2014-02-14,12164,12164,12114,12164,669010,NBB
2014-02-17,12515,13015,12314,13015,597070,NBB
2014-02-18,12264,13015,12264,12314,1192630,NBB
2014-02-19,12314,13165,12114,12815,618090,NBB
2014-02-20,12815,13516,12164,12565,543960,NBB
2014-02-21,12615,13416,12214,13416,649530,NBB
2014-02-24,13616,14317,13616,14317,847080,NBB
2014-02-25,14767,15018,14267,14517,660670,NBB
2014-02-26,14617,14617,14016,14367,580190,NBB
2014-02-27,14317,14317,13516,13516,921080,NBB
2014-02-28,13966,13966,13366,13966,432490,NBB
2014-03-03,13566,14217,13015,13015,262520,NBB
2014-03-04,12264,12965,12114,12314,361110,NBB
