time,open,high,low,close,volume,ticker
2013-01-02,1054,1112,1054,1112,522200,NDN
2013-01-03,1132,1171,1073,1152,774800,NDN
2013-01-04,1152,1249,1093,1191,458200,NDN
2013-01-07,1210,1249,1132,1132,288200,NDN
2013-01-08,1152,1171,1073,1093,418000,NDN
2013-01-09,1132,1132,1054,1054,559300,NDN
2013-01-10,1054,1073,995,1015,279900,NDN
2013-01-11,1034,1093,1034,1054,161700,NDN
2013-01-14,1054,1073,1015,1054,158400,NDN
2013-01-15,1034,1112,1015,1093,334600,NDN
2013-01-16,1093,1171,1093,1152,538800,NDN
2013-01-17,1132,1152,1093,1093,231300,NDN
2013-01-18,1073,1112,1034,1054,166600,NDN
2013-01-21,1054,1073,1015,1054,104500,NDN
2013-01-22,1054,1054,976,995,166100,NDN
2013-01-23,995,1015,956,995,85900,NDN
2013-01-24,976,1054,976,1054,141300,NDN
2013-01-25,1015,1073,1015,1034,278400,NDN
2013-01-28,1034,1073,1015,1054,271400,NDN
2013-01-29,1034,1073,1015,1034,202400,NDN
2013-01-30,1034,1073,1015,1034,258500,NDN
2013-01-31,1054,1054,1015,1015,378100,NDN
2013-02-01,1015,1034,976,995,326300,NDN
2013-02-04,995,1073,995,1054,270900,NDN
2013-02-05,1034,1073,1015,1034,220700,NDN
2013-02-06,1034,1073,1034,1073,91600,NDN
2013-02-07,1054,1093,1054,1093,129400,NDN
2013-02-08,1093,1152,1073,1132,208800,NDN
2013-02-18,1152,1210,1132,1210,308500,NDN
2013-02-19,1191,1210,1152,1152,303200,NDN
2013-02-20,1132,1191,1112,1191,274900,NDN
2013-02-21,1191,1210,1073,1073,539900,NDN
2013-02-22,1073,1132,1034,1112,196200,NDN
2013-02-25,1132,1132,1093,1112,302900,NDN
2013-02-26,1132,1132,1054,1093,386800,NDN
2013-02-27,1093,1093,1054,1093,325600,NDN
2013-02-28,1093,1112,1073,1073,117500,NDN
2013-03-01,1093,1112,1073,1073,84300,NDN
2013-03-04,1073,1073,1034,1034,110100,NDN
2013-03-05,1034,1034,995,995,200200,NDN
2013-03-06,995,1034,995,1034,137500,NDN
2013-03-07,1054,1054,995,1034,137500,NDN
2013-03-08,1015,1034,995,1034,100500,NDN
2013-03-11,1034,1093,1034,1093,123200,NDN
2013-03-12,1073,1093,1054,1073,110700,NDN
2013-03-13,1054,1054,1015,1054,141500,NDN
2013-03-14,1073,1073,1034,1054,103500,NDN
2013-03-15,1054,1112,1034,1112,274900,NDN
2013-03-18,1093,1093,1034,1034,78200,NDN
2013-03-19,1034,1054,1015,1015,157700,NDN
2013-03-20,1054,1054,1015,1054,112000,NDN
2013-03-21,1034,1073,1034,1034,141300,NDN
2013-03-22,1034,1054,1015,1015,117300,NDN
2013-03-25,1015,1034,995,1015,74500,NDN
2013-03-26,1015,1054,1015,1034,137800,NDN
2013-03-27,1034,1054,1015,1015,52300,NDN
2013-03-28,1034,1034,995,1015,133200,NDN
2013-03-29,1015,1034,976,1015,110300,NDN
2013-04-01,1034,1054,1015,1034,87000,NDN
2013-04-02,1034,1054,1034,1034,121500,NDN
2013-04-03,1034,1054,1015,1034,128500,NDN
2013-04-04,1034,1054,995,995,134800,NDN
2013-04-05,1034,1054,995,1034,195000,NDN
2013-04-08,1034,1054,1015,1034,115100,NDN
2013-04-09,1034,1054,1015,1034,133700,NDN
2013-04-10,1034,1054,1015,1015,119500,NDN
2013-04-11,1034,1054,1015,1015,95000,NDN
2013-04-12,1034,1054,995,995,111000,NDN
2013-04-15,1034,1034,976,976,149800,NDN
2013-04-16,976,1015,956,976,179000,NDN
2013-04-17,976,1015,976,976,93200,NDN
2013-04-18,1015,1015,976,995,151100,NDN
2013-04-22,995,995,956,956,127100,NDN
2013-04-23,976,995,956,976,161400,NDN
2013-04-24,976,1015,976,995,134100,NDN
2013-04-25,1015,1054,995,1054,175700,NDN
2013-04-26,1054,1054,1015,1015,126300,NDN
2013-05-02,1034,1034,995,995,107500,NDN
2013-05-03,1015,1034,995,1015,132500,NDN
2013-05-06,1015,1073,1015,1073,133100,NDN
2013-05-07,1073,1073,1034,1034,102800,NDN
2013-05-08,1074,1074,1054,1054,94000,NDN
2013-05-09,1074,1114,1034,1074,135400,NDN
2013-05-10,1094,1114,1054,1094,139200,NDN
2013-05-13,1074,1114,1074,1114,123600,NDN
2013-05-14,1114,1133,1074,1094,125000,NDN
2013-05-15,1094,1094,1034,1094,148200,NDN
2013-05-16,1094,1114,1074,1094,86200,NDN
2013-05-17,1094,1114,1074,1114,112100,NDN
2013-05-20,1094,1094,1034,1054,125100,NDN
2013-05-21,1074,1074,1034,1054,109300,NDN
2013-05-22,1074,1114,1054,1114,144200,NDN
2013-05-23,1114,1114,1074,1074,201600,NDN
2013-05-24,1094,1114,1074,1114,204400,NDN
2013-05-27,1074,1173,1054,1153,210100,NDN
2013-05-28,1153,1173,1114,1153,155700,NDN
2013-05-29,1153,1173,1133,1153,241100,NDN
