time,open,high,low,close,volume,ticker
2013-04-08,10400,10400,10400,10400,370500,NLG
2013-04-09,9690,9690,9690,9690,13300,NLG
2013-04-10,9000,9000,9000,9000,17070,NLG
2013-04-11,8390,8390,8390,8390,22910,NLG
2013-04-12,7810,7950,7810,7810,762940,NLG
2013-04-15,7950,8340,7910,8039,263240,NLG
2013-04-16,8290,8290,8039,8189,22850,NLG
2013-04-17,7950,8140,7950,8140,284820,NLG
2013-04-18,8140,8140,7990,8090,195130,NLG
2013-04-22,7860,8140,7860,8090,128400,NLG
2013-04-23,8140,8240,8090,8240,100870,NLG
2013-04-24,7990,8240,7990,8240,88650,NLG
2013-04-25,8140,8440,8140,8390,150870,NLG
2013-04-26,8240,8440,8140,8390,67520,NLG
2013-05-02,8390,8390,8290,8390,30870,NLG
2013-05-03,8390,8390,7810,7810,34690,NLG
2013-05-06,7950,8090,7710,8090,81340,NLG
2013-05-07,7990,8039,7860,7860,58700,NLG
2013-05-08,8189,8189,8090,8090,9530,NLG
2013-05-09,8090,8090,7950,7990,16680,NLG
2013-05-10,7990,8039,7950,7990,29210,NLG
2013-05-13,8189,8480,8189,8480,96580,NLG
2013-05-14,8440,8580,8340,8440,136890,NLG
2013-05-15,8440,9000,8440,9000,219010,NLG
2013-05-16,9100,9400,9100,9350,84720,NLG
2013-05-17,9350,9350,9000,9350,129090,NLG
2013-05-20,9350,9880,9350,9640,152770,NLG
2013-05-21,9490,9830,9490,9690,81760,NLG
2013-05-22,9830,10220,9790,10220,83330,NLG
2013-05-23,10220,10600,9640,9640,108870,NLG
2013-05-24,9690,10320,9690,10320,106080,NLG
2013-05-27,10600,10650,10450,10650,108000,NLG
2013-05-28,10840,10840,10360,10840,73670,NLG
2013-05-29,10840,11570,10840,11570,85700,NLG
2013-05-30,12190,12330,12140,12330,123560,NLG
2013-05-31,13160,13160,12530,12810,143720,NLG
2013-06-03,11940,12810,11940,11990,14160,NLG
2013-06-04,11520,12810,11470,12810,75560,NLG
2013-06-05,12720,12720,11940,11940,47580,NLG
2013-06-06,11330,12040,11130,11130,102390,NLG
2013-06-07,11330,11850,10650,11810,11670,NLG
2013-06-10,11810,11810,11080,11080,6890,NLG
2013-06-11,11710,11710,11080,11080,2730,NLG
2013-06-12,10930,11570,10930,11520,9890,NLG
2013-06-13,11570,11670,11420,11520,12200,NLG
2013-06-14,11570,11570,11420,11570,7600,NLG
2013-06-17,11470,11570,11330,11520,5100,NLG
2013-06-18,11330,11570,10790,11570,7030,NLG
2013-06-19,11570,11570,11570,11570,10000,NLG
2013-06-20,10840,11570,10840,11570,6210,NLG
2013-06-21,11470,11520,11470,11520,11010,NLG
2013-06-24,10840,11470,10840,11470,1510,NLG
2013-06-25,11080,11470,10700,10700,52430,NLG
2013-06-26,10700,11330,10700,11330,5260,NLG
2013-06-27,10600,11080,10600,11080,7110,NLG
2013-06-28,10400,11080,10400,11080,120,NLG
2013-07-01,10980,10980,10980,10980,4010,NLG
2013-07-02,10980,10980,10500,10650,53530,NLG
2013-07-03,11080,11080,10270,10600,49230,NLG
2013-07-04,10170,11080,10170,10840,24280,NLG
2013-07-05,10650,10840,10650,10840,19450,NLG
2013-07-08,10930,10980,10500,10500,12980,NLG
2013-07-09,10840,10840,10840,10840,6500,NLG
2013-07-10,10840,10840,10550,10750,16520,NLG
2013-07-11,10750,10750,10600,10600,24550,NLG
2013-07-12,10700,10750,10600,10700,29300,NLG
2013-07-15,10750,10750,10600,10600,42060,NLG
2013-07-16,10600,10600,10550,10600,27360,NLG
2013-07-17,10600,10700,10550,10700,18890,NLG
2013-07-18,10550,10700,10400,10700,30820,NLG
2013-07-19,10700,10750,10700,10750,23700,NLG
2013-07-22,10750,10750,10700,10750,13000,NLG
2013-07-23,10750,10750,10750,10750,1200,NLG
2013-07-24,10600,10650,10500,10500,8540,NLG
2013-07-25,10600,10600,10600,10600,10,NLG
2013-07-26,10600,10600,10600,10600,0,NLG
