time,open,high,low,close,volume,ticker
2018-04-05,12580,12580,12580,12580,1800,NRC
2018-04-06,13820,13820,13820,13820,19800,NRC
2018-04-09,15200,15200,15200,15200,29800,NRC
2018-04-10,16720,16720,16720,16720,57300,NRC
2018-04-11,18150,18380,18150,18380,45100,NRC
2018-04-12,20090,20180,20040,20180,59900,NRC
2018-04-13,20730,20730,18200,20180,53800,NRC
2018-04-16,18890,20230,18470,20180,33700,NRC
2018-04-17,19810,19810,18430,19580,34400,NRC
2018-04-18,18570,19350,18520,19120,33000,NRC
2018-04-19,19070,19170,18470,19170,36900,NRC
2018-04-20,18660,19350,18610,19300,41500,NRC
2018-04-23,19580,19580,18710,18710,32127,NRC
2018-04-24,18710,18750,18470,18750,28400,NRC
2018-04-26,18570,18840,16910,18840,48902,NRC
2018-04-27,18430,20690,18430,20690,41950,NRC
2018-05-02,19120,21650,19120,21650,44108,NRC
2018-05-03,19810,22530,19810,22530,47308,NRC
2018-05-04,22530,23910,22530,23500,64715,NRC
2018-05-07,23500,23630,22810,23630,13119,NRC
2018-05-08,23500,24050,22580,23500,21000,NRC
2018-05-09,23500,23500,22580,23500,16100,NRC
2018-05-10,23960,23960,23540,23820,22900,NRC
2018-05-11,23170,23630,22990,23630,4710,NRC
2018-05-14,23130,23680,23080,23080,27000,NRC
2018-05-15,22670,22670,20820,22110,36602,NRC
2018-05-16,21650,21700,21470,21650,8300,NRC
2018-05-17,21240,21790,21240,21610,15400,NRC
2018-05-18,21650,21650,21650,21650,9500,NRC
2018-05-21,21750,21930,21700,21750,12900,NRC
2018-05-22,21650,21750,20690,20690,20900,NRC
2018-05-23,20730,21190,20730,21190,24200,NRC
2018-05-24,22580,22810,22340,22480,16035,NRC
2018-05-25,22990,22990,21700,22480,18100,NRC
2018-05-28,22810,22810,21880,21880,17550,NRC
2018-05-29,22110,23040,21880,22990,29511,NRC
2018-05-30,21880,22990,21880,22990,13100,NRC
2018-05-31,22990,23360,22940,23360,16500,NRC
2018-06-01,22340,23360,22340,23310,21200,NRC
2018-06-04,23310,23310,22810,22990,8000,NRC
2018-06-05,22990,22990,22250,22530,17001,NRC
2018-06-06,22530,22580,21650,22530,13301,NRC
2018-06-07,22110,22440,21880,22440,3700,NRC
2018-06-08,22250,22480,22250,22440,16611,NRC
2018-06-11,22160,22580,22110,22340,17800,NRC
2018-06-12,21750,22440,20130,21880,194800,NRC
2018-06-13,21880,22250,21650,22020,25100,NRC
2018-06-14,22110,22110,21650,21930,10900,NRC
2018-06-15,21840,21840,21610,21750,10200,NRC
2018-06-18,22020,22020,21420,21470,9100,NRC
2018-06-19,21650,21650,21050,21150,6400,NRC
2018-06-20,21380,21380,19760,20960,42500,NRC
2018-06-21,20820,20820,20730,20820,1700,NRC
2018-06-22,20730,20730,20690,20730,2400,NRC
2018-06-25,20920,20920,20820,20820,4200,NRC
2018-06-26,20730,20920,20730,20870,5900,NRC
2018-06-27,20920,20920,18940,20000,3000,NRC
2018-06-28,19760,19760,19760,19760,11000,NRC
2018-06-29,19530,20040,17830,20040,24300,NRC
2018-07-02,20690,20690,20690,20690,6800,NRC
2018-07-03,21150,21150,20690,20690,9400,NRC
2018-07-04,20270,20410,18660,18660,14600,NRC
2018-07-05,18610,18610,16820,16820,8600,NRC
2018-07-06,15160,17050,15160,15200,14100,NRC
2018-07-09,16680,16720,13820,16030,13900,NRC
2018-07-10,15890,17600,14650,15660,12800,NRC
2018-07-11,15890,15890,14970,15200,10300,NRC
2018-07-12,15660,15660,14930,14970,10000,NRC
2018-07-13,15390,15390,13820,14740,9600,NRC
2018-07-16,16030,16030,14600,15200,9500,NRC
2018-07-17,15200,16129,14420,16129,8500,NRC
2018-07-18,15850,17050,14970,17050,7700,NRC
2018-07-19,16129,17280,15570,17280,13933,NRC
2018-07-20,16129,16590,15890,16590,6700,NRC
2018-07-23,17050,17050,16030,16820,7800,NRC
2018-07-24,16590,16590,15890,16129,4600,NRC
2018-07-25,16030,16400,16030,16129,4205,NRC
2018-07-26,15660,16129,14740,16129,4500,NRC
2018-07-27,15890,16360,15160,16360,5400,NRC
2018-07-30,16590,16590,15710,16219,4400,NRC
2018-07-31,15990,16309,15430,16219,16400,NRC
2018-08-01,16260,16260,15940,16129,4200,NRC
2018-08-02,16079,16129,15760,16079,4300,NRC
2018-08-03,16079,16129,15710,16129,4500,NRC
2018-08-06,16590,16590,15710,16129,3121,NRC
2018-08-07,15990,15990,15660,15660,2000,NRC
2018-08-08,15850,15850,15340,15710,5400,NRC
2018-08-09,16030,16030,15660,15850,6000,NRC
2018-08-10,15850,16129,15800,15850,2721,NRC
2018-08-13,15760,15850,15660,15850,3300,NRC
2018-08-14,15890,16129,15850,16129,11800,NRC
2018-08-15,16079,16129,15760,15800,19100,NRC
2018-08-16,15890,15890,15570,15890,8000,NRC
2018-08-17,16309,16309,15850,15890,5400,NRC
2018-08-20,16030,16030,15850,15850,8800,NRC
2018-08-21,15710,16129,15660,15890,11400,NRC
2018-08-22,16030,16030,15800,15990,6400,NRC
2018-08-23,15940,15940,15850,15940,2500,NRC
2018-08-24,16030,17510,15940,17420,36700,NRC
2018-08-27,17420,17970,17280,17970,27600,NRC
2018-08-28,17970,18110,17690,17970,22300,NRC
2018-08-29,17970,18200,17050,18200,22000,NRC
2018-08-30,18200,18200,17740,17970,23600,NRC
2018-08-31,17970,18060,17510,18010,21000,NRC
2018-09-04,18010,18010,17690,17690,15300,NRC
2018-09-05,17690,17690,17050,17050,14400,NRC
2018-09-06,17050,17090,17000,17050,14700,NRC
2018-09-07,17050,17740,16820,17740,21000,NRC
2018-09-10,17740,17740,17280,17510,18800,NRC
2018-09-11,17510,17510,17280,17510,15600,NRC
2018-09-12,17510,17650,17050,17510,18600,NRC
2018-09-13,17510,17830,16820,17510,36100,NRC
2018-09-14,17510,17970,17510,17970,20500,NRC
2018-09-17,17970,18150,17600,18010,22300,NRC
2018-09-18,17970,18200,17780,18200,43100,NRC
2018-09-19,18200,18430,17970,18200,38600,NRC
2018-09-20,18200,19350,18200,19350,47100,NRC
