time,open,high,low,close,volume,ticker
2013-01-02,1610,1610,1610,1610,100,NT2
2013-01-03,1610,1610,1610,1610,0,NT2
2013-01-04,1610,1610,1610,1610,600,NT2
2013-01-07,1610,1610,1610,1610,300,NT2
2013-01-08,1610,1610,1610,1610,0,NT2
2013-01-09,1610,1610,1610,1610,0,NT2
2013-01-10,1610,1610,1610,1610,0,NT2
2013-01-11,1610,1610,1610,1610,0,NT2
2013-01-14,1590,1590,1590,1590,2200,NT2
2013-01-15,1590,1590,1590,1590,200,NT2
2013-01-16,1590,1590,1590,1590,600,NT2
2013-01-17,1590,1590,1590,1590,4300,NT2
2013-01-18,1630,1630,1630,1630,1000,NT2
2013-01-30,1590,1590,1590,1590,1600,NT2
2013-01-31,1590,1590,1590,1590,0,NT2
2013-02-01,1590,1590,1590,1590,0,NT2
2013-02-04,1590,1590,1590,1590,1000,NT2
2013-02-05,1590,1590,1590,1590,0,NT2
2013-02-06,1590,1590,1550,1590,3000,NT2
2013-02-07,1710,1710,1710,1710,100,NT2
2013-02-08,1880,1880,1880,1880,100,NT2
2013-02-18,1880,1880,1880,1880,0,NT2
2013-02-19,1880,1880,1800,1840,1500,NT2
2013-02-20,1680,1680,1680,1680,8500,NT2
2013-02-21,1680,1680,1680,1680,0,NT2
2013-02-22,1680,1680,1680,1680,0,NT2
2013-02-25,1680,1680,1680,1680,0,NT2
2013-02-26,1760,1760,1760,1760,100,NT2
2013-02-28,1610,1610,1590,1590,1100,NT2
2013-03-01,1550,1550,1550,1550,100,NT2
2013-03-04,1630,1630,1630,1630,0,NT2
2013-03-07,1350,1350,1350,1350,100,NT2
2013-03-08,1350,1350,1350,1350,0,NT2
2013-03-11,1350,1350,1350,1350,0,NT2
2013-03-12,1350,1350,1350,1350,0,NT2
2013-03-13,1350,1350,1350,1350,0,NT2
2013-03-14,1480,1480,1480,1480,100,NT2
2013-03-15,1480,1480,1480,1480,0,NT2
2013-03-18,1590,1590,1590,1590,2000,NT2
2013-03-19,1680,1680,1680,1680,6000,NT2
2013-03-20,1680,1680,1680,1680,600,NT2
2013-03-21,1640,1640,1640,1640,200,NT2
2013-03-22,1640,1640,1640,1640,100,NT2
2013-03-25,1640,1640,1640,1640,0,NT2
2013-03-26,1640,1640,1640,1640,0,NT2
2013-03-27,1640,1640,1640,1640,0,NT2
2013-03-28,1640,1640,1640,1640,0,NT2
2013-03-29,1610,1610,1610,1610,5000,NT2
2013-04-01,1610,1610,1610,1610,0,NT2
2013-04-02,1480,1480,1480,1480,4000,NT2
2013-04-03,1480,1480,1480,1480,0,NT2
2013-04-04,1380,1380,1380,1380,2000,NT2
2013-04-05,1380,1510,1380,1450,16100,NT2
2013-04-08,1590,1590,1590,1590,400,NT2
2013-04-09,1590,1590,1590,1590,700,NT2
2013-04-10,1590,1590,1590,1590,0,NT2
2013-04-11,1640,1640,1640,1640,500,NT2
2013-04-12,1510,1510,1510,1510,2000,NT2
2013-04-15,1480,1480,1480,1480,1000,NT2
2013-04-16,1480,1480,1480,1480,0,NT2
2013-04-17,1480,1480,1480,1480,0,NT2
2013-04-18,1590,1590,1590,1590,6000,NT2
2013-04-22,1450,1450,1450,1450,700,NT2
2013-04-23,1450,1450,1450,1450,0,NT2
2013-04-24,1450,1450,1450,1450,0,NT2
2013-04-25,1510,1510,1510,1510,2000,NT2
2013-04-26,1640,1640,1640,1640,5000,NT2
2013-05-02,1640,1640,1640,1640,0,NT2
2013-05-03,1640,1640,1640,1640,0,NT2
2013-05-06,1590,1590,1510,1510,11700,NT2
2013-05-07,1510,1510,1480,1480,3000,NT2
2013-05-08,1410,1410,1410,1410,1000,NT2
2013-05-09,1410,1410,1410,1410,0,NT2
2013-05-10,1410,1410,1410,1410,0,NT2
2013-05-13,1410,1410,1410,1410,0,NT2
2013-05-14,1410,1410,1410,1410,0,NT2
2013-05-15,1550,1550,1550,1550,100,NT2
2013-05-16,1640,1640,1640,1640,200,NT2
2013-05-17,1550,1550,1550,1550,3000,NT2
2013-05-20,1550,1550,1550,1550,0,NT2
2013-05-21,1550,1550,1550,1550,4800,NT2
2013-05-22,1550,1550,1550,1550,0,NT2
2013-05-23,1640,1640,1640,1640,100,NT2
2013-05-24,1640,1640,1640,1640,0,NT2
2013-05-27,1640,1640,1640,1640,100,NT2
2013-05-28,1630,1630,1590,1730,2000,NT2
2013-05-31,1610,1610,1610,1480,200,NT2
2013-06-03,1630,1630,1590,1690,4000,NT2
2013-06-06,1590,1590,1590,1590,100,NT2
2013-06-07,1560,1560,1520,1650,1900,NT2
2013-06-20,1510,1510,1510,1510,0,NT2
2013-06-21,1510,1510,1510,1510,0,NT2
2013-06-24,1590,1590,1590,1590,0,NT2
2013-06-25,1650,1650,1650,1650,0,NT2
2013-06-28,1590,1590,1590,1590,0,NT2
2013-07-01,1520,1520,1520,1650,17500,NT2
2013-07-10,1590,1590,1590,1590,0,NT2
2013-07-11,1610,1610,1610,1610,0,NT2
2013-07-12,1610,1610,1610,1610,0,NT2
2013-07-15,1690,1690,1690,1690,0,NT2
2013-07-17,1510,1550,1510,1510,13500,NT2
2013-07-18,1550,1680,1550,1550,5500,NT2
2013-07-19,1510,1510,1510,1590,100,NT2
2013-07-22,1510,1510,1510,1510,0,NT2
2013-07-23,1550,1550,1480,1480,2100,NT2
2013-07-24,1480,1480,1480,1480,0,NT2
2013-07-25,1610,1610,1610,1480,400,NT2
2013-07-26,1610,1610,1610,1610,0,NT2
2013-07-29,1610,1610,1610,1610,2000,NT2
2013-07-30,1610,1610,1610,1610,1000,NT2
