time,open,high,low,close,volume,ticker
2013-01-02,2945,2945,2850,2945,178970,NTB
2013-01-03,2945,3040,2850,2850,87330,NTB
2013-01-04,2850,2945,2850,2945,147100,NTB
2013-01-07,2945,3040,2945,2945,83660,NTB
2013-01-08,2850,3040,2850,2945,75020,NTB
2013-01-09,2945,3040,2850,2850,154960,NTB
2013-01-10,2945,2945,2945,2945,61330,NTB
2013-01-11,3040,3040,3040,3040,270850,NTB
2013-01-14,3135,3135,3135,3135,158720,NTB
2013-01-15,3325,3325,3325,3325,151270,NTB
2013-01-16,3515,3515,3515,3515,6550,NTB
2013-01-17,3705,3705,3705,3705,49490,NTB
2013-01-18,3895,3895,3800,3895,940300,NTB
2013-01-21,4085,4085,3705,3705,498650,NTB
2013-01-22,3705,3895,3515,3515,354510,NTB
2013-01-23,3515,3610,3325,3325,365320,NTB
2013-01-24,3325,3515,3230,3515,222090,NTB
2013-01-25,3610,3705,3420,3515,86090,NTB
2013-01-28,3325,3515,3325,3325,278820,NTB
2013-01-29,3230,3325,3135,3135,310490,NTB
2013-01-30,3325,3325,3230,3325,61320,NTB
2013-01-31,3515,3515,3420,3515,316900,NTB
2013-02-01,3420,3515,3325,3420,116030,NTB
2013-02-04,3420,3420,3230,3230,105760,NTB
2013-02-05,3230,3420,3230,3325,46880,NTB
2013-02-06,3420,3515,3325,3420,69560,NTB
2013-02-07,3420,3515,3325,3420,116170,NTB
2013-02-08,3325,3610,3325,3610,332090,NTB
2013-02-18,3610,3705,3515,3610,91440,NTB
2013-02-19,3610,3705,3420,3610,362390,NTB
2013-02-20,3515,3610,3420,3610,188140,NTB
2013-02-21,3610,3800,3420,3420,606280,NTB
2013-02-22,3610,3610,3325,3515,192710,NTB
2013-02-25,3610,3610,3420,3610,68430,NTB
2013-02-26,3420,3610,3420,3420,571450,NTB
2013-02-27,3420,3420,3230,3420,72080,NTB
2013-02-28,3325,3420,3230,3230,339220,NTB
2013-03-01,3135,3135,3040,3040,281660,NTB
2013-03-04,2850,2945,2850,2850,227750,NTB
2013-03-05,2660,2850,2660,2660,210960,NTB
2013-03-06,2660,2755,2660,2755,99140,NTB
2013-03-07,2755,2945,2755,2850,26230,NTB
2013-03-08,2945,3040,2945,3040,296820,NTB
2013-03-11,3040,3135,2945,3135,80920,NTB
2013-03-12,3135,3135,2945,2945,116880,NTB
2013-03-13,2850,3040,2755,2755,83640,NTB
2013-03-14,2755,2945,2660,2660,381390,NTB
2013-03-15,2755,2755,2755,2755,7740,NTB
2013-03-18,2945,2945,2945,2945,183940,NTB
2013-03-19,2945,2945,2850,2850,81990,NTB
2013-03-20,2850,3040,2850,3040,25040,NTB
2013-03-21,3040,3040,2850,2850,140500,NTB
2013-03-22,2850,2945,2660,2660,531000,NTB
2013-03-25,2565,2660,2565,2565,392720,NTB
2013-03-26,2565,2660,2565,2660,91000,NTB
2013-03-27,2660,2755,2565,2660,102800,NTB
2013-03-28,2565,2660,2565,2565,210240,NTB
2013-03-29,2470,2565,2470,2470,169910,NTB
2013-04-01,2565,2565,2375,2375,110980,NTB
2013-04-02,2375,2375,2280,2280,246400,NTB
2013-04-03,2185,2280,2185,2185,240270,NTB
2013-04-04,2185,2185,2090,2185,421500,NTB
2013-04-05,2090,2280,2090,2185,157610,NTB
2013-04-08,2185,2280,2185,2280,129140,NTB
2013-04-09,2280,2375,2280,2375,261100,NTB
2013-04-10,2470,2470,2280,2280,61650,NTB
2013-04-11,2280,2375,2280,2280,32000,NTB
2013-04-12,2280,2280,2185,2185,62060,NTB
2013-04-15,2185,2280,2090,2090,76420,NTB
2013-04-16,2090,2185,1995,2185,75300,NTB
2013-04-17,2185,2280,2185,2280,161560,NTB
2013-04-18,2280,2375,2185,2280,229210,NTB
2013-04-22,2280,2280,2280,2280,155050,NTB
2013-04-23,2375,2375,2280,2375,65710,NTB
2013-04-24,2375,2375,2280,2280,5750,NTB
2013-04-25,2185,2280,2185,2185,39190,NTB
2013-04-26,2185,2280,2185,2280,263450,NTB
2013-05-02,2280,2375,2280,2375,240510,NTB
2013-05-03,2375,2470,2375,2470,239530,NTB
2013-05-06,2375,2375,2375,2375,82020,NTB
2013-05-07,2375,2375,2375,2375,0,NTB
2013-05-08,2375,2375,2375,2375,0,NTB
2013-05-09,2375,2375,2375,2375,0,NTB
2013-05-10,2375,2375,2375,2375,0,NTB
2013-05-13,2375,2375,2375,2375,0,NTB
2013-05-14,2375,2375,2375,2375,0,NTB
2013-05-15,2375,2375,2375,2375,0,NTB
2013-05-16,2375,2375,2375,2375,0,NTB
2013-05-17,2375,2375,2375,2375,0,NTB
2013-05-20,2375,2375,2375,2375,0,NTB
2013-05-21,2375,2375,2375,2375,0,NTB
2013-05-22,2375,2375,2375,2375,0,NTB
2013-05-23,2375,2375,2375,2375,0,NTB
2013-05-24,2375,2375,2375,2375,0,NTB
2013-05-27,2375,2375,2375,2375,0,NTB
2013-05-28,2375,2375,2375,2375,0,NTB
2013-05-29,2375,2375,2375,2375,0,NTB
2013-05-30,2375,2375,2375,2375,0,NTB
2013-05-31,2375,2375,2375,2375,0,NTB
2013-06-03,2375,2375,2375,2375,0,NTB
2013-06-04,2375,2375,2375,2375,0,NTB
2013-06-05,2375,2375,2375,2375,0,NTB
2013-06-06,2375,2375,2375,2375,0,NTB
2013-06-07,2375,2375,2375,2375,0,NTB
2013-06-10,2375,2375,2375,2375,0,NTB
2013-06-11,2375,2375,2375,2375,0,NTB
2013-06-12,2375,2375,2375,2375,0,NTB
2013-06-13,2375,2375,2375,2375,0,NTB
2013-06-14,2375,2375,2375,2375,0,NTB
2013-06-17,2375,2375,2375,2375,0,NTB
