time,open,high,low,close,volume,ticker
2016-12-19,7680,7680,7680,7680,100,NTC
2016-12-20,7680,7680,7680,7680,0,NTC
2016-12-21,7680,7680,7680,7680,0,NTC
2016-12-22,7680,7680,7680,7680,0,NTC
2016-12-23,8840,8840,8840,8840,100,NTC
2016-12-26,10150,10150,10150,10150,100,NTC
2016-12-27,11650,11650,11650,11650,600,NTC
2016-12-28,13370,13370,11650,11650,2500,NTC
2016-12-29,14570,14570,14410,14410,3700,NTC
2016-12-30,14410,16530,14410,14410,1300,NTC
2017-01-03,14410,14410,13560,13560,1700,NTC
2017-01-04,12290,12290,11920,11920,8900,NTC
2017-01-05,13760,13760,13760,13760,100,NTC
2017-01-06,11920,12290,11720,12290,5200,NTC
2017-01-09,11840,11840,11840,11840,6000,NTC
2017-01-10,11530,12290,11530,12220,10100,NTC
2017-01-11,12180,12180,11720,11720,3600,NTC
2017-01-12,11720,11920,11720,11920,8531,NTC
2017-01-13,11920,12100,11920,12100,3200,NTC
2017-01-16,12100,12290,11920,11920,7100,NTC
2017-01-17,11960,12680,11840,12680,20000,NTC
2017-01-18,12680,12680,12680,12680,2600,NTC
2017-01-19,12680,13450,12680,13450,10600,NTC
2017-01-20,13840,15410,13840,15410,18700,NTC
2017-01-23,16149,16149,14990,14990,3500,NTC
2017-01-24,14610,14720,14610,14720,2000,NTC
2017-01-25,14760,15760,14760,15760,12400,NTC
2017-02-02,16149,17380,16149,16530,36200,NTC
2017-02-03,16710,16790,16370,16790,10700,NTC
2017-02-06,16750,16750,16750,16750,5100,NTC
2017-02-07,16790,16900,16790,16900,82119,NTC
2017-02-08,17100,18260,17100,18260,55700,NTC
2017-02-09,19030,20330,19030,19400,39000,NTC
2017-02-10,19330,19330,18440,18910,41400,NTC
2017-02-13,19220,20370,18830,19600,128600,NTC
2017-02-14,19600,19830,19330,19600,87019,NTC
2017-02-15,19450,19600,19030,19070,39700,NTC
2017-02-16,18870,18870,18060,18220,109800,NTC
2017-02-17,18060,18060,17290,17950,98600,NTC
2017-02-20,17710,19110,17710,19070,88300,NTC
2017-02-21,18980,19330,18680,19290,51900,NTC
2017-02-22,19360,19790,19220,19490,83100,NTC
2017-02-23,19490,19520,19220,19520,36900,NTC
2017-02-24,19560,19560,19150,19220,45100,NTC
2017-02-27,19220,19220,18720,18980,39900,NTC
2017-02-28,18830,18910,18640,18640,69919,NTC
2017-03-01,18760,18760,18340,18680,50000,NTC
2017-03-02,18640,19290,18640,19150,115600,NTC
2017-03-03,19070,19070,18720,18830,59000,NTC
2017-03-06,18830,19110,18680,18830,77200,NTC
2017-03-07,18870,18950,18760,18760,60300,NTC
2017-03-08,18830,18910,18640,18680,54900,NTC
