time,open,high,low,close,volume,ticker
2013-01-02,8060,8350,8010,8250,543050,NTL
2013-01-03,8250,8250,7860,7910,943860,NTL
2013-01-04,7910,8109,7860,7960,646330,NTL
2013-01-07,7960,8250,7960,8109,926460,NTL
2013-01-08,8109,8200,7960,8160,454690,NTL
2013-01-09,8160,8550,7810,7960,1136530,NTL
2013-01-10,7910,8160,7710,8160,384970,NTL
2013-01-11,8400,8400,8010,8160,460110,NTL
2013-01-14,7960,8160,7910,8010,286940,NTL
2013-01-15,7960,8300,7960,8200,523600,NTL
2013-01-16,8200,8750,8200,8750,1704270,NTL
2013-01-17,8750,8840,8300,8300,767830,NTL
2013-01-18,8300,8600,8010,8250,738950,NTL
2013-01-21,8400,8400,8010,8060,427800,NTL
2013-01-22,8010,8200,7520,7710,487740,NTL
2013-01-23,7710,7810,7420,7710,397460,NTL
2013-01-24,7760,7910,7710,7860,231550,NTL
2013-01-25,7860,8300,7860,8300,621860,NTL
2013-01-28,8300,8600,8200,8300,876010,NTL
2013-01-29,8350,8350,8160,8200,363260,NTL
2013-01-30,8200,8500,8200,8250,488720,NTL
2013-01-31,8160,8300,8109,8109,248730,NTL
2013-02-01,8060,8109,7960,8010,418340,NTL
2013-02-04,8160,8400,8010,8160,589770,NTL
2013-02-05,8250,8250,8060,8060,258890,NTL
2013-02-06,8200,8400,8160,8250,673570,NTL
2013-02-07,8400,8790,8300,8790,1356280,NTL
2013-02-08,8840,9290,8750,8990,468700,NTL
2013-02-18,9240,9240,8940,9090,430450,NTL
2013-02-19,8790,9090,8790,8840,707410,NTL
2013-02-20,8750,9040,8750,8940,686450,NTL
2013-02-21,8840,8940,8350,8350,925130,NTL
2013-02-22,8500,8500,7810,7960,807330,NTL
2013-02-25,7960,8400,7960,8109,328100,NTL
2013-02-26,8109,8160,7570,7620,594240,NTL
2013-02-27,7620,7860,7420,7810,259520,NTL
2013-02-28,8109,8109,7710,7860,251500,NTL
2013-03-01,7860,7960,7760,7810,169060,NTL
2013-03-04,7710,7860,7420,7420,295740,NTL
2013-03-05,7320,7570,7270,7370,218000,NTL
2013-03-06,7470,7570,7420,7420,115150,NTL
2013-03-07,7370,7570,7370,7370,186800,NTL
2013-03-08,7520,7520,7370,7470,81430,NTL
2013-03-11,7520,7860,7370,7710,308500,NTL
2013-03-12,7710,7810,7470,7620,281090,NTL
2013-03-13,7570,7910,7570,7710,363730,NTL
2013-03-14,7760,7910,7710,7860,305660,NTL
2013-03-15,7910,8109,7810,8109,329910,NTL
2013-03-18,8109,8109,7860,7860,158490,NTL
2013-03-19,7760,7810,7660,7710,114680,NTL
2013-03-20,7810,8010,7760,7860,177410,NTL
2013-03-21,7860,7960,7710,7710,186040,NTL
2013-03-22,7710,7910,7570,7570,314310,NTL
2013-03-25,7570,7810,7520,7620,77300,NTL
2013-03-26,7620,7760,7570,7620,87560,NTL
2013-03-27,7520,7710,7520,7620,95310,NTL
2013-03-28,7710,7710,7520,7520,130710,NTL
2013-03-29,7420,7520,7320,7470,63770,NTL
2013-04-01,7520,7520,7320,7520,280900,NTL
2013-04-02,7520,7710,7520,7620,244960,NTL
2013-04-03,7660,7660,7470,7470,199850,NTL
2013-04-04,7470,7620,7420,7470,170250,NTL
2013-04-05,7520,7520,7420,7470,98140,NTL
2013-04-08,7520,7520,7320,7370,325220,NTL
2013-04-09,7370,7470,7320,7420,277880,NTL
2013-04-10,7420,7470,7120,7120,206250,NTL
2013-04-11,7120,7320,7030,7120,162880,NTL
2013-04-12,7120,7120,6780,6830,164080,NTL
2013-04-15,6830,7030,6440,6530,362800,NTL
2013-04-16,6390,6630,6340,6530,239680,NTL
2013-04-17,6680,6680,6530,6580,235170,NTL
2013-04-18,6440,6580,6340,6390,314390,NTL
2013-04-22,6390,6390,6090,6090,399490,NTL
2013-04-23,6140,6240,6090,6090,171440,NTL
2013-04-24,6040,6140,6040,6090,139870,NTL
2013-04-25,6090,6490,6090,6340,437720,NTL
2013-04-26,6290,6390,6190,6190,80330,NTL
2013-05-02,6240,6340,6190,6240,156980,NTL
2013-05-03,6240,6290,6190,6240,103480,NTL
2013-05-06,6340,6630,6340,6630,685350,NTL
2013-05-07,6680,6780,6530,6530,297660,NTL
2013-05-08,6630,6630,6490,6530,293760,NTL
2013-05-09,6530,6980,6530,6880,770760,NTL
2013-05-10,6780,6980,6730,6830,316390,NTL
2013-05-13,6880,6980,6880,6880,285710,NTL
2013-05-14,6780,6780,6530,6580,482720,NTL
2013-05-15,6780,6930,6580,6780,219820,NTL
2013-05-16,6930,6930,6780,6780,176240,NTL
2013-05-17,6780,6830,6680,6730,101100,NTL
2013-05-20,6780,6930,6580,6880,286070,NTL
2013-05-21,6880,7070,6880,6880,453400,NTL
2013-05-22,7030,7030,6880,6980,547970,NTL
2013-05-23,6980,7220,6880,6930,1032720,NTL
2013-05-24,7030,7070,6930,6980,544900,NTL
2013-05-27,7120,7420,7120,7420,2443610,NTL
2013-05-28,7520,7520,7220,7420,795430,NTL
2013-05-29,7470,7470,7270,7320,1013650,NTL
2013-05-30,7220,7370,7170,7370,731900,NTL
2013-05-31,7570,7810,7570,7570,2051730,NTL
2013-06-03,7520,7520,7320,7320,769900,NTL
2013-06-04,7320,7420,7220,7220,595080,NTL
2013-06-05,7220,7270,7120,7270,626630,NTL
2013-06-06,7220,7320,7170,7320,547830,NTL
2013-06-07,7320,7570,7270,7320,1572480,NTL
2013-06-10,7320,7320,7030,7030,827030,NTL
2013-06-11,7030,7120,6980,7120,521450,NTL
2013-06-12,7120,7170,7030,7120,495080,NTL
2013-06-13,7120,7170,6880,6930,505890,NTL
2013-06-14,6980,7030,6930,6980,453470,NTL
2013-06-17,6930,6980,6830,6880,467160,NTL
2013-06-18,6780,6980,6780,6880,285190,NTL
2013-06-19,6880,7030,6880,6930,142340,NTL
2013-06-20,6880,6980,6830,6880,222690,NTL
2013-06-21,6880,6880,6530,6530,2160660,NTL
2013-06-24,6730,6980,6730,6830,1007020,NTL
2013-06-25,6680,6780,6440,6630,984660,NTL
2013-06-26,6580,6680,6390,6530,393130,NTL
2013-06-27,6490,6630,6490,6630,237400,NTL
