time,open,high,low,close,volume,ticker
2016-12-28,25601,25601,25601,25601,7232660,NVL
2016-12-29,25815,26284,24705,25644,3217540,NVL
2016-12-30,25601,25644,24919,25644,2391160,NVL
2017-01-03,25601,25601,25175,25175,520260,NVL
2017-01-04,25175,25388,25175,25345,1056370,NVL
2017-01-05,25303,25345,25175,25217,637040,NVL
2017-01-06,25175,25260,25089,25260,787010,NVL
2017-01-09,25217,25303,25047,25303,1110630,NVL
2017-01-10,25260,25260,25132,25175,802560,NVL
2017-01-11,25132,25217,25047,25217,1077670,NVL
2017-01-12,25175,25217,25047,25089,904360,NVL
2017-01-13,25089,25175,24961,25175,967870,NVL
2017-01-16,25132,25260,25047,25260,1332640,NVL
2017-01-17,25217,25260,25089,25089,1127570,NVL
2017-01-18,25047,25175,25047,25132,1179580,NVL
2017-01-19,25089,25175,24748,24791,1368300,NVL
2017-01-20,24791,24961,24705,24833,975810,NVL
2017-01-23,24833,24919,24663,24663,1087390,NVL
2017-01-24,24663,24833,24577,24705,1201640,NVL
2017-01-25,24748,25857,24748,25857,1636490,NVL
2017-02-02,25900,25985,25772,25985,1363250,NVL
2017-02-03,25943,25985,25729,25985,1185700,NVL
2017-02-06,25943,25943,25559,25559,1119780,NVL
2017-02-07,25473,25516,25260,25388,1226190,NVL
2017-02-08,25388,25601,25217,25217,1262530,NVL
2017-02-09,25217,25473,25089,25089,1679120,NVL
2017-02-10,25175,25431,25089,25089,1606250,NVL
2017-02-13,25132,25388,25132,25260,1257830,NVL
2017-02-14,25260,25431,25260,25260,1291960,NVL
2017-02-15,25260,25601,25260,25388,1404110,NVL
2017-02-16,25431,25857,25431,25729,1493510,NVL
2017-02-17,25772,26199,25729,25943,1384350,NVL
2017-02-20,26028,27095,26028,26924,1026640,NVL
2017-02-21,27095,28588,26924,28162,876160,NVL
2017-02-22,28204,29015,28162,28247,866880,NVL
2017-02-23,28162,28418,27692,28119,1538930,NVL
2017-02-24,28076,28119,27521,27863,1235090,NVL
2017-02-27,27777,28546,27777,28375,1041880,NVL
2017-02-28,28375,29655,28375,28588,1508740,NVL
2017-03-01,28588,29356,28588,29356,1218430,NVL
2017-03-02,29356,29655,29314,29356,1299640,NVL
2017-03-03,29356,29442,28930,29399,1150650,NVL
2017-03-06,29356,29442,29143,29399,929730,NVL
2017-03-07,29356,29868,29143,29271,910580,NVL
2017-03-08,29271,29271,28375,29015,1049060,NVL
2017-03-09,29015,29058,28802,29015,1011710,NVL
2017-03-10,29015,29314,28972,29015,1068090,NVL
2017-03-13,31020,31020,29868,31020,3354340,NVL
2017-03-14,31020,32215,30978,32215,845370,NVL
2017-03-15,32343,32855,31191,31276,938030,NVL
2017-03-16,31148,31276,30978,30978,1000630,NVL
2017-03-17,30594,30722,28844,28844,2375730,NVL
2017-03-20,29058,29868,28930,29356,1155350,NVL
2017-03-21,29356,29484,29228,29314,690130,NVL
2017-03-22,29271,29271,28844,28844,637610,NVL
2017-03-23,28844,28930,28332,28503,563610,NVL
2017-03-24,28503,29570,28503,29442,1446360,NVL
2017-03-27,29442,29570,29314,29484,532530,NVL
2017-03-28,29484,29570,29143,29228,406850,NVL
2017-03-29,29228,29442,29100,29228,517550,NVL
2017-03-30,29228,29399,29186,29314,560350,NVL
2017-03-31,29356,29655,29314,29527,793980,NVL
2017-04-03,29527,29868,29399,29655,755190,NVL
2017-04-04,29655,30167,29655,30039,427440,NVL
2017-04-05,30167,30295,29868,30039,303140,NVL
2017-04-07,30039,30082,29783,30039,172000,NVL
2017-04-10,30082,30252,29996,30082,499710,NVL
2017-04-11,30082,30252,30082,30167,491060,NVL
2017-04-12,30210,30252,29996,30167,485270,NVL
2017-04-13,30167,30210,30039,30082,302580,NVL
2017-04-14,30124,30124,29740,29868,407240,NVL
2017-04-17,29868,29911,29740,29740,212430,NVL
2017-04-18,29783,29783,29399,29698,376040,NVL
2017-04-19,29740,30082,29655,29954,316870,NVL
2017-04-20,29954,30295,29911,30210,531930,NVL
2017-04-21,30252,31148,30210,30935,294460,NVL
2017-04-24,31063,31788,30978,31191,293990,NVL
2017-04-25,31148,31276,31020,31148,265790,NVL
2017-04-26,31148,31362,31063,31063,457960,NVL
2017-04-27,31106,31276,30466,30935,600290,NVL
2017-04-28,30935,30935,29954,30167,577350,NVL
2017-05-03,30167,30295,29911,29911,633660,NVL
2017-05-04,29911,29911,29570,29655,447240,NVL
2017-05-05,29698,29826,29612,29655,358060,NVL
2017-05-08,29655,29698,29058,29058,338780,NVL
2017-05-09,29058,29442,28887,29271,418830,NVL
2017-05-10,29271,29527,29100,29442,503660,NVL
2017-05-11,29442,29484,29314,29484,536880,NVL
2017-05-12,29442,29484,29228,29442,1218300,NVL
2017-05-15,29186,29228,28802,28930,931490,NVL
2017-05-16,28887,28972,28674,28844,533430,NVL
2017-05-17,28844,29100,28759,28930,820250,NVL
2017-05-18,28930,28972,28716,28802,606820,NVL
2017-05-19,28802,29058,28759,29058,266530,NVL
2017-05-22,29015,29356,29015,29356,274610,NVL
2017-05-23,29314,29314,29186,29271,129260,NVL
2017-05-24,29271,29271,28930,28930,408530,NVL
2017-05-25,28930,28930,28588,28674,444160,NVL
2017-05-26,28716,28802,28588,28631,688640,NVL
2017-05-29,28631,28802,28588,28588,148310,NVL
2017-05-30,28588,28588,28033,28119,556900,NVL
2017-05-31,28119,28588,28033,28588,825980,NVL
2017-06-01,28588,29100,28546,28759,343890,NVL
2017-06-02,28759,29015,28588,29015,385120,NVL
2017-06-05,29143,29442,29100,29442,999300,NVL
2017-06-06,29442,29612,29399,29612,633010,NVL
2017-06-07,29612,29740,29527,29740,511210,NVL
2017-06-08,29655,29655,29314,29484,964850,NVL
2017-06-09,29484,29484,28802,28802,595670,NVL
2017-06-12,28802,28887,28716,28844,1078500,NVL
2017-06-13,28844,28844,28716,28844,866110,NVL
2017-06-14,28844,28844,28588,28716,464390,NVL
2017-06-15,28716,28716,28418,28588,400300,NVL
2017-06-16,28588,29015,28460,29015,5000990,NVL
2017-06-19,29015,29442,28802,29186,960650,NVL
2017-06-20,29186,29186,28802,29015,1091890,NVL
2017-06-21,28972,29015,28716,28759,1091110,NVL
2017-06-22,28759,28972,28759,28844,1452530,NVL
2017-06-23,28844,29228,28759,29228,1642110,NVL
2017-06-26,29228,29314,29100,29228,768560,NVL
2017-06-27,29228,29228,29058,29228,676280,NVL
2017-06-28,29228,29271,28972,29271,584180,NVL
2017-06-29,29271,29271,28759,29015,928290,NVL
2017-06-30,29015,29015,28844,29015,976890,NVL
2017-07-03,29143,29186,28972,29015,990540,NVL
2017-07-04,28972,29015,28844,29015,1133680,NVL
2017-07-05,28972,29058,28887,29058,1097780,NVL
2017-07-06,29015,29058,28802,28844,1124180,NVL
2017-07-07,28802,28844,28546,28759,1130420,NVL
2017-07-10,28759,28759,28418,28674,429740,NVL
2017-07-11,28674,28759,28503,28759,727830,NVL
2017-07-12,28759,28802,28503,28759,2234130,NVL
2017-07-13,28759,28802,28588,28802,2237040,NVL
2017-07-14,28802,29100,28716,29100,786460,NVL
2017-07-17,29100,29399,28674,29015,1131670,NVL
2017-07-18,29015,29015,28631,28930,1519340,NVL
2017-07-19,28887,28972,28759,28759,1152100,NVL
2017-07-20,28759,28759,28503,28716,754380,NVL
2017-07-21,28716,29015,28631,29015,1395280,NVL
2017-07-24,29015,29015,28802,29015,1293080,NVL
2017-07-25,29015,29058,28802,29015,1518970,NVL
2017-07-26,29015,29015,28887,28972,1162490,NVL
2017-07-27,28972,28972,28759,28802,1624760,NVL
2017-07-28,28802,28802,28375,28418,1620480,NVL
2017-07-31,28418,28802,28119,28802,1850840,NVL
2017-08-01,28759,28802,28588,28802,1632380,NVL
2017-08-02,28759,28759,28546,28674,1723920,NVL
2017-08-03,28674,28674,28546,28674,1550450,NVL
2017-08-04,28588,28716,28503,28716,1917370,NVL
2017-08-07,28716,28716,28247,28460,1841370,NVL
2017-08-08,28418,28418,27991,28076,1296740,NVL
2017-08-09,28076,28076,27905,27948,1844830,NVL
2017-08-10,27820,27863,27308,27436,1631360,NVL
2017-08-11,27436,27436,26668,26881,1638060,NVL
2017-08-14,26668,26668,25943,26241,1278550,NVL
2017-08-15,26241,26583,26028,26455,1932420,NVL
2017-08-16,26412,26497,26028,26497,1814100,NVL
2017-08-17,26497,26497,26369,26412,1951410,NVL
2017-08-18,26412,26455,26327,26455,1842460,NVL
2017-08-21,26455,26455,26071,26113,1770200,NVL
2017-08-22,26113,26199,25985,26113,1530980,NVL
2017-08-23,26156,26796,26113,26796,1808320,NVL
2017-08-24,26796,26967,26625,26711,1755350,NVL
2017-08-25,26711,26711,26071,26412,1882130,NVL
2017-08-28,26412,26412,25900,26071,1935460,NVL
2017-08-29,26071,26071,25388,25644,1764370,NVL
2017-08-30,25644,25644,25132,25644,1801580,NVL
2017-08-31,25644,25772,25089,25687,2004400,NVL
2017-09-01,25687,25729,25431,25729,1962880,NVL
2017-09-05,25729,25729,24919,25687,2253620,NVL
2017-09-06,25601,25687,25047,25687,2194100,NVL
2017-09-07,25687,25687,25175,25601,2046020,NVL
2017-09-08,25559,25601,25175,25601,1761420,NVL
2017-09-11,25516,25601,25260,25601,1670770,NVL
2017-09-12,25559,26369,25388,25943,2009460,NVL
2017-09-13,25943,25943,25473,25601,2057550,NVL
2017-09-14,25601,25729,25345,25729,1853780,NVL
2017-09-15,25729,27265,25559,27265,2624870,NVL
2017-09-18,27095,27095,26369,26497,1919620,NVL
2017-09-19,26455,26583,26412,26412,1938300,NVL
2017-09-20,26412,26497,26156,26369,1923410,NVL
2017-09-21,26412,26455,26199,26327,1966440,NVL
2017-09-22,26327,26369,26113,26284,1873610,NVL
2017-09-25,26284,26284,26071,26241,1914150,NVL
2017-09-26,26241,26412,26071,26199,2066050,NVL
2017-09-27,26199,26327,26071,26199,1905590,NVL
2017-09-28,26199,26369,26156,26199,1965890,NVL
2017-09-29,26241,26668,26199,26241,1875670,NVL
2017-10-02,26241,26497,26241,26241,1605810,NVL
2017-10-03,26241,26327,26113,26199,1912970,NVL
2017-10-04,26199,26284,26113,26199,1615410,NVL
2017-10-05,26199,26284,26113,26199,1510080,NVL
2017-10-06,26199,26284,26113,26199,1601350,NVL
2017-10-09,26199,26284,26156,26199,1541630,NVL
2017-10-10,26199,26241,26113,26199,1696610,NVL
2017-10-11,26199,26284,26156,26241,1680050,NVL
2017-10-12,26241,26369,26156,26284,1539590,NVL
2017-10-13,26284,26327,26199,26327,1537510,NVL
2017-10-16,26327,27095,26327,26796,1540200,NVL
2017-10-17,26796,27223,26753,26924,1567020,NVL
2017-10-18,26924,26967,26711,26711,1560500,NVL
2017-10-19,26796,27137,26711,26839,1793200,NVL
2017-10-20,26839,26881,26369,26540,1659810,NVL
2017-10-23,26540,26583,25985,26284,1596060,NVL
2017-10-24,26284,26327,26113,26241,1383120,NVL
2017-10-25,26241,26284,25729,25943,1163860,NVL
2017-10-26,25943,25943,25644,25900,1037620,NVL
2017-10-27,25900,26028,25772,26028,1492140,NVL
2017-10-30,26028,26113,25985,26028,1525520,NVL
2017-10-31,26028,26071,25900,25985,1286360,NVL
2017-11-01,25943,26028,25815,25943,1188120,NVL
2017-11-02,25943,26668,25857,26369,1756250,NVL
2017-11-03,26369,26455,26199,26241,1575050,NVL
2017-11-06,26241,26327,26156,26199,1536860,NVL
2017-11-07,26199,26241,26071,26113,1638960,NVL
2017-11-08,26113,26156,25175,26028,1593680,NVL
2017-11-09,26028,26028,25559,25772,1619350,NVL
2017-11-10,25772,25943,25516,25943,1636470,NVL
2017-11-13,25943,26028,25900,25943,1576500,NVL
2017-11-14,25943,25985,25772,25900,1474510,NVL
2017-11-15,25900,25943,25772,25900,1533010,NVL
2017-11-16,25900,26199,25857,25985,1270570,NVL
2017-11-17,25985,26199,25857,25943,1493820,NVL
2017-11-20,25943,25943,25388,25516,1807530,NVL
2017-11-21,25516,25644,25345,25473,1890200,NVL
2017-11-22,25473,25900,25431,25815,1909080,NVL
2017-11-23,25815,26028,25644,25644,1793740,NVL
2017-11-24,25644,25644,25473,25559,1807370,NVL
2017-11-27,25559,26028,25516,25900,1873100,NVL
2017-11-28,25900,26881,25900,26412,1947510,NVL
2017-11-29,26412,26924,26412,26583,612660,NVL
2017-11-30,26711,26796,26284,26284,907350,NVL
2017-12-01,26412,26497,26284,26327,668490,NVL
2017-12-04,26455,26455,26241,26241,779840,NVL
2017-12-05,26369,26455,26113,26156,575670,NVL
2017-12-06,26241,26284,26071,26071,582970,NVL
2017-12-07,26199,26625,26071,26241,1296410,NVL
2017-12-08,26369,26711,26327,26583,1197400,NVL
2017-12-11,26625,26625,26199,26241,1286680,NVL
2017-12-12,26241,26668,26028,26668,672810,NVL
2017-12-13,26668,26668,26284,26583,613480,NVL
2017-12-14,26583,26583,26113,26284,632360,NVL
2017-12-15,26284,26540,26284,26412,1619170,NVL
2017-12-18,26455,26625,26284,26284,447840,NVL
2017-12-19,26412,26625,26241,26241,653590,NVL
2017-12-20,26241,26369,26156,26241,447540,NVL
2017-12-21,26284,26412,26199,26199,351460,NVL
2017-12-22,26028,26241,26028,26241,731720,NVL
2017-12-25,26241,26284,26028,26284,204970,NVL
2017-12-26,26284,26497,26241,26369,184580,NVL
2017-12-27,26369,26668,26284,26668,218140,NVL
2017-12-28,26668,27223,26668,27009,333000,NVL
2017-12-29,27137,28375,27052,27777,563250,NVL
2018-01-02,27777,28033,27777,27948,355760,NVL
2018-01-03,27948,28588,27948,28546,883360,NVL
2018-01-04,28546,28887,28162,28844,1130450,NVL
2018-01-05,28759,29186,28588,29100,1082960,NVL
2018-01-08,29015,29783,29015,29698,1153370,NVL
2018-01-09,29570,31063,29570,30722,1585810,NVL
2018-01-10,30594,31575,30551,31148,1788010,NVL
2018-01-11,31362,32300,31148,32002,1407430,NVL
2018-01-12,32300,32471,32044,32300,1531690,NVL
2018-01-15,32428,33282,32215,33282,1626690,NVL
2018-01-16,33239,33965,32428,33239,1643790,NVL
2018-01-17,33239,33666,32471,33239,1993570,NVL
2018-01-18,33538,33581,32215,33495,2119180,NVL
2018-01-19,33666,34391,33453,34391,2105670,NVL
2018-01-22,34519,35671,34391,35671,2169410,NVL
2018-01-25,35927,36525,35885,36098,2357070,NVL
2018-01-26,36013,36269,35842,36055,2454710,NVL
2018-01-29,35885,36226,34477,34562,2508670,NVL
2018-01-30,34306,34562,33239,34135,2230100,NVL
2018-01-31,33922,34434,33709,34263,2390060,NVL
2018-02-01,34093,34391,34093,34306,2385420,NVL
2018-02-02,34135,34903,34093,34775,2765420,NVL
2018-02-05,34562,34946,34562,34818,2744630,NVL
2018-02-06,34519,35202,34434,34903,1754640,NVL
2018-02-07,34903,35117,34306,34434,2918700,NVL
2018-02-08,34221,34434,34093,34135,2412560,NVL
2018-02-09,33922,34135,33709,34135,2385810,NVL
2018-02-12,34007,34135,33495,33709,2377370,NVL
2018-02-13,33495,34135,33495,34135,2508250,NVL
2018-02-21,34178,34391,34135,34306,2775250,NVL
2018-02-22,34135,34605,34135,34434,3014800,NVL
2018-02-23,34263,34989,34263,34989,3187060,NVL
2018-02-26,34946,35458,34946,35287,2982420,NVL
2018-02-27,35202,36013,35202,35927,3314300,NVL
2018-02-28,35842,37037,35842,36610,3627460,NVL
2018-03-01,36354,37677,36354,37677,3563930,NVL
2018-03-02,37677,37677,36610,36610,2626210,NVL
2018-03-05,36482,36610,34562,34562,2689470,NVL
2018-03-06,33922,34562,33751,33751,2703170,NVL
2018-03-07,33581,33922,33453,33794,1541650,NVL
2018-03-08,33666,34818,33666,34306,2776620,NVL
2018-03-09,34093,34647,34093,34391,3044370,NVL
2018-03-12,34135,34477,34007,34007,3683290,NVL
2018-03-13,33709,34007,33623,33623,2841080,NVL
2018-03-14,33538,33709,33538,33666,3343830,NVL
2018-03-15,33538,33751,33538,33666,3469970,NVL
2018-03-16,33581,33794,33581,33666,3747450,NVL
2018-03-19,33709,35970,33666,35970,2632680,NVL
2018-03-20,35927,37976,35415,35415,2647170,NVL
2018-03-21,34989,35629,34775,34775,2824040,NVL
2018-03-22,34775,35458,34733,35245,3358080,NVL
2018-03-23,34989,34989,33837,33922,2581420,NVL
2018-03-26,33922,34562,33837,33965,3170310,NVL
2018-03-27,34521,36192,34020,36192,1437130,NVL
2018-03-28,36749,38697,36637,36804,2897690,NVL
2018-03-29,36693,37194,36693,36916,506440,NVL
2018-03-30,37194,38530,37194,38530,2490280,NVL
2018-04-02,39031,40256,38530,40089,2994130,NVL
2018-04-03,39922,42818,39811,42762,3367830,NVL
2018-04-04,42762,43430,41815,42873,3466310,NVL
2018-04-05,42428,43876,41815,43430,2895280,NVL
2018-04-06,42873,43430,41983,42595,3208090,NVL
2018-04-09,42205,42595,40702,40702,1902330,NVL
2018-04-10,40089,40758,38920,40368,2597550,NVL
2018-04-11,40256,40368,39700,40368,2911320,NVL
2018-04-12,39978,41314,39922,41092,2815970,NVL
2018-04-13,40813,41704,40813,41481,2322130,NVL
2018-04-16,40646,41481,40423,40591,3014920,NVL
2018-04-17,39254,40646,38920,39477,2099160,NVL
2018-04-18,39477,39477,38864,38864,1498980,NVL
2018-04-19,38864,39031,37751,38864,1812380,NVL
2018-04-20,38586,40034,38586,38864,3715560,NVL
2018-04-23,38864,39254,38697,38864,2311150,NVL
2018-04-24,38753,39533,38642,39533,2562540,NVL
2018-04-26,39533,39588,36804,36804,2052810,NVL
2018-04-27,34521,36025,34243,34243,889660,NVL
2018-05-02,32071,34243,32071,32405,2458280,NVL
2018-05-03,32183,32405,30178,30178,1609640,NVL
2018-05-04,29232,30624,28118,28953,2354810,NVL
2018-05-07,28953,30123,28842,30011,1762590,NVL
2018-05-08,29789,31626,29789,31570,2048150,NVL
2018-05-09,31292,31793,30067,31515,1909470,NVL
2018-05-10,31348,31570,30457,31181,2502410,NVL
2018-05-11,30958,31181,29789,30902,1983740,NVL
2018-05-14,30902,31125,29677,30067,2893140,NVL
2018-05-15,30011,30178,29399,29789,2576800,NVL
2018-05-16,29789,29789,28118,29287,2890630,NVL
2018-05-17,29343,29510,28174,29287,2921520,NVL
2018-05-18,29287,29510,28842,29510,3291710,NVL
2018-05-21,29510,29566,28397,28953,2744660,NVL
2018-05-22,28898,28898,27673,28062,3019740,NVL
2018-05-23,28062,28062,27450,27951,3276010,NVL
2018-05-24,27951,28953,27728,28174,3519930,NVL
2018-05-25,28174,29232,27728,28953,3353080,NVL
2018-05-28,28842,29399,28397,28397,3303830,NVL
2018-05-29,28118,30345,28118,29566,4737660,NVL
2018-05-30,29566,29566,28285,28285,3471030,NVL
2018-05-31,28285,29677,28229,28397,4428440,NVL
2018-06-01,28452,29510,28452,28731,4024180,NVL
2018-06-04,28731,29176,28731,29009,3477780,NVL
2018-06-05,29009,29510,28786,29009,3305270,NVL
2018-06-06,29009,29232,28842,29065,3225830,NVL
2018-06-07,29065,30624,29065,30345,3267720,NVL
2018-06-08,30345,30401,29677,30067,3451260,NVL
2018-06-11,30067,30234,29343,29789,3608160,NVL
2018-06-12,29454,29844,28675,29844,4317610,NVL
2018-06-13,29844,29844,28953,29677,2353360,NVL
2018-06-14,29566,29621,28397,29287,2401870,NVL
2018-06-15,29232,29510,28898,29510,4741370,NVL
2018-06-18,29510,29510,28508,28786,2749410,NVL
2018-06-19,28675,28786,27784,28007,2971030,NVL
2018-06-20,28007,28341,27617,28062,2565780,NVL
2018-06-21,27840,28062,27673,27951,1932810,NVL
2018-06-22,27840,28118,27728,28118,1817010,NVL
2018-06-25,28118,28397,27840,28229,1946880,NVL
2018-06-26,28174,28229,27895,28118,1890220,NVL
