time,open,high,low,close,volume,ticker
2013-01-02,3660,3660,3500,3500,600,PGI
2013-01-03,3580,3580,3350,3350,1360,PGI
2013-01-04,3260,3500,3260,3500,800,PGI
2013-01-07,3430,3500,3350,3350,6900,PGI
2013-01-08,3260,3430,3260,3390,12010,PGI
2013-01-09,3260,3350,3260,3350,7240,PGI
2013-01-10,3260,3500,3260,3500,2100,PGI
2013-01-11,3620,3620,3500,3620,15000,PGI
2013-01-14,3580,3580,3580,3580,100,PGI
2013-01-15,3580,3620,3390,3430,18120,PGI
2013-01-16,3500,3620,3430,3620,29110,PGI
2013-01-17,3500,3620,3500,3620,19600,PGI
2013-01-18,3540,3540,3540,3540,2010,PGI
2013-01-21,3430,3580,3430,3580,11000,PGI
2013-01-22,3580,3580,3580,3580,0,PGI
2013-01-23,3390,3540,3390,3540,6520,PGI
2013-01-24,3540,3540,3540,3540,0,PGI
2013-01-25,3500,3500,3500,3500,9380,PGI
2013-01-28,3390,3500,3390,3500,6850,PGI
2013-01-29,3460,3500,3460,3500,45910,PGI
2013-01-30,3500,3500,3500,3500,10000,PGI
2013-01-31,3430,3500,3430,3500,23110,PGI
2013-02-01,3500,3500,3500,3500,45000,PGI
2013-02-04,3540,3620,3540,3620,90060,PGI
2013-02-05,3620,3620,3620,3620,0,PGI
2013-02-06,3500,3730,3430,3620,68400,PGI
2013-02-07,3430,3730,3430,3500,9080,PGI
2013-02-08,3620,3620,3620,3620,25350,PGI
2013-02-18,3730,3730,3730,3730,36000,PGI
2013-02-19,3730,3770,3730,3730,13580,PGI
2013-02-20,3770,3770,3690,3690,26050,PGI
2013-02-21,3810,3810,3620,3620,6610,PGI
2013-02-22,3580,3730,3580,3730,15960,PGI
2013-02-25,3690,3690,3690,3690,1630,PGI
2013-02-26,3690,3690,3690,3690,0,PGI
2013-02-27,3620,3660,3620,3660,120030,PGI
2013-02-28,3810,3810,3690,3810,3000,PGI
2013-03-01,3810,3810,3810,3810,0,PGI
2013-03-04,3580,3810,3580,3810,4000,PGI
2013-03-05,3580,3730,3580,3730,3770,PGI
2013-03-06,3730,3850,3730,3850,6900,PGI
2013-03-07,3850,4090,3850,3970,24010,PGI
2013-03-08,3890,4010,3850,4010,17520,PGI
2013-03-11,4010,4010,3970,4010,10050,PGI
2013-03-12,4280,4280,4010,4050,67090,PGI
2013-03-13,4090,4090,3890,4050,49460,PGI
2013-03-14,3870,4050,3780,3830,33240,PGI
2013-03-15,4090,4090,3910,3910,7130,PGI
2013-03-18,3910,3910,3910,3910,10,PGI
2013-03-19,3780,3910,3780,3910,2540,PGI
2013-03-20,3910,3910,3910,3910,0,PGI
2013-03-21,3740,3830,3740,3830,3030,PGI
2013-03-22,3690,3830,3690,3830,1500,PGI
2013-03-25,3830,3830,3830,3830,20,PGI
2013-03-26,3740,3740,3740,3740,120,PGI
2013-03-27,3610,3650,3610,3650,3200,PGI
2013-03-28,3650,3740,3650,3740,1320,PGI
2013-03-29,3740,3740,3520,3520,1830,PGI
2013-04-01,3740,3740,3560,3560,20,PGI
2013-04-02,3780,3780,3740,3740,1030,PGI
2013-04-03,3830,3830,3830,3830,20,PGI
2013-04-04,3610,3610,3610,3610,30,PGI
2013-04-05,3780,3780,3780,3780,80,PGI
2013-04-08,3870,3960,3870,3910,28420,PGI
2013-04-09,3960,3960,3910,3960,3530,PGI
2013-04-10,4050,4090,4050,4050,20740,PGI
2013-04-11,4000,4000,4000,4000,10,PGI
2013-04-12,3960,3960,3780,3960,4290,PGI
2013-04-15,3690,3690,3690,3690,10,PGI
2013-04-16,3520,3780,3520,3610,3090,PGI
2013-04-17,3740,3740,3740,3740,50,PGI
2013-04-18,3870,3870,3870,3870,10,PGI
2013-04-22,3830,3830,3740,3740,170,PGI
2013-04-23,3690,3690,3690,3690,1510,PGI
2013-04-24,3560,3610,3560,3560,3030,PGI
2013-04-25,3740,3740,3740,3740,2470,PGI
2013-04-26,3610,3690,3610,3690,870,PGI
2013-05-02,3520,3740,3520,3740,700,PGI
2013-05-03,3740,3740,3690,3690,1010,PGI
2013-05-06,3690,3690,3560,3610,4880,PGI
2013-05-07,3610,3610,3560,3560,51980,PGI
2013-05-08,3560,3560,3560,3560,8220,PGI
2013-05-09,3690,3690,3610,3690,29640,PGI
2013-05-10,3650,3690,3610,3610,6050,PGI
2013-05-13,3690,3740,3470,3740,140,PGI
