time,open,high,low,close,volume,ticker
2018-03-21,21100,21100,16230,17850,31000,PGV
2018-03-22,16309,16309,15820,15820,7800,PGV
2018-03-23,15420,15420,13800,15340,9500,PGV
2018-03-26,14610,14610,12330,13630,7500,PGV
2018-03-27,13390,13800,13390,13470,4900,PGV
2018-03-28,13470,13470,12580,13390,4600,PGV
2018-03-29,13390,13880,13390,13470,57500,PGV
2018-03-30,13390,13390,13230,13230,24500,PGV
2018-04-02,12730,12980,12730,12980,9600,PGV
2018-04-03,12980,12980,12730,12730,5400,PGV
2018-04-04,13140,13140,13070,13140,11000,PGV
2018-04-05,13710,13710,12820,12820,3400,PGV
2018-04-06,12980,13300,12980,13300,20300,PGV
2018-04-09,13230,13230,13230,13230,0,PGV
2018-04-10,13230,13390,13230,13230,2400,PGV
2018-04-11,13300,13300,13300,13300,0,PGV
2018-04-12,13300,13300,13300,13300,0,PGV
2018-04-13,13230,13230,13230,13230,700,PGV
2018-04-16,13140,13230,13140,13230,400,PGV
2018-04-17,12980,12980,12980,12980,1500,PGV
2018-04-18,12820,12820,12730,12730,200,PGV
2018-04-19,12820,12820,12820,12820,0,PGV
2018-04-20,12170,12170,12170,12170,200,PGV
2018-04-23,12170,12170,12170,12170,0,PGV
2018-04-24,12170,12170,12170,12170,500,PGV
2018-04-26,13950,13950,13390,13630,2000,PGV
2018-04-27,11850,11850,11850,11850,400,PGV
2018-05-02,11850,11850,11360,11360,2900,PGV
2018-05-03,10230,10230,10140,10140,500,PGV
2018-05-04,11600,11600,10230,10310,2100,PGV
2018-05-07,10720,10720,10230,10470,2300,PGV
2018-05-08,11920,11920,10950,10950,200,PGV
2018-05-09,11360,11920,11360,11450,600,PGV
2018-05-10,11520,11760,11520,11600,400,PGV
2018-05-11,12090,12090,12090,12090,100,PGV
2018-05-14,12010,12090,12010,12090,200,PGV
2018-05-15,10720,10720,10720,10720,1100,PGV
2018-05-16,12170,12170,10720,10720,1300,PGV
2018-05-17,12010,12010,10950,11760,5300,PGV
2018-05-18,11850,11850,10950,10950,1200,PGV
2018-05-21,11760,11760,11360,11360,2400,PGV
2018-05-22,11690,11690,11450,11450,500,PGV
2018-05-23,11690,11690,11600,11600,300,PGV
2018-05-24,11600,11600,11600,11600,0,PGV
2018-05-25,11600,11600,11600,11600,0,PGV
2018-05-28,11690,11690,11690,11690,300,PGV
2018-05-29,11520,11520,11520,11520,1500,PGV
2018-05-30,11600,11600,11360,11360,900,PGV
2018-05-31,11280,11360,11280,11360,600,PGV
2018-06-01,11360,11360,10540,10540,3800,PGV
2018-06-04,11040,11040,10540,10870,8500,PGV
2018-06-05,10790,10790,10790,10790,200,PGV
2018-06-06,11360,11360,10540,10540,2900,PGV
2018-06-07,10950,10950,10950,10950,2000,PGV
2018-06-08,10950,10950,10950,10950,200,PGV
2018-06-11,10950,11190,10950,11040,1400,PGV
2018-06-12,11040,11040,11040,11040,0,PGV
2018-06-13,9410,9410,9410,9410,500,PGV
2018-06-14,10140,10790,10140,10720,3300,PGV
2018-06-15,11190,11190,10950,10950,600,PGV
2018-06-18,11040,11040,10950,10950,700,PGV
2018-06-19,10950,10950,10870,10870,800,PGV
2018-06-20,10870,11280,9330,11280,2500,PGV
2018-06-21,10870,10870,10720,10720,800,PGV
2018-06-22,10790,10790,10790,10790,200,PGV
2018-06-25,9740,10720,9740,10720,3700,PGV
2018-06-26,10630,10630,10540,10540,400,PGV
2018-06-27,11040,11040,10630,10630,2000,PGV
2018-06-28,10790,10790,10630,10630,500,PGV
2018-06-29,10720,10720,10720,10720,100,PGV
