time,open,high,low,close,volume,ticker
2013-01-02,2310,2400,2310,2400,2100,PHS
2013-01-03,2310,2310,2310,2310,3500,PHS
2013-01-04,2230,2400,2230,2310,1700,PHS
2013-01-07,2400,2400,2310,2400,1100,PHS
2013-01-08,2480,2480,2480,2480,700,PHS
2013-01-09,2660,2660,2660,2660,3900,PHS
2013-01-10,2480,2480,2480,2480,1000,PHS
2013-01-11,2660,2660,2480,2480,700,PHS
2013-01-14,2480,2480,2480,2480,100,PHS
2013-01-15,2560,2660,2560,2660,1500,PHS
2013-01-16,2660,2660,2560,2660,1300,PHS
2013-01-17,2560,2560,2480,2560,1600,PHS
2013-01-18,2560,2560,2560,2560,0,PHS
2013-01-21,2560,2560,2310,2310,2800,PHS
2013-01-22,2230,2230,2230,2230,100,PHS
2013-01-23,2230,2230,2230,2230,0,PHS
2013-01-24,2400,2400,2400,2400,100,PHS
2013-01-25,2400,2560,2400,2560,1700,PHS
2013-01-28,2660,2660,2310,2310,2100,PHS
2013-01-29,2480,2480,2480,2480,900,PHS
2013-01-30,2560,2560,2560,2560,100,PHS
2013-01-31,2560,2560,2560,2560,0,PHS
2013-02-01,2480,2660,2310,2660,5600,PHS
2013-02-04,2560,2560,2560,2560,100,PHS
2013-02-05,2560,2560,2560,2560,0,PHS
2013-02-06,2480,2480,2480,2480,100,PHS
2013-02-07,2560,2560,2480,2560,2400,PHS
2013-02-08,2400,2660,2400,2660,3600,PHS
2013-02-18,2560,2560,2560,2560,100,PHS
2013-02-19,2480,2480,2310,2310,1100,PHS
2013-02-20,2310,2480,2310,2310,12300,PHS
2013-02-21,2310,2480,2140,2480,7100,PHS
2013-02-22,2310,2310,2140,2140,9900,PHS
2013-02-25,2230,2310,2230,2310,5400,PHS
2013-02-26,2310,2400,2140,2400,4600,PHS
2013-02-27,2310,2560,2310,2560,2100,PHS
2013-02-28,2560,2560,2560,2560,0,PHS
2013-03-01,2480,2660,2400,2660,2800,PHS
2013-03-04,2660,2740,2660,2740,3000,PHS
2013-03-05,2740,2740,2740,2740,0,PHS
2013-03-06,2660,2660,2660,2660,100,PHS
2013-03-07,2660,2660,2660,2660,0,PHS
2013-03-08,2400,2400,2400,2400,300,PHS
2013-03-11,2400,2400,2400,2400,0,PHS
2013-03-12,2400,2400,2230,2400,4800,PHS
2013-03-13,2480,2480,2400,2480,3000,PHS
2013-03-14,2400,2480,2400,2480,4700,PHS
2013-03-15,2480,2560,2480,2560,2000,PHS
2013-03-18,2310,2400,2310,2400,1100,PHS
2013-03-19,2400,2400,2400,2400,0,PHS
2013-03-20,2400,2400,2400,2400,0,PHS
2013-03-21,2480,2480,2480,2480,100,PHS
2013-03-22,2400,2400,2400,2400,100,PHS
2013-03-25,2400,2400,2400,2400,0,PHS
2013-03-26,2400,2400,2400,2400,0,PHS
2013-03-27,2230,2560,2230,2560,5400,PHS
2013-03-28,2400,2480,2400,2480,2000,PHS
2013-03-29,2480,2480,2480,2480,4400,PHS
2013-04-01,2310,2310,2310,2310,1000,PHS
2013-04-02,2310,2310,2310,2310,0,PHS
2013-04-03,2310,2310,2310,2310,0,PHS
2013-04-04,2140,2140,2140,2140,100,PHS
2013-04-05,2050,2140,1970,2140,2400,PHS
2013-04-08,2050,2310,2050,2310,2800,PHS
2013-04-09,2140,2310,2140,2310,3600,PHS
2013-04-10,2310,2480,2310,2480,3000,PHS
2013-04-11,2400,2560,2400,2560,4700,PHS
2013-04-12,2830,2830,2310,2310,16700,PHS
2013-04-15,2310,2310,2310,2310,0,PHS
2013-04-16,2140,2140,2140,2140,3500,PHS
2013-04-17,2310,2310,2310,2310,100,PHS
2013-04-18,2140,2480,2140,2480,5000,PHS
2013-04-22,2310,2400,2310,2310,2200,PHS
2013-04-23,2310,2310,2310,2310,0,PHS
2013-04-24,2400,2480,2400,2480,9000,PHS
2013-04-25,2480,2480,2480,2480,0,PHS
2013-04-26,2310,2310,2310,2310,4000,PHS
2013-05-02,2310,2310,2310,2310,0,PHS
2013-05-03,2310,2400,2310,2400,3000,PHS
2013-05-06,2560,2560,2560,2560,3000,PHS
2013-05-07,2310,2310,2310,2310,100,PHS
2013-05-08,2310,2310,2310,2310,0,PHS
2013-05-09,2230,2230,2230,2230,100,PHS
2013-05-10,2230,2230,2230,2230,0,PHS
2013-05-13,2230,2230,2230,2230,0,PHS
2013-05-14,2230,2230,2230,2230,0,PHS
2013-05-15,2230,2230,2230,2230,0,PHS
2013-05-16,2400,2400,2400,2400,2100,PHS
2013-05-17,2400,2400,2400,2400,10000,PHS
2013-05-20,2400,2400,2400,2400,10000,PHS
2013-05-21,2400,2400,2400,2400,10000,PHS
2013-05-22,2400,2400,2400,2400,20000,PHS
2013-05-23,2230,2400,2230,2400,9700,PHS
2013-05-24,2400,2400,2400,2400,3900,PHS
2013-05-27,2400,2400,2230,2230,10100,PHS
2013-05-28,2400,2400,2400,2400,5600,PHS
2013-05-29,2480,2480,2480,2480,2100,PHS
2013-05-30,2480,2480,2480,2480,100,PHS
2013-05-31,2480,2480,2480,2480,8000,PHS
2013-06-03,2480,2480,2480,2480,0,PHS
2013-06-04,2480,2480,2480,2480,0,PHS
2013-06-05,2560,2560,2560,2560,100,PHS
2013-06-06,2660,2660,2660,2660,700,PHS
2013-06-07,2400,2400,2400,2400,100,PHS
2013-06-10,2480,2480,2480,2480,500,PHS
2013-06-11,2560,2560,2310,2310,20100,PHS
2013-06-12,2480,2480,2480,2480,14500,PHS
2013-06-13,2560,2560,2560,2560,100,PHS
2013-06-14,2660,2660,2310,2310,20100,PHS
2013-06-17,2480,2480,2480,2480,100,PHS
2013-06-18,2560,2560,2560,2560,2000,PHS
2013-06-19,2660,2660,2660,2660,20000,PHS
2013-06-20,2740,2740,2740,2740,8000,PHS
2013-06-21,2830,2830,2480,2830,29000,PHS
2013-06-24,2910,2910,2910,2910,5500,PHS
2013-06-25,2910,2910,2660,2660,20100,PHS
2013-06-26,2740,2740,2740,2740,800,PHS
2013-06-27,2830,2830,2480,2480,20100,PHS
2013-06-28,2480,2480,2480,2480,0,PHS
2013-07-01,2560,2560,2310,2310,20100,PHS
2013-07-02,2480,2480,2480,2480,200,PHS
2013-07-03,2480,2660,2310,2660,300,PHS
2013-07-04,2830,2830,2830,2830,100,PHS
2013-07-05,2830,2830,2830,2830,700,PHS
