time,open,high,low,close,volume,ticker
2017-02-22,4440,4440,4440,4440,1000,PIA
2017-02-23,4440,4440,4440,4440,0,PIA
2017-02-24,5070,5070,5070,5070,500,PIA
2017-02-27,5720,5840,4310,4310,1700,PIA
2017-02-28,5720,5720,5230,5230,700,PIA
2017-03-01,5230,5230,4760,4760,7300,PIA
2017-03-02,4800,4890,4800,4890,300,PIA
2017-03-03,4130,4130,4130,4130,100,PIA
2017-03-06,3810,3810,3520,3520,900,PIA
2017-03-07,3590,3590,3590,3590,200,PIA
2017-03-08,3620,3620,3620,3620,100,PIA
2017-03-09,3620,3620,3620,3620,0,PIA
2017-03-10,3270,3270,3270,3270,500,PIA
2017-03-13,3270,3270,3270,3270,0,PIA
2017-03-14,3270,3270,3270,3270,0,PIA
2017-03-15,3750,3750,3360,3360,800,PIA
2017-03-16,4030,4030,4030,4030,100,PIA
2017-03-17,4640,4640,4640,4640,100,PIA
2017-03-20,5300,5300,5300,5300,100,PIA
2017-03-21,6100,6100,6100,6100,1200,PIA
2017-03-22,6950,6980,6120,6120,10800,PIA
2017-03-23,6220,7900,6220,6350,500,PIA
2017-03-24,6380,7940,6380,7940,18600,PIA
2017-03-27,8250,8630,8250,8630,12600,PIA
2017-03-28,7330,9840,7330,9800,9000,PIA
2017-03-29,8600,10790,8600,8950,1008,PIA
2017-03-30,9200,9200,8760,8760,600,PIA
2017-03-31,7810,8250,7810,8250,6603,PIA
2017-04-03,9010,9110,8410,8410,1800,PIA
2017-04-04,7960,8250,7960,8250,200,PIA
2017-04-05,8730,9200,8730,9200,1800,PIA
2017-04-07,8790,8880,8790,8880,1000,PIA
2017-04-10,9040,10120,9040,9840,7200,PIA
2017-04-11,11110,11110,9550,9550,20430,PIA
2017-04-12,9010,9530,9010,9530,1042,PIA
2017-04-13,8880,9200,8060,8060,29343,PIA
2017-04-14,8189,9400,7300,9400,435530,PIA
2017-04-17,9530,9530,9530,9530,920,PIA
2017-04-18,10950,10950,9680,10470,22800,PIA
2017-04-19,9840,10190,8880,9400,87430,PIA
2017-04-20,9420,9680,9400,9530,21821,PIA
2017-04-21,9530,9710,9240,9460,17900,PIA
2017-04-24,9710,10510,9710,10190,31400,PIA
2017-04-25,10510,10510,9870,10030,11056,PIA
2017-04-26,9710,10000,9550,10000,11220,PIA
2017-04-27,9550,10030,9550,9870,9100,PIA
2017-04-28,9870,10000,9870,9870,13200,PIA
2017-05-03,9910,10030,9870,9930,11400,PIA
2017-05-04,10000,10130,10000,10130,16700,PIA
2017-05-05,10190,10510,10090,10510,50600,PIA
2017-05-08,10510,10510,10030,10160,19230,PIA
2017-05-09,10190,10190,10090,10190,10700,PIA
2017-05-10,10030,10030,9780,9840,18400,PIA
2017-05-11,9870,9870,9780,9780,8800,PIA
2017-05-12,9800,9960,9800,9800,5300,PIA
2017-05-15,10090,10130,9870,10000,10300,PIA
2017-05-16,9870,9960,9710,9870,28500,PIA
2017-05-17,9870,10190,9740,9740,44100,PIA
2017-05-18,9740,9870,9490,9800,38404,PIA
2017-05-19,9240,9550,8440,9240,39200,PIA
2017-05-22,9550,10000,9400,10000,76701,PIA
2017-05-23,10030,10450,9330,9870,65168,PIA
2017-05-24,9840,9960,9840,9960,18818,PIA
2017-05-25,9870,10030,9710,9930,32315,PIA
2017-05-26,9910,9960,9710,9930,25410,PIA
2017-05-29,10760,11280,9800,9980,10710,PIA
2017-05-30,10060,10060,9680,9720,20300,PIA
2017-05-31,9760,9760,9570,9570,9082,PIA
2017-06-01,9610,9610,9500,9500,9928,PIA
2017-06-02,9500,9830,9310,9830,10900,PIA
2017-06-05,9390,9390,8940,8940,23210,PIA
2017-06-06,8940,8940,8940,8940,4500,PIA
2017-06-07,8940,8940,8750,8940,11800,PIA
2017-06-08,8830,9130,8830,9130,13900,PIA
2017-06-09,8830,8870,8830,8870,2000,PIA
2017-06-12,9090,9090,9090,9090,3027,PIA
2017-06-13,9460,9460,8940,8940,79200,PIA
2017-06-14,8980,9050,8980,9050,2900,PIA
