time,open,high,low,close,volume,ticker
2013-01-02,4000,4130,3970,4130,106450,PPC
2013-01-03,4240,4270,4000,4000,215770,PPC
2013-01-04,4100,4200,4059,4200,287340,PPC
2013-01-07,4370,4370,4200,4300,668770,PPC
2013-01-08,4300,4500,4240,4500,772790,PPC
2013-01-09,4540,4700,4410,4470,498470,PPC
2013-01-10,4370,4630,4370,4610,394660,PPC
2013-01-11,4670,4800,4540,4800,664750,PPC
2013-01-14,4770,5030,4670,5000,890560,PPC
2013-01-15,4900,5070,4870,5000,397450,PPC
2013-01-16,5030,5100,4960,4960,366050,PPC
2013-01-17,4870,4940,4830,4830,272800,PPC
2013-01-18,4870,4870,4630,4670,351460,PPC
2013-01-21,4670,4700,4570,4610,125330,PPC
2013-01-22,4540,4770,4540,4630,353790,PPC
2013-01-23,4630,4940,4630,4670,561930,PPC
2013-01-24,4830,4830,4670,4830,554090,PPC
2013-01-25,4870,5070,4800,4940,2113230,PPC
2013-01-28,5030,5140,4830,4830,1085100,PPC
2013-01-29,4830,4870,4740,4740,545280,PPC
2013-01-30,4800,5000,4740,4770,1300360,PPC
2013-01-31,4770,4800,4630,4630,592470,PPC
2013-02-01,4630,4740,4500,4700,643740,PPC
2013-02-04,4800,4870,4670,4670,316940,PPC
2013-02-05,4670,4800,4570,4700,534810,PPC
2013-02-06,4700,5000,4700,5000,3899680,PPC
2013-02-07,5230,5330,5140,5330,1077120,PPC
2013-02-08,5700,5700,5570,5700,822090,PPC
2013-02-18,5700,5990,5510,5870,1183530,PPC
2013-02-19,5840,5870,5700,5730,1344690,PPC
2013-02-20,5660,5800,5630,5700,726560,PPC
2013-02-21,5660,5730,5330,5330,1448160,PPC
2013-02-22,5330,5510,4960,5100,1262060,PPC
2013-02-25,5270,5440,5140,5330,961210,PPC
2013-02-26,5300,5570,5000,5000,2395440,PPC
2013-02-27,5140,5330,4960,5330,926850,PPC
2013-02-28,5330,5600,5330,5510,1073580,PPC
2013-03-01,5510,5730,5470,5730,1827200,PPC
2013-03-04,5660,5660,5330,5330,1210300,PPC
2013-03-05,5230,5330,5030,5070,722720,PPC
2013-03-06,5170,5270,5100,5170,559040,PPC
2013-03-07,5170,5230,5070,5100,630370,PPC
2013-03-08,5170,5330,5170,5300,648540,PPC
2013-03-11,5400,5570,5300,5510,690030,PPC
2013-03-12,5510,5510,5300,5440,694040,PPC
2013-03-13,5470,5630,5400,5400,1045070,PPC
2013-03-14,5470,5540,5400,5540,733800,PPC
2013-03-15,5540,5600,5510,5570,625090,PPC
2013-03-18,5570,5570,5400,5400,456230,PPC
2013-03-19,5440,5440,5300,5370,453330,PPC
2013-03-20,5330,5440,5300,5440,834500,PPC
2013-03-21,5570,5660,5510,5510,1112470,PPC
2013-03-22,5600,5630,5440,5510,747260,PPC
2013-03-25,5440,5600,5440,5600,373220,PPC
2013-03-26,5730,5840,5700,5730,1194340,PPC
2013-03-27,5730,5730,5570,5700,523960,PPC
2013-03-28,5660,5700,5630,5630,489160,PPC
2013-03-29,5510,5660,5510,5630,546710,PPC
2013-04-01,5660,5990,5660,5990,692750,PPC
2013-04-02,6060,6400,6060,6170,974530,PPC
2013-04-03,6210,6470,6210,6430,1254230,PPC
2013-04-04,6400,6640,6330,6470,796230,PPC
2013-04-05,6640,6900,6610,6900,1243790,PPC
2013-04-08,6870,7310,6800,7070,1924500,PPC
2013-04-09,7070,7170,6870,6870,908310,PPC
2013-04-10,6830,7340,6730,6830,1469380,PPC
2013-04-11,6940,7100,6830,6900,861020,PPC
2013-04-12,6970,7130,6610,6830,878720,PPC
2013-04-15,6760,6760,6360,6360,1050110,PPC
2013-04-16,6170,6470,5970,6240,988020,PPC
2013-04-17,6240,6400,6140,6240,334860,PPC
2013-04-18,6140,6240,6030,6170,439740,PPC
2013-04-22,6240,6470,6140,6280,655380,PPC
2013-04-23,6430,6700,6400,6700,803790,PPC
2013-04-24,6870,6870,6610,6700,485350,PPC
2013-04-25,6760,7040,6700,6870,737790,PPC
2013-04-26,6870,6940,6760,6830,759000,PPC
2013-05-02,6760,6870,6730,6800,445970,PPC
2013-05-03,6730,7040,6700,7040,445200,PPC
2013-05-06,7170,7470,7170,7470,820740,PPC
2013-05-07,7970,7970,7870,7870,3205460,PPC
2013-05-08,7840,7870,7340,7340,1010950,PPC
2013-05-09,7310,7570,7170,7400,674390,PPC
2013-05-10,7500,7570,7340,7400,697030,PPC
2013-05-13,7440,7570,7440,7500,568560,PPC
2013-05-14,7440,7500,7270,7340,733260,PPC
2013-05-15,7400,7640,7340,7530,1123990,PPC
2013-05-16,7600,8029,7570,8029,2227320,PPC
2013-05-17,8070,8570,8070,8500,2215130,PPC
2013-05-20,8500,8980,8360,8940,1545780,PPC
2013-05-21,8940,9430,8940,9200,1838290,PPC
2013-05-22,9510,9550,9240,9310,1229810,PPC
2013-05-23,9060,9280,8780,8780,2455180,PPC
2013-05-24,8890,9350,8780,9000,1794190,PPC
2013-05-27,9170,9510,9090,9440,1462330,PPC
2013-05-28,9400,9580,9310,9580,2094400,PPC
2013-05-29,9620,9660,9310,9400,1383100,PPC
2013-05-30,9400,9400,9170,9380,1411570,PPC
2013-05-31,9440,9510,9280,9280,1378020,PPC
2013-06-03,9200,9200,8860,8860,1109050,PPC
2013-06-04,8860,9170,8650,8710,848030,PPC
2013-06-05,8860,8860,8550,8750,579100,PPC
2013-06-06,9280,9350,8820,9350,1892970,PPC
2013-06-07,9440,9760,9440,9510,1267710,PPC
2013-06-10,9620,9620,9170,9170,1336250,PPC
2013-06-11,9060,9240,9030,9090,799060,PPC
2013-06-12,9060,9200,8970,8970,938010,PPC
2013-06-13,9000,9000,8750,8820,805040,PPC
2013-06-14,8930,8930,8780,8780,490470,PPC
2013-06-17,8510,8750,8200,8200,1702700,PPC
2013-06-18,7750,8300,7650,8300,2287940,PPC
2013-06-19,8090,8200,7750,7920,1097780,PPC
2013-06-20,7820,8020,7650,7650,1436630,PPC
2013-06-21,7650,8170,7500,8170,6333190,PPC
2013-06-24,8200,8590,8170,8240,1402040,PPC
2013-06-25,8240,8240,7680,7750,2042290,PPC
2013-06-26,7790,7920,7400,7610,1579070,PPC
2013-06-27,7790,7960,7710,7920,1254020,PPC
2013-06-28,8200,8270,8020,8090,1761630,PPC
2013-07-01,8060,8300,7920,8240,1012640,PPC
2013-07-02,8200,8620,8200,8550,1726070,PPC
2013-07-03,8400,8590,8300,8440,1881200,PPC
2013-07-04,8400,8710,8400,8480,1451670,PPC
2013-07-05,8550,8710,8510,8510,1363390,PPC
2013-07-08,8510,8550,8270,8300,869340,PPC
2013-07-09,8300,8590,8300,8590,1180060,PPC
2013-07-10,8650,8680,8370,8370,1214450,PPC
