time,open,high,low,close,volume,ticker
2013-01-02,6830,6830,6060,6230,800,RCL
2013-01-03,6390,6390,6060,6060,4600,RCL
2013-01-04,6230,6230,5790,5790,200,RCL
2013-01-07,6200,6200,5390,5390,1000,RCL
2013-01-08,5760,5760,5760,5760,600,RCL
2013-01-09,5990,6060,5990,5990,3800,RCL
2013-01-10,6060,6060,6060,6060,100,RCL
2013-01-11,6060,6060,5730,5730,10500,RCL
2013-01-14,6090,6090,5730,6060,1300,RCL
2013-01-15,6670,6670,5720,5720,200,RCL
2013-01-16,6020,6290,5310,6290,700,RCL
2013-01-17,6770,6770,6770,6770,100,RCL
2013-01-18,6770,6770,6770,6770,0,RCL
2013-01-21,6250,6400,6250,6400,300,RCL
2013-01-22,6250,6250,6250,6250,300,RCL
2013-01-23,6250,6250,6250,6250,0,RCL
2013-01-24,6250,6250,6250,6250,0,RCL
2013-01-25,5940,6710,5940,6710,4700,RCL
2013-01-28,6710,6710,6710,6710,100,RCL
2013-01-29,6710,6710,6710,6710,0,RCL
2013-01-30,6710,6710,6710,6710,0,RCL
2013-01-31,6710,6710,6710,6710,0,RCL
2013-02-01,6710,6770,6710,6710,5200,RCL
2013-02-04,6710,6710,6710,6710,0,RCL
2013-02-05,6100,7220,6100,7220,600,RCL
2013-02-06,6590,6590,6590,6590,100,RCL
2013-02-07,7120,7120,6210,6210,200,RCL
2013-02-08,6810,6810,6210,6400,400,RCL
2013-02-18,6400,6670,6400,6670,3800,RCL
2013-02-19,6100,6100,6100,6100,100,RCL
2013-02-20,6020,6360,5650,6360,4200,RCL
2013-02-21,6210,6210,5760,5800,10000,RCL
2013-02-22,6360,6360,5570,6210,5200,RCL
2013-02-25,6290,6290,6140,6250,5400,RCL
2013-02-26,6020,6210,6020,6020,3300,RCL
2013-02-27,6100,6100,6100,6100,100,RCL
2013-02-28,6020,6210,6020,6210,200,RCL
2013-03-01,6020,6210,6020,6210,1300,RCL
2013-03-04,6470,6470,5690,6100,6200,RCL
2013-03-05,6360,6360,5840,5840,500,RCL
2013-03-06,5690,6180,5690,6140,300,RCL
2013-03-07,6140,6140,6140,6140,100,RCL
2013-03-08,6140,6140,6140,6140,0,RCL
2013-03-11,5800,6140,5800,6140,300,RCL
2013-03-12,6140,6140,6140,6140,0,RCL
2013-03-13,6140,6140,6140,6140,0,RCL
2013-03-14,6140,6140,6140,6140,0,RCL
2013-03-15,6140,6140,6140,6140,200,RCL
2013-03-18,6140,6180,6140,6180,1100,RCL
2013-03-19,6730,6730,6300,6300,700,RCL
2013-03-20,6690,6690,6690,6690,100,RCL
2013-03-21,6800,6800,6650,6650,2100,RCL
2013-03-22,6610,6610,6610,6610,100,RCL
2013-03-25,6610,6610,6610,6610,0,RCL
2013-03-26,6610,6610,6610,6610,0,RCL
2013-03-27,6610,6610,6610,6610,0,RCL
2013-03-28,6330,6330,6220,6220,2200,RCL
2013-03-29,6050,6690,6050,6690,4200,RCL
2013-04-01,6330,6450,6330,6450,700,RCL
2013-04-02,6610,6650,6450,6530,1300,RCL
2013-04-03,6690,6770,6370,6530,8700,RCL
2013-04-04,6260,6260,6260,6260,100,RCL
2013-04-05,6530,6610,6530,6610,200,RCL
2013-04-08,6530,6690,6530,6690,300,RCL
2013-04-09,6800,6800,6330,6330,200,RCL
2013-04-10,6610,6610,6610,6610,100,RCL
2013-04-11,6610,6610,6610,6610,0,RCL
