time,open,high,low,close,volume,ticker
2016-12-06,57720,57720,57720,57720,3010,SAB
2016-12-07,61750,61750,61750,61750,30,SAB
2016-12-08,66030,66030,66030,66030,1000,SAB
2016-12-09,66030,70620,66030,70620,3010,SAB
2016-12-12,75560,75560,75560,75560,35690,SAB
2016-12-13,80810,80810,80810,80810,96830,SAB
2016-12-14,86450,86450,86450,86450,154380,SAB
2016-12-15,92480,92480,91830,92480,380050,SAB
2016-12-16,98960,98960,87460,98390,387520,SAB
2016-12-19,92700,98390,92700,92700,168190,SAB
2016-12-20,92270,92480,86230,86230,399710,SAB
2016-12-21,86230,88980,80900,87810,241750,SAB
2016-12-22,91780,91780,88770,88770,52460,SAB
2016-12-23,88770,88770,86190,87460,54810,SAB
2016-12-26,87900,87900,84350,87460,169870,SAB
2016-12-27,87460,88700,85730,87900,69880,SAB
2016-12-28,88700,88700,87500,88300,28530,SAB
2016-12-29,87900,87900,85680,87460,98560,SAB
2016-12-30,87900,87900,86790,87770,96740,SAB
2017-01-03,87770,87770,86970,87460,63170,SAB
2017-01-04,87460,88170,86570,87460,87490,SAB
2017-01-05,87460,87900,87010,87500,27170,SAB
2017-01-06,87860,93180,87550,91460,212390,SAB
2017-01-09,91460,92340,91010,91010,31390,SAB
2017-01-10,91850,91850,89450,90790,44540,SAB
2017-01-11,90560,93230,89670,93230,228480,SAB
2017-01-12,94560,94560,93230,93490,55290,SAB
2017-01-13,93540,94200,93490,94030,37670,SAB
2017-01-16,93670,93670,92340,92780,33890,SAB
2017-01-17,92560,96510,92390,96120,113760,SAB
2017-01-18,95580,99890,95580,99350,103480,SAB
2017-01-19,99890,99890,97670,99350,40040,SAB
2017-01-20,99000,99940,99000,99350,77940,SAB
2017-01-23,99350,99350,97890,98550,44360,SAB
2017-01-24,97670,99440,97670,98550,137100,SAB
2017-01-25,98550,99350,97670,99350,18800,SAB
2017-02-02,99400,99400,97230,97230,18560,SAB
2017-02-03,96510,98950,96070,96330,51700,SAB
2017-02-06,97440,97440,93890,95450,50070,SAB
2017-02-07,95450,97670,94560,95890,76580,SAB
2017-02-08,95890,96330,95450,95580,36350,SAB
2017-02-09,95580,95580,92340,93670,150070,SAB
2017-02-10,93670,95000,93670,94650,35880,SAB
2017-02-13,94650,95320,93230,94730,25240,SAB
2017-02-14,94730,96290,94600,95890,72220,SAB
2017-02-15,95890,95890,94470,94960,84300,SAB
2017-02-16,95000,95890,95000,95630,44230,SAB
2017-02-17,95450,95450,95000,95320,34430,SAB
2017-02-20,94690,96780,94650,96780,103930,SAB
2017-02-21,96600,97670,96600,97490,34930,SAB
2017-02-22,97440,99660,97440,99570,100360,SAB
2017-02-23,99840,100780,99440,100780,130020,SAB
2017-02-24,101220,102110,100330,100780,107840,SAB
2017-02-27,99660,101170,99440,99940,61270,SAB
2017-02-28,100110,100420,99940,99940,50720,SAB
2017-03-01,99940,100330,99890,100290,69440,SAB
2017-03-02,100780,100780,97310,99840,30250,SAB
2017-03-03,99000,100070,98110,100070,20670,SAB
2017-03-06,99890,100110,98550,99660,32990,SAB
2017-03-07,99840,99890,98820,98820,35720,SAB
2017-03-08,98820,98820,96960,97180,14120,SAB
2017-03-09,95940,98110,94120,95890,56450,SAB
2017-03-10,95890,95890,93670,93670,17550,SAB
2017-03-13,93670,93670,91630,91900,30560,SAB
2017-03-14,91900,96330,90210,95000,54260,SAB
2017-03-15,95000,95450,93670,93940,13250,SAB
2017-03-16,93940,95000,91230,94510,7450,SAB
2017-03-17,94510,94510,92340,92340,14250,SAB
2017-03-20,92340,93180,92340,92780,7670,SAB
2017-03-21,92780,92780,90920,91100,61100,SAB
2017-03-22,91100,91410,89010,90120,42630,SAB
2017-03-23,89810,90920,89010,89670,20840,SAB
2017-03-24,89670,89720,88390,88790,101770,SAB
2017-03-27,88790,89010,88350,88790,25830,SAB
2017-03-28,89230,89670,88350,88350,55080,SAB
2017-03-29,87940,91010,87900,88790,35850,SAB
2017-03-30,88790,89670,88790,89670,11700,SAB
2017-03-31,89670,89670,88790,88790,10830,SAB
2017-04-03,88790,89630,88790,88960,20480,SAB
2017-04-04,88520,88960,88520,88960,11070,SAB
2017-04-05,89900,90120,89050,90120,24480,SAB
2017-04-07,90120,91010,89670,91010,22080,SAB
2017-04-10,90560,92780,90520,92780,41220,SAB
2017-04-11,92780,93010,91900,92120,47920,SAB
2017-04-12,91900,92120,90120,90120,7830,SAB
2017-04-13,89670,91460,89670,91010,17760,SAB
2017-04-14,91850,91850,89900,90560,24610,SAB
2017-04-17,91010,91900,90560,91900,60990,SAB
2017-04-18,91460,91460,90340,91010,49600,SAB
2017-04-19,91010,91010,89010,89450,9950,SAB
2017-04-20,89450,89450,88790,88790,23910,SAB
2017-04-21,88790,89230,87900,89230,28730,SAB
2017-04-24,89230,89450,88790,88790,54940,SAB
2017-04-25,88350,88790,88350,88350,12720,SAB
2017-04-26,88790,89010,88350,89010,15380,SAB
2017-04-27,89010,89230,88740,88740,66200,SAB
2017-04-28,88740,88790,87900,88740,7590,SAB
2017-05-03,88740,88740,88350,88740,5880,SAB
2017-05-04,88740,88740,88030,88350,39290,SAB
2017-05-05,88260,88520,88260,88480,1140,SAB
2017-05-08,88570,88570,88350,88350,38090,SAB
2017-05-09,88350,88350,87330,87330,15040,SAB
2017-05-10,87240,88350,87240,87370,7830,SAB
2017-05-11,87370,88030,86970,86970,18710,SAB
