time,open,high,low,close,volume,ticker
2013-01-02,1950,2080,1950,2080,16576600,SHB
2013-01-03,2120,2150,1980,2050,28325900,SHB
2013-01-04,2050,2190,2020,2190,22878500,SHB
2013-01-07,2190,2280,2120,2150,15875300,SHB
2013-01-08,2120,2280,2080,2250,20332000,SHB
2013-01-09,2280,2310,2120,2120,29039200,SHB
2013-01-10,2120,2220,2080,2220,10394700,SHB
2013-01-11,2250,2310,2190,2220,19834700,SHB
2013-01-14,2250,2250,2150,2220,13424900,SHB
2013-01-15,2220,2380,2220,2350,22989300,SHB
2013-01-16,2380,2420,2280,2310,20232900,SHB
2013-01-17,2280,2350,2220,2250,19169500,SHB
2013-01-18,2220,2280,2190,2250,14861300,SHB
2013-01-21,2250,2280,2190,2220,8094900,SHB
2013-01-22,2220,2250,2080,2120,17526200,SHB
2013-01-23,2120,2190,2050,2150,10891500,SHB
2013-01-24,2190,2250,2080,2220,10896400,SHB
2013-01-25,2220,2280,2190,2220,12706200,SHB
2013-01-28,2250,2380,2220,2310,18814800,SHB
2013-01-29,2250,2480,2250,2420,23855800,SHB
2013-01-30,2450,2480,2420,2450,11286300,SHB
2013-01-31,2450,2450,2310,2350,14567800,SHB
2013-02-01,2350,2380,2280,2350,11966600,SHB
2013-02-04,2380,2450,2350,2420,9999300,SHB
2013-02-05,2380,2420,2310,2380,7918700,SHB
2013-02-06,2380,2480,2380,2450,13342500,SHB
2013-02-07,2450,2580,2450,2580,14953000,SHB
2013-02-08,2580,2710,2550,2680,15043200,SHB
2013-02-18,2710,2750,2640,2640,14394800,SHB
2013-02-19,2640,2680,2580,2580,27294600,SHB
2013-02-20,2580,2750,2550,2710,15441800,SHB
2013-02-21,2710,2750,2450,2480,28116300,SHB
2013-02-22,2480,2610,2420,2580,28433600,SHB
2013-02-25,2610,2640,2520,2550,8669000,SHB
2013-02-26,2550,2550,2350,2380,18922600,SHB
2013-02-27,2380,2450,2350,2450,11525800,SHB
2013-02-28,2380,2480,2380,2450,7822200,SHB
2013-03-01,2420,2480,2420,2450,7984600,SHB
2013-03-04,2420,2450,2220,2250,20517200,SHB
2013-03-05,2280,2310,2150,2190,16449400,SHB
2013-03-06,2190,2350,2190,2310,7684600,SHB
2013-03-07,2310,2350,2220,2250,6253200,SHB
2013-03-08,2220,2310,2220,2280,4392500,SHB
2013-03-11,2250,2420,2250,2380,11988300,SHB
2013-03-12,2380,2420,2280,2350,9009000,SHB
2013-03-13,2380,2380,2280,2280,6854200,SHB
2013-03-14,2280,2310,2250,2310,4776000,SHB
2013-03-15,2280,2350,2250,2310,6658400,SHB
2013-03-18,2310,2310,2250,2250,7233500,SHB
2013-03-19,2250,2280,2190,2250,7502500,SHB
2013-03-20,2250,2310,2220,2280,8958200,SHB
2013-03-21,2280,2310,2250,2250,3641000,SHB
2013-03-22,2280,2310,2190,2250,6801300,SHB
2013-03-25,2220,2280,2190,2280,5869900,SHB
2013-03-26,2250,2280,2220,2250,3170100,SHB
2013-03-27,2220,2250,2190,2220,6929500,SHB
2013-03-28,2220,2250,2150,2190,9715000,SHB
2013-03-29,2150,2190,2080,2190,7206900,SHB
2013-04-01,2190,2310,2150,2310,7855000,SHB
2013-04-02,2310,2350,2250,2250,10904600,SHB
2013-04-03,2250,2310,2220,2280,9265100,SHB
2013-04-04,2250,2280,2220,2220,4488000,SHB
2013-04-05,2220,2310,2220,2280,6289600,SHB
2013-04-08,2310,2450,2310,2420,20613800,SHB
2013-04-09,2450,2450,2380,2420,6058400,SHB
2013-04-10,2420,2420,2250,2280,14958800,SHB
2013-04-11,2280,2350,2250,2310,8514300,SHB
2013-04-12,2310,2350,2220,2250,6097700,SHB
2013-04-15,2250,2250,2190,2190,7620400,SHB
2013-04-16,2190,2220,2120,2220,6416900,SHB
2013-04-17,2190,2250,2150,2190,3544000,SHB
2013-04-18,2190,2190,2120,2150,5856200,SHB
2013-04-22,2150,2190,2080,2080,5368600,SHB
2013-04-23,2120,2150,2080,2150,3175400,SHB
2013-04-24,2120,2150,2120,2150,3311900,SHB
2013-04-25,2150,2220,2150,2190,3115600,SHB
2013-04-26,2190,2220,2150,2190,3042600,SHB
2013-05-02,2190,2220,2150,2150,1833600,SHB
2013-05-03,2080,2220,2080,2220,2596600,SHB
2013-05-06,2220,2380,2220,2350,12441500,SHB
2013-05-07,2350,2350,2250,2280,9190100,SHB
2013-05-08,2350,2380,2310,2310,4023800,SHB
2013-05-09,2180,2380,2110,2350,5688300,SHB
2013-05-10,2350,2380,2310,2310,4170100,SHB
2013-05-13,2350,2380,2310,2350,3924000,SHB
2013-05-14,2350,2350,2280,2280,4332300,SHB
2013-05-15,2310,2350,2280,2310,3755800,SHB
2013-05-16,2310,2380,2310,2350,5403800,SHB
2013-05-17,2310,2350,2280,2310,5084400,SHB
2013-05-20,2350,2380,2280,2380,4595900,SHB
2013-05-21,2350,2420,2350,2380,9074700,SHB
2013-05-22,2350,2480,2350,2450,18900600,SHB
2013-05-23,2450,2480,2380,2380,11632800,SHB
2013-05-24,2420,2480,2380,2450,9186000,SHB
2013-05-27,2480,2580,2450,2550,19048800,SHB
2013-05-28,2550,2620,2480,2580,18738700,SHB
2013-05-29,2580,2650,2520,2550,14841300,SHB
2013-05-30,2550,2620,2520,2620,7055200,SHB
2013-05-31,2620,2650,2520,2520,12449700,SHB
2013-06-03,2520,2580,2480,2550,7899900,SHB
2013-06-04,2520,2550,2420,2450,10744800,SHB
2013-06-05,2450,2520,2450,2480,6220400,SHB
2013-06-06,2480,2520,2450,2520,6397600,SHB
2013-06-07,2480,2520,2450,2480,8769700,SHB
2013-06-10,2480,2550,2450,2480,6864200,SHB
2013-06-11,2480,2520,2450,2450,4586600,SHB
2013-06-12,2450,2480,2420,2450,4724500,SHB
2013-06-13,2450,2480,2420,2480,6535400,SHB
2013-06-14,2480,2520,2450,2480,4315600,SHB
2013-06-17,2450,2480,2350,2380,10248200,SHB
2013-06-18,2380,2420,2350,2380,6495000,SHB
2013-06-19,2380,2420,2350,2380,3166700,SHB
2013-06-20,2380,2380,2350,2380,3609600,SHB
2013-06-21,2380,2380,2310,2350,4445700,SHB
2013-06-24,2380,2380,2280,2350,4801400,SHB
2013-06-25,2310,2350,2250,2280,9571800,SHB
2013-06-26,2280,2310,2250,2280,4311300,SHB
2013-06-27,2310,2350,2280,2310,3310000,SHB
2013-06-28,2350,2350,2280,2350,3975100,SHB
2013-07-01,2350,2350,2280,2310,906900,SHB
2013-07-02,2280,2350,2280,2310,2515000,SHB
2013-07-03,2310,2310,2280,2280,1762300,SHB
2013-07-04,2280,2310,2280,2280,491400,SHB
2013-07-05,2280,2310,2250,2280,2084000,SHB
2013-07-08,2310,2310,2250,2280,1159000,SHB
2013-07-09,2310,2310,2250,2310,768100,SHB
2013-07-10,2310,2310,2250,2280,908200,SHB
2013-07-11,2080,2310,2080,2310,659200,SHB
2013-07-12,2210,2350,2210,2350,3906100,SHB
2013-07-15,2350,2350,2310,2350,952900,SHB
2013-07-16,2350,2350,2310,2350,1388000,SHB
2013-07-17,2350,2350,2280,2310,3757600,SHB
2013-07-18,2310,2310,2280,2280,1126600,SHB
2013-07-19,2280,2310,2280,2310,1001600,SHB
2013-07-22,2310,2310,2280,2310,1698100,SHB
2013-07-23,2310,2310,2250,2280,2568600,SHB
2013-07-24,2280,2280,2250,2250,1330100,SHB
2013-07-25,2250,2280,2210,2210,4793400,SHB
2013-07-26,2210,2250,2180,2210,2782800,SHB
2013-07-29,2210,2210,2040,2140,1702329,SHB
2013-07-30,2140,2180,2140,2180,1148014,SHB
2013-07-31,2180,2310,2140,2180,508360,SHB
2013-08-01,2180,2210,2140,2180,453872,SHB
2013-08-02,2180,2210,2180,2180,528083,SHB
2013-08-05,2180,2180,2110,2110,1597601,SHB
2013-08-06,2140,2210,2110,2210,3705909,SHB
2013-08-07,2210,2420,2140,2180,1014515,SHB
2013-08-08,2210,2210,2140,2180,1678829,SHB
2013-08-09,2180,2180,2140,2180,1403052,SHB
2013-08-12,2140,2180,2110,2140,2116824,SHB
2013-08-13,2180,2180,2110,2110,1134248,SHB
2013-08-14,2110,2210,2110,2180,1914350,SHB
2013-08-15,2140,2180,2110,2140,3882565,SHB
2013-08-16,2140,2180,2110,2180,2016116,SHB
2013-08-19,2180,2280,2140,2250,6369789,SHB
2013-08-20,2250,2250,2180,2250,3050308,SHB
2013-08-21,2210,2250,2180,2250,3232416,SHB
2013-08-22,2210,2250,2180,2180,2511048,SHB
2013-08-23,2180,2210,2140,2180,3678563,SHB
2013-08-26,2210,2210,2180,2210,2119995,SHB
2013-08-27,2180,2210,2180,2210,1514107,SHB
2013-08-28,2210,2210,2140,2180,3722133,SHB
2013-08-29,2180,2210,2140,2140,1559556,SHB
2013-08-30,2140,2180,2140,2180,1734055,SHB
2013-09-03,2180,2210,2140,2180,1415440,SHB
2013-09-04,2180,2210,2140,2140,1367272,SHB
2013-09-05,2110,2250,2110,2210,4218984,SHB
2013-09-06,2210,2250,2180,2210,3006005,SHB
2013-09-09,2210,2210,2140,2180,1678492,SHB
2013-09-10,1970,2210,1970,2180,1617439,SHB
2013-09-11,2180,2210,2140,2140,2186606,SHB
2013-09-12,2180,2210,2140,2210,1453086,SHB
2013-09-13,2180,2210,2009,2210,1269146,SHB
2013-09-16,2250,2420,2250,2350,22558898,SHB
2013-09-17,2350,2380,2280,2310,7515310,SHB
2013-09-18,2310,2350,2250,2250,6278261,SHB
2013-09-19,2280,2310,2250,2280,6140284,SHB
2013-09-20,2280,2310,2250,2310,36613521,SHB
2013-09-23,2250,2280,2210,2280,2912950,SHB
2013-09-24,2280,2280,2210,2280,4269292,SHB
2013-09-25,2250,2310,2210,2280,4313677,SHB
2013-09-26,2280,2310,2250,2280,1736973,SHB
2013-09-27,2280,2280,2250,2280,1656535,SHB
2013-09-30,2280,2310,2250,2310,3650023,SHB
2013-10-01,2310,2350,2280,2310,5918956,SHB
2013-10-02,2310,2310,2280,2280,1681370,SHB
2013-10-03,2310,2380,2310,2310,7452226,SHB
2013-10-04,2310,2350,2280,2310,2291455,SHB
2013-10-07,2310,2380,2280,2350,5723889,SHB
2013-10-08,2350,2350,2280,2350,2602824,SHB
2013-10-09,2350,2350,2280,2310,1933228,SHB
2013-10-10,2310,2350,2280,2280,2165475,SHB
2013-10-11,2280,2310,2280,2280,1240372,SHB
2013-10-14,2280,2310,2250,2280,2538954,SHB
2013-10-15,2280,2310,2250,2280,1485616,SHB
2013-10-16,2280,2350,2280,2310,2904303,SHB
2013-10-17,2310,2380,2310,2350,6267833,SHB
2013-10-18,2350,2380,2310,2350,1576936,SHB
2013-10-21,2350,2420,2350,2380,6575662,SHB
2013-10-22,2380,2420,2350,2350,2400204,SHB
2013-10-23,2380,2420,2350,2420,4257420,SHB
2013-10-24,2420,2420,2350,2350,2536405,SHB
2013-10-25,2380,2380,2350,2380,2797653,SHB
2013-10-28,2380,2380,2310,2350,1486681,SHB
2013-10-29,2350,2350,2310,2350,1453692,SHB
2013-10-30,2350,2380,2350,2350,1019204,SHB
2013-10-31,2380,2380,2350,2350,1175926,SHB
2013-11-01,2350,2350,2310,2350,990760,SHB
