time,open,high,low,close,volume,ticker
2013-01-02,4640,4780,4640,4720,2474280,SSI
2013-01-03,4700,4720,4550,4610,2733270,SSI
2013-01-04,4580,4720,4550,4670,2132210,SSI
2013-01-07,4720,4780,4670,4670,2252310,SSI
2013-01-08,4640,4890,4640,4870,4216410,SSI
2013-01-09,5000,5090,4840,4870,5797920,SSI
2013-01-10,4870,5030,4810,5030,2255250,SSI
2013-01-11,5180,5180,5000,5090,3875980,SSI
2013-01-14,5000,5150,4950,5030,2817430,SSI
2013-01-15,5060,5250,5000,5180,3048860,SSI
2013-01-16,5250,5340,5180,5230,2094470,SSI
2013-01-17,5210,5230,5090,5090,2908600,SSI
2013-01-18,5060,5090,4950,4970,2452790,SSI
2013-01-21,5060,5150,4970,5000,1661850,SSI
2013-01-22,5000,5060,4780,4840,2162460,SSI
2013-01-23,4840,4920,4780,4870,1425160,SSI
2013-01-24,4890,5000,4870,5000,1263620,SSI
2013-01-25,5060,5230,5030,5180,3449360,SSI
2013-01-28,5230,5460,5210,5310,4754420,SSI
2013-01-29,5310,5430,5250,5340,2148400,SSI
2013-01-30,5370,5430,5280,5340,2005370,SSI
2013-01-31,5280,5310,5230,5230,2437540,SSI
2013-02-01,5210,5230,5150,5210,1581680,SSI
2013-02-04,5280,5280,5210,5230,1165800,SSI
2013-02-05,5210,5250,5180,5230,1003820,SSI
2013-02-06,5280,5480,5250,5400,1261810,SSI
2013-02-07,5460,5480,5400,5460,1313760,SSI
2013-02-08,5460,5510,5400,5460,1281420,SSI
2013-02-18,5510,5620,5460,5510,1941090,SSI
2013-02-19,5510,5540,5400,5430,2381710,SSI
2013-02-20,5430,5480,5340,5430,2172780,SSI
2013-02-21,5460,5480,5060,5060,2882510,SSI
2013-02-22,5230,5280,5000,5150,3612190,SSI
2013-02-25,5150,5210,5120,5150,831410,SSI
2013-02-26,5120,5150,4840,4870,2574750,SSI
2013-02-27,4890,5000,4810,5000,1856640,SSI
2013-02-28,5060,5180,5000,5090,1367940,SSI
2013-03-01,5090,5150,5060,5090,1109840,SSI
2013-03-04,5090,5090,4840,4870,1866190,SSI
2013-03-05,4840,4920,4750,4840,1773310,SSI
2013-03-06,4950,4950,4870,4920,549630,SSI
2013-03-07,4920,4970,4840,4890,792750,SSI
2013-03-08,4890,4970,4890,4950,680480,SSI
2013-03-11,5000,5120,4950,5120,1006000,SSI
2013-03-12,5120,5150,4950,5060,1455420,SSI
2013-03-13,5090,5090,5000,5000,1096700,SSI
2013-03-14,5000,5060,4970,5000,365220,SSI
2013-03-15,5000,5090,5000,5060,737050,SSI
2013-03-18,5060,5090,5000,5000,791230,SSI
2013-03-19,4970,5030,4950,5030,564980,SSI
2013-03-20,5030,5120,5000,5030,798610,SSI
2013-03-21,5060,5150,5060,5090,1474410,SSI
2013-03-22,5120,5120,4950,5000,892970,SSI
2013-03-25,5030,5060,4970,5030,377340,SSI
2013-03-26,5060,5090,5000,5000,852060,SSI
2013-03-27,5000,5000,4920,4920,932910,SSI
2013-03-28,4920,5000,4890,4890,882660,SSI
2013-03-29,4840,4920,4780,4920,1242810,SSI
2013-04-01,4870,5060,4870,5060,1235400,SSI
2013-04-02,5060,5210,5060,5060,2162610,SSI
2013-04-03,5060,5120,5000,5030,1191170,SSI
2013-04-04,5030,5060,4970,4970,1122120,SSI
2013-04-05,5030,5030,4950,5030,867680,SSI
2013-04-08,5060,5280,5060,5210,3156030,SSI
2013-04-09,5210,5370,5180,5340,3700250,SSI
2013-04-10,5340,5400,5210,5210,1776470,SSI
2013-04-11,5230,5230,5090,5150,2215430,SSI
2013-04-12,5180,5180,4970,5000,1448730,SSI
2013-04-15,5000,5000,4870,4890,1816500,SSI
2013-04-16,4840,4950,4780,4890,1264560,SSI
2013-04-17,4920,4950,4870,4920,467920,SSI
2013-04-18,4890,4920,4840,4840,874900,SSI
2013-04-22,4840,4870,4720,4750,954610,SSI
2013-04-23,4810,4870,4780,4810,555610,SSI
2013-04-24,4840,4870,4780,4840,337110,SSI
2013-04-25,4810,4870,4810,4840,399440,SSI
2013-04-26,4810,4840,4780,4810,337370,SSI
2013-05-02,4810,4840,4780,4780,259320,SSI
2013-05-03,4750,4810,4750,4810,384620,SSI
2013-05-06,4870,5030,4870,5030,1103210,SSI
2013-05-07,5000,5030,4920,4920,669740,SSI
2013-05-08,4920,4970,4870,4870,475260,SSI
2013-05-09,4890,4950,4870,4920,536390,SSI
2013-05-10,4920,4920,4870,4890,475160,SSI
2013-05-13,4890,4970,4890,4920,274380,SSI
2013-05-14,4890,4920,4810,4870,686960,SSI
2013-05-15,4870,4890,4810,4890,460920,SSI
2013-05-16,4890,4950,4870,4890,739630,SSI
2013-05-17,4890,4890,4840,4870,265830,SSI
2013-05-20,4890,4920,4870,4890,455390,SSI
2013-05-21,4950,5120,4950,5030,2691250,SSI
2013-05-22,5120,5120,4970,5030,910570,SSI
2013-05-23,4970,5060,4950,4970,1229010,SSI
2013-05-24,5000,5060,4950,5030,1301620,SSI
2013-05-27,5120,5250,5090,5180,3049780,SSI
2013-05-28,5180,5280,5180,5280,3212970,SSI
2013-05-29,5370,5480,5310,5340,5041000,SSI
2013-05-30,5340,5400,5280,5400,1617760,SSI
2013-05-31,5480,5540,5340,5340,3062750,SSI
2013-06-03,5340,5370,5230,5230,2416450,SSI
2013-06-04,5230,5310,5150,5150,2340850,SSI
2013-06-05,5150,5250,5120,5230,1436480,SSI
2013-06-06,5230,5310,5180,5250,1170160,SSI
2013-06-07,5280,5400,5280,5370,2656280,SSI
2013-06-10,5430,5460,5310,5310,1484290,SSI
2013-06-11,5310,5340,5230,5230,1592310,SSI
2013-06-12,5230,5280,5210,5230,905120,SSI
2013-06-13,5230,5250,5150,5210,1506120,SSI
2013-06-14,5250,5250,5180,5180,868920,SSI
2013-06-17,5180,5210,5060,5060,1674550,SSI
2013-06-18,5060,5120,5000,5120,854830,SSI
2013-06-19,5060,5150,5060,5090,487010,SSI
2013-06-20,5090,5090,5030,5030,633930,SSI
2013-06-21,5000,5030,4970,5000,776170,SSI
2013-06-24,5060,5090,4970,5000,1039300,SSI
2013-06-25,5000,5030,4810,4890,1880550,SSI
2013-06-26,4890,4950,4870,4870,1031050,SSI
