time,open,high,low,close,volume,ticker
2013-01-02,1820,1948,1820,1948,162300,STL
2013-01-03,1905,2075,1863,1905,86300,STL
2013-01-04,1948,1990,1863,1990,38500,STL
2013-01-07,1948,2117,1905,1948,105900,STL
2013-01-08,1863,1948,1863,1905,53000,STL
2013-01-09,1905,1948,1778,1863,93000,STL
2013-01-10,1820,1863,1778,1863,28100,STL
2013-01-11,1905,1905,1736,1736,89700,STL
2013-01-14,1736,1820,1736,1820,30900,STL
2013-01-15,1990,1990,1990,1990,45700,STL
2013-01-16,2159,2159,2159,2159,51900,STL
2013-01-17,2371,2371,2244,2371,618300,STL
2013-01-18,2371,2583,2371,2456,195800,STL
2013-01-21,2583,2583,2244,2244,84100,STL
2013-01-22,2117,2117,2032,2032,150700,STL
2013-01-23,2032,2075,1863,1948,173000,STL
2013-01-24,1948,2075,1820,2075,66200,STL
2013-01-25,2117,2202,2032,2159,71600,STL
2013-01-28,2286,2329,2032,2159,141600,STL
2013-01-29,2117,2286,2075,2202,111100,STL
2013-01-30,2159,2244,2075,2202,70300,STL
2013-01-31,2117,2202,2075,2159,51100,STL
2013-02-01,2075,2202,2075,2075,99000,STL
2013-02-04,2159,2159,1990,2075,34300,STL
2013-02-05,2032,2032,1905,1905,192400,STL
2013-02-06,1948,1990,1905,1990,113000,STL
2013-02-07,2032,2117,1948,2117,151900,STL
2013-02-08,2117,2286,2117,2286,118500,STL
2013-02-18,2244,2244,2159,2159,45100,STL
2013-02-19,2117,2202,2075,2117,112200,STL
2013-02-20,2117,2244,2117,2244,82800,STL
2013-02-21,2329,2329,2032,2032,175100,STL
2013-02-22,2032,2159,1948,2032,125100,STL
2013-02-25,2032,2032,1948,2032,51700,STL
2013-02-26,1948,2032,1863,1905,89900,STL
2013-02-27,1778,1948,1778,1948,11700,STL
2013-02-28,1990,1990,1778,1948,14000,STL
2013-03-01,1736,1820,1651,1778,74500,STL
2013-03-04,1693,1693,1566,1566,109800,STL
2013-03-05,1566,1566,1439,1524,77500,STL
2013-03-06,1439,1566,1439,1566,65500,STL
2013-03-07,1609,1609,1524,1566,17000,STL
2013-03-08,1524,1651,1524,1651,22200,STL
2013-03-11,1693,1736,1609,1736,105400,STL
2013-03-12,1693,1736,1566,1693,59000,STL
2013-03-13,1693,1693,1609,1693,14500,STL
2013-03-14,1651,1693,1609,1693,3700,STL
2013-03-15,1736,1736,1693,1736,47500,STL
2013-03-18,1693,1736,1651,1693,18000,STL
2013-03-19,1651,1651,1566,1609,13700,STL
2013-03-20,1609,1693,1566,1651,16900,STL
2013-03-21,1693,1693,1651,1651,10400,STL
2013-03-22,1609,1651,1566,1609,26600,STL
2013-03-25,1566,1566,1566,1566,17700,STL
2013-03-26,1566,1609,1566,1609,5700,STL
2013-03-27,1482,1609,1482,1609,15600,STL
2013-03-28,1609,1609,1609,1609,0,STL
2013-03-29,1609,1609,1609,1609,0,STL
2013-04-01,1524,1609,1524,1566,16700,STL
2013-04-02,1566,1609,1566,1609,14100,STL
2013-04-03,1609,1609,1482,1566,27600,STL
2013-04-04,1482,1482,1439,1439,64200,STL
2013-04-05,1397,1439,1355,1397,24700,STL
2013-04-08,1355,1397,1355,1355,4200,STL
2013-04-09,1355,1439,1355,1439,12100,STL
2013-04-10,1439,1439,1312,1355,11300,STL
2013-04-11,1355,1397,1270,1397,13000,STL
2013-04-12,1439,1439,1270,1270,30700,STL
2013-04-15,1312,1312,1312,1312,13700,STL
2013-04-16,1269,1312,1269,1312,1900,STL
2013-04-17,1312,1312,1269,1312,12100,STL
2013-04-18,1312,1312,1312,1312,1500,STL
2013-04-22,1269,1312,1225,1312,1700,STL
2013-04-23,1225,1312,1225,1312,2900,STL
2013-04-24,1269,1312,1269,1312,9000,STL
2013-04-25,1312,1312,1269,1269,6600,STL
2013-04-26,1312,1312,1225,1269,7200,STL
2013-05-02,1225,1225,1181,1181,39800,STL
2013-05-03,1181,1225,1181,1225,24100,STL
2013-05-06,1312,1312,1312,1312,44600,STL
2013-05-07,1444,1444,1312,1356,56700,STL
2013-05-08,1312,1356,1312,1356,26200,STL
2013-05-09,1312,1400,1312,1400,26300,STL
2013-05-10,1312,1356,1312,1356,13300,STL
2013-05-13,1312,1356,1312,1356,24400,STL
2013-05-14,1312,1356,1269,1356,32200,STL
2013-05-15,1312,1356,1312,1356,3800,STL
2013-05-16,1400,1400,1356,1400,34200,STL
2013-05-17,1312,1356,1312,1356,2600,STL
2013-05-20,1356,1356,1356,1356,0,STL
2013-05-21,1356,1356,1312,1312,31400,STL
2013-05-22,1400,1444,1356,1444,31300,STL
2013-05-23,1400,1444,1356,1356,14400,STL
2013-05-24,1356,1400,1356,1356,27400,STL
2013-05-27,1400,1400,1400,1400,49800,STL
2013-05-28,1400,1444,1356,1444,47100,STL
2013-05-29,1444,1487,1444,1444,46200,STL
2013-05-30,1487,1487,1444,1487,36400,STL
2013-05-31,1487,1487,1400,1444,28900,STL
2013-06-03,1487,1487,1444,1444,32100,STL
2013-06-04,1444,1444,1400,1400,71500,STL
2013-06-05,1400,1400,1356,1400,32000,STL
2013-06-06,1400,1444,1356,1400,58100,STL
2013-06-07,1356,1444,1312,1400,64000,STL
2013-06-10,1400,1444,1400,1400,10300,STL
2013-06-11,1400,1444,1312,1356,35600,STL
2013-06-12,1356,1400,1225,1269,274000,STL
2013-06-13,1225,1356,1225,1356,65700,STL
2013-06-14,1400,1487,1356,1487,235900,STL
2013-06-17,1444,1444,1356,1356,85200,STL
2013-06-18,1400,1400,1312,1356,25200,STL
2013-06-19,1356,1400,1312,1400,27100,STL
2013-06-20,1400,1400,1312,1312,137500,STL
2013-06-21,1312,1356,1312,1356,8200,STL
2013-06-24,1312,1312,1269,1312,28800,STL
2013-06-25,1312,1312,1269,1269,82500,STL
2013-06-26,1269,1312,1225,1312,27800,STL
2013-06-27,1312,1312,1269,1312,236200,STL
2013-06-28,1312,1312,1269,1312,267800,STL
2013-07-01,1269,1312,1269,1312,13300,STL
2013-07-02,1312,1356,1312,1356,48300,STL
2013-07-03,1356,1356,1312,1356,4900,STL
2013-07-04,1312,1487,1312,1487,199200,STL
2013-07-05,1356,1356,1356,1356,81500,STL
2013-07-08,1225,1225,1225,1225,8600,STL
2013-07-09,1137,1137,1137,1137,8600,STL
2013-07-10,1050,1050,1050,1050,1900,STL
2013-07-11,962,962,962,962,100,STL
2013-07-12,875,1050,875,1006,992000,STL
2013-07-15,1093,1093,918,918,287400,STL
2013-07-16,875,1006,875,1006,182500,STL
2013-07-17,1006,1093,1006,1093,428000,STL
2013-07-18,1093,1181,1093,1093,251700,STL
2013-07-19,1137,1181,1137,1137,257100,STL
2013-07-22,1093,1181,1093,1181,266600,STL
2013-07-23,1181,1225,1137,1181,311000,STL
2013-07-24,1181,1269,1137,1269,241400,STL
2013-07-25,1312,1356,1225,1269,577500,STL
2013-11-12,1531,1575,1531,1575,38800,STL
2013-11-13,1706,1706,1444,1575,73000,STL
2013-11-14,1575,1575,1444,1487,4500,STL
2013-11-15,1444,1531,1356,1356,131500,STL
2013-11-18,1400,1531,1400,1487,40000,STL
2013-11-19,1487,1531,1487,1531,23600,STL
2013-11-20,1619,1619,1575,1619,18400,STL
2013-11-21,1619,1750,1619,1750,21600,STL
2013-11-22,1750,1925,1662,1881,32200,STL
2013-11-25,1973,2065,1927,2065,14500,STL
2013-11-26,2161,2257,2161,2257,23200,STL
2013-11-27,2449,2449,2305,2449,25300,STL
2013-11-28,2694,2694,2694,2694,25300,STL
2013-11-29,2890,2939,2694,2890,29300,STL
2013-12-02,2840,2940,2740,2740,68400,STL
2013-12-03,2691,2691,2591,2591,6000,STL
