time,open,high,low,close,volume,ticker
2019-12-20,18940,21880,18940,21880,45700,SZB
2019-12-23,21750,24060,21750,24060,5800,SZB
2019-12-24,25590,26090,24060,24060,39900,SZB
2019-12-25,24200,24200,22440,22520,5300,SZB
2019-12-26,21750,21750,21040,21040,3300,SZB
2019-12-27,19640,22440,19640,20480,2300,SZB
2019-12-30,20480,20480,20480,20480,0,SZB
2019-12-31,20480,22440,20480,20970,500,SZB
2020-01-02,23000,23000,21170,21170,600,SZB
2020-01-03,21380,22440,21380,22100,3000,SZB
2020-01-06,22100,22100,22100,22100,0,SZB
2020-01-07,21380,22440,21380,22440,900,SZB
2020-01-08,22440,22440,22440,22440,0,SZB
2020-01-09,23850,24540,23850,24540,300,SZB
2020-01-10,23850,23850,23850,23850,100,SZB
2020-01-13,24540,24540,24540,24540,100,SZB
2020-01-14,24690,24970,24480,24480,1100,SZB
2020-01-15,24480,24480,24480,24480,0,SZB
2020-01-16,24480,24480,24480,24480,0,SZB
2020-01-17,22100,24540,22100,24540,900,SZB
2020-01-20,24540,24540,24540,24540,0,SZB
2020-01-21,24540,24540,24540,24540,0,SZB
2020-01-22,25250,25250,24900,24900,800,SZB
2020-01-30,24900,24900,24900,24900,0,SZB
2020-01-31,22790,24540,22440,22440,1800,SZB
2020-02-03,22440,22440,22440,22440,0,SZB
2020-02-04,24540,24540,21110,23140,600,SZB
2020-02-05,23140,23140,23140,23140,0,SZB
2020-02-06,24140,24140,24140,24140,235,SZB
2020-02-07,23850,23850,22790,22790,600,SZB
2020-02-10,22440,22440,22440,22440,100,SZB
2020-02-11,22440,24540,24540,22440,0,SZB
2020-02-12,22440,22790,22100,22790,5000,SZB
2020-02-13,22440,22440,21750,21750,1100,SZB
2020-02-14,21750,21750,21750,21750,400,SZB
2020-02-17,22100,22100,19560,21750,300,SZB
2020-02-18,22440,22440,22440,22440,100,SZB
2020-02-19,21750,21750,21750,21750,500,SZB
2020-02-20,21750,21750,21460,21460,900,SZB
2020-02-21,21460,21460,21460,21460,0,SZB
2020-02-24,21040,21040,21040,21040,200,SZB
2020-02-25,21040,21380,21040,21380,1400,SZB
2020-02-26,21110,21330,21110,21330,2100,SZB
2020-02-27,22030,22030,22030,22030,400,SZB
2020-02-28,21750,22100,20690,22100,7200,SZB
