time,open,high,low,close,volume,ticker
2013-01-02,3630,3630,3630,3630,510,SZL
2013-01-03,3460,3490,3460,3460,30120,SZL
2013-01-04,3410,3520,3410,3520,30580,SZL
2013-01-07,3430,3520,3430,3520,12610,SZL
2013-01-08,3520,3570,3520,3570,11310,SZL
2013-01-09,3550,3550,3520,3520,8250,SZL
2013-01-10,3520,3630,3520,3630,5440,SZL
2013-01-11,3660,3660,3660,3660,5000,SZL
2013-01-14,3520,3690,3520,3690,480,SZL
2013-01-15,3690,3800,3690,3800,940,SZL
2013-01-16,3550,3860,3550,3570,5510,SZL
2013-01-17,3690,3690,3570,3570,16100,SZL
2013-01-18,3690,3800,3690,3800,110,SZL
2013-01-21,3570,4050,3570,3970,19150,SZL
2013-01-22,3710,3920,3710,3710,8220,SZL
2013-01-23,3690,3710,3690,3710,310,SZL
2013-01-24,3690,3710,3690,3710,5300,SZL
2013-01-25,3690,3690,3570,3690,5930,SZL
2013-01-28,3710,3710,3710,3710,1590,SZL
2013-01-29,3610,3610,3610,3610,3020,SZL
2013-01-30,3610,3630,3610,3630,2510,SZL
2013-01-31,3610,3610,3610,3610,490,SZL
2013-02-01,3610,3610,3550,3550,6250,SZL
2013-02-04,3570,3570,3570,3570,4990,SZL
2013-02-05,3570,3690,3570,3690,2400,SZL
2013-02-06,3690,3690,3690,3690,7020,SZL
2013-02-07,3660,3740,3660,3740,3410,SZL
2013-02-08,3710,3740,3710,3740,10750,SZL
2013-02-18,3740,3830,3740,3830,2510,SZL
2013-02-19,3770,3770,3710,3710,30380,SZL
2013-02-20,3710,3710,3690,3690,16760,SZL
2013-02-21,3690,3830,3690,3710,14040,SZL
2013-02-22,3710,3710,3690,3690,17500,SZL
2013-02-25,3690,3690,3690,3690,8500,SZL
2013-02-26,3690,3690,3660,3660,7060,SZL
2013-02-27,3690,3690,3660,3660,6780,SZL
2013-02-28,3660,3660,3660,3660,80,SZL
2013-03-01,3660,3660,3660,3660,0,SZL
2013-03-04,3660,3660,3660,3660,0,SZL
2013-03-05,3660,3660,3660,3660,0,SZL
2013-03-06,3660,3660,3660,3660,0,SZL
2013-03-07,3460,3550,3460,3550,1540,SZL
2013-03-08,3690,3690,3570,3570,2020,SZL
2013-03-11,3570,3570,3570,3570,0,SZL
2013-03-12,3570,3660,3570,3630,13100,SZL
2013-03-13,3660,3660,3630,3660,2400,SZL
2013-03-14,3660,3660,3660,3660,0,SZL
2013-03-15,3690,3740,3690,3740,5910,SZL
2013-03-18,3770,3770,3690,3740,1090,SZL
2013-03-19,3660,3690,3660,3690,7330,SZL
2013-03-20,3690,3710,3690,3690,5530,SZL
2013-03-21,3800,3800,3800,3800,100,SZL
2013-03-22,3740,3770,3690,3690,5350,SZL
2013-03-25,3690,3690,3690,3690,980,SZL
2013-03-26,3660,3690,3610,3690,4120,SZL
2013-03-27,3690,3690,3660,3690,4230,SZL
2013-03-28,3690,3690,3690,3690,0,SZL
2013-03-29,3660,3660,3550,3550,1700,SZL
2013-04-01,3570,3630,3570,3630,1250,SZL
2013-04-02,3690,3690,3630,3690,3850,SZL
2013-04-03,3630,3630,3630,3630,1000,SZL
2013-04-04,3550,3610,3550,3610,150,SZL
2013-04-05,3610,3660,3610,3660,750,SZL
2013-04-08,3550,3690,3550,3690,6930,SZL
2013-04-09,3660,3660,3660,3660,2750,SZL
2013-04-10,3660,3660,3660,3660,720,SZL
2013-04-11,3660,3710,3660,3710,2250,SZL
2013-04-12,3690,3690,3690,3690,500,SZL
2013-04-15,3690,3690,3690,3690,0,SZL
2013-04-16,3690,3690,3690,3690,0,SZL
2013-04-17,3690,3690,3570,3570,30,SZL
2013-04-18,3690,3690,3690,3690,2100,SZL
2013-04-22,3690,3690,3690,3690,0,SZL
2013-04-23,3660,3710,3660,3690,14910,SZL
2013-04-24,3690,3690,3690,3690,3520,SZL
2013-04-25,3690,3690,3610,3690,16100,SZL
2013-04-26,3690,3690,3690,3690,10,SZL
2013-05-02,3690,3690,3690,3690,69190,SZL
2013-05-03,3690,3830,3660,3830,22640,SZL
2013-05-06,3690,3690,3690,3690,10,SZL
2013-05-07,3690,3690,3690,3690,52120,SZL
2013-05-08,3740,3940,3740,3800,23770,SZL
2013-05-09,3800,3890,3800,3890,31360,SZL
2013-05-10,3890,3920,3890,3920,14680,SZL
2013-05-13,3970,4150,3970,4110,50020,SZL
2013-05-14,4050,4050,4000,4030,25030,SZL
2013-05-15,4030,4030,3970,4000,11440,SZL
2013-05-16,4030,4030,4000,4030,43380,SZL
2013-05-17,3970,4030,3940,3970,18390,SZL
2013-05-20,4230,4230,4170,4170,350,SZL
2013-05-21,4100,4100,4070,4070,2500,SZL
2013-05-22,4070,4070,3880,3910,3230,SZL
2013-05-23,3930,4030,3840,3910,3260,SZL
2013-05-24,3840,3910,3810,3810,15150,SZL
2013-05-27,3910,4010,3910,3970,15700,SZL
2013-05-28,3970,4010,3910,3930,8630,SZL
2013-05-29,3910,3970,3880,3970,23420,SZL
