time,open,high,low,close,volume,ticker
2022-07-20,25570,25570,17630,21160,6300,TBR
2022-07-22,17540,17540,17540,17540,1100,TBR
2022-07-25,15070,17540,14990,17540,1400,TBR
2022-07-26,13140,13140,13050,13050,2800,TBR
2022-07-27,11200,14720,11110,11110,2100,TBR
2022-07-28,10140,10140,10140,10140,100,TBR
2022-07-29,9080,11470,8810,11470,4500,TBR
2022-08-01,8810,11020,8810,8810,13400,TBR
2022-08-02,9160,9160,9160,9160,2500,TBR
2022-08-03,9260,9340,9160,9260,8800,TBR
2022-08-04,8990,9160,8810,9160,6700,TBR
2022-08-05,8910,8910,8730,8810,6100,TBR
2022-08-08,8910,8910,8910,8910,400,TBR
2022-08-09,8460,8910,8380,8810,9400,TBR
2022-08-10,8810,8810,8380,8550,2900,TBR
2022-08-11,8640,8730,8380,8380,14800,TBR
2022-08-12,7930,8380,7500,7930,25600,TBR
2022-08-15,8640,8990,8640,8910,12100,TBR
2022-08-16,9080,9080,8910,9080,800,TBR
2022-08-17,8810,9080,8810,9080,2100,TBR
2022-08-18,8990,8990,8810,8910,2400,TBR
2022-08-19,8910,8990,8550,8810,15000,TBR
2022-08-22,8810,8810,8810,8810,1800,TBR
2022-08-23,8990,8990,8640,8640,2800,TBR
2022-08-24,9180,9370,9180,9370,500,TBR
2022-08-25,9280,9280,9090,9090,1000,TBR
2022-08-26,9000,9000,8530,9000,2800,TBR
2022-08-29,9000,9000,8350,8810,1100,TBR
2022-08-30,8720,8720,8530,8720,1400,TBR
2022-08-31,8350,8440,8350,8440,8800,TBR
2022-09-05,8350,8350,8070,8070,5000,TBR
2022-09-06,8260,8260,8260,8260,200,TBR
2022-09-07,8070,8350,7980,8350,1300,TBR
2022-09-08,8260,8260,8260,8260,100,TBR
2022-09-09,8350,8350,7880,7880,5100,TBR
2022-09-12,7420,7510,7050,7240,28500,TBR
2022-09-13,7050,7050,6960,6960,17700,TBR
2022-09-14,7240,7330,6960,7050,11000,TBR
2022-09-15,7240,7240,7050,7050,700,TBR
2022-09-16,6860,6860,6860,6860,10100,TBR
2022-09-19,6490,7330,6490,7330,1600,TBR
2022-09-20,6490,6590,6490,6590,2500,TBR
2022-09-21,6590,6590,6590,6590,2100,TBR
2022-09-22,7140,7420,7140,7240,49300,TBR
2022-09-23,7330,7790,7330,7700,103300,TBR
2022-09-26,7420,7700,7330,7420,27800,TBR
2022-09-27,6860,7240,6490,6860,34700,TBR
2022-09-28,6680,6680,6310,6400,64300,TBR
2022-09-29,7240,7240,6490,6490,26700,TBR
2022-09-30,6490,7050,6400,7050,21700,TBR
2022-10-03,6590,6590,6490,6490,10300,TBR
2022-10-04,6490,6490,6490,6490,8900,TBR
2022-10-05,6490,6770,6490,6770,12500,TBR
2022-10-06,6960,6960,6490,6960,6200,TBR
2022-10-07,6490,6680,6490,6680,29500,TBR
2022-10-10,6960,6960,6590,6860,7100,TBR
2022-10-11,6590,6590,6400,6590,4400,TBR
2022-10-12,6400,6590,6400,6590,6200,TBR
2022-10-13,6490,6680,6490,6680,1900,TBR
2022-10-14,6590,6590,6490,6590,20800,TBR
2022-10-17,6490,6680,6490,6680,8200,TBR
2022-10-18,6680,6770,6680,6770,1200,TBR
2022-10-19,6860,6860,6860,6860,100,TBR
2022-10-21,6310,6400,6310,6310,14100,TBR
2022-10-24,6490,6490,6310,6490,3100,TBR
2022-10-25,5570,6490,5570,6490,2300,TBR
2022-10-26,6400,6590,6220,6490,12800,TBR
2022-10-27,6400,6770,6400,6400,1000,TBR
2022-10-28,6310,6680,6310,6680,600,TBR
2022-10-31,6680,6770,6680,6770,200,TBR
2022-11-01,6310,6770,6310,6680,3200,TBR
2022-11-02,6490,6680,6400,6400,1600,TBR
2022-11-03,6770,6770,6770,6770,100,TBR
2022-11-04,6400,7700,6400,7700,4200,TBR
2022-11-07,6590,6680,6400,6680,2200,TBR
2022-11-08,6590,6860,6590,6860,1100,TBR
2022-11-09,6680,6680,6680,6680,100,TBR
2022-11-10,6680,6680,6400,6400,1200,TBR
2022-11-11,6680,6680,6490,6490,200,TBR
2022-11-14,5660,5660,5660,5660,100,TBR
2022-11-15,6490,6490,5840,5840,42800,TBR
2022-11-16,6400,6400,6400,6400,200,TBR
2022-11-17,6490,6490,6490,6490,100,TBR
2022-11-18,7140,7140,6400,6400,200,TBR
2022-11-22,5840,6590,5840,6590,16900,TBR
2022-11-23,6490,6490,6490,6490,100,TBR
2022-11-24,6120,6120,5840,5940,800,TBR
2022-11-25,6030,6030,5840,5940,2700,TBR
